Sample,Number,Size (mm),Weight (g in shell),Observations,Tissue Type,Storage,Room
1217134N5-8,1,22,1.04,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,2,15,0.33,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,3,13,0.18,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,4,15,0.38,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,5,7,0.08,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,6,17,0.42,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,7,11,0.18,,Whole Body,-20 Bottom,FTR 209
1217134N5-8,8,20,0.48,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,1,25,1.96,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,2,21,1.22,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,3,10,0.25,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,4,20,0.96,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,5,26,1.38,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,6,9,0.11,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,7,17,0.4,,Whole Body,-20 Bottom,FTR 209
1217134N1-4,8,10,0.09,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,1,14,0.41,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,2,18,0.49,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,3,12,0.21,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,4,21,0.9,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,5,13,0.21,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,6,13,0.43,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,7,10,0.16,,Whole Body,-20 Bottom,FTR 209
1217134N13-16,8,16,0.7,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,1,9,0.1,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,2,15,0.63,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,3,12,0.18,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,4,16,0.42,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,5,18,0.16,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,6,18,0.2,,Whole Body,-20 Bottom,FTR 209
1217134N9-12,7,11,0.21,Dead,Whole Body,-20 Bottom,FTR 209
1217134N9-12,8,14,0.41,,Whole Body,-20 Bottom,FTR 209
,,,,,,,
1217134S5-8,1,11,0.18,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,2,19,0.58,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,3,15,0.64,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,4,9,0.19,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,5,14,0.39,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,6,15,0.38,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,7,15,0.27,,Whole Body,-20 Bottom,FTR 209
1217134S5-8,8,9,0.15,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,1,10,0.19,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,2,17,0.49,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,3,10,0.15,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,4,7,0.13,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,5,22,1.04,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,6,15,0.61,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,7,13,0.31,,Whole Body,-20 Bottom,FTR 209
1217134S1-4,8,12,0.28,,Whole Body,-20 Bottom,FTR 209
