Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\5272015\rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,
4, 1, SBGnew, 60.0, 0.0054,0.0037,0.0098,0.0111,0.0097,0.0014,0.0028,0.0084,0.0063,0.0077,0.0116,0.0109,0.0097,0.0068,0.0070,0.0062,0.0049,0.0072,0.0103,0.0091,0.0095,0.0108,0.0083,0.0068,0.0049,0.0067,0.0079,0.0088,0.0118,0.0107,0.0083,0.0079,
4, 2, SBGnew, 60.0, 0.0048,0.0044,0.0095,0.0102,0.0095,0.0031,0.0033,0.0079,0.0067,0.0077,0.0116,0.0109,0.0094,0.0069,0.0061,0.0066,0.0050,0.0076,0.0099,0.0091,0.0090,0.0109,0.0078,0.0071,0.0049,0.0065,0.0081,0.0084,0.0117,0.0105,0.0079,0.0078,
4, 3, SBGnew, 60.0, 0.0042,0.0050,0.0094,0.0098,0.0099,0.0040,0.0035,0.0079,0.0069,0.0077,0.0112,0.0106,0.0088,0.0075,0.0053,0.0069,0.0048,0.0075,0.0104,0.0083,0.0083,0.0106,0.0077,0.0068,0.0048,0.0066,0.0084,0.0077,0.0120,0.0100,0.0077,0.0078,
4, 4, SBGnew, 60.0, 0.0036,0.0049,0.0091,0.0091,0.0093,0.0048,0.0032,0.0078,0.0075,0.0072,0.0102,0.0098,0.0079,0.0076,0.0046,0.0067,0.0046,0.0072,0.0099,0.0078,0.0081,0.0106,0.0075,0.0067,0.0049,0.0064,0.0084,0.0071,0.0108,0.0098,0.0072,0.0079,
4, 5, SBGnew, 60.0, 0.0037,0.0039,0.0081,0.0088,0.0086,0.0042,0.0030,0.0078,0.0075,0.0067,0.0091,0.0098,0.0070,0.0067,0.0037,0.0056,0.0047,0.0067,0.0095,0.0078,0.0077,0.0100,0.0070,0.0061,0.0046,0.0052,0.0083,0.0064,0.0099,0.0095,0.0068,0.0070,
4, 6, SBGnew, 60.0, 0.0040,0.0036,0.0078,0.0086,0.0075,0.0044,0.0030,0.0080,0.0074,0.0062,0.0095,0.0092,0.0062,0.0064,0.0032,0.0048,0.0048,0.0056,0.0083,0.0070,0.0072,0.0089,0.0060,0.0062,0.0037,0.0048,0.0073,0.0056,0.0092,0.0083,0.0061,0.0067,
4, 7, SBGnew, 60.0, 0.0046,0.0031,0.0075,0.0081,0.0067,0.0032,0.0022,0.0075,0.0066,0.0050,0.0087,0.0084,0.0056,0.0058,0.0032,0.0042,0.0046,0.0049,0.0081,0.0059,0.0067,0.0081,0.0061,0.0056,0.0040,0.0044,0.0066,0.0048,0.0084,0.0070,0.0053,0.0067,
4, 8, SBGnew, 60.0, 0.0049,0.0025,0.0068,0.0072,0.0055,0.0029,0.0019,0.0062,0.0063,0.0039,0.0082,0.0077,0.0049,0.0048,0.0029,0.0037,0.0045,0.0042,0.0070,0.0045,0.0063,0.0077,0.0054,0.0055,0.0040,0.0042,0.0060,0.0046,0.0074,0.0064,0.0044,0.0064,
4, 9, SBGnew, 60.0, 0.0050,0.0028,0.0062,0.0063,0.0052,0.0028,0.0021,0.0056,0.0053,0.0038,0.0075,0.0071,0.0043,0.0043,0.0026,0.0036,0.0042,0.0041,0.0068,0.0036,0.0057,0.0064,0.0043,0.0047,0.0037,0.0035,0.0053,0.0037,0.0073,0.0054,0.0036,0.0061,
4, 10, SBGnew, 60.0, 0.0045,0.0028,0.0058,0.0062,0.0049,0.0029,0.0019,0.0051,0.0048,0.0033,0.0075,0.0059,0.0034,0.0043,0.0022,0.0039,0.0042,0.0036,0.0065,0.0023,0.0045,0.0053,0.0035,0.0050,0.0032,0.0035,0.0043,0.0022,0.0069,0.0048,0.0027,0.0060,
