SampleNames:	HSPb11_NTC_01	HSPb11_NT1_01	HSPb11_HT1_01	HSPb11_ST1_01	HSPb11_NC1_01	HSPb11_HC1_01	HSPb11_SC1_01	HSPb11_NTC_01	GDF-8_NTC_01	GDF-8_NT1_01	GDF-8_HT1_01	GDF-8_ST1_01	GDF-8_NC1_01	GDF-8_HC1_01	GDF-8_SC1_01	GDF-8_NTC_01	HSP70b_NTC_01	HSP70b_NT1_01	HSP70b_HT1_01	HSP70b_ST1_01	HSP70b_NC1_01	HSP70b_HC1_01	HSP70b_SC1_01	HSP70b_NTC_01	GRF-78_NTC_01	GRF-78_NT1_01	GRF-78_HT1_01	GRF-78_ST1_01	GRF-78_NC1_01	GRF-78_HC1_01	GRF-78_SC1_01	GRF-78_NTC_01	CARM1_NTC_01	CARM1_NT1_01	CARM1_HT1_01	CARM1_ST1_01	CARM1_NC1_01	CARM1_HC1_01	CARM1_SC1_01	CARM1_NTC_01	BMP2_NTC_01	BMP2_NT1_01	BMP2_HT1_01	BMP2_ST1_01	BMP2_NC1_01	BMP2_HC1_01	BMP2_SC1_01	BMP2_NTC_01	PGE/EP4_NTC_01	PGE/EP4_NT1_01	PGE/EP4_HT1_01	PGE/EP4_ST1_01	PGE/EP4_NC1_01	PGE/EP4_HC1_01	PGE/EP4_SC1_01	PGE/EP4_NTC_01	CRAF1_NTC_01	CRAF1_NT1_01	CRAF1_HT1_01	CRAF1_ST1_01	CRAF1_NC1_01	CRAF1_HC1_01	CRAF1_SC1_01	CRAF1_NTC_01	NFKBina_NTC_01	NFKBina_NT1_01	NFKBina_HT1_01	NFKBina_ST1_01	NFKBina_NC1_01	NFKBina_HC1_01	NFKBina_SC1_01	NFKBina_NTC_01	PGRP-S_NTC_01	PGRP-S_NT1_01	PGRP-S_HT1_01	PGRP-S_ST1_01	PGRP-S_NC1_01	PGRP-S_HC1_01	PGRP-S_SC1_01	PGRP-S_NTC_01	TLR2.1_NTC_01	TLR2.1_NT1_01	TLR2.1_HT1_01	TLR2.1_ST1_01	TLR2.1_NC1_01	TLR2.1_HC1_01	TLR2.1_SC1_01	TLR2.1_NTC_01	GDF-8b_NTC_01	GDF-8b_NT1_01	GDF-8b_HT1_01	GDF-8b_ST1_01	GDF-8b_NC1_01	GDF-8b_HC1_01	GDF-8b_SC1_01	GDF-8b_NTC_01
Logistic_a:	0.0210299	0.997149	1.1871	1.40122	1.59142	1.10127	0.964425	0.00814756	0.0447052	1.02148	0.504949	0.83032	1.487	1.28651	0.868433	0.0952439	0.313324	0.953253	1.25894	1.3416	1.24189	1.87437	1.47304	0.469265	Error!	0.184282	0.0471605	0.0213938	0.0616483	1.22836	1.38663	0.223888	0.123272	1.41084	1.56424	2.06735	2.35245	2.41533	2.066	0.200775	0.00693861	1.45658	1.41961	1.54814	1.97026	1.94154	1.76853	0.00326123	0.179804	1.3908	0.590357	1.34792	1.8449	1.55382	1.75661	0.00445645	0.00209923	1.22755	1.22783	1.86219	1.43407	1.4444	1.35237	0.00288668	Error!	0.559518	0.00585867	0.0078012	1.53168	1.24182	0.00690142	0.00334113	0.00822046	0.731297	0.264444	1.20619	1.13635	Error!	0.751638	0.00322264	0.130685	0.530883	0.00429667	0.869394	1.16994	0.00555852	0.801821	0.0068236	0.0364388	0.620725	0.274646	1.21293	1.24775	1.16658	0.992224	0.0763203
Logistic_b:	-13.9868	-17.9263	-17.6843	-17.092	-16.8018	-16.5166	-16.7358	-0.15212	-19.5077	-23.1617	-24.991	-24.7784	-20.6574	-20.533	-22.2657	-11.6079	-20.6888	-20.0508	-20.3118	-20.2978	-20.2516	-18.5253	-19.2241	-18.9263	Error!	-22.5616	-44.8866	0.0578181	-12.9448	-23.7785	-23.0566	-13.8535	-21.9311	-18.4567	-19.6167	-20.4393	-16.4959	-16.4842	-16.0573	-18.0712	0.0212072	-18.4701	-19.8395	-18.0965	-17.3338	-16.5155	-15.5129	6.24839	-26.8933	-20.7676	-26.4903	-22.1417	-18.8274	-18.0869	-17.0143	2.23382	7.96165	-20.4718	-20.5261	-19.5552	-20.0885	-16.9413	-16.9862	11.6695	Error!	-24.8732	8.87207	8.0018	-20.8745	-19.497	7.58854	9.53586	0.817379	-25.11	-32.1372	-23.463	-25.285	Error!	-24.572	27.6577	-14.8125	-26.5329	7.48972	-23.0129	-23.5675	7.38629	-22.5228	-0.000753416	-31.2526	-24.449	-26.7432	-22.2744	-20.6252	-20.9759	-19.9569	-15.4017
Logistic_X0:	40.3345	35.7076	36.0294	35.4655	34.4382	33.7822	34.147	1.22E-06	38.9724	38.0813	38.7201	38.4271	37.254	37.1727	37.8348	44.3503	35.7495	35.4063	35.0559	34.8531	34.2745	33.4784	34.1631	35.6015	Error!	38.9332	37.8015	0.890104	40.6458	38.4447	38.069	47.8888	38.9683	35.8471	36.4787	36.9036	34.2774	34.242	33.8296	40.9882	0.847401	35.5225	36.5439	35.3805	34.7855	34.0204	33.2794	8.83942	38.6548	37.1433	38.539	37.7301	36.486	35.6429	34.9479	4.76939	10.1826	37.1746	37.136	36.8334	37.18	34.776	34.8745	11.7781	Error!	38.3097	13.5784	11.2973	37.4141	37.2247	11.6139	10.7923	2.24276	38.3186	38.2205	38.0378	38.2988	Error!	38.3328	14.6396	48.8967	38.5404	11.7411	38.0485	38.0253	12.4869	37.7037	4.88E-13	38.3762	38.1775	38.5431	37.6171	37.5161	37.2549	36.6838	37.6675
Logistic_Y0:	0.00162447	-0.000297798	-0.00935537	-0.00083696	-0.00121593	-0.000569976	-0.000175818	-0.00406395	0.000451057	0.00111068	0.000774024	0.0010851	0.000347779	0.000455709	0.00129868	-9.35E-05	0.000381751	-0.000350565	0.000690004	0.000314218	0.00118645	0.000302849	0.000600889	0.000677707	Error!	0.00185496	0.015461	-0.00282387	0.00481517	0.00149075	0.00139914	0.0032204	0.000507283	-0.00023787	-0.000123574	0.000169572	-0.00253371	-0.00164519	-0.00244913	0.000549	-0.000969334	-0.000225704	0.000273206	-3.86E-07	-0.00151053	-0.00149108	-0.00203623	0.00296134	0.000535764	0.000491964	0.00109574	0.000961656	-0.00797851	-0.000315965	-0.00113463	0.00322884	0.00170273	-2.54E-05	-7.23E-05	9.93E-05	0.000284723	-0.000292729	-0.000503911	0.00246286	Error!	0.00117647	0.00274981	0.00500161	9.24E-05	-0.00247937	0.00365462	0.00239379	0.00151973	0.00090042	0.00504677	0.00108973	0.00124849	Error!	0.00187201	0.0018831	0.00100726	0.00108658	0.00267732	0.00112485	0.00111221	0.00334596	0.000194418	-0.000422581	0.00280319	0.000886124	0.000666744	-6.63E-05	0.000696975	0.000172036	6.58E-05	-0.0206387
Logistic_Pvalue:	2.84E-12	0	1.27E-20	0	0	7.06E-52	1.14E-52	0.998374	2.22E-16	1.11E-16	0	2.22E-16	1.62E-48	8.33E-48	0	6.66E-16	5.11E-45	4.11E-47	1.51E-50	7.12E-49	1.77E-47	0	2.20E-53	5.63E-47	Error!	1.40E-18	1.14E-15	0.995547	5.62E-11	0	1.11E-16	1.88E-10	0	1.09E-47	0	7.51E-49	0	4.22E-49	1.38E-48	2.46E-16	0.999741	1.90E-48	1.11E-16	2.74E-48	0	3.44E-49	3.43E-46	0.0406585	6.24E-22	1.47E-51	2.22E-16	0	0	3.43E-48	1.11E-16	0.186283	0.0554758	8.37E-49	1.37E-48	3.20E-47	6.81E-49	0	2.22E-16	0.0393437	Error!	9.42E-29	3.40E-05	0.00975621	0	1.11E-16	0.000577076	0.0132715	0.0493704	5.95E-34	1.87E-07	0	0	Error!	1.11E-16	0.000473767	3.74E-11	1.74E-26	0.0053958	0	0	0.000361267	1.11E-16	1	0.000991903	7.24E-35	2.86E-23	0	4.23E-49	5.16E-51	0	0
Noise(SPE):	0.00790958	0.00066354	0.00202959	0.00115288	0.001308	0.000861004	0.000674157	0.0175019	0.000111705	0.000499453	0.0006573	0.000699519	0.000496486	0.000472456	0.000314084	0.000209873	0.000134015	0.000509765	0.000484309	0.000636309	0.000735063	0.00100954	0.000691938	0.0002479	Error!	0.000362435	1.17E-16	0.0414789	0.0249554	0.00104356	0.000659363	0.0143139	0.000217679	0.000942775	0.000694346	0.000714367	0.00244939	0.0023207	0.0021762	0.000402202	0.0128741	0.000946064	0.000566845	0.00104198	0.0016098	0.00189596	0.00245562	0.000516508	0.000290025	0.000340278	0.000723953	0.000369893	0.0027801	0.00101784	0.0015341	0.0191737	0.00037258	0.000403992	0.000416915	0.000781301	0.000467396	0.00117562	0.000994524	0.000517513	Error!	0.000511534	0.000638051	0.00118028	0.000505884	0.00173909	0.000831377	0.000497963	0.0140818	0.000478388	0.00180936	0.000527514	0.00080214	Error!	0.000574209	0.000407324	0.00489078	0.000629629	0.00063517	0.000418798	0.00049194	0.000687486	0.000234333	0.012687	0.00121044	0.00037565	0.000363662	0.00104491	0.00036942	0.000295902	0.000416622	-1.#IND
EndofExpPhase(SDM):	Error!	0.18306	Error!	0.254978	0.288547	0.199401	0.175315	Error!	0.00876952	0.195199	0.0974965	0.159993	0.279099	0.241441	0.165572	0.0160335	0.0591284	0.177667	0.236186	0.25125	0.233404	0.346604	0.274154	0.0876372	Error!	0.0367666	Error!	Error!	Error!	0.235559	0.264735	Error!	0.0237843	0.260286	0.291157	0.387194	0.424542	0.436796	0.370973	0.0375115	Error!	0.268772	0.265015	0.285068	0.35897	0.351053	0.315758	Error!	0.0352259	0.261383	0.114831	0.255769	Error!	0.285776	0.319335	Error!	Error!	0.229828	0.22991	0.346716	0.268158	0.263043	0.246154	Error!	Error!	0.1083	Error!	Error!	0.287595	Error!	Error!	Error!	Error!	0.141047	Error!	0.2306	0.219174	Error!	0.145597	Error!	Error!	0.10338	Error!	0.166197	0.223834	Error!	0.152067	Error!	Error!	0.119516	0.0536269	Error!	0.234552	0.219275	0.185248	Error!
CP(SPE):	38.9011	23.7442	25.132	23.4072	22.5653	21.9079	22.1219	-47	28.6691	27.4019	29.6824	28.8785	25.2867	25.2893	26.5048	26.1874	24.5722	24.3173	23.8038	23.9052	23.7466	22.3013	22.9321	23.8961	Error!	29.5399	17.8733	-47	39.4532	28.5568	27.3189	39.4547	29.1887	24.1236	24.6114	24.9874	22.6066	22.4667	22.075	29.0666	-47	23.8752	24.6328	23.632	23.0826	22.361	21.7779	11.5484	30.4367	24.8878	29.9238	26.0519	25.8391	23.7665	23.1028	-41	12.3455	25.1265	25.1648	24.7486	24.931	22.8528	22.8063	13.4181	Error!	28.9166	17.2085	14.0142	25.4846	26.5763	15.0922	12.9556	-47	28.6158	32.7362	27.3561	28.7454	Error!	28.6243	15.6995	39.2708	29.8993	14.8349	27.3024	27.3414	16.2773	26.2707	-47	34.4524	28.1963	30.0849	27.4038	25.3012	25.1052	24.8471	-41
CP(SDM):	Error!	32.8592	Error!	32.4875	31.4926	30.8388	31.2138	Error!	36.1329	35.7704	36.5521	36.256	34.7008	34.6086	35.4407	38.6716	33.3033	32.9013	32.6097	32.4192	31.8752	30.9004	31.6347	32.9222	Error!	36.5039	Error!	Error!	Error!	36.1759	35.7477	Error!	36.4625	33.0757	33.8367	34.3456	31.2868	31.2522	30.7908	37.7467	Error!	32.7783	33.9289	32.5867	31.9085	31.056	30.1763	Error!	36.6516	34.612	36.5099	35.3284	Error!	32.8267	31.9989	Error!	Error!	34.6022	34.5735	34.1568	34.5548	31.8278	31.9265	Error!	Error!	36.1539	Error!	Error!	34.8783	Error!	Error!	Error!	Error!	36.1838	Error!	35.761	36.1807	Error!	36.1478	Error!	Error!	36.5146	Error!	35.7238	35.7599	Error!	35.3468	Error!	Error!	35.9898	36.5339	Error!	34.9406	34.7429	34.0754	Error!
DynamicThreshold:	Error!	0.0917131	Error!	0.127647	0.14432	0.0998461	0.0879068	Error!	0.00466614	0.0984045	0.0494639	0.0808887	0.139971	0.121185	0.0835922	0.00807494	0.0298221	0.0889131	0.11868	0.1261	0.117663	0.173958	0.137724	0.0442814	Error!	0.019492	Error!	Error!	Error!	0.119046	0.133397	Error!	0.0122546	0.130495	0.145864	0.194039	0.212229	0.218736	0.18535	0.0192313	Error!	0.134746	0.132928	0.143055	0.179534	0.175729	0.158089	Error!	0.0180258	0.131108	0.0583255	0.12855	Error!	0.143239	0.159867	Error!	Error!	0.115103	0.115127	0.173798	0.134455	0.131963	0.123322	Error!	Error!	0.0549939	Error!	Error!	0.144096	Error!	Error!	Error!	Error!	0.0712131	Error!	0.116109	0.110612	Error!	0.0740216	Error!	Error!	0.0525481	Error!	0.0838704	0.112719	Error!	0.076248	Error!	Error!	0.0603891	0.0273287	Error!	0.117809	0.109872	0.0928652	Error!
