SampleNames:	HSP70c_NTC_01	HSP70c_NT1_01	HSP70c_HT1_01	HSP70c_ST1_01	HSP70c_NC1_01	HSP70c_HC1_01	HSP70c_SC1_01	HSP70c_NTC_01	p29ING4_NTC_01	p29ING4_NT1_01	p29ING4_HT1_01	p29ING4_ST1_01	p29ING4_NC1_01	p29ING4_HC1_01	p29ING4_SC1_01	p29ING4_NTC_01	CerS2_NTC_01	CerS2_NT1_01	CerS2_HT1_01	CerS2_ST1_01	CerS2_NC1_01	CerS2_HC1_01	CerS2_SC1_01	CerS2_NTC_01	GABABR_NTC_01	GABABR_NT1_01	GABABR_HT1_01	GABABR_ST1_01	GABABR_NC1_01	GABABR_HC1_01	GABABR_SC1_01	GABABR_NTC_01	HSP70d_NTC_01	HSP70d_NT1_01	HSP70d_HT1_01	HSP70d_ST1_01	HSP70d_NC1_01	HSP70d_HC1_01	HSP70d_SC1_01	HSP70d_NTC_01	THRa_NTC_01	THRa_NT1_01	THRa_HT1_01	THRa_ST1_01	THRa_NC1_01	THRa_HC1_01	THRa_SC1_01	THRa_NTC_01	Defensin_NTC_01	Defensin_NT1_01	Defensin_HT1_01	Defensin_ST1_01	Defensin_NC1_01	Defensin_HC1_01	Defensin_SC1_01	Defensin_NTC_01	GRB2_NTC_01	GRB2_NT1_01	GRB2_HT1_01	GRB2_ST1_01	GRB2_NC1_01	GRB2_HC1_01	GRB2_SC1_01	GRB2_NTC_01	H3.3_NTC_01	H3.3_NT1_01	H3.3_HT1_01	H3.3_ST1_01	H3.3_NC1_01	H3.3_HC1_01	H3.3_SC1_01	H3.3_NTC_01	H2A.V_NTC_01	H2A.V_NT1_01	H2A.V_HT1_01	H2A.V_ST1_01	H2A.V_NC1_01	H2A.V_HC1_01	H2A.V_SC1_01	H2A.V_NTC_01	H2A_NTC_01	H2A_NT1_01	H2A_HT1_01	H2A_ST1_01	H2A_NC1_01	H2A_HC1_01	H2A_SC1_01	H2A_NTC_01
Logistic_a:	0.0701049	0.988703	1.16636	1.61216	1.72639	1.53494	1.19175	0.142183	0.14247	1.64002	1.71555	1.82856	1.87543	1.7848	1.61277	0.0579793	Error!	0.165266	0.0275266	0.922626	1.48481	1.03621	1.62947	0.480574	0.00384452	0.00658369	0.00611214	2.34711	2.05656	2.56475	1.71219	Error!	0.385613	0.416641	0.421377	0.672788	0.745972	0.584693	0.577373	0.470526	0.335527	0.500909	0.633761	0.557885	0.634824	1.09826	0.954592	0.518916	0.00407511	0.00442695	0.00642016	0.00829126	0.00684438	0.00729111	0.00767054	0.00548442	0.00337262	1.65076	1.83606	2.67867	2.30773	1.17214	1.90808	0.562095	0.359216	1.91386	2.33274	3.10903	3.24773	2.53094	2.3131	0.0136672	0.010576	1.57317	1.87059	2.03504	1.99698	2.24115	1.59523	0.0129317	0.00870694	1.4545	1.33048	1.17486	1.29239	1.14555	1.03366	0.00975328
Logistic_b:	-39.7672	-18.9545	-20.1648	-18.1182	-17.6056	-16.3615	-16.4039	-33.4785	-21.6653	-17.1428	-18.2345	-16.6745	-18.1522	-16.3907	-16.4333	-45.7466	Error!	-20.8277	0.288735	-26.2673	-24.2874	-26.5306	-22.593	-26.3481	10.1343	9.32139	8.42668	-21.0981	-20.4935	-22.1562	-23.3404	Error!	-24.8031	-25.1074	-25.2795	-24.0103	-26.9644	-26.2014	-27.7504	-27.0594	-21.7793	-21.9495	-21.565	-21.7574	-22.7866	-21.5201	-21.6763	-21.0472	5.92169	9.39622	5.87716	6.18296	5.21628	5.22508	7.76014	6.32992	6.33624	-18.1218	-19.5179	-18.4585	-16.7314	-14.0954	-15.1206	-9.80746	-24.6008	-13.025	-12.9723	-12.27	-13.0545	-12.1976	-11.9725	0.263259	0.0497077	-15.2538	-15.0303	-14.6916	-15.3307	-14.8176	-14.9934	-0.000640077	0.0610952	-18.3168	-19.4103	-19.3316	-20.7814	-20.3425	-18.8532	-0.0436232
Logistic_X0:	37.9967	36.5128	37.096	36.5367	35.7223	34.7644	34.8186	38.1787	39.6517	35.1259	36.0301	34.8138	35.8894	34.6253	34.6079	37.9334	Error!	39.4566	0.140433	38.6283	38.0017	38.6151	37.3273	38.5346	8.01772	8.24453	6.47716	37.2414	37.0188	37.6341	37.7959	Error!	38.1009	38.4945	38.4204	38.2138	38.2661	38.3243	38.2884	38.3954	37.8614	37.8162	37.9834	37.6324	38.025	37.7523	37.748	37.8887	7.50056	6.80966	7.24895	7.2658	6.28321	6.37671	7.56703	7.67118	6.83616	34.7473	36.0392	35.179	33.4986	32.6535	32.0075	54.8326	39.18	31.0848	30.9951	29.9268	31.0854	29.8292	29.5519	0.404216	2.31822	32.0466	31.5166	30.6456	32.378	30.6246	31.0801	0.00534318	1.85912	36.7917	37.2677	37.5257	38.4728	37.7104	37.0253	16.1834
Logistic_Y0:	0.00556673	-0.000540084	0.000891235	-0.0119732	-0.00120061	-0.00148638	-0.00152021	0.00490994	0.000847174	-0.0017119	-0.00139591	-0.00150678	-0.00159434	-0.00234619	-0.00163905	0.0097471	Error!	0.000352928	0.00126993	0.00162625	0.00395169	0.00202556	0.00100042	0.00132491	0.00199747	0.00395678	0.00453586	0.000263096	-6.37E-05	0.00341286	0.00418893	Error!	0.000328307	0.00126315	0.000932081	0.00119302	0.000751374	0.00111462	0.00141645	0.00108335	0.00022588	0.000140777	0.000244353	0.00117078	0.00036523	0.00163506	0.000607896	0.000455905	0.00159978	0.00247246	0.00369951	0.0035183	0.00430268	0.00550082	0.0037894	0.00289733	0.00271146	-0.000865019	-4.57E-05	-0.000150259	-0.00226805	-0.00361622	-0.00473677	0.000263942	0.00155436	-0.00591195	-0.00784293	-0.00988952	-0.00921108	-0.00937051	-0.00792267	0.00110665	-0.000946706	-0.00148737	-0.000676973	-0.000700302	-0.00140271	-0.00140782	-0.00161511	-0.000587508	-0.000832661	-0.00283859	0.00115062	0.00149016	0.00308485	0.00101801	-0.000261224	-0.000914146
Logistic_Pvalue:	0.000116827	1.11E-16	1.11E-16	1.11E-16	1.35E-46	0	0	2.37E-07	1.03E-16	1.11E-16	2.22E-16	1.11E-16	1.42E-47	0	2.22E-16	3.57E-15	Error!	4.05E-18	0.780384	1.11E-16	1.71E-15	0	1.86E-47	0	0.0120293	0.00361246	0.104689	0	2.22E-16	0	1.00E-16	Error!	7.69E-33	1.10E-26	1.11E-16	0	8.61E-26	6.29E-25	7.36E-25	0	6.04E-36	4.76E-39	0	1.87E-36	0	0	0	8.65E-38	3.90E-05	0.0107102	0.00165701	3.59E-05	0.0281642	0.00534456	0.000384395	1.59E-05	0.0608496	2.06E-48	0	1.95E-50	2.22E-16	0	5.23E-45	1.10E-14	0	9.04E-47	1.56E-46	0	5.40E-47	0	4.33E-49	0.768527	0.997891	5.67E-58	2.66E-57	3.05E-56	0	3.70E-56	2.22E-16	0.999931	0.995604	2.07E-21	9.01E-50	1.48E-47	0	1.11E-16	0	0.998665
Noise(SPE):	0.000622395	0.000501981	0.000546165	0.00356142	0.00131201	0.00153741	0.00123745	0.00100215	0.000335398	0.00144927	0.00115612	0.00172603	0.0012602	0.00185502	0.00159869	3.93E-16	Error!	0.000320518	0.0468313	0.00118305	0.00224647	0.00135316	0.000387741	0.0005706	0.000469695	0.000723901	0.000910786	0.000700614	0.000755343	0.00235566	0.00194314	Error!	0.000200148	0.000492983	0.000446336	0.000512589	0.000690078	0.000623102	0.000621708	0.000506153	0.000194589	0.000192685	0.000301626	0.000319158	0.000347428	0.00130141	0.000307207	0.000234348	0.000311454	0.000484776	0.000627114	0.000613831	0.000832659	0.000738481	0.000670075	0.000400262	0.000477231	0.00119119	0.00072921	0.00149425	0.00257698	0.00372139	0.0033106	0.00143697	0.000681267	0.00381575	0.00477837	0.00669696	0.0063521	0.00565238	0.00514897	0.0246008	0.0227579	0.0011168	0.00146644	0.00186114	0.0015677	0.00206696	0.00156321	0.0285864	0.0179519	0.00166417	0.000387935	0.000414045	0.00116476	0.000427792	0.00139072	0.0214995
EndofExpPhase(SDM):	Error!	0.182714	0.218866	Error!	0.315403	0.276807	0.21464	Error!	0.0277105	0.297838	0.314845	0.331032	0.343895	0.32134	0.290972	Error!	Error!	0.0313652	Error!	0.179231	Error!	0.201686	0.309748	0.0938624	Error!	Error!	Error!	0.441404	0.38507	Error!	Error!	Error!	0.074135	0.0811079	0.0817404	0.129528	0.144709	0.11364	0.113135	0.0919156	0.0635304	0.0947349	0.119676	0.106415	0.120766	Error!	0.180611	0.0979575	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.303162	0.34162	0.494495	0.41764	0.203361	0.336598	Error!	0.0702505	0.326696	0.397214	0.523419	0.555479	0.424192	0.386626	Error!	Error!	0.280373	0.333595	0.361458	0.356706	0.398053	0.283325	Error!	Error!	Error!	0.248551	0.219835	0.245536	0.215345	Error!	Error!
CP(SPE):	33.7482	24.4711	25.3643	26.0736	23.7568	22.7954	22.9062	32.9333	29.9917	23.3086	24.1412	22.9276	23.9994	22.7727	22.7203	18.5915	Error!	29.237	-47	29.9797	29.0879	30.0656	25.8017	29.8429	9.74	10.3181	7.96495	25.3485	25.1661	27.4492	28.2675	Error!	28.0873	29.4336	29.3019	28.338	29.5336	29.5154	29.932	29.8264	26.8905	26.4305	26.6401	26.7019	27.3486	27.605	26.0487	26.2773	11.4248	8.51125	10.5819	10.9328	9.17843	9.68376	10.2385	11.4618	9.08623	23.3116	24.1286	23.4443	22.316	21.7164	21.0244	29.8419	30.3703	19.2884	19.2356	18.1467	19.2811	18.0876	17.7467	-47	-47	19.9239	19.5854	19.0352	20.311	19.1102	19.581	-47	-47	25.4206	24.5023	24.8726	27.4561	25.5838	26.076	-47
CP(SDM):	Error!	33.7694	34.4873	Error!	32.8169	31.7044	31.7624	Error!	37.0686	32.1858	33.2081	31.8115	33.0647	31.5834	31.576	Error!	Error!	36.776	Error!	36.5763	Error!	36.5852	35.0016	36.4941	Error!	Error!	Error!	34.7459	34.4601	Error!	Error!	Error!	35.9505	36.3497	36.2951	35.9816	36.2886	36.283	36.3687	36.4186	35.4087	35.3866	35.4968	35.1919	35.6772	Error!	35.2903	35.3433	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	32.0076	33.4149	32.4596	30.6203	29.2746	28.939	Error!	36.9494	27.5782	27.4831	26.3222	27.5874	26.2128	25.8949	Error!	Error!	29.0034	28.4754	27.6143	29.3201	27.6233	28.073	Error!	Error!	Error!	34.5378	34.765	35.8528	35.0832	Error!	Error!
DynamicThreshold:	Error!	0.0913379	0.110152	Error!	0.157757	0.138429	0.107179	Error!	0.0144466	0.148788	0.157303	0.165626	0.171781	0.160425	0.145466	Error!	Error!	0.0160193	Error!	0.0910201	Error!	0.102532	0.155568	0.0478789	Error!	Error!	Error!	0.221184	0.192881	Error!	Error!	Error!	0.0373317	0.041432	0.0415594	0.0656168	0.0730754	0.057689	0.0575866	0.0467526	0.0319754	0.0475342	0.0601112	0.0539527	0.0607394	Error!	0.0907631	0.0493239	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.151744	0.171152	0.24792	0.208974	0.101733	0.167586	Error!	0.0362431	0.1623	0.197075	0.260113	0.27631	0.210237	0.191926	Error!	Error!	0.140001	0.167192	0.18131	0.178436	0.199356	0.141637	Error!	Error!	Error!	0.125045	0.11087	0.124893	0.108395	Error!	Error!
