Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\6222015b\actinquant.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, -4.0000,-2.6304,-2.6222,-2.8046,-2.6359,-2.5326,-2.4780,-3.8781,-2.3742,-2.6466,-2.9532,-2.4383,-2.5993,-2.6129,-2.6038,-2.5023,-2.3284,-2.3507,-2.5206,-3.0857,-2.8331,-2.3565,-2.6455,-2.2503,-2.1104,-2.3695,-2.6603,-2.3747,-2.9412,-2.4173,-2.1757,-2.1483,-2.3682,-2.5461,-2.7165,-2.4098,-2.2969,-2.3459,-2.6389,-2.6302,-3.1063,-2.6090,-2.4830,-2.6893,-2.1488,-2.4500,-4.0000,-4.0000,-2.9537,-2.6242,-2.3608,-2.7492,
4, 2, SBGnew, 60.0, -3.2452,-2.6379,-2.7230,-2.8046,-2.6569,-2.6270,-2.5191,-3.2968,-2.3839,-2.6928,-2.7716,-2.5588,-2.5992,-2.6251,-2.7035,-2.5292,-2.3208,-2.3791,-2.5712,-2.8865,-2.6443,-2.3709,-2.5391,-2.2891,-2.1228,-2.3844,-2.6357,-2.3582,-3.1423,-2.4570,-2.1975,-2.1742,-2.3286,-2.5724,-2.7003,-2.4657,-2.3185,-2.3747,-2.6056,-2.6469,-2.9037,-2.5871,-2.5190,-2.5613,-2.1984,-2.4706,-3.2047,-3.3761,-2.6698,-2.6181,-2.4368,-2.7087,
4, 3, SBGnew, 60.0, -3.0006,-2.6650,-2.7783,-2.8463,-2.6701,-2.6865,-2.5808,-3.0076,-2.4706,-2.7946,-2.7596,-2.6155,-2.6297,-2.5553,-2.7284,-2.4947,-2.3431,-2.4373,-2.7336,-2.8234,-2.5449,-2.4755,-2.6244,-2.3188,-2.1447,-2.4201,-2.6271,-2.3880,-2.9938,-2.5069,-2.2578,-2.2021,-2.3004,-2.5704,-2.6869,-2.5364,-2.3305,-2.3690,-2.5359,-2.6618,-2.8401,-2.5852,-2.4975,-2.4646,-2.2560,-2.4809,-2.9618,-3.1922,-2.5739,-2.6621,-2.6350,-2.6685,
4, 4, SBGnew, 60.0, -2.8668,-2.6707,-2.8602,-2.9064,-2.7066,-2.7818,-2.6033,-2.7124,-2.5563,-2.8658,-2.7390,-2.7612,-2.7509,-2.5977,-2.7834,-2.5217,-2.3352,-2.4569,-2.7208,-2.6513,-2.4701,-2.5155,-2.5701,-2.3777,-2.1929,-2.4327,-2.6062,-2.4342,-2.9934,-2.6141,-2.3077,-2.2502,-2.3063,-2.5383,-2.6712,-2.6115,-2.3808,-2.4787,-2.5650,-2.6551,-2.8006,-2.5109,-2.6141,-2.4240,-2.3510,-2.5862,-2.8045,-3.0388,-2.5288,-2.6438,-2.7540,-2.6398,
4, 5, SBGnew, 60.0, -2.9612,-2.6435,-2.9421,-2.8820,-2.7676,-2.8391,-2.7014,-2.7543,-2.5770,-2.9084,-2.7133,-2.7744,-2.8112,-2.6556,-2.9407,-2.5714,-2.3977,-2.4826,-2.6596,-2.6288,-2.5488,-2.6032,-2.5421,-2.4070,-2.2518,-2.4085,-2.5699,-2.5068,-2.8923,-2.7620,-2.3651,-2.3177,-2.3430,-2.5833,-2.6681,-2.7881,-2.4838,-2.5307,-2.6138,-2.6682,-2.7226,-2.6390,-2.8715,-2.4565,-2.4021,-2.5955,-2.8494,-2.9212,-2.5324,-2.6524,-2.7765,-2.6453,
4, 6, SBGnew, 60.0, -2.8539,-2.7546,-2.9352,-3.0480,-3.0046,-3.0056,-2.6837,-2.7592,-2.6385,-3.0084,-2.6893,-2.7634,-2.7745,-2.6361,-2.9698,-2.5327,-2.4023,-2.6476,-2.8068,-2.5120,-2.5707,-2.6482,-2.6327,-2.5066,-2.2549,-2.4851,-2.6228,-2.5771,-3.0115,-2.9147,-2.4235,-2.3469,-2.3836,-2.6606,-2.6049,-2.7893,-2.7691,-2.6015,-2.7957,-2.6760,-2.7967,-2.7876,-2.8433,-2.4711,-2.5102,-2.5397,-2.7005,-2.8815,-2.5983,-2.7056,-2.9168,-2.7918,
4, 7, SBGnew, 60.0, -2.9395,-2.7420,-2.7695,-3.1027,-3.0913,-2.9431,-2.7018,-2.7392,-2.8439,-3.2157,-2.8469,-2.6828,-2.8122,-2.6446,-3.0603,-2.5140,-2.4443,-2.6996,-2.7812,-2.6274,-2.6969,-2.7172,-2.8378,-2.3998,-2.3690,-2.5597,-2.5735,-2.6646,-2.8544,-3.0826,-2.5114,-2.4090,-2.4104,-2.6987,-2.5757,-2.8962,-2.7939,-2.6766,-2.8020,-2.7185,-2.9720,-2.8570,-2.8697,-2.4593,-2.5561,-2.6082,-2.7631,-3.0687,-2.7878,-2.7951,-2.8544,-2.9974,
4, 8, SBGnew, 60.0, -3.0644,-2.8133,-2.8441,-3.0813,-3.2496,-2.9173,-2.7384,-2.7333,-2.8919,-3.1018,-2.8928,-2.6926,-2.7293,-2.7236,-3.2179,-2.6177,-2.4108,-2.6922,-2.7364,-2.5984,-2.8502,-2.6282,-2.6481,-2.4348,-2.4291,-2.6580,-2.5426,-2.6879,-2.9201,-3.0747,-2.5421,-2.4644,-2.4811,-2.7701,-2.5565,-2.9947,-2.8302,-2.8575,-3.1910,-2.7163,-3.0614,-3.0243,-3.9568,-2.5867,-2.6046,-2.6765,-2.8439,-3.0095,-2.8587,-2.7401,-2.7846,-3.1289,
4, 9, SBGnew, 60.0, -3.2822,-2.8699,-2.7712,-3.0759,-3.3728,-2.8507,-2.9349,-2.8480,-3.3079,-3.2538,-2.7974,-2.7128,-2.7001,-2.7438,-3.0915,-2.6376,-2.5382,-2.8197,-2.8310,-2.7375,-2.8340,-2.7794,-2.8736,-2.4687,-2.4521,-2.6804,-2.5243,-2.6264,-3.0456,-3.0175,-2.5610,-2.5637,-2.5093,-2.8974,-2.5483,-3.1255,-2.6940,-2.8209,-3.0256,-2.9200,-3.0815,-3.5462,-3.1353,-2.6352,-2.6402,-2.6915,-2.8687,-2.9307,-2.8979,-3.0518,-3.0553,-3.5265,
4, 10, SBGnew, 60.0, -3.1533,-2.9123,-2.8832,-3.2301,-3.7115,-2.8645,-3.1540,-2.9049,-3.9469,-4.0000,-2.8320,-2.8255,-2.8645,-2.6951,-3.0968,-2.7538,-2.6302,-3.0874,-2.9604,-2.7944,-2.7728,-2.7623,-3.0918,-2.6047,-2.5082,-2.8325,-2.6586,-2.5964,-3.3055,-2.9985,-2.7447,-2.5974,-2.6264,-3.0472,-2.6415,-3.4159,-2.7391,-3.1256,-3.2218,-3.3951,-3.1843,-3.8852,-2.8363,-2.6564,-2.8053,-2.6906,-2.8534,-3.1536,-2.9528,-3.2553,-3.0720,-3.8651,
