,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,,Unkn,,-1.38758204196465,,Unknown,Unassigned,False
,A02,FAM,,Unkn,,1258.7273868462,,Unknown,Unassigned,False
,A03,FAM,,Unkn,,1657.71311335434,,Unknown,Unassigned,False
,A04,FAM,,Unkn,,1.6460283225847,,Unknown,Unassigned,False
,A05,FAM,,Unkn,,1046.82810914044,,Unknown,Unassigned,False
,A06,FAM,,Unkn,,1825.00685311268,,Unknown,Unassigned,False
,A07,FAM,,Unkn,,62.0535124130081,,Unknown,Unassigned,False
,A08,FAM,,Unkn,,0.428874806545355,,Unknown,Unassigned,False
,A09,FAM,,Unkn,,0.0202068890209375,,Unknown,Unassigned,False
,A10,FAM,,Unkn,,-0.113628395971409,,Unknown,Unassigned,False
,A11,FAM,,Unkn,,0.00383410998510954,,Unknown,Unassigned,False
,A12,FAM,,Unkn,,-0.147897907429979,,Unknown,Unassigned,False
,B01,FAM,,Unkn,,-0.625588047342717,,Unknown,Unassigned,False
,B02,FAM,,Unkn,,2116.99138785451,,Unknown,Unassigned,False
,B03,FAM,,Unkn,,2301.42670516777,,Unknown,Unassigned,False
,B04,FAM,,Unkn,,6.28406918698747,,Unknown,Unassigned,False
,B05,FAM,,Unkn,,1647.50703752269,,Unknown,Unassigned,False
,B06,FAM,,Unkn,,1948.61224604009,,Unknown,Unassigned,False
,B07,FAM,,Unkn,,93.7464946976205,,Unknown,Unassigned,False
,B08,FAM,,Unkn,,-0.231320267599767,,Unknown,Unassigned,False
,B09,FAM,,Unkn,,0.272264987155359,,Unknown,Unassigned,False
,B10,FAM,,Unkn,,0.327675158706825,,Unknown,Unassigned,False
,B11,FAM,,Unkn,,-0.395652637477087,,Unknown,Unassigned,False
,B12,FAM,,Unkn,,-0.0107070534238119,,Unknown,Unassigned,False
,C01,FAM,,Unkn,,-1.83149955770232,,Unknown,Unassigned,False
,C02,FAM,,Unkn,,1338.59042334148,,Unknown,Unassigned,False
,C03,FAM,,Unkn,,1732.36855632843,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,1191.77404068297,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,1849.11004989784,,Unknown,Unassigned,False
,C06,FAM,,Unkn,,550.082768524199,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,-0.412285998243988,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,-0.454883111122399,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,-0.087382350181997,,Unknown,Unassigned,False
,C10,FAM,,Unkn,,-0.399516053068965,,Unknown,Unassigned,False
,C11,FAM,,Unkn,,-1.11412308396812,,Unknown,Unassigned,False
,C12,FAM,,Unkn,,0.989361561134319,,Unknown,Unassigned,False
,D01,FAM,,Unkn,,2642.75824056861,,Unknown,Unassigned,False
,D02,FAM,,Unkn,,2015.10168294248,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,2228.1024638292,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,1479.17895574788,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,535.155654734359,,Unknown,Unassigned,False
,D06,FAM,,Unkn,,1555.0683101092,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,1.11852817465169,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,-1.44330155762855,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,-0.746377036172453,,Unknown,Unassigned,False
,D10,FAM,,Unkn,,0.185017542778951,,Unknown,Unassigned,False
,D11,FAM,,Unkn,,-0.0830655256448154,,Unknown,Unassigned,False
,D12,FAM,,Unkn,,0.241080215862075,,Unknown,Unassigned,False
,E01,FAM,,Unkn,,2333.17871504116,,Unknown,Unassigned,False
,E02,FAM,,Unkn,,2758.48236859501,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,2031.25093750225,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,820.41519839111,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,1740.08610493394,,Unknown,Unassigned,False
,E06,FAM,,Unkn,,-0.784962933786574,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,-0.757242408977891,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,0.482280075524432,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,-0.168979718103674,,Unknown,Unassigned,False
,E10,FAM,,Unkn,,-0.0118747544357575,,Unknown,Unassigned,False
,E11,FAM,,Unkn,,-0.478192971342378,,Unknown,Unassigned,False
,E12,FAM,,Unkn,,-0.30261133613767,,Unknown,Unassigned,False
,F01,FAM,,Unkn,,237.280633470018,,Unknown,Unassigned,False
,F02,FAM,,Unkn,,1912.73236816142,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,2288.19174764691,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,1.26143143379823,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,1193.0580205041,,Unknown,Unassigned,False
,F06,FAM,,Unkn,,868.818374205687,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,0.70473098659204,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,-0.45504416526428,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,-0.822480664180784,,Unknown,Unassigned,False
,F10,FAM,,Unkn,,0.904252126152551,,Unknown,Unassigned,False
,F11,FAM,,Unkn,,-0.933989133525756,,Unknown,Unassigned,False
,F12,FAM,,Unkn,,-0.553437357162875,,Unknown,Unassigned,False
,G01,FAM,,Unkn,,37.4795413840591,,Unknown,Unassigned,False
,G02,FAM,,Unkn,,2334.04802055276,,Unknown,Unassigned,False
,G03,FAM,,Unkn,,1413.47470788805,,Unknown,Unassigned,False
,G04,FAM,,Unkn,,0.23694595567722,,Unknown,Unassigned,False
,G05,FAM,,Unkn,,1733.98373799584,,Unknown,Unassigned,False
,G06,FAM,,Unkn,,876.079105448007,,Unknown,Unassigned,False
,G07,FAM,,Unkn,,-0.257685473656511,,Unknown,Unassigned,False
,G08,FAM,,Unkn,,-0.370432446144696,,Unknown,Unassigned,False
,G09,FAM,,Unkn,,-0.453669437710141,,Unknown,Unassigned,False
,G10,FAM,,Unkn,,1.38389891461429,,Unknown,Unassigned,False
,G11,FAM,,Unkn,,-0.344153865333465,,Unknown,Unassigned,False
,G12,FAM,,Unkn,,0.459375920378261,,Unknown,Unassigned,False
,H01,FAM,,Unkn,,2318.1372677884,,Unknown,Unassigned,False
,H02,FAM,,Unkn,,1362.589073531,,Unknown,Unassigned,False
,H03,FAM,,Unkn,,1728.36299115554,,Unknown,Unassigned,False
,H04,FAM,,Unkn,,888.522770564277,,Unknown,Unassigned,False
,H05,FAM,,Unkn,,945.035067300788,,Unknown,Unassigned,False
,H06,FAM,,Unkn,,777.114415671235,,Unknown,Unassigned,False
,H07,FAM,,Unkn,,-1.01713547903937,,Unknown,Unassigned,False
,H08,FAM,,Unkn,,0.193373211531707,,Unknown,Unassigned,False
,H09,FAM,,Unkn,,-0.047504637309612,,Unknown,Unassigned,False
,H10,FAM,,Unkn,,1.64147080460689,,Unknown,Unassigned,False
,H11,FAM,,Unkn,,0.209027859300295,,Unknown,Unassigned,False
,H12,FAM,,Unkn,,-0.814926335476321,,Unknown,Unassigned,False
