,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,TLR2.1,Unkn,HC1,NaN,NaN
,A02,FAM,TLR2.1,Unkn,NC1,33.6004929506569,NaN
,A03,FAM,TLR2.1,Unkn,SC1,32.683947979073,NaN
,A04,FAM,TLR2.1,Unkn,HT1,NaN,NaN
,A05,FAM,TLR2.1,Unkn,NT1,34.14592177013,NaN
,A06,FAM,TLR2.1,Unkn,ST1,32.4022557217505,NaN
,A07,FAM,TLR2.1,NTC,NTC,39.0962926923293,NaN
,B01,FAM,TLR2.1,Unkn,HC2,NaN,NaN
,B02,FAM,TLR2.1,Unkn,NC2,32.1997534266485,NaN
,B03,FAM,TLR2.1,Unkn,SC2,31.146896962892,NaN
,B04,FAM,TLR2.1,Unkn,HT2,NaN,NaN
,B05,FAM,TLR2.1,Unkn,NT2,32.8430126966939,NaN
,B06,FAM,TLR2.1,Unkn,ST2,32.2587596094418,NaN
,B07,FAM,TLR2.1,NTC,NTC,38.4462360534022,NaN
,C01,FAM,TLR2.1,Unkn,HC3,NaN,NaN
,C02,FAM,TLR2.1,Unkn,NC3,33.6570705346469,NaN
,C03,FAM,TLR2.1,Unkn,SC3,32.7738862110116,NaN
,C04,FAM,TLR2.1,Unkn,HT3,33.9511991663332,NaN
,C05,FAM,TLR2.1,Unkn,NT3,32.3550052661922,NaN
,C06,FAM,TLR2.1,Unkn,ST3,35.440694356941,NaN
,C07,FAM,TLR2.1,NTC,NTC,NaN,NaN
,D01,FAM,TLR2.1,Unkn,HC4,31.4785358263018,NaN
,D02,FAM,TLR2.1,Unkn,NC4,32.4777578003027,NaN
,D03,FAM,TLR2.1,Unkn,SC4,32.2476636242534,NaN
,D04,FAM,TLR2.1,Unkn,HT4,33.2236318008076,NaN
,D05,FAM,TLR2.1,Unkn,NT4,35.524239703909,NaN
,D06,FAM,TLR2.1,Unkn,ST4,33.0693276804163,NaN
,D07,FAM,TLR2.1,NTC,NTC,NaN,NaN
,E01,FAM,TLR2.1,Unkn,HC5,31.9180134205584,NaN
,E02,FAM,TLR2.1,Unkn,NC5,31.4691982292173,NaN
,E03,FAM,TLR2.1,Unkn,SC5,32.4355846029959,NaN
,E04,FAM,TLR2.1,Unkn,HT5,34.8534763724235,NaN
,E05,FAM,TLR2.1,Unkn,NT5,32.6420311298045,NaN
,E06,FAM,TLR2.1,Unkn,ST5,NaN,NaN
,F01,FAM,TLR2.1,Unkn,HC6,37.050370130762,NaN
,F02,FAM,TLR2.1,Unkn,NC6,32.6964634655092,NaN
,F03,FAM,TLR2.1,Unkn,SC6,31.6481740088086,NaN
,F04,FAM,TLR2.1,Unkn,HT6,NaN,NaN
,F05,FAM,TLR2.1,Unkn,NT6,33.6611155234023,NaN
,F06,FAM,TLR2.1,Unkn,ST6,34.4679413422557,NaN
,G01,FAM,TLR2.1,Unkn,HC7,39.9150491753198,NaN
,G02,FAM,TLR2.1,Unkn,NC7,31.8947465020894,NaN
,G03,FAM,TLR2.1,Unkn,SC7,33.2866185379004,NaN
,G04,FAM,TLR2.1,Unkn,HT7,NaN,NaN
,G05,FAM,TLR2.1,Unkn,NT7,32.5152356537001,NaN
,G06,FAM,TLR2.1,Unkn,ST7,34.4484061481468,NaN
,H01,FAM,TLR2.1,Unkn,HC8,31.5766714137273,NaN
,H02,FAM,TLR2.1,Unkn,NC8,32.7008322470561,NaN
,H03,FAM,TLR2.1,Unkn,SC8,32.390830584319,NaN
,H04,FAM,TLR2.1,Unkn,HT8,34.4553209155274,NaN
,H05,FAM,TLR2.1,Unkn,NT8,34.2657900277418,NaN
,H06,FAM,TLR2.1,Unkn,ST8,34.8422703916811,NaN
