,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3301.10554039775,3445.86715554394,3464.2047996075,3368.8886817393,3418.75150451675,3379.49114391635,3338.36430234965,2194.44065696445,2228.88418214535,2168.77416140409,2139.78201164393,2206.22008455774,3524.49196378384,3640.43857260495,3566.90083514896,3428.07095955229,3491.52862471288,3444.00067457764,3315.85633532068,2198.77712825517,2138.58305600817,2177.85441171833,2178.99032872479,2166.0219632624,3555.59981699827,3925.38514954222,3511.1373034651,3510.95014226334,3585.55171767289,3429.10376686274,3384.08783280481,2148.96634899727,2151.21814747683,2149.12247955591,2137.45715676838,2156.29520049407,3506.69674513528,3706.23111040776,3519.59205420168,3406.59579983377,3517.48636851408,3615.70079731595,3445.12657381743,2155.22134477383,2133.1096903679,2138.09267411271,2137.77039522876,2149.53980505538,3464.09973522531,3614.99124623254,3508.61526962112,3452.80971218438,3506.18535036339,3471.55368663765,3195.97958559855,2111.04006171484,2191.56335890723,2146.11006381648,2167.00174971022,2154.23056321626,3595.97605907178,3803.75700100265,3527.56741815257,3453.4141988856,3489.88131293453,3448.82752776382,2936.28315606527,2154.37667600822,2259.99301270287,2208.05553488093,2130.65973557682,2203.33276873385,3392.50153513161,3408.41023728052,3402.0401593551,3477.95479520618,3540.47372232874,3334.52823072105,2981.51630462497,2191.88563779119,2158.17169922704,2131.43134794644,2131.59847361485,2192.74130166656,3136.5150999683,3264.01292677116,3302.39758796285,3261.17765446682,3335.75821699993,3293.83875018717,2948.93828306728,2214.95704311159,2172.55818951314,2198.92324104714,2161.27818423888,2261.19099099555
,2,3339.96958837512,3454.20682413167,3469.46901382649,3369.76438114801,3421.92102815791,3380.74214307166,3342.07527406272,2192.33399393377,2225.2042410754,2161.76856613434,2134.8720842951,2209.08736484829,3558.5401536848,3643.80625255762,3568.37100349223,3428.15501105804,3493.69637168669,3444.97044325878,3317.20140374842,2194.65884880931,2137.56124380748,2175.21631838241,2180.52255835427,2169.24255308002,3580.494700189,3925.93759272389,3508.91751297173,3513.44114546421,3587.21906498458,3432.09516972573,3382.42048549312,2146.9857632252,2145.94293814808,2151.30122163949,2133.87128497085,2160.50657186926,3532.06099734503,3703.24972531144,3521.11426606449,3405.5329392233,3521.06222254495,3622.69539747594,3446.00227322614,2155.37747533248,2131.23319163493,2139.42772477378,2130.33647934977,2144.31663924617,3486.77482792269,3609.04948891635,3517.06904301462,3446.66979855668,3507.54141390089,3474.66017164949,3200.36907775191,2111.44639210454,2189.39463459032,2143.92032662314,2167.23093666484,2157.39006909074,3619.67198662675,3800.43134680285,3522.39629586292,3453.67539382643,3491.7578116675,3450.29769610708,2934.16647526791,2151.499377951,2256.2500330036,2211.07894573012,2133.53703363404,2199.70487118344,3410.24471026062,3402.16525927063,3404.54215766573,3479.49801994543,3540.51574808161,3332.23440648861,2987.44902151758,2189.46769098631,2159.15148567485,2129.84707479741,2133.2768160363,2193.08459342695,3149.22324783294,3279.37920350508,3325.98942847872,3276.83615678467,3341.25161817354,3288.40741029977,2946.68648458771,2215.26930422887,2173.29877123966,2195.87881732152,2158.6931117656,2266.35209551853
,3,3357.8588762961,3455.34274113812,3471.9079735078,3375.50895949578,3430.28170962207,3383.66048953867,3344.5252288538,2192.48010672573,2224.74586716615,2165.61465552961,2136.58145735966,2204.51071149318,3581.77770733052,3642.09687949306,3567.31816064843,3427.84177259766,3496.48057781458,3443.34414435688,3322.42456955762,2198.67304121608,2137.83245651498,2171.35923387738,2182.11782661307,2164.90608178929,3600.16739491362,3921.75725199181,3507.10307552498,3517.29920731233,3582.33015051219,3435.89019294454,3382.40949038335,2147.55921928331,2147.73636271839,2146.66250699816,2141.32523638318,2159.14146790818,3554.20368239408,3701.6024135331,3518.06984233887,3402.89484588738,3520.54081000638,3609.69600137044,3446.65880344691,2156.02398778657,2136.52941384012,2135.29942756124,2132.15091679652,2142.69034034426,3508.93754850508,3603.75326671116,3514.10867079474,3445.75207339508,3509.68814799827,3472.86772442227,3201.6300946739,2113.58408577834,2190.17626472662,2145.18232088822,2167.3140108275,2156.9627258246,3656.06604427969,3795.57346297357,3525.62885813338,3455.59294096918,3493.96758439419,3448.76448913451,2937.97151625339,2149.80002265311,2257.31289361408,2211.30813268475,2129.62790560946,2201.5183312871,3442.60356263036,3408.37822929432,3405.14664436695,3478.3200771861,3544.1536633987,3328.08509639964,2983.60195477922,2190.13423897375,2162.34202219245,2132.57826006266,2131.45236082288,2188.73810436956,3159.71160520423,3296.80009975014,3336.22758601894,3279.13999878378,3336.69597769487,3295.06971380913,2953.05656251314,2213.53891828787,2174.29957056391,2197.94345459933,2162.31001420625,2261.09789906622
,4,3372.66269208167,3462.51546207628,3472.34631188371,3380.0846355078,3426.83095550674,3385.05760148595,3343.67054232151,2191.45829452505,2224.72485428971,2166.42829365211,2135.29942756124,2210.34838177028,3592.48425654666,3640.88692874753,3568.39201636866,3430.03150979101,3494.73919676382,3447.78470268669,3324.84349370559,2196.223086425,2137.30102620974,2171.53637731245,2180.49152771116,2167.12684962575,3610.69680069469,3923.97801982826,3511.97195446403,3515.93312600816,3583.62219807729,3437.9748657557,3383.24414138229,2146.66250699816,2150.34244806811,2144.13949581109,2134.21457673124,2162.50817051776,3561.93886428058,3704.05236832418,3518.69534191652,3404.26092719155,3526.71273162029,3613.28187316798,3443.77148762302,2157.21292565566,2134.43374591919,2139.72996812438,2134.42372815252,2149.42472290652,3521.34345301912,3602.55431107539,3514.79720900171,3449.55711438057,3506.64470161573,3471.72081230605,3202.71396816081,2114.99121549229,2185.88084184568,2143.31583992192,2168.10663607356,2156.5554180918,3663.82223904263,3796.31306735699,3520.62486151213,3456.69880467562,3490.75701234325,3450.62095233413,2940.49452744046,2149.9050870353,2260.3573173397,2209.42063884201,2132.89149852304,2199.14143289201,3455.32270560477,3409.11881102084,3402.33238493904,3478.2880691999,3545.47771894999,3329.26303915897,2983.74806757119,2192.68925814701,2164.08242590012,2132.10889104365,2130.48259214174,2189.99912129154,3161.77526513895,3311.63494617882,3342.02323054317,3281.62098421797,3341.32467456953,3293.81871465382,2947.11382785386,2212.8503800809,2174.75794447316,2199.47568422882,2162.46712210798,2260.21120454773
,5,3377.19731968391,3462.64056199181,3474.76523603168,3381.09642994182,3425.36078716347,3386.37163927057,3348.83066950141,2194.04434434142,2226.79950933419,2164.45772564672,2139.82403739681,2205.31335450591,3600.45864315447,3647.5482549138,3569.52793337512,3431.5947700636,3493.60327975736,3445.90820395372,3323.44638175831,2197.46309047055,2137.77039522876,2178.09361643963,2178.08359867296,2169.83702201456,3625.42658274119,3927.053474197,3509.73017375114,3517.59045555318,3586.91682163397,3436.74487947683,3391.32359237228,2150.22736591925,2143.68112190184,2147.55921928331,2138.76019944324,2159.13047279842,3569.48590762225,3703.93728617532,3519.33183660394,3405.5329392233,3530.63285475464,3613.91739051231,3447.60755925161,2154.90908365655,2133.66213354957,2139.42772477378,2135.76879658026,2147.44413713445,3533.43709641587,3605.5046655286,3519.03961102001,3446.63779057047,3509.59505606894,3476.45359621981,3203.98598019256,2109.87311406527,2191.38523812906,2144.95313393359,2165.65668128248,2154.28358407889,3700.57058356574,3802.15171497718,3523.5542030889,3456.43760973479,3496.84488245141,3453.45622463848,2947.41704854756,2151.46834730789,2260.92075563114,2207.44005306995,2129.20056234332,2202.78032555218,3461.48363210892,3404.93847028876,3404.39604487376,3484.1577474632,3546.27034419605,3329.00282156124,2993.87016561946,2192.55316312172,2159.59984181743,2133.1096903679,2129.55484921347,2192.57417599816,3196.49098037044,3318.8697284032,3345.82827152866,3284.10196965216,3344.58826748311,3295.70523115346,2955.37042227892,2214.32054842417,2176.55136904347,2196.17104290545,2161.68451462859,2264.62170957753
,6,3380.55400452682,3463.08891813439,3476.49562197268,3383.52537185646,3432.88779497179,3385.03658860951,3354.04381754394,2195.2743306203,2227.82132153488,2163.94730821792,2137.19693917065,2206.27212807729,3605.96303943785,3646.28723799181,3571.0291323615,3434.62819867947,3496.29243926974,3447.97284123154,3328.60650893821,2199.91304526163,2137.49918252126,2178.08359867296,2180.02215869215,2173.27775836322,3630.55567927797,3928.6167344696,3515.26560067763,3520.20753601266,3589.13758947043,3437.75569656775,3390.63505416531,2148.49697997825,2149.20653106166,2146.64149412172,2140.31344194917,2157.70233020802,3577.69045852777,3705.09421605821,3518.24796311704,3407.52354276204,3530.95513363859,3610.89397966312,3447.67059788093,2156.29520049407,2131.80664769304,2138.76019944324,2133.88130273752,2149.17452307546,3543.3400252762,3606.10915222982,3518.96655462402,3446.21044730433,3512.82664099631,3476.76683468018,3208.1773160344,2111.55145648672,2188.34179174653,2146.9857632252,2165.39646368475,2154.80401927437,3701.52935713711,3803.89211868486,3528.02579206183,3454.97843650129,3499.74319338507,3452.15318196362,2947.61422751598,2148.12168023166,2254.25845212178,2210.16122056853,2130.68074845325,2198.58898971033,3469.59411374202,3410.65104065032,3408.930672476,3480.61292407545,3546.92687441682,3328.3042655876,2994.54770871667,2189.49872162942,2158.53698120696,2131.53543498554,2130.30544870666,2194.19045713339,3224.69050488454,3323.74862510892,3348.2892214295,3282.65281418533,3347.42353978745,3300.48004082009,2958.4668895241,2215.99889084563,2170.88986485836,2197.99549811888,2160.53857985546,2262.45298526062
,7,3385.81980784656,3464.98705580558,3478.62294906225,3386.21514319793,3434.41062737176,3387.38306840161,3356.72356579013,2194.90944522163,2223.34915693867,2162.75876112102,2140.28279801724,2207.61759538242,3607.86120292386,3646.94442715083,3569.89386037162,3436.76651331609,3498.37774417578,3447.57715152462,3331.77663457238,2198.5163305473,2134.57022662352,2172.68368199412,2180.34580886906,2169.34800942496,3638.15640083269,3932.09922968871,3513.61990109125,3516.51723520531,3588.17946421952,3435.17124476905,3392.83542215058,2148.49736817366,2151.44772315995,2150.43690588639,2139.92851108307,2160.66407016471,3588.90905096809,3705.28302408206,3518.227585922,3408.13964036348,3534.55263917694,3616.51411153539,3451.42421895808,2157.43150731018,2133.24617083298,2134.88248779722,2134.08986240794,2145.61005182808,3543.37267348707,3605.82857326499,3516.81947861053,3450.57955003985,3510.82567669182,3477.0376982837,3210.39768658976,2113.46938549596,2191.44867271433,2145.19272625321,2167.30438465433,2157.7967893561,3704.60548086243,3799.94165148954,3530.78962326442,3457.84536422015,3501.52625550938,3454.67681734958,2950.5030537866,2150.2597624193,2258.72140878207,2211.03731947252,2129.56622909813,2200.01752980492,3489.71481779577,3410.04717008422,3406.50234605598,3483.58492082717,3550.14908302657,3325.51064255389,2996.58185678063,2190.81315525517,2160.05860601101,2132.25538909639,2129.03382135361,2195.98330113589,3243.77933453475,3327.13694174964,3348.57105693114,3286.66760043471,3347.32005754979,3295.37255257519,2960.76124871364,2213.7164617023,2176.15544961318,2198.91264324194,2157.82782000481,2266.383535657
,8,3392.17889181119,3464.69483016884,3479.08132305433,3383.442909022,3432.12682049336,3388.16469867913,3356.98378343488,2196.5257266489,2226.46663762355,2166.39765443867,2138.52138111487,2209.4730815742,3610.80154014166,3647.20562213885,3573.08342012242,3440.7066726957,3495.4273891895,3447.09776465232,3331.56748311331,2197.78674379873,2136.16451782728,2174.56018106614,2178.26113568123,2167.53357165037,3641.76328615836,3934.43508009607,3515.0160359477,3520.41634616772,3588.44969963275,3441.53032873369,3393.11665267557,2148.07002483031,2150.56200582452,2144.32802179802,2139.56322903715,2161.2165134462,3589.69068124561,3700.07085244087,3517.51803471039,3406.92968939933,3533.52080902314,3616.29494230783,3451.10096267263,2157.27537672333,2136.89508191912,2138.15609906895,2134.49717021433,2148.48735040518,3548.06343249548,3608.59078967243,3516.68436090391,3452.68523610791,3513.16054975591,3475.95382460096,3215.57882758223,2110.24879509644,2188.43625643061,2145.79721306365,2166.95009772016,2155.79519034594,3709.95374755351,3801.95424561145,3535.88769007922,3457.752272274,3504.6017104338,3452.15380570665,2953.33832660323,2149.23795003399,2263.14095503398,2211.36057575797,2131.14048476493,2201.02932442175,3490.22621266006,3413.25774271525,3407.72231478861,3483.17859036405,3550.46134420028,3325.09429432229,2999.0938733118,2190.80216014342,2162.50856124475,2133.10005801462,2127.61667361692,2193.33518955483,3250.99310518609,3330.09829184768,3349.36368232042,3287.04290024911,3345.54764553568,3298.23885604053,2963.04407824878,2213.02792337092,2178.43827914832,2200.64302949559,2160.53897022658,2262.73462457086
,9,3393.84623942414,3467.53010298547,3485.19020714269,3385.73575632562,3438.54894309869,3388.28979861727,3357.12989625325,2198.2040693736,2225.45484300672,2168.19010198976,2141.22055888162,2204.57414844998,3617.02452905641,3647.6329654822,3572.10363349758,3437.16282601073,3500.75464300034,3450.65260644904,3334.95617655469,2199.04873829182,2142.0131842709,2172.24534353902,2183.68245878149,2163.25916087356,3647.22663501908,3931.56779928745,3515.90273062639,3521.02083297816,3587.90825146301,3437.95447405673,3396.84863793938,2148.71653740122,2146.00636452272,2149.63426272863,2138.06202977954,2160.74714434238,3592.93326186863,3705.32504984252,3516.44417879613,3409.744926679,3533.46876549419,3614.91884298835,3453.32173091033,2154.38806037774,2137.10325603493,2138.13508618872,2129.16991640349,2147.06922532523,3556.08082364785,3605.19305580583,3521.01081520968,3448.26471251273,3512.99440140057,3475.64156342726,3216.31940944255,2114.38711082337,2193.7525151297,2145.17171337298,2167.77375375816,2151.71893591645,3711.39190817042,3808.02110393934,3532.56203527853,3456.45924713218,3504.86290542182,3455.16622199037,2955.44401267128,2151.48974892041,2265.14255404413,2213.00788783396,2128.42933454317,2199.38201234576,3489.76686132472,3412.51813819819,3409.8490137369,3486.96261915681,3551.5141872343,3330.70277865812,2997.2073564713,2191.46968559456,2163.47833010111,2132.31842773709,2131.72395869513,2191.68885482211,3258.23790648615,3330.55666583975,3346.65253209865,3290.01329077236,3346.23618386705,3299.30269418631,2961.64696604907,2220.67001470889,2171.78696954695,2198.67343847742,2155.78517257746,2263.74641918769
,10,3399.86141727152,3468.92658841149,3487.94177557225,3382.71173373396,3436.58874891818,3393.49133934609,3359.64130575665,2195.25331774386,2226.34113542494,2166.52236292453,2140.39749345492,2209.19145188739,3617.42018814718,3646.70456349128,3576.04412409251,3443.9486310581,3498.29403791824,3451.60073878194,3335.45597364932,2197.7863466976,2137.78041299543,2178.90725456213,2179.52175903002,2166.34521948945,3650.43654808078,3933.89194379835,3514.03561439875,3525.73294517248,3590.10735815157,3440.97726372845,3399.94449143418,2146.24518149869,2145.4945820055,2147.02778897808,2139.19853781915,2159.71492396629,3597.16499694087,3708.88923927703,3515.6829261771,3407.30437357409,3536.8878505312,3617.82749587998,3456.45862261123,2154.67891935883,2134.39269750941,2136.38330104815,2133.42292882827,2149.66490497091,3562.22009475475,3607.48525130066,3517.53841203363,3453.76848575576,3517.54940714339,3476.41157046693,3218.02820137518,2114.3447030382,2190.57257734965,2143.20173511615,2166.75154987915,2157.83842523332,3712.63221897629,3808.3546672342,3536.52256855128,3456.3335226957,3505.53981525239,3457.18820922798,2959.13441485463,2150.90588635955,2262.67215444858,2211.32914556118,2130.97297403719,2199.24649727419,3494.62411461496,3418.37620477016,3409.82738476115,3490.27762555756,3554.96429965394,3333.93376178651,3002.49204202445,2189.31156042767,2159.3706548628,2131.2752173878,2131.35829155046,2190.42646455769,3266.77612002262,3331.00442020974,3352.64670559666,3291.08655204548,3347.65272674208,3298.28028586008,2968.05853461023,2217.93842820791,2176.33219985552,2196.98370368486,2161.93471445965,2264.16235832519
