,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,Actin,Unkn,HC1,21.8922553426302,NaN
,A02,FAM,Actin,Unkn,NC1,23.3735259969328,NaN
,A03,FAM,Actin,Unkn,SC1,21.5884329311166,NaN
,A04,FAM,Actin,Unkn,HT1,24.054852154549,NaN
,A05,FAM,Actin,Unkn,NT1,23.344776024544,NaN
,A06,FAM,Actin,Unkn,ST1,23.09522030266,NaN
,A07,FAM,Actin,NTC,NTC,NaN,NaN
,B01,FAM,Actin,Unkn,HC2,20.7848978263692,NaN
,B02,FAM,Actin,Unkn,NC2,21.5647225829354,NaN
,B03,FAM,Actin,Unkn,SC2,22.4348824582154,NaN
,B04,FAM,Actin,Unkn,HT2,23.8321717244509,NaN
,B05,FAM,Actin,Unkn,NT2,22.5074980704024,NaN
,B06,FAM,Actin,Unkn,ST2,22.5921335209975,NaN
,B07,FAM,Actin,NTC,NTC,33.4395121057395,NaN
,C01,FAM,Actin,Unkn,HC3,22.3668881846106,NaN
,C02,FAM,Actin,Unkn,NC3,21.6832896100143,NaN
,C03,FAM,Actin,Unkn,SC3,21.5090732983686,NaN
,C04,FAM,Actin,Unkn,HT3,23.6878475121383,NaN
,C05,FAM,Actin,Unkn,NT3,22.5455765627927,NaN
,C06,FAM,Actin,Unkn,ST3,24.6029908352591,NaN
,C07,FAM,Actin,NTC,NTC,34.3832192287729,NaN
,D01,FAM,Actin,Unkn,HC4,21.1780251936736,NaN
,D02,FAM,Actin,Unkn,NC4,21.2661642621429,NaN
,D03,FAM,Actin,Unkn,SC4,22.3615551460273,NaN
,D04,FAM,Actin,Unkn,HT4,22.6500026159064,NaN
,D05,FAM,Actin,Unkn,NT4,24.3420026931004,NaN
,D06,FAM,Actin,Unkn,ST4,23.6642541937582,NaN
,D07,FAM,Actin,NTC,NTC,34.7979533031087,NaN
,E01,FAM,Actin,Unkn,HC5,21.7707939072003,NaN
,E02,FAM,Actin,Unkn,NC5,21.5720203548297,NaN
,E03,FAM,Actin,Unkn,SC5,22.0096049187198,NaN
,E04,FAM,Actin,Unkn,HT5,23.4259847513548,NaN
,E05,FAM,Actin,Unkn,NT5,23.485716042028,NaN
,E06,FAM,Actin,Unkn,ST5,25.3379540241814,NaN
,F01,FAM,Actin,Unkn,HC6,26.6515879170044,NaN
,F02,FAM,Actin,Unkn,NC6,20.7436383543537,NaN
,F03,FAM,Actin,Unkn,SC6,21.5785311083138,NaN
,F04,FAM,Actin,Unkn,HT6,23.3105940189976,NaN
,F05,FAM,Actin,Unkn,NT6,23.5169459391251,NaN
,F06,FAM,Actin,Unkn,ST6,21.7605442599774,NaN
,G01,FAM,Actin,Unkn,HC7,21.0369840456485,NaN
,G02,FAM,Actin,Unkn,NC7,23.0754429049786,NaN
,G03,FAM,Actin,Unkn,SC7,20.0205282973983,NaN
,G04,FAM,Actin,Unkn,HT7,22.022111010305,NaN
,G05,FAM,Actin,Unkn,NT7,21.7851512812225,NaN
,G06,FAM,Actin,Unkn,ST7,23.4782088928964,NaN
,H01,FAM,Actin,Unkn,HC8,22.3792750202806,NaN
,H02,FAM,Actin,Unkn,NC8,20.0482478154082,NaN
,H03,FAM,Actin,Unkn,SC8,20.5811460766897,NaN
,H04,FAM,Actin,Unkn,HT8,23.1132772807344,NaN
,H05,FAM,Actin,Unkn,NT8,23.5936859035631,NaN
,H06,FAM,Actin,Unkn,ST8,23.4836436701466,NaN
