SampleNames:	Actin_HC_1	Actin_NC_1	Actin_SC_1	Actin_HT_1	Actin_NT_1	Actin_ST_1	Actin_NTC_1	Actin_HC_2	Actin_NC_2	Actin_SC_2	Actin_HT_2	Actin_NT_2	Actin_ST_2	Actin_NTC_2	Actin_HC_3	Actin_NC_3	Actin_SC_3	Actin_HT_3	Actin_NT_3	Actin_ST_3	Actin_NTC_3	Actin_HC_4	Actin_NC_4	Actin_SC_4	Actin_HT_4	Actin_NT_4	Actin_ST_4	Actin_NTC_4	Actin_HC_5	Actin_NC_5	Actin_SC_5	Actin_HT_5	Actin_NT_5	Actin_ST_5	Actin_HC_6	Actin_NC_6	Actin_SC_6	Actin_HT_6	Actin_NT_6	Actin_ST_6	Actin_HC_7	Actin_NC_7	Actin_SC_7	Actin_HT_7	Actin_NT_7	Actin_ST_7	Actin_HC_8	Actin_NC_8	Actin_SC_8	Actin_HT_8	Actin_NT_8
Logistic_a:	9670.16	10388.6	10438.5	9749.57	10585.7	9470.69	629.01	11378.5	11175.9	10901.8	10238.9	9788.9	10256.1	11147.8	12695.2	10273.3	10766.9	10987.6	10110.1	5239.63	11178.2	11980.5	10335.5	9894.15	10770.9	11434	2.21E+06	10578.5	10870.8	10494.6	9785.79	10322.3	9750.83	11613.7	11789.9	10147.7	10658.4	10069.5	9573.22	9569.33	9986.23	9274.48	9340.6	9760.19	8551.04	8876.03	8876.55	9586.72	9095.81	8445.88	8593.46
Logistic_b:	-17.31	-18.534	-17.1661	-18.9582	-17.9975	-18.3017	-0.417737	-16.8489	-17.1677	-18.1189	-18.4686	-16.8842	-17.9935	-17.6872	-17.5268	-17.1324	-18.5581	-17.6816	-18.5969	-25.1265	-17.0139	-17.1986	-17.871	-17.7616	-18.4306	-18.3512	-21.3477	-17.3458	-17.2292	-17.5426	-18.1694	-18.216	-18.7074	-19.3282	-16.8244	-17.0162	-18.2306	-18.0953	-17.1526	-16.4938	-18.1485	-16.1216	-17.0304	-17.0333	-18.0135	-17.5256	-16.1296	-16.4672	-17.9923	-17.8722	-18.4348
Logistic_X0:	28.7256	30.2581	28.6033	30.9775	30.3796	29.9901	3984.73	27.8329	28.6811	29.4284	30.8786	29.5667	29.5502	29.3608	28.9254	28.4511	30.7531	29.667	31.6427	40.6971	28.2831	28.3431	29.2918	29.595	31.4324	30.858	55.3372	28.7104	28.6241	29.0371	30.364	30.502	32.2924	33.9286	27.9098	28.5986	30.3089	30.4848	28.6206	27.8796	30.0536	26.8119	28.9362	28.7448	30.2318	29.0991	26.7509	27.4142	29.994	30.3704	30.1735
Logistic_Y0:	3058.97	3092.24	3103.51	3050.17	3083.71	3034.54	2961.79	3188.42	3223.98	3166.7	3073.36	3122.83	3069.04	3234.3	3446.03	3126.14	3126.16	3143.33	3063.52	3077.25	3162.46	3257.14	3097.01	3041.69	3120.37	3196.81	3083.33	3171.25	3176.95	3102.95	3078.52	3131.09	3109.07	3271.43	3361.24	3145.58	3068.03	3141.21	3104.32	3099.6	3064.84	3037.5	3105.39	3131.87	3007.13	2930.63	2985.31	2989.59	2954.76	3041.88	2985.1
Logistic_Pvalue:	0	9.66E-42	0	1.60E-41	1.11E-16	2.22E-16	0	2.99E-41	0	0	1.91E-42	7.02E-46	0	0	1.26E-41	0	1.47E-41	0	1.80E-43	0	3.40E-41	0	2.45E-41	0	2.29E-43	2.15E-42	1.11E-16	3.86E-41	2.22E-16	2.49E-41	1.11E-16	1.11E-16	2.13E-45	9.54E-51	1.14E-41	3.33E-16	0	0	0	2.12E-41	0	4.74E-41	0	1.11E-16	0	1.53E-41	4.82E-41	7.73E-42	1.11E-16	1.11E-16	1.95E-41
Noise(SPE):	20.6124	21.7466	22.5718	19.842	19.2793	19.4271	19.0891	25.6938	21.5707	23.8107	19.1537	18.558	22.9259	24.5485	27.4748	22.6758	22.1997	22.9778	16.1308	1.25337	24.6407	24.9608	22.4581	19.2032	17.6504	21.536	99.8555	24.3849	22.4037	23.2278	18.7694	19.7533	12.1798	7.28567	25.4107	20.8942	20.4905	17.4355	19.2949	21.2524	19.2064	21.3757	18.5507	21.3896	16.9106	19.1567	20.5529	19.6124	16.9664	15.8892	18.6579
EndofExpPhase(SDM):	4827.85	5011.73	5010.51	4857.28	5031.36	4781.28	Error!	5261.11	5265.71	5174.48	4964.22	4906.54	4956	5280.13	5772.65	5002.38	5115.9	5159.65	4932.44	4081.45	5201.77	5446.47	4996.65	4858.57	5108.91	5306.47	Error!	5106.9	5164.03	5026.53	4881.48	5033.6	4913.08	5429.74	5508.37	4996.94	5032.72	4995.34	4853.02	4836.83	4904.43	4714.95	4809.71	4912.8	4580.63	4557.3	4590.91	4729.52	4628.22	4594.24	4571.68
CP(SPE):	20.1373	21.6939	20.0087	22.3424	21.3995	21.3873	-47	19.3891	19.9312	20.988	21.9781	20.3997	21.0524	20.7774	20.3843	19.9122	22.0403	20.9304	22.3823	29.2044	19.7439	19.7972	20.7869	20.8246	22.1964	21.9239	34.6305	20.2327	19.9935	20.4957	21.5209	21.635	22.5907	23.1681	19.3786	19.8851	21.5094	21.4542	19.9331	19.2517	21.2956	18.3991	20.0833	20.0676	21.3998	20.5031	18.3659	18.8247	21.1539	21.3794	21.6374
CP(SDM):	26.3463	27.9293	26.2126	28.6505	27.9665	27.6504	Error!	25.4594	26.2842	27.1077	28.4929	27.051	27.2024	26.9846	26.5614	26.0681	28.3895	27.2652	29.2161	38.4314	25.8964	25.979	26.9474	27.2106	28.9986	28.4576	Error!	26.3376	26.2412	26.6662	27.9766	28.1104	29.8317	31.4321	25.526	26.1857	27.9345	28.0774	26.2265	25.4469	27.6877	24.4139	26.497	26.3222	27.8327	26.7208	24.3596	25.0179	27.6108	27.9399	27.8378
DynamicThreshold:	3953.71	4062.86	4068.3	3963.65	4067.18	3917.62	Error!	4237.61	4255.63	4182.49	4028.37	4023.97	4023.98	4269.49	4623.08	4075.6	4132.13	4162.98	4006.05	3579.98	4194.44	4364.28	4058.06	3959.73	4123.47	4262.41	Error!	4151.27	4181.69	4076.35	3989.38	4092.22	4017.16	4354.23	4447.51	4081.71	4060.62	4076.99	3988.31	3978.84	3994.24	3886.91	3966.83	4033.03	3802.34	3753.54	3798.39	3869.36	3799.97	3826.01	3787.72
LowerCycleNumber:	9	9	9	9	9	9	Error!	8	9	9	9	9	9	9	8	9	9	9	9	11	9	9	9	9	9	9	Error!	8	9	8	10	10	10	11	8	9	10	9	9	8	9	8	9	9	9	9	8	9	9	9	9
