,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,2971.58511875987,3037.97919989877,3048.84381629069,2989.83632075372,3024.21624205601,2978.5162240748,2981.32113346029,2191.0924913382,2224.72138614387,2160.46109841078,2134.76596427059,2199.47162918917,3096.94554417198,3177.51386412629,3118.0508300178,3026.36997541876,3076.29895078271,3019.67844119479,2967.20916256283,2189.13799338509,2133.19078852347,2171.16688000247,2177.26137444157,2163.90885751966,3144.42033634437,3390.27662375976,3079.27475348654,3076.28451999418,3094.07139446193,3024.25216768781,3012.10831923599,2144.19687040149,2145.83754397923,2142.6952982028,2136.695266821,2160.7270709647,3078.40981808363,3205.09558735541,3056.5970207911,2994.26450159835,3069.04927809511,3156.35813305322,3055.72461451415,2150.60849688308,2130.09867734586,2137.96646242773,2127.47658170633,2141.38420758275,3081.88993065556,3132.69259713124,3053.20691885111,3036.14944912327,3078.31400515733,3069.25067299393,3127.47751571356,2108.82589071738,2182.54075556178,2137.93773365251,2164.6254501001,2154.00731222745,3194.79849039184,3309.83351101512,3085.96956139098,3025.13181394946,3082.04160038275,3054.13637600192,2877.52699317367,2149.48926528323,2246.56038945744,2205.83355251798,2127.87084038044,2194.98333935875,3024.94711756919,3015.98875175657,2987.98009632845,3049.5519601104,3074.47823746598,2974.2008272586,2925.23953019908,2182.66112694899,2154.51882599423,2130.49083247635,2128.21651951862,2183.5189293956,2853.3801365585,2916.83486162872,2922.36321915282,2898.47701812313,2990.4553962582,2937.7514588163,2894.61472826169,2212.08231158331,2170.98530250562,2188.60426514764,2152.18303565317,2251.83216001573
,2,2996.34044735736,3051.06571248509,3052.6001774473,2998.00223178589,3034.35232162823,2990.69570382782,2983.89830753899,2186.34756009415,2221.86245382326,2161.7627633735,2138.45701146157,2201.23365916578,3114.39263703336,3182.32094997966,3123.38121836043,3033.522440032,3080.62616320182,3026.85209046097,2974.39388914741,2190.20135574385,2134.72381611164,2173.58589114959,2174.32318146314,2162.05105950914,3153.12611370385,3394.39424138958,3081.82835089756,3076.87838335542,3102.16721864896,3025.98119682842,3019.69960661474,2143.269467023,2143.73434942208,2145.7631865766,2134.0190567838,2160.46680536859,3091.97604774481,3211.20818192618,3063.44699830086,2999.72821978858,3076.69486510705,3159.7470172943,3062.84830938262,2151.64349564907,2132.63212978627,2133.28391511258,2131.13548934442,2145.49574310916,3090.34493740227,3130.58487723103,3064.47731402887,3040.44542901283,3087.29425987453,3074.78695474461,3128.53307657643,2113.27817788421,2183.55330502869,2139.49076989535,2164.54219120497,2154.11211288535,3209.37611549696,3311.13523408698,3089.27263920828,3031.88735750871,3091.83305975748,3061.81121837169,2883.07220416466,2144.86986361057,2247.38114124427,2203.17245878004,2129.6338502873,2192.45126176361,3036.36845118585,3021.24337022063,2994.2996979241,3056.52731112275,3078.18942097218,2973.06251807927,2929.21226173614,2185.04028287558,2156.9718498827,2129.39581649116,2127.07113597106,2190.184026831,2862.02482362721,2926.83688919802,2941.37348244425,2915.11807431109,2998.55904399951,2942.8421025342,2898.66238767368,2209.25942344637,2172.32952526258,2188.2791171772,2157.73431594581,2256.27527288815
,3,3003.28405155424,3051.58688528383,3057.87612775165,3002.46483029722,3041.21306594967,2990.03918551691,2993.61680646163,2189.50610559005,2223.28067486265,2160.53391632164,2136.06862897084,2205.05031835493,3124.01606176463,3188.32717024412,3128.03158452391,3030.5196027453,3086.0151603032,3031.65895413112,2973.38401475136,2193.33902200809,2131.31199302327,2170.02085618666,2178.00101265885,2160.47627198799,3167.82827651756,3398.75104401652,3082.21427057857,3076.71166536817,3105.48110089498,3032.52922311961,3028.31339870694,2144.77112279117,2149.08160582832,2147.05561852653,2135.52892298918,2160.49907800332,3104.01024245927,3208.19241789047,3065.54265206651,2999.56307727232,3077.72600648786,3162.72791357055,3067.3946208868,2150.1616429803,2130.4946996184,2137.77766699242,2129.14378574403,2143.10621174438,3099.80305232778,3137.02956097257,3063.68543497777,3041.13081787783,3092.16333114312,3079.81432731063,3128.60343298431,2111.67121052484,2188.369887574,2139.21299103025,2162.92421662406,2152.43402059941,3228.93937591301,3310.17697326626,3090.9314337025,3030.25952146131,3090.96536173915,3059.97565216066,2883.17587522473,2143.77256979856,2248.48781888714,2205.11515315053,2127.61237409922,2195.09900745245,3049.14024777132,3024.6458470203,2993.97539789197,3057.02703888033,3083.47518869341,2977.60021774273,2930.02437074223,2188.12777125544,2156.86687848697,2129.99907381497,2128.46661724092,2186.35566798624,2867.7396291066,2937.49418473327,2950.92312468191,2915.81727411966,3002.82182859425,2949.15242246177,2898.64868568806,2207.83947545437,2171.88180369772,2189.0315223141,2160.1315278863,2254.37825112962
,4,3006.96276109783,3054.98679931616,3059.3876501447,3007.52342776427,3043.62363194171,2995.16641076509,2995.59875680297,2189.45616810063,2218.25662020992,2157.00890136891,2137.02834867255,2203.71623461192,3130.27095427177,3189.29494423269,3129.71872203994,3038.36294617623,3090.03055643848,3033.84932485315,2981.44342463154,2193.71631989597,2133.48364164925,2168.73646476486,2174.85240879431,2160.64359391291,3174.57701207026,3399.29448447784,3087.96033491596,3083.25057816609,3109.92630058773,3034.80429932937,3029.40650946199,2148.77595073864,2145.04760843884,2144.18855388306,2139.60844523305,2157.41122146847,3108.04529537254,3211.75760767991,3064.03291031082,3002.36547647926,3088.68544667708,3161.39452650246,3068.43586048461,2152.10091545209,2131.12789563217,2138.73800621375,2130.84296347363,2140.69426623354,3108.4575743873,3133.73331526148,3066.73019978024,3042.75879779951,3094.94855105543,3084.28736306778,3132.66023044253,2110.92145984108,2181.79135399346,2138.54258691746,2161.00771229581,2154.15474294809,3231.86821004304,3312.26964209283,3093.79924859168,3036.68397750204,3099.65181719663,3068.29538814881,2884.41808471515,2142.58380350679,2247.55925773208,2202.37237293834,2129.11130754201,2193.44970569385,3057.16064227543,3023.85168953977,2996.34189416743,3062.69089952939,3084.61264499644,2975.63942100873,2932.93424648194,2186.21768681382,2156.15713081301,2130.80656091098,2130.06436947198,2186.90958654627,2868.91855715673,2943.19662350018,2955.22066371878,2917.68206792862,3007.36011330003,2950.30749737457,2902.66616075676,2207.27574347498,2169.06529319094,2188.00036656571,2155.83423169892,2254.0651138363
,5,3014.78676506221,3056.60220193347,3064.34163699803,3009.54497362422,3046.61530531487,2999.04615992217,2997.0697742472,2192.80420842493,2221.82360436713,2161.95072375786,2137.35980201834,2202.60861385926,3135.54752013869,3194.77154809576,3128.33035105339,3037.55654593463,3092.04379547728,3035.13014642034,2981.45286061342,2191.85908609736,2132.84833230346,2168.31066874165,2177.1895756851,2162.61383545612,3179.73907410513,3403.61165720799,3091.79677476934,3084.31187338799,3110.97637519763,3038.94463387188,3035.66333116863,2145.0316331791,2145.38038202101,2143.90663309126,2135.1745831623,2158.14218238198,3115.1765513127,3212.10226924141,3066.08754147732,3009.04234053166,3088.7370625813,3167.83667461025,3072.93055368758,2153.61409977694,2128.9518022998,2138.04882344972,2129.31194010651,2143.75286832327,3118.60429112142,3140.67970572478,3069.23645189641,3044.31300133004,3093.50744780855,3079.38926183514,3133.13145305577,2109.98212209663,2181.35190321157,2139.36828529608,2162.71486739134,2151.64928072243,3243.98540128971,3321.08271159333,3093.98698421663,3036.92370882111,3104.86833034842,3067.38990742617,2888.39880147333,2145.99636079089,2246.81812557004,2200.51470677479,2125.45483636637,2192.56467651103,3063.00030927057,3030.33812086727,3002.62033482028,3069.31127099662,3089.23370250725,2979.06852200613,2936.64681491621,2188.75232223663,2156.89629843015,2130.92013469924,2127.62268448406,2188.70348911945,2874.24616803756,2947.4607632655,2957.22290122894,2925.0554855459,3008.84934981852,2947.72244061625,2902.94773555637,2206.0881269635,2174.81008177036,2189.2394528268,2157.41921453269,2252.35326433839
,6,3018.73704241966,3055.69417015347,3067.59420954216,3012.07809022871,3047.78408411578,3001.62435506935,3005.28762000855,2192.65690381786,2218.12964425265,2157.47782458947,2133.76426964592,2200.71339260754,3141.69085449955,3192.90476562235,3129.39524295016,3040.50045135844,3092.91729226347,3037.42644904866,2981.44301354184,2191.07588828522,2131.2508988787,2169.11326408514,2178.47068252579,2165.11930187958,3187.44350266826,3405.1140311649,3089.9606539898,3086.48179116996,3108.03668355366,3036.56506536205,3037.51932276253,2148.04463319868,2144.68015063154,2144.61492611585,2134.80018925094,2158.25561371428,3118.74430444846,3215.08534890615,3068.1192940934,3011.84801940231,3092.13615985813,3165.09498021212,3072.76466135522,2150.42327385872,2128.84793258716,2133.24279620109,2129.93745925068,2142.251648054,3119.70865638645,3135.94424646729,3069.9209461766,3047.64018139247,3100.64144427312,3086.43740349102,3134.56824648031,2109.55480364812,2184.7529381569,2141.53611047572,2161.08060620903,2149.70229324469,3247.55068985473,3317.80767115916,3100.29587625148,3038.68498502346,3102.45632300828,3070.94472032873,2892.34354260813,2143.80843527876,2248.43258176387,2203.34100137232,2129.60146581401,2196.17320297662,3065.65801227844,3034.19583159531,3001.19024788393,3068.37185391397,3089.96300619181,2979.81133914557,2935.34395685382,2186.01991682187,2155.45793995786,2127.81566905384,2126.91408311215,2185.14750573754,2888.30232845777,2948.39109578398,2959.78929911544,2926.83925396646,3012.61361691584,2956.66957512408,2906.7001867098,2206.83787863995,2173.18552984275,2188.8128849294,2154.05408103322,2256.5881306676
,7,3020.95789508761,3063.00388046398,3069.96224596029,3015.77912207511,3054.67557626568,3000.87422017517,3001.08335119922,2190.56080737821,2221.23811596205,2162.1838001237,2136.53794290914,2202.96458308788,3142.806521318,3194.46832557316,3133.73393608231,3039.82227135085,3100.52081587456,3039.73101921019,2988.31457150342,2192.16151403744,2134.33753458927,2169.63483294846,2173.97622455005,2164.52377060936,3187.94186669359,3409.1778972948,3095.53956827687,3091.41369758868,3111.30945784782,3041.69682562891,3040.31403635622,2143.49860776292,2145.89051938504,2145.39457317044,2136.02868622243,2160.85224747181,3120.31638268202,3217.76407405814,3067.84875495848,3012.05545277455,3093.60820294035,3169.42075188089,3072.71353179957,2151.16135390227,2128.50086925155,2138.13390858191,2131.7717815553,2140.1869578151,3124.39998359822,3142.02555151851,3073.54777326622,3051.78844410307,3099.78545173939,3088.32461826497,3135.64260905919,2110.8686506845,2182.11402365944,2141.44203048995,2165.33549241292,2154.63357810612,3249.85552502002,3322.90736355736,3100.88071780892,3040.29148747813,3106.50349580085,3074.01094176973,2892.6744629082,2146.76773417043,2251.70799753667,2203.68600633462,2126.26570866971,2195.5983993467,3068.49419234166,3032.40198444532,3005.44464707475,3072.60580608231,3097.59644516119,2983.6365516346,2937.76178833857,2186.87580513571,2154.02877672545,2128.77163773416,2123.75488570545,2187.68191254932,2899.88737288009,2954.22043988345,2964.06480383559,2930.55146338154,3017.85126207228,2953.34152353264,2907.77593910397,2205.95064364685,2169.17046107911,2190.97178430994,2158.85151869026,2255.57751062376
,8,3024.12761704254,3065.09042877088,3070.25327427799,3016.79249555791,3055.17430973392,3005.49064177137,3004.06574322225,2190.6017706334,2220.76762587281,2163.85098577283,2137.43542169011,2201.61966856187,3146.81130157247,3195.50054288176,3139.86580120975,3044.59627463478,3094.67055959985,3040.67857801627,2988.14931844582,2191.24479556954,2131.72031042216,2172.13655164855,2174.71726603023,2159.07782986934,3198.77887342156,3413.93573637958,3097.05453195559,3094.99992137015,3116.21121880283,3043.60510951596,3040.11612312611,2142.21542420616,2143.83613259411,2143.84206728158,2136.73881823233,2155.57684221761,3126.69862812842,3221.97743208681,3073.33535558198,3014.45468283784,3093.43104275707,3171.75879837599,3077.52913206078,2151.59093328589,2133.35434241952,2137.24656284478,2129.99986110676,2144.46106240032,3129.49052876435,3140.91941573218,3077.41964053201,3053.29265684785,3105.23022466389,3093.39071210674,3140.07402319024,2108.27266951353,2180.20403963133,2137.85548842741,2160.60947154432,2150.01303898134,3252.87120325477,3323.64553262258,3109.55486395267,3041.37789715066,3110.05980299675,3077.95279535064,2897.77611256176,2144.92171904557,2247.32997938115,2205.13442315671,2129.06055177222,2196.88064326784,3068.75413717731,3034.83008556834,3008.69911540337,3073.51297040877,3099.70200280635,2985.76357927261,2936.23961852687,2185.48843139142,2155.01076048705,2133.30795249361,2127.22635040844,2190.44423453585,2901.3984320322,2959.28796847359,2968.62259623491,2931.87454439,3019.50829438729,2957.72135278749,2906.96256135593,2210.54103606959,2172.03890978597,2191.29606127747,2157.26334279564,2249.74924747337
,9,3028.7177291874,3063.51817611895,3073.10100198252,3020.44165078594,3057.22988214838,3007.35737351206,3007.15048991145,2189.50930619825,2218.24584259207,2157.45722342866,2138.37331564148,2199.60714624082,3153.37987727264,3199.27645054229,3138.24081295428,3042.64636217615,3100.69907581101,3044.16339116569,2993.98659170589,2192.3192193334,2128.75955681147,2168.10048792034,2176.43730539729,2159.967425104,3197.20222956729,3411.59970836711,3099.43276412349,3093.54035421456,3118.7045844129,3044.2186063929,3048.36456060943,2141.9035929542,2145.59845818543,2145.59574043279,2135.92454336498,2157.03545487463,3131.47694220056,3222.08063749854,3072.91652561859,3015.23367131226,3095.55739880028,3171.6753226669,3078.63620133976,2153.31104437898,2131.50827775381,2137.71649189861,2130.60613394405,2141.53249006896,3128.06118808454,3147.49954024064,3075.74078077537,3051.29133582467,3105.00107362232,3093.1600203304,3139.83493982986,2111.50482678762,2182.21954763385,2141.48475153228,2163.03212964424,2151.38112766703,3252.420611389,3325.84851331443,3109.51549520142,3041.91068971559,3112.31129901866,3076.66049973013,2899.92474612331,2145.88183378433,2246.96529752978,2206.09558691059,2127.63426310649,2192.75176185584,3071.86113571503,3033.83947493608,3007.58336959889,3075.45388755553,3100.68151677147,2985.9514498991,2943.51734630878,2186.66732727387,2156.39522258726,2135.23669779426,2127.29951370434,2186.69045397824,2903.41138558445,2955.78385032945,2967.77662025,2930.10286887419,3019.65374483963,2957.87041614874,2913.23926643306,2209.19696096871,2170.84928135044,2191.25197779693,2155.25367531417,2252.69960705641
,10,3028.98802663321,3069.05357732192,3074.74706001634,3020.10681986927,3063.09110095032,3010.62190217515,3012.95098242929,2192.06377092065,2217.66219638204,2162.24496557814,2139.39548353362,2205.87381399621,3158.13440092919,3203.14534285966,3137.21680216579,3048.56035860745,3105.37050631588,3038.50039557902,2994.75851465806,2191.57817604645,2132.96298909023,2168.3009460362,2175.82207628958,2164.50213099287,3199.28844957983,3416.85417655648,3102.28690128151,3096.07399396127,3123.2922146971,3044.83400467462,3047.65530113766,2146.37643277154,2147.87294067331,2146.4909762867,2137.99990459538,2157.1815208155,3132.26885895315,3225.13783269097,3073.41867056736,3014.94073203499,3101.04235488923,3172.96837589891,3078.01780519035,2154.75145119163,2130.32955561398,2138.68594145926,2130.79292643614,2143.95296013667,3134.17075003841,3148.112628086,3078.03439669518,3055.32450185283,3109.19100271748,3095.51882398717,3148.2187131367,2109.77336647486,2181.46755999518,2142.94607859702,2163.30163220158,2149.01237435189,3260.5355011998,3327.76731712926,3111.51633810482,3046.76794496255,3112.53200138428,3077.44222662971,2899.93519076429,2146.80941487873,2251.81329653534,2207.40935773004,2129.26848509501,2196.65299035845,3075.91616851031,3034.42619039202,3012.27605059179,3079.30094360601,3107.84503204253,2992.61689330738,2947.37639250881,2183.32796201708,2158.94096748668,2130.85636969558,2127.37230614108,2189.77640543124,2908.63857644137,2960.5070640299,2968.0389614981,2932.07520023748,3022.65687425508,2956.13779769888,2912.96998997779,2207.94606453479,2168.13886298272,2191.19058263987,2160.1433199266,2255.68374790791
