,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3375.29040016301,3220.22853817345,3219.5199643051,3223.13784474253,3061.40366027136,3053.55437216085,3050.78116064166,2192.05315952477,2218.918615575,2166.33461579797,2137.88488631245,2205.27172720657,3408.01454042535,3520.20817205192,3383.46294455897,3292.1509848324,3220.7189201575,3099.36098505511,3132.34632030547,2199.15282534973,2133.66251906459,2172.69369976261,2184.01573283543,2170.02555264458,3313.80329189818,3751.37184484457,3384.41170053509,3256.47648958378,3251.29534859131,3116.24947670329,3028.48234100497,2148.40427622751,2151.94812291249,2146.62086910164,2138.66651658998,2161.5287746199,3357.30703972033,3482.50104714443,3417.36502779346,3298.22883827205,3451.48628025551,3408.68108853322,3183.85646416824,2155.58701623014,2132.87087101858,2137.04021739423,2134.53821863153,2145.9122952333,3278.98446067954,3292.23405901007,3288.56511238696,3275.62679788687,3145.27266235054,3237.82658103323,3003.35728897687,2113.99079812873,2191.09438578016,2146.00636452272,2167.3464104148,2156.3266207472,3364.08344925984,3568.25656606412,3253.79734735401,3332.65233413932,3182.37530044759,3177.55944150104,2743.34757400406,2154.21091691066,2255.38475886963,2210.8391631252,2127.3554786289,2206.67983451804,3282.84154588148,3298.92739437191,3282.58035089347,3191.98796014699,3130.97022098599,3035.80019871421,2843.16730686704,2190.57297314738,2163.45731722088,2134.05883175923,2130.5039899625,2191.29254212747,3265.21247237298,3131.47062073853,3168.95857641846,3106.58575081821,3095.17062579924,3031.57783146635,2747.8101233597,2212.34036238282,2172.98592539934,2200.11159909434,2158.30720687712,2259.28386983204
,2,3417.16784878941,3231.3414197872,3224.44088765282,3225.97311755916,3065.25072770481,3060.13262535304,3055.7741630553,2193.19005407973,2215.98927346896,2163.27015598531,2136.68593046005,2204.73027903684,3435.10918347162,3516.94457854867,3383.18171403398,3292.64038947319,3223.37704950705,3101.29050499935,3132.53348154104,2195.04554027151,2134.59026216048,2173.52835091235,2179.78334781908,2165.26075988371,3338.74020534745,3748.70272038327,3383.30681397211,3256.778732989,3257.55034549805,3119.35693961969,3032.63067450038,2148.33121981833,2152.76176118199,2146.62086910164,2140.38688507514,2160.04858824252,3381.20112790406,3487.66117525667,3420.5345520073,3302.9406101607,3452.84136669476,3411.22511305638,3184.66912509448,2151.4587182717,2132.82884525811,2137.79081702303,2134.03781887899,2147.40347672244,3303.29489709487,3298.77028644179,3294.76708842148,3275.67981875909,3158.3981380862,3237.87862456219,3010.62408050043,2111.33266877918,2192.00111599582,2145.57902117937,2169.88945759469,2153.30320935173,3383.59903960885,3567.54799219578,3255.99710271148,3335.35248924933,3189.77720967777,3176.98598533931,2746.91341091253,2156.75396409055,2254.13375948828,2209.55713309514,2129.52420333766,2205.87719136028,3311.81268799978,3301.21022390705,3281.1311951648,3195.43773754255,3132.78368141731,3035.65408589585,2846.82623572167,2191.32357277619,2163.863647684,2131.60887652548,2127.58466562494,2192.31435451279,3279.76609095707,3147.79567399347,3192.74857754428,3123.14096841245,3104.70925174619,3031.4217008795,2748.93602280292,2218.03192089631,2174.01775555314,2200.22668126399,2156.28557233,2260.83711261861
,3,3436.04632350318,3236.26175839964,3226.83723898192,3234.18710335516,3075.27917998725,3065.30221738786,3061.61225855123,2193.62701884195,2220.00208814263,2162.58122691375,2141.1480929481,2207.99249625162,3456.94900450668,3523.56422085557,3383.56739760934,3300.3439457948,3226.01456043584,3105.33419035788,3135.63940055958,2196.45227337963,2140.79282873486,2174.83100086914,2179.64685894555,2169.81600913813,3357.01420753049,3752.01767949223,3387.08021301089,3258.04013881186,3255.40204547594,3119.44946793649,3032.912334375,2147.86146263392,2154.00137626163,2144.79602603186,2139.87608091635,2158.2867813759,3401.12243419351,3490.15252564203,3424.6412183134,3307.81891008357,3448.97364055579,3412.30837019534,3186.33687433597,2159.34964198637,2138.50999961218,2140.83485448773,2135.93494490557,2146.66250699816,3316.28367858682,3295.00667517982,3293.75567602451,3278.20126074575,3158.25145462764,3241.31779854044,3012.86433990379,2111.38433081832,2188.56096093448,2145.98496390095,2166.69950635961,2159.3706548628,3405.19868788649,3571.59257065293,3256.71608326056,3336.33167305804,3191.29884520435,3179.38332258576,2749.42493067124,2155.6066622871,2255.80167686103,2209.62979026329,2130.72277420613,2208.28472183556,3322.96699497262,3299.82351059932,3280.39099793909,3193.47758728793,3131.10477295734,3037.66613116519,2855.30148496362,2194.60680528977,2159.48475966857,2132.03583464766,2130.51460012794,2196.54634265205,3299.42719797629,3157.63695015974,3206.20674802901,3124.7036643888,3106.17885912349,3030.58747949946,2757.52539453766,2220.57554420074,2174.02835785641,2195.55556109447,2158.53698120696,2260.28426094372
,4,3450.05751404269,3245.42508287654,3230.41309301278,3238.12823936594,3082.61804925073,3067.26276762657,3062.9463318692,2192.94947574475,2218.53191979936,2165.09422033414,2140.46957250781,2209.86899498459,3467.74864565216,3529.64207319706,3390.14564961295,3300.0006540344,3226.83723898192,3110.61941745331,3144.54250743874,2195.59758684734,2138.38489969665,2173.54897107072,2181.03395312616,2166.10503742506,3367.72075674664,3754.85295179657,3388.43529920529,3260.51012913629,3255.64222754033,3122.59797870121,3035.43436821898,2147.5281886402,2152.85446414541,2148.89329260128,2138.4369432162,2159.17249855129,3405.29275715891,3493.9986150373,3428.22806745402,3307.42259746054,3452.08012556763,3417.30234904992,3191.61208366472,2153.86625857943,2132.89149852304,2140.75178032507,2136.08105769754,2147.43411936778,3326.17756702356,3304.6183557993,3298.11316019167,3282.43462234047,3160.81649156758,3244.85162681843,3015.95078938229,2110.70678772112,2188.73810436956,2145.32843368018,2168.77416140409,2153.9082843323,3414.47709451225,3571.83177537423,3258.56057400733,3341.95017414718,3195.45817305999,3175.90153782732,2752.71955422792,2158.00457355863,2256.55227635421,2208.40982175109,2132.99558556213,2206.21006679107,3330.25382071655,3300.89638897647,3283.25730088655,3194.34326892997,3128.49868760762,3033.74600803085,2854.90517234059,2188.0805968057,2159.81901100538,2133.19374187365,2129.76400063475,2190.30136464215,3317.49362933235,3169.00002959666,3212.08644405899,3128.25850554323,3110.80755599815,3034.39252048494,2756.54560808985,2214.81093031962,2176.44630466129,2204.31255518166,2159.6098595841,2260.38834798281
,5,3457.94980383093,3251.0345435421,3231.82120006983,3239.44129980747,3085.88164216431,3072.12065145586,3067.90830273758,2195.65964813356,2218.85517602641,2162.31001420625,2137.59227445059,2209.27452605004,3472.90877283206,3535.81399481097,3392.05317898903,3309.71642169297,3226.40989571578,3110.65142543951,3145.77249371761,2197.65122901539,2136.80062654762,2172.25594616253,2186.29816734515,2171.20310331873,3372.96493543228,3756.35415078295,3389.926480425,3262.56377130433,3258.67565615619,3120.28411893542,3036.90453656224,2145.81783823255,2150.44653510721,2148.39289293916,2136.90471358671,2160.60064114168,3420.0235165485,3492.99781571305,3431.26149606988,3311.30069484201,3454.47803683916,3416.5307366803,3194.72858644324,2157.31701269476,2132.18194743963,2141.04302856592,2134.44474102896,2145.63067703079,3330.95237669019,3300.76127129427,3296.29970008801,3286.9382192996,3160.96260435954,3250.06477486096,3018.61893601823,2113.33388594727,2191.54234603079,2145.16130801178,2165.79277630778,2156.20113122165,3419.96047791919,3572.32215726968,3262.06337164221,3344.32707254228,3194.44735596907,3178.58067957303,2754.88827854483,2159.46472413523,2259.408561535,2211.26610693187,2130.67073068658,2209.27452605004,3355.25279094638,3299.97964115797,3282.68482217153,3196.01061624166,3131.4590598275,3033.2876341216,2858.0226524622,2191.61540242678,2157.9835606822,2129.77401840143,2129.28363650597,2191.63543796013,3332.88091894271,3175.45318168474,3218.45554464132,3123.81794721341,3108.05535785646,3032.50502664221,2761.37246127602,2216.67643394283,2173.43388892186,2199.60078414435,2158.39086841499,2261.80647280653
,6,3466.44622930272,3259.92724432261,3233.96851848803,3246.66665088033,3092.37640139981,3071.29755049575,3073.68446708879,2195.37881432545,2213.70644393382,2164.27095549038,2138.16611683744,2206.0753477076,3482.43800850373,3538.34766308145,3391.74055335609,3310.96801908155,3226.98393483272,3111.71484828173,3149.53705535887,2198.4122434894,2136.57182563367,2173.5173558006,2179.82439623628,2166.61584632296,3376.28020455634,3755.69829915033,3393.22073973347,3265.7859285347,3261.72066921696,3130.26066977438,3041.05439611587,2145.24476978216,2155.25276483294,2148.28919405786,2135.69612606673,2156.84803337997,3422.53615101745,3492.57110349264,3434.52473219815,3314.48083511781,3454.29052242343,3421.55636439261,3193.73935928088,2157.33841536403,2134.18393169736,2139.88648532261,2134.69532656165,2145.52697765042,3340.39753519192,3309.74805034892,3299.64598600873,3284.75909337071,3164.74720428235,3249.78413156521,3025.93831648181,2110.17573868725,2193.7525151297,2143.7545656363,2166.49074638482,2154.27297820809,3430.24030365285,3571.43610804644,3261.25130011314,3343.5150158768,3198.93051804183,3183.69935623812,2758.3285359315,2156.64987703265,2256.43760190366,2211.50668857634,2132.31842773709,2206.04333971562,3355.42052287983,3300.73083703474,3286.52148761634,3196.65770627518,3131.37655144911,3042.6907130801,2868.4264992585,2193.07497191008,2160.02757536229,2132.03621986884,2132.20334556744,2194.48210187828,3336.97878844508,3179.58205339143,3218.13384721714,3130.09452141904,3113.18501689063,3041.9401134513,2764.37535872243,2219.07474616186,2173.90365072675,2197.14023122782,2156.75396409055,2263.30808073258
,7,3472.7216116303,3259.87461179196,3236.55398398358,3245.92548253867,3090.20809568836,3073.63186820891,3073.19450717609,2196.15003002902,2215.50948629326,2165.56261201006,2139.80302452037,2207.17983547221,3484.89832918972,3546.20730556674,3395.91026349406,3314.12594937968,3229.67348862936,3111.55815549134,3151.68419773379,2197.93245948957,2136.02901417799,2175.66467452499,2179.76194109441,2165.00015106171,3383.32721554495,3758.3037059119,3396.76495002635,3265.51412575754,3261.30275438235,3128.87398735421,3041.49218502712,2150.20733038591,2153.43891531328,2149.48776153583,2134.94514069108,2163.87425182193,3427.61258564304,3497.62651258771,3436.76589235326,3318.51544153304,3458.11595215625,3421.96207656769,3196.36588045491,2155.69071379285,2132.81844212705,2142.62827905804,2133.85027209441,2144.66090834965,3351.92713674658,3308.9968528429,3301.76207061852,3289.53330953956,3170.06289020713,3248.37543732975,3025.05107522988,2112.91656044781,2190.57257734965,2145.18232088822,2169.71192209903,2155.48156237157,3436.87999715903,3570.02833303724,3265.63922567307,3347.42353978745,3201.50499475837,3181.85429025328,2761.09025345876,2153.59504587193,2259.20038745681,2208.41983951776,2126.94876386375,2209.1183954914,3359.78741854862,3306.55789316158,3285.54110735232,3197.04342355212,3133.3565714369,3038.73998688543,2869.4587882951,2190.49952095367,2161.52838406995,2131.02501755674,2131.01499979007,2193.38683677756,3339.30206304459,3189.98578476281,3218.00816584183,3132.63700258682,3113.45566710075,3040.8556903397,2764.94831530689,2215.84276028698,2175.71671804454,2199.83998886565,2162.54017850396,2263.01544620897
,8,3474.30588477934,3269.50730528787,3241.97432876121,3246.90624632957,3098.44367723699,3075.98775372757,3076.39506146036,2197.22388574925,2213.75808747582,2166.97071906711,2141.24118487743,2206.15802327152,3485.78404636511,3545.09142409363,3398.21410549317,3319.34911518889,3233.3223990562,3114.63360986008,3154.80070051231,2200.34038852777,2136.03903194467,2172.30798968208,2180.44950195829,2169.71192209903,3387.59063043968,3761.3581474042,3396.34762452688,3271.16463483289,3263.01212744691,3130.33316058771,3041.45015927424,2146.41230716709,2153.55302011905,2147.3610629718,2142.27399218789,2156.51436968202,3433.565338069,3499.14872445052,3440.52890758588,3318.36932874107,3455.88516655312,3425.4548564359,3196.79322372105,2155.56561387732,2137.67632595634,2138.09267411271,2136.1961398464,2146.90268906254,3354.38710930433,3309.79949585563,3307.09934123349,3287.97004926696,3170.39714154394,3253.17125987281,3027.40793809163,2112.32209151326,2189.62382154495,2143.2537786357,2167.50214937234,2154.36665824155,3441.67581970209,3570.91502755573,3267.51572440604,3350.44695063664,3203.17331941315,3187.94216036144,2765.44871496901,2155.73176220263,2259.41955664476,2210.24429473118,2133.91233338063,2209.07734708162,3362.21636046326,3303.14818745603,3284.20605669126,3199.37829619434,3134.20124020251,3041.92954605993,2872.26302995633,2191.41724611526,2161.82060965388,2131.36928666022,2131.43134794644,2196.13903491925,3346.48577909251,3192.03942693086,3220.54119479557,3132.88720241789,3115.99871382116,3039.64671693726,2769.58702994822,2216.65542106639,2175.53957460946,2201.14303154051,2159.26656782371,2267.2798384468
,9,3478.80009252934,3271.49849992843,3240.97411502357,3250.22149267705,3100.41480543241,3076.19746096323,3078.28213415105,2193.74249736122,2214.81133049679,2164.45811672595,2137.58264290723,2207.65962114288,3489.39156151032,3548.74097571511,3395.56660790931,3320.55868855746,3234.5529697615,3112.4444350303,3156.17736984849,2199.17383822996,2139.49017262797,2171.09940855884,2181.13843425833,2168.30518415941,3388.42589366715,3760.34800974155,3397.8604325562,3272.54132519397,3262.21007385775,3127.68659194577,3046.53778051356,2148.04901195008,2153.62646563719,2152.8658482399,2140.27278024876,2158.54738898491,3436.59938761749,3498.04447012185,3441.42624167579,3317.49422874479,3455.58354756524,3425.93486222732,3198.68031816556,2155.87826452361,2131.19252829388,2141.40869746046,2134.32002674725,2147.83082006579,3359.11048238317,3311.38534465642,3309.90418093578,3293.74625337944,3173.69136118735,3258.59317076359,3033.29819995152,2112.68775521843,2190.00953475414,2146.63186421339,2163.62444291948,2152.9699352978,3443.19865368991,3575.61644953383,3266.01511553074,3350.63471723873,3204.26778962116,3185.10746354958,2768.59674862703,2155.47193406049,2260.17056451073,2209.66122015304,2134.06982687098,2208.76450770586,3362.09186801817,3304.05649183543,3288.76229139102,3205.74895334181,3136.50564891263,3046.31861128601,2873.30539684575,2192.90784621148,2162.96791258009,2131.12948965318,2131.55683299653,2191.56375488398,3355.13831501158,3196.73076268436,3220.58282510762,3138.34012222418,3115.91620264936,3042.04517785246,2772.81911587489,2216.85397792415,2178.05296156543,2200.00751203643,2158.41227127829,2258.49222178603
,10,3483.79309494298,3273.82335522404,3244.16465211764,3251.55556623607,3101.68584035072,3078.71949526289,3078.85559031278,2196.33758807006,2218.52230288037,2164.10382979178,2135.87326953381,2209.70324591351,3491.8625296243,3553.34866054586,3402.99954778821,3323.74922565152,3238.52513713309,3119.7732878513,3158.1269253297,2198.06895166698,2135.26878272337,2169.78537053679,2181.99312094504,2167.50254100165,3392.35603527828,3764.47630769999,3394.13846506088,3275.69985429606,3263.81536017326,3133.26306828961,3046.60081915426,2150.34283659697,2158.01595858365,2146.36065145689,2143.49337064828,2160.6110492925,3438.18463839604,3504.13234132998,3444.43963530277,3324.98922992112,3455.04112205223,3425.86180581814,3200.70293005595,2159.28797084523,2134.51818309456,2140.23075448829,2136.55081275344,2142.94092736679,3360.03822547906,3315.86792954904,3309.42479406347,3293.73525826768,3175.5888731396,3258.12380165977,3035.43491666829,2113.11509856178,2189.00873524907,2145.31782619135,2167.40847171223,2155.37786477107,3450.96486762274,3574.07420185901,3270.19545701813,3350.22838677561,3205.89408881691,3185.26359413644,2769.54550460315,2155.61804687886,2256.65677113121,2211.20444517112,2130.15972079682,2206.89802640233,3365.10526164515,3306.89176465206,3288.50207374626,3206.91590120222,3135.49483163907,3046.73593686088,2871.6380492328,2194.7432968663,2160.17368818066,2132.97495807648,2128.99277293641,2190.55196026715,3357.37007836104,3200.45273017968,3224.45090542131,3139.29987331206,3121.76486909297,3042.61863401419,2776.35294479138,2216.02030411767,2177.26033617616,2201.75891117032,2158.31820198887,2259.30488271227
