,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CARM,Unkn,HC1,25.0127767386972,NaN
,A02,FAM,CARM,Unkn,NC1,26.1118723908356,NaN
,A03,FAM,CARM,Unkn,SC1,25.791040633508,NaN
,A04,FAM,CARM,Unkn,HT1,27.0515937158527,NaN
,A05,FAM,CARM,Unkn,NT1,26.2665746110033,NaN
,A06,FAM,CARM,Unkn,ST1,26.2214577566455,NaN
,A07,FAM,CARM,NTC,NTC,31.3086865119752,NaN
,B01,FAM,CARM,Unkn,HC2,25.7087053259151,NaN
,B02,FAM,CARM,Unkn,NC2,24.6555133175189,NaN
,B03,FAM,CARM,Unkn,SC2,24.4792970809188,NaN
,B04,FAM,CARM,Unkn,HT2,25.7816380211629,NaN
,B05,FAM,CARM,Unkn,NT2,26.0092034194517,NaN
,B06,FAM,CARM,Unkn,ST2,25.4358275692826,NaN
,B07,FAM,CARM,NTC,NTC,30.3810265589837,NaN
,C01,FAM,CARM,Unkn,HC3,25.9096983924071,NaN
,C02,FAM,CARM,Unkn,NC3,24.8434073781673,NaN
,C03,FAM,CARM,Unkn,SC3,24.2830907386637,NaN
,C04,FAM,CARM,Unkn,HT3,26.6876018519093,NaN
,C05,FAM,CARM,Unkn,NT3,23.2066295603796,NaN
,C06,FAM,CARM,Unkn,ST3,27.2427529548042,NaN
,C07,FAM,CARM,NTC,NTC,30.7925391300902,NaN
,D01,FAM,CARM,Unkn,HC4,25.2865948464051,NaN
,D02,FAM,CARM,Unkn,NC4,23.9566810790434,NaN
,D03,FAM,CARM,Unkn,SC4,24.8033630185898,NaN
,D04,FAM,CARM,Unkn,HT4,26.0531305265549,NaN
,D05,FAM,CARM,Unkn,NT4,25.3549660054205,NaN
,D06,FAM,CARM,Unkn,ST4,26.3946563694888,NaN
,D07,FAM,CARM,NTC,NTC,31.0607641723341,NaN
,E01,FAM,CARM,Unkn,HC5,24.6512099824327,NaN
,E02,FAM,CARM,Unkn,NC5,25.4161183724689,NaN
,E03,FAM,CARM,Unkn,SC5,25.2554560506905,NaN
,E04,FAM,CARM,Unkn,HT5,25.7424589851573,NaN
,E05,FAM,CARM,Unkn,NT5,25.7919927995299,NaN
,E06,FAM,CARM,Unkn,ST5,28.2868226257789,NaN
,F01,FAM,CARM,Unkn,HC6,29.3670617355531,NaN
,F02,FAM,CARM,Unkn,NC6,24.2646738327718,NaN
,F03,FAM,CARM,Unkn,SC6,24.9875288880282,NaN
,F04,FAM,CARM,Unkn,HT6,25.3926395804807,NaN
,F05,FAM,CARM,Unkn,NT6,26.2341386846788,NaN
,F06,FAM,CARM,Unkn,ST6,26.7051748290801,NaN
,G01,FAM,CARM,Unkn,HC7,24.2542463039278,NaN
,G02,FAM,CARM,Unkn,NC7,23.310998990791,NaN
,G03,FAM,CARM,Unkn,SC7,23.8895326051247,NaN
,G04,FAM,CARM,Unkn,HT7,24.7966267558394,NaN
,G05,FAM,CARM,Unkn,NT7,24.8698397280254,NaN
,G06,FAM,CARM,Unkn,ST7,25.81908038528,NaN
,H01,FAM,CARM,Unkn,HC8,24.0805307697603,NaN
,H02,FAM,CARM,Unkn,NC8,25.6295950963353,NaN
,H03,FAM,CARM,Unkn,SC8,23.9421841494652,NaN
,H04,FAM,CARM,Unkn,HT8,25.5044472525055,NaN
,H05,FAM,CARM,Unkn,NT8,26.2181879929334,NaN
,H06,FAM,CARM,Unkn,ST8,26.2943623121946,NaN
