Cycles,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8,Actin_ST_8
1,3215.526203,3425.454856,3325.030655,3238.638657,3425.370805,3355.054635,3196.167724,3368.753564,3473.878542,3512.232172,3395.440894,3513.316046,3332.078276,3261.636028,3374.768378,3580.297521,3516.193344,3449.880371,3352.750793,3290.961452,3272.20746,3340.501019,3508.344057,3450.120553,3422.108189,3490.193574,3528.5582,3351.259611,3193.508618,3287.688819,3372.401497,3296.070513,3351.844063,3322.132344,3325.583098,3554.954282,3281.141597,3530.069416,3393.200091,3292.108364,3292.098346,3327.261441,3239.608425,3279.296129,3277.878005,3264.15904,3194.936761,3308.048097,3239.483326,3279.973672,3287.021293,3287.188419
2,3258.248313,3439.152809,3330.274834,3244.174084,3434.576155,3357.723759,3208.572651,3403.468302,3476.068279,3513.712358,3397.609619,3528.443118,3344.963567,3263.721679,3405.052575,3581.725664,3513.744366,3453.862555,3354.783422,3296.5499,3277.784913,3375.654095,3507.582462,3454.738254,3439.841347,3489.390931,3532.925702,3353.855679,3207.22856,3291.86916,3373.184105,3297.83193,3367.783795,3323.675569,3344.879516,3555.756925,3283.466452,3524.127659,3393.679478,3290.012696,3310.446008,3330.169769,3243.830792,3282.914009,3278.785712,3264.138027,3213.847861,3326.458797,3261.208685,3296.675,3297.623756,3288.314318
3,3275.303927,3439.632195,3334.871522,3255.579189,3437.193236,3361.090461,3215.516185,3429.238885,3479.278851,3514.473953,3405.678075,3537.085029,3347.496596,3268.548532,3428.769516,3585.686835,3516.402495,3456.427592,3359.631288,3299.333129,3279.95266,3389.154868,3507.468358,3462.119149,3446.065312,3491.215386,3528.223948,3361.987174,3273.604572,3293.765694,3373.236148,3298.009073,3370.097655,3326.510841,3367.804808,3557.310167,3290.972447,3523.90849,3397.494537,3289.481266,3332.995024,3331.932163,3249.408245,3285.634199,3277.983069,3265.598177,3232.654874,3341.356683,3272.968077,3298.728642,3303.38837,3294.391193
4,3292.462651,3446.669799,3340.021632,3256.579988,3444.616156,3364.968559,3225.117848,3441.811915,3480.874119,3516.912912,3407.659638,3539.211728,3353.501392,3272.644821,3443.865557,3587.209047,3520.906092,3459.482033,3362.935929,3304.972643,3281.141597,3407.221299,3513.04581,3462.036075,3446.23146,3497.512408,3527.880657,3360.955344,3270.997509,3294.33915,3377.968932,3301.48084,3381.356648,3328.127122,3390.311798,3563.147838,3296.0495,3525.409689,3396.754932,3295.204831,3350.957368,3334.371123,3248.834789,3284.467252,3278.108169,3268.225275,3245.696296,3348.945752,3281.047528,3301.939214,3308.830705,3302.314514
5,3296.236661,3450.328727,3340.96037,3264.002909,3441.342546,3368.075044,3225.252966,3452.851738,3478.173964,3521.406492,3410.641023,3548.699286,3357.494572,3273.562546,3453.591342,3596.247272,3520.696941,3463.401179,3366.146501,3308.777684,3280.724272,3421.722872,3511.856872,3460.972237,3451.589744,3500.628911,3535.094426,3369.608251,3270.956461,3298.249255,3377.35345,3304.847543,3386.381657,3331.577876,3398.620436,3566.161231,3303.492457,3528.234943,3403.708484,3299.14499,3357.66072,3333.454375,3253.108221,3287.698837,3285.884399,3271.445865,3250.627236,3355.210765,3288.022093,3302.043301,3317.420573,3301.48084
6,3304.004448,3454.051318,3346.881719,3262.304143,3445.690635,3372.746376,3232.217119,3458.325728,3482.626147,3516.299043,3410.870826,3552.713143,3357.68234,3275.751898,3462.00567,3594.663648,3527.933338,3463.652005,3366.991778,3311.937788,3287.314113,3431.210073,3517.789247,3469.354559,3452.810336,3500.067082,3534.500596,3367.503173,3275.845967,3298.082725,3381.409302,3308.361933,3389.551793,3335.112307,3411.381244,3568.340618,3307.923595,3527.452973,3404.323604,3301.65858,3367.909504,3334.715994,3255.924046,3294.152584,3289.210648,3271.2483,3253.620204,3360.288425,3289.57593,3310.592719,3324.655956,3301.762667
7,3309.206602,3454.759892,3348.9984,3265.493703,3451.976662,3369.01439,3230.34062,3463.381769,3486.941606,3524.388514,3411.381244,3559.697727,3360.976964,3276.857762,3468.896185,3600.03195,3528.047442,3460.858758,3374.278606,3317.921572,3290.878973,3439.372599,3517.695178,3465.435412,3456.501273,3505.769636,3533.687935,3373.163701,3277.253097,3302.44021,3383.797196,3310.717819,3394.90006,3336.998824,3436.474288,3571.80139,3310.165376,3527.568056,3406.096016,3301.200206,3373.778206,3332.391139,3257.237107,3295.080327,3287.052918,3276.482462,3282.79952,3361.602463,3293.756271,3314.0855,3323.86333,3304.139566
8,3314.845518,3458.001847,3353.366274,3273.583559,3455.906179,3379.083836,3234.989746,3467.009041,3485.08549,3523.387077,3420.57596,3561.396439,3368.878664,3283.22627,3471.73083,3603.795292,3525.409689,3468.458197,3371.609849,3316.711999,3292.462651,3449.400984,3515.213557,3470.866126,3455.603936,3507.676532,3535.438695,3374.362047,3278.95186,3303.242257,3382.28439,3307.506649,3398.381231,3338.885715,3443.177019,3575.56376,3315.439987,3526.712732,3410.046554,3303.492457,3378.156093,3334.705374,3262.991115,3298.561516,3294.746458,3274.813545,3286.197638,3368.284195,3297.73786,3315.461,3329.482208,3312.812889
9,3318.160177,3457.542496,3357.389507,3273.989889,3458.105934,3379.751362,3240.963512,3473.179986,3485.200573,3524.763176,3418.386223,3565.639818,3367.158296,3286.750081,3477.912769,3605.567704,3533.853445,3469.750244,3377.07222,3315.355936,3293.984863,3456.010266,3521.364466,3472.002043,3456.980035,3508.531218,3538.002755,3375.080639,3280.025716,3302.845944,3385.12064,3311.770064,3402.457485,3340.365901,3448.702428,3579.171622,3320.808288,3526.306401,3409.46308,3307.912979,3383.483346,3335.768235,3266.181651,3296.392792,3295.642193,3276.35677,3309.945609,3371.005363,3297.86296,3317.712799,3338.916746,3317.170373
10,3321.662975,3462.463419,3357.869871,3275.240889,3457.574504,3380.199718,3245.436078,3475.650953,3489.463987,3526.764775,3418.220074,3567.682465,3369.847455,3287.25048,3481.770831,3607.256064,3529.058599,3469.343914,3379.887457,3319.318085,3296.862161,3463.474236,3521.04121,3472.794668,3461.61875,3512.232172,3545.988136,3381.075417,3281.850171,3307.506649,3388.038987,3315.513044,3407.731717,3342.638712,3448.712446,3577.39921,3321.913175,3527.171106,3412.18327,3307.44361,3389.300981,3341.303662,3261.824167,3303.867756,3291.973247,3278.639599,3310.665177,3372.558605,3303.482439,3320.819284,3341.6169,3313.969819
