,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3215.52620306455,3425.4548564359,3325.03065490734,3238.63865679474,3425.37080493015,3355.05463463486,3196.1677241434,2197.99549811888,2222.78531692743,2167.28298018439,2139.01039927431,2209.00429068563,3368.75356405709,3473.8785415132,3512.23217206177,3395.44089447505,3513.31604554868,3332.07827592997,3261.63602837607,2201.71648759862,2141.68954102001,2173.02755853216,2175.87284860318,2171.82860289639,3374.76837776927,3580.29752122058,3516.1933436059,3449.88037060762,3352.75079263575,3290.96145212995,3272.20745991001,2148.08063182187,2158.31781201901,2148.77918779551,2138.32283841043,2156.38926976649,3340.50101868036,3508.34405691362,3450.12055267201,3422.10818935966,3490.19357405182,3528.55819971015,3351.25961141605,2152.77138998275,2132.70335997819,2141.220172001,2135.99798353488,2149.3626616203,3193.50861793104,3287.68881879279,3372.40149714085,3296.07051313338,3351.84406258392,3322.13234397369,2991.57731873012,2113.76122921341,2188.86320428509,2146.84966819991,2170.61865215086,2156.76456951308,3325.58309808902,3554.95428188726,3281.14159743228,3530.0694164632,3393.20009110525,3292.10836424617,2812.16302698175,2153.30282028799,2250.41236272651,2212.39200617165,2130.57666141416,2208.58696518617,3292.09834647949,3327.26144051047,3239.60842547588,3279.29612934242,3277.8780045187,3264.15903956313,2892.06986502007,2191.1670462842,2164.71892058754,2133.35989019896,2129.90913608363,2187.46609233781,3194.93676052143,3308.04809703819,3239.48332556035,3279.97367243963,3287.02129346226,3287.18841913066,2854.47782907445,2227.02869628882,2173.74615003914,2203.80213775286,2161.89366604987,2262.37992886464
,2,3258.24831289005,3439.15280851503,3330.27483359299,3244.17408372123,3434.57615515992,3357.7237586139,3208.57265131435,2193.24170132869,2219.28251929255,2164.14546452943,2137.29003109998,2210.43243327603,3403.46830194549,3476.06827870654,3513.71235817171,3397.60961879195,3528.44311756129,3344.9635672297,3263.72167853032,2195.99389947038,2139.13549918984,2173.08961981838,2177.00974295272,2167.04377546309,3405.05257509452,3581.72566381097,3513.74436615791,3453.86255502818,3354.78342192736,3296.54989991907,3277.78491258937,2147.81943688105,2153.74115866389,2146.59946836884,2135.0072019773,2163.22773936784,3375.65409494466,3507.58246231067,3454.7382544369,3439.841346722,3489.39093103908,3532.92570164399,3353.8556789991,2154.23056321626,2130.93094828432,2139.84407293015,2129.89911831696,2146.32923300444,3207.2285602297,3291.86915952487,3373.18410462023,3297.8319297175,3367.78379537595,3323.67556871294,2995.45541611159,2113.43797298637,2184.81798123521,2147.64229344597,2164.19750804898,2158.26576849946,3344.87951572395,3555.7569249,3283.46645230783,3524.12765914701,3393.67947789094,3290.01269632524,2815.69685525973,2153.99135849496,2246.53426534503,2210.18223344496,2129.07546242778,2207.03372268024,3310.44600830973,3330.1697692108,3243.83079196083,3282.91400912616,3278.78571191362,3264.13802668669,2892.41413412355,2192.94947574475,2163.89526469837,2130.35749222621,2130.18034879113,2193.1366369465,3213.8478606431,3326.45879749774,3261.20868510993,3296.6749998346,3297.62375563931,3288.31431837044,2855.4786283987,2223.95324192008,2174.00734497997,2200.35138363754,2161.50737119351,2262.34889822153
,3,3275.30392715518,3439.63219530072,3334.87152248145,3255.57918891102,3437.1932356194,3361.09046122348,3215.51618529788,2192.60520664127,2222.22285597908,2168.07560543045,2136.58145735966,2209.50469034776,3429.23888454495,3479.27885075748,3514.47395277466,3405.67807467218,3537.08502949963,3347.49659618344,3268.54853171649,2193.74210099081,2135.28843245148,2175.02915718066,2177.14486063493,2171.08802116988,3428.76951552593,3585.6868353551,3516.40249502718,3456.42759196812,3359.63128798998,3299.33312870387,3279.95265956319,2147.14189378384,2160.9659231216,2148.23676238052,2141.30422350675,2165.28138153589,3389.15486805537,3507.4683575049,3462.11914945325,3446.06531185546,3491.2153862525,3528.22394837334,3361.98717350863,2152.42712087927,2131.29623026424,2142.26299707812,2131.87970408902,2147.26699369938,3273.60457185729,3293.76569379118,3373.23614813978,3298.00907315258,3370.09765514173,3326.51084101728,3004.09732804992,2113.85529848584,2186.69447996818,2144.35866499904,2164.5307820427,2152.72936422988,3367.80480825239,3557.31016740592,3290.97244723971,3523.90848995906,3397.4945366431,3289.48126602001,2822.42122005532,2153.72014578746,2250.2452370581,2216.00988595539,2130.72277420613,2206.50229237501,3332.99502374848,3331.932163138,3249.4082446402,3285.63419928165,3277.98306890089,3265.59817726329,2899.43072450307,2192.91844510164,2163.64506486731,2130.3264615831,2136.40431392459,2193.90824931613,3232.65487372567,3341.35668255573,3272.96807716987,3298.72864200265,3303.38836952042,3294.39119336884,2854.43580332157,2227.96743432685,2178.29177275115,2201.98770030612,2157.50417389651,2263.01544620897
,4,3292.46265111632,3446.66979855668,3340.02163189467,3256.57998823527,3444.61615638863,3364.96855860495,3225.11784815068,2193.96029283567,2219.07434521436,2164.20752581565,2139.18754270939,2209.69185154951,3441.81191472739,3480.87411901628,3516.91291245597,3407.65963778734,3539.21172806366,3353.50139212894,3272.64482094282,2194.70087456219,2137.29003109998,2170.73373429972,2179.81398461396,2169.05539187826,3443.86555689544,3587.20904721791,3520.9060919863,3459.48203346042,3362.93592931334,3304.97264266946,3281.14159743228,2145.98496390095,2157.43111750052,2150.66570429516,2139.33365550135,2162.51916562752,3407.22129941143,3513.04581018427,3462.03607529059,3446.23146018077,3497.51240778194,3527.88065661295,3360.95534354127,2156.29520049407,2135.18434541238,2141.00198015614,2134.27761536055,2149.75897424333,3270.99750916448,3294.33914984929,3377.96893205354,3301.48084014434,3381.35664753955,3328.12712215252,3010.94679276104,2116.5134273551,2188.83119629889,2144.42072628526,2165.27136376921,2153.08462844313,3390.31179793826,3563.14783768302,3296.04950025695,3525.40968894543,3396.75493225967,3295.20483149134,2825.43363579474,2155.49255748133,2249.4636069218,2215.08214302712,2128.98139315536,2208.26370895912,3350.95736806544,3334.37112281932,3248.83478858209,3284.46725163208,3278.10816881642,3268.22527548944,2905.53960748767,2195.04514366567,2165.92789398998,2133.61009003002,2130.18034879113,2190.6246208692,3245.69629558404,3348.94575165027,3281.04752815986,3301.93921405359,3308.83070451758,3302.31451380019,2870.38653122336,2225.78771490018,2172.97551501261,2200.0591580536,2159.6418675703,2264.28745824072
,5,3296.2366614587,3450.32872675019,3340.9603699327,3264.00290900449,3441.34254570837,3368.0750436168,3225.25296583289,2195.25331774386,2222.71323787453,2166.61545485386,2144.27559083639,2209.95304649034,3452.85173793726,3478.17396439413,3521.40649164843,3410.64102288365,3548.6992861107,3357.49457165927,3273.56254610442,2194.8990308737,2138.93734287832,2175.23733125885,2183.12864370399,2171.4533031498,3453.59134232068,3596.24727177928,3520.69694056502,3463.40117925167,3366.14650136428,3308.77768365494,3280.72427193281,2148.40388804892,2157.65028668848,2146.19313797914,2137.15491341777,2162.05981437518,3421.72287184639,3511.85687231517,3460.97223733703,3451.58974367218,3500.62891056046,3535.09442596089,3369.60825058937,2154.44973240421,2134.42372815252,2139.56284245598,2131.50440434243,2149.6018663416,3270.9564607547,3298.24925521696,3377.35345024255,3304.84754275393,3386.38165703725,3331.57787626785,3013.25063476015,2114.11551608357,2185.6726677675,2146.04702518717,2168.70110500811,2156.59744384468,3398.62043588288,3566.16123076554,3303.49245655952,3528.23494348311,3403.70848400988,3299.14499015903,2830.36457602001,2153.52198947594,2248.45181248779,2211.766506594,2131.01499979007,2209.33756467935,3357.66071998459,3333.45437500082,3253.1082212435,3287.69883655946,3285.88439911271,3271.44586530706,2910.49156058937,2194.82597447772,2161.18411496646,2133.49598522426,2127.03183802641,2192.72028879012,3250.62723580931,3355.21076519351,3288.02209278651,3302.04330109269,3317.42057293637,3301.48084014434,2872.26302995633,2225.45444090646,2175.17526997263,2201.07095248761,2159.70392885652,2264.32948399359
,6,3304.00444830648,3454.05131765891,3346.88171909469,3262.30414314716,3445.69063468412,3372.74637563985,3232.21711935414,2197.04713928167,2221.63978356525,2166.03237239275,2137.05121250598,2206.04333971562,3458.32572843572,3482.62614708256,3516.29904332103,3410.87082612221,3552.7131430867,3357.68233953474,3275.75189782501,2196.12941395426,2136.79001751796,2172.08921295217,2178.29216632995,2170.84920868257,3462.00567017058,3594.66364812228,3527.93333756755,3463.65200490329,3366.99177848566,3311.93778793791,3287.31411300562,2145.1616956045,2155.56600334991,2146.06842582016,2134.46516222235,2159.6422577794,3431.21007250921,3517.78924746689,3469.35455852854,3452.81033604604,3500.06708201224,3534.50059564799,3367.50317334994,2158.39125839805,2133.24617083298,2139.6783112068,2136.0914614181,2146.46473851479,3275.84596711443,3298.08272545368,3381.40930201986,3308.36193326096,3389.55179311036,3335.11230714155,3020.85124477875,2114.32407218266,2186.77794924288,2143.07702241667,2167.98192787396,2157.07722037601,3411.38124364323,3568.34061758505,3307.92359480585,3527.45297335198,3404.32360357874,3301.65858013064,2837.65191447737,2157.12926390496,2246.89897595671,2210.45384554231,2129.35707763906,2210.34878114115,3367.90950381307,3334.71599444691,3255.9240463023,3294.15258384256,3289.2106476146,3271.24830005216,2914.94364070763,2193.9606892455,2162.61264830265,2131.75498934385,2131.47375881887,2192.98090262066,3253.62020388692,3360.28842535533,3289.57592966052,3310.59271926715,3324.65595586718,3301.76266718854,2873.86883523899,2227.99886752989,2174.73732453323,2202.00911104659,2162.40447418685,2264.02764971267
,7,3309.20660217918,3454.75989152725,3348.9984002745,3265.49370289797,3451.97666223957,3369.01439037604,3230.34062028212,2193.4813023732,2222.65060083881,2163.90567344446,2138.52138111487,2212.08014473806,3463.38176949006,3486.94160627658,3524.38851353931,3411.38124364323,3559.69772674201,3360.97696368671,3276.85776173125,2196.76493141342,2137.32242526248,2174.55016329766,2181.33659060565,2171.75593889823,3468.89618453647,3600.03195035033,3528.04744239394,3460.85875784713,3374.27860554618,3317.92157208814,3290.87897257082,2143.15007882586,2154.14787826996,2146.78799480025,2139.48015485948,2161.2575618634,3439.37259913668,3517.69517817747,3465.43541202916,3456.50127289265,3505.76963563748,3533.68793472175,3373.16370121472,2153.30320935173,2134.32002674725,2140.40789795538,2133.90270117237,2149.95751901408,3277.25309708262,3302.44021040816,3383.79719595617,3310.71781920528,3394.90005980144,3336.99882398205,3025.22974261347,2112.46858599088,2183.93265865776,2148.75856316168,2168.70149685405,2156.1184466314,3436.47428767935,3571.80139009236,3310.1653759238,3527.56805552163,3406.09601559286,3301.20020613857,2839.00797825988,2157.39045889298,2248.74444438001,2211.870993279,2129.67031615603,2206.87799086536,3373.77820579365,3332.3911391513,3257.23710698108,3295.08032693845,3287.0529180176,3276.48246191685,2921.55292454854,2193.62741519157,2164.98954712721,2129.12789064302,2132.33846327406,2192.49149797987,3282.79952012102,3361.60246337738,3293.75627114792,3314.08549976644,3323.86333047791,3304.1395660131,2879.550375984,2224.65219984897,2172.85080769273,2200.78914231396,2158.69350180327,2262.32829410774
,8,3314.84551822976,3458.00184735048,3353.36627444674,3273.58355898085,3455.90617942956,3379.08383618355,3234.98974636789,2193.12661917983,2220.90881819446,2162.65428330973,2140.30342418249,2211.32914556118,3467.00904126874,3485.08549039147,3523.38707742049,3420.57595973017,3561.39643886558,3368.87866397262,3283.22627024344,2195.77473028242,2136.21617537974,2173.50694531785,2179.46971551048,2170.19130888472,3471.73083007273,3603.79529246403,3525.40968894543,3468.45819673556,3371.60984923787,3316.71199919606,3292.46265111632,2152.88647213161,2154.98116270944,2149.46674865939,2139.44873765021,2156.64948736423,3449.40098382193,3515.21355715808,3470.86612577377,3455.60393607895,3507.67653158309,3535.43869506438,3374.36204737956,2158.66208112249,2134.66293287382,2140.54262890379,2135.77881434693,2146.06803806361,3278.95186023894,3303.24225672845,3382.28439046782,3307.50664896628,3398.38123116158,3338.88571488821,3026.94858683928,2116.7846400626,2187.11180546765,2145.45353359572,2165.83382471756,2155.69071379285,3443.17701868847,3575.56375996373,3315.43998716431,3526.71273162029,3410.0465539491,3303.49245655952,2841.20722026145,2154.5858274295,2250.2452370581,2213.71606172295,2132.4631779138,2208.40982175109,3378.15609325529,3334.70537415613,3262.99111457048,3298.56151633425,3294.74645758209,3274.81354525973,2920.63467151409,2195.24329997719,2164.37465148406,2134.33967664677,2132.45316014713,2190.70769503186,3286.19763757308,3368.28419503808,3297.73786044508,3315.46100004074,3329.48220834692,3312.81288893815,2884.28263961401,2228.09253424238,2174.63284455763,2201.1120008974,2161.35124063487,2261.9525855985
,9,3318.16017731979,3457.54249609814,3357.38950727709,3273.98988937056,3458.10593438957,3379.75136151408,3240.96351167029,2195.20127422431,2219.46064007072,2163.8532389455,2143.31583992192,2205.9288363169,3473.17998553955,3485.20057254033,3524.76317649134,3418.38622253683,3565.63981822697,3367.15829579829,3286.75008075476,2196.78554737335,2135.10127124973,2176.39426114174,2183.49392568391,2164.66687706799,3477.91276945331,3605.56770415791,3533.85344457225,3469.75024430066,3377.07221976838,3315.35593565856,3293.98486297914,2145.60966415436,2155.78478306527,2152.15688551486,2134.51779742494,2157.66128179824,3456.01026646865,3521.36446589556,3472.00204278023,3456.98003514979,3508.53121811537,3538.00275466122,3375.08063888655,2157.52518677294,2138.02059505982,2139.75098100082,2135.30944532791,2149.61286145136,3280.02571595917,3302.84594410542,3385.12064011526,3311.77006386102,3402.45748485457,3340.36590099815,3034.01722073835,2112.16596095462,2188.17466607812,2145.3594643233,2165.69870703536,2161.19511007623,3448.70242784829,3579.1716219808,3320.80828842239,3526.30640123059,3409.46308012432,3307.91297935599,2848.12876402546,2157.73336085113,2247.60812106527,2209.12939060117,2133.6521157829,2211.21406341232,3383.48334610359,3335.7682347666,3266.18165108807,3296.39279201734,3295.64219252415,3276.35676999898,2927.42109759589,2190.79174653761,2166.37625013256,2131.09807395272,2126.09407733147,2196.93166016532,3309.9456086476,3371.00536253665,3297.86296036061,3317.71279852031,3338.91674553132,3317.17037310531,2886.28423826252,2228.98826918445,2174.71591872028,2201.73750047505,2161.68451462859,2263.52684098086
,10,3321.66297495467,3462.46341855673,3357.86987140586,3275.24088852587,3457.57450408434,3380.19971765666,3245.4360779863,2194.65884880931,2222.92141195272,2161.54939694638,2138.59307377484,2210.66162023065,3475.65095320707,3489.46398743507,3526.76477513984,3418.22007421151,3567.68246528526,3369.84745531067,3287.25048041688,2197.5471419763,2135.9249271389,2174.3716496168,2179.36562847138,2172.21392040966,3481.77083130143,3607.25606434604,3529.05859937228,3469.34391391096,3379.88745653938,3319.31808454578,3296.86216103636,2147.6322756793,2158.71412464204,2147.74638048506,2135.46557588656,2165.72973767847,3463.47423564766,3521.04120966851,3472.79466802629,3461.61874979112,3512.23217206177,3545.98813637879,3381.07541706538,2156.49335680558,2131.33727867402,2139.57383756574,2130.60769205727,2149.2585745812,3281.8501711726,3307.50664896628,3388.03898658226,3315.51304356029,3407.73171684023,3342.63871235415,3035.67455028337,2114.92915420607,2188.47690942873,2145.92192527164,2169.28457883289,2155.62767516354,3448.71244561496,3577.39921028692,3321.91317478573,3527.17110552954,3412.18327027981,3307.44361033697,2850.53669306367,2155.84684435149,2250.44339336962,2206.86659701184,2130.222374544,2208.14862681026,3389.30098084734,3341.30366169309,3261.82416692091,3303.86775630611,3291.97324656396,3278.63959912166,2931.50834639864,2194.00231858855,2162.71732193904,2129.66993136233,2129.33568002552,2193.5439446793,3310.66517749768,3372.55860504258,3303.48243879284,3320.81928353215,3341.61690015346,3313.96981882104,2893.86328959038,2227.15379620435,2177.38504269932,2198.78714602185,2158.64106824605,2263.99620999987
