,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,Actin,Unkn,HC1,22.0021780232476,NaN
,A02,FAM,Actin,Unkn,NC1,23.0448320954557,NaN
,A03,FAM,Actin,Unkn,SC1,22.0518219613433,NaN
,A04,FAM,Actin,Unkn,HT1,24.1954345021748,NaN
,A05,FAM,Actin,Unkn,NT1,23.2092884492445,NaN
,A06,FAM,Actin,Unkn,ST1,23.8876112191009,NaN
,A07,FAM,Actin,NTC,NTC,34.0926552152303,NaN
,B01,FAM,Actin,Unkn,HC2,21.1301803406031,NaN
,B02,FAM,Actin,Unkn,NC2,21.2587316531899,NaN
,B03,FAM,Actin,Unkn,SC2,21.0119866047855,NaN
,B04,FAM,Actin,Unkn,HT2,23.1127487060389,NaN
,B05,FAM,Actin,Unkn,NT2,22.5592022011232,NaN
,B06,FAM,Actin,Unkn,ST2,23.2147506877974,NaN
,B07,FAM,Actin,NTC,NTC,37.4037998566222,NaN
,C01,FAM,Actin,Unkn,HC3,22.2939572729274,NaN
,C02,FAM,Actin,Unkn,NC3,22.0871107049748,NaN
,C03,FAM,Actin,Unkn,SC3,21.0072082373575,NaN
,C04,FAM,Actin,Unkn,HT3,23.8875743241742,NaN
,C05,FAM,Actin,Unkn,NT3,23.0968979400536,NaN
,C06,FAM,Actin,Unkn,ST3,25.3084019506578,NaN
,C07,FAM,Actin,NTC,NTC,34.111726297975,NaN
,D01,FAM,Actin,Unkn,HC4,21.4075279664762,NaN
,D02,FAM,Actin,Unkn,NC4,20.9658367710731,NaN
,D03,FAM,Actin,Unkn,SC4,22.8860493580183,NaN
,D04,FAM,Actin,Unkn,HT4,21.8068755064908,NaN
,D05,FAM,Actin,Unkn,NT4,24.798244211912,NaN
,D06,FAM,Actin,Unkn,ST4,23.9655605066779,NaN
,D07,FAM,Actin,NTC,NTC,39.1249367133334,NaN
,E01,FAM,Actin,Unkn,HC5,22.372358407392,NaN
,E02,FAM,Actin,Unkn,NC5,22.1917662138596,NaN
,E03,FAM,Actin,Unkn,SC5,21.4210974203692,NaN
,E04,FAM,Actin,Unkn,HT5,23.9389535283764,NaN
,E05,FAM,Actin,Unkn,NT5,24.003161488149,NaN
,E06,FAM,Actin,Unkn,ST5,25.2809811048124,NaN
,F01,FAM,Actin,Unkn,HC6,27.2251872464508,NaN
,F02,FAM,Actin,Unkn,NC6,21.2012109258506,NaN
,F03,FAM,Actin,Unkn,SC6,22.2347683407365,NaN
,F04,FAM,Actin,Unkn,HT6,21.7317969953376,NaN
,F05,FAM,Actin,Unkn,NT6,23.4975033318215,NaN
,F06,FAM,Actin,Unkn,ST6,21.8345211969215,NaN
,G01,FAM,Actin,Unkn,HC7,19.9162110908456,NaN
,G02,FAM,Actin,Unkn,NC7,22.1349321028631,NaN
,G03,FAM,Actin,Unkn,SC7,21.024186488342,NaN
,G04,FAM,Actin,Unkn,HT7,23.4802949654605,NaN
,G05,FAM,Actin,Unkn,NT7,23.6281610092859,NaN
,G06,FAM,Actin,Unkn,ST7,23.6786370761943,NaN
,H01,FAM,Actin,Unkn,HC8,21.4924012037784,NaN
,H02,FAM,Actin,Unkn,NC8,19.0432025433379,NaN
,H03,FAM,Actin,Unkn,SC8,21.2110468847282,NaN
,H04,FAM,Actin,Unkn,HT8,23.34542906102,NaN
,H05,FAM,Actin,Unkn,NT8,24.1280804570436,NaN
,H06,FAM,Actin,Unkn,ST8,23.5751696023365,NaN
