Cycles,CARM_HC_1,CARM_NC_1,CARM_SC_1,CARM_HT_1,CARM_NT_1,CARM_ST_1,CARM_NTC_1,CARM_HC_2,CARM_NC_2,CARM_SC_2,CARM_HT_2,CARM_NT_2,CARM_ST_2,CARM_NTC_2,CARM_HC_3,CARM_NC_3,CARM_SC_3,CARM_HT_3,CARM_NT_3,CARM_ST_3,CARM_NTC_3,CARM_HC_4,CARM_NC_4,CARM_SC_4,CARM_HT_4,CARM_NT_4,CARM_ST_4,CARM_NTC_4,CARM_HC_5,CARM_NC_5,CARM_SC_5,CARM_HT_5,CARM_NT_5,CARM_ST_5,CARM_HC_6,CARM_NC_6,CARM_SC_6,CARM_HT_6,CARM_NT_6,CARM_ST_6,CARM_HC_7,CARM_NC_7,CARM_SC_7,CARM_HT_7,CARM_NT_7,CARM_ST_7,CARM_HC_8,CARM_NC_8,CARM_SC_8,CARM_HT_8,CARM_NT_8,CARM_ST_8
1,3190.151933,3295.882375,3265.691269,3323.831699,3320.715196,3363.09206,3237.720932,3358.484376,3437.422423,3356.785021,3298.009073,3457.126148,3388.727525,3250.648249,3358.432332,3687.372054,3400.674078,3231.413892,3475.766035,3298.717647,3216.777202,3332.91195,3383.202116,3407.231317,3346.110479,3556.621629,3548.490135,3390.718128,3180.613309,3310.509047,3269.778518,3182.208577,3356.086465,3299.760472,3423.276114,3598.437009,3305.139768,3222.918093,3345.662123,3300.834328,3146.565119,3223.741749,3223.657698,3335.069679,3376.009359,3294.996657,3084.890861,3130.615368,3154.759652,3169.93779,3264.961683,3228.693702
2,3225.347035,3306.860137,3274.615389,3329.367126,3323.0811,3364.791415,3241.421886,3391.604823,3443.677418,3357.223359,3301.960227,3463.150979,3398.29718,3256.465883,3379.052806,3684.598843,3400.674078,3237.668888,3479.080694,3308.694609,3224.30421,3357.962963,3388.519351,3407.981917,3348.976782,3556.955881,3551.034159,3392.11524,3197.157528,3314.928592,3276.648018,3185.752423,3363.394303,3297.216448,3444.94943,3599.645982,3309.997652,3224.981753,3344.160924,3305.50505,3161.212804,3225.732353,3222.980154,3340.33487,3377.843832,3295.235862,3099.485525,3144.053103,3178.653736,3187.087474,3277.732869,3232.85303
3,3242.412667,3314.918575,3275.439045,3341.4918,3327.563684,3371.14048,3250.534144,3411.547753,3449.859358,3365.239771,3304.431195,3462.369349,3407.294356,3260.687273,3392.157266,3687.257949,3399.016749,3242.204493,3488.942575,3309.664378,3228.380464,3371.744967,3390.186698,3409.107816,3354.367074,3556.465499,3550.335603,3398.891649,3209.771607,3318.035077,3276.158614,3189.870703,3371.098454,3301.85614,3460.284676,3604.274679,3308.44441,3229.683506,3348.83067,3307.474641,3175.713399,3226.744147,3224.335241,3348.549439,3380.282792,3299.406185,3111.860399,3153.226445,3181.489008,3188.786829,3282.048327,3232.644856
4,3252.805978,3323.925769,3283.612565,3346.307658,3330.639138,3373.527396,3255.819371,3418.334179,3455.540897,3361.382687,3306.693011,3465.527878,3407.023143,3258.404443,3404.563171,3693.105637,3404.448088,3246.363821,3493.269028,3309.60134,3230.538193,3383.390254,3390.311798,3416.009324,3349.706369,3560.822983,3557.664454,3405.68907,3214.505368,3320.151758,3283.257301,3192.143514,3372.17231,3302.731839,3473.253042,3607.92359,3317.139342,3234.937703,3350.728181,3310.696208,3181.833277,3230.320001,3225.899478,3353.053036,3382.28439,3304.264069,3122.368792,3158.324511,3181.926369,3188.19236,3284.018895,3235.886459
5,3262.62681,3330.430964,3291.045504,3353.730579,3337.738803,3380.126661,3262.939071,3426.403612,3459.418995,3365.260784,3308.455405,3470.438783,3414.299951,3266.807151,3409.806372,3693.262745,3402.582585,3247.36462,3499.597081,3314.564288,3231.361849,3391.969127,3394.638251,3416.979093,3358.922714,3558.957479,3558.915453,3406.512726,3227.650877,3322.309487,3283.549526,3193.488582,3377.312402,3305.004651,3484.074673,3605.119348,3319.391141,3240.890455,3352.896905,3313.354337,3194.207174,3232.248543,3228.797789,3359.839462,3385.297784,3306.463824,3151.058698,3165.872532,3177.965198,3192.96717,3290.670204,3236.376841
6,3264.273532,3331.358105,3292.973451,3352.521,3339.697772,3379.365433,3263.950276,3433.001279,3457.010441,3363.988164,3312.269865,3473.211366,3414.247291,3269.162445,3418.281518,3696.931023,3405.020929,3248.187689,3505.518169,3315.90778,3239.85804,3395.305163,3395.346212,3417.989292,3359.442542,3561.156591,3556.464856,3411.568149,3231.153091,3326.145935,3292.389,3198.898331,3379.21932,3310.737636,3492.736967,3612.613695,3326.250022,3240.63967,3356.399096,3310.153184,3196.375321,3236.886673,3231.820616,3364.071238,3389.727711,3312.144765,3156.353373,3175.984038,3181.603515,3195.905952,3293.056525,3240.243357
7,3270.883404,3335.685161,3293.234263,3359.714362,3342.867899,3385.068597,3269.392223,3437.339348,3459.293895,3367.8979,3315.262844,3474.671167,3418.595374,3272.342578,3419.773317,3701.602414,3408.607416,3254.693472,3509.365869,3321.319683,3240.34803,3398.162062,3396.743937,3415.373807,3362.831842,3560.687865,3562.408233,3414.925451,3235.792389,3325.989428,3288.314318,3206.102661,3382.420485,3311.665977,3490.579869,3614.271677,3328.51244,3246.436877,3357.921915,3313.53148,3206.780204,3239.024952,3231.309805,3368.044013,3393.856621,3312.187389,3165.716401,3174.389344,3180.488209,3198.502597,3295.986462,3245.320996
8,3278.118779,3336.91575,3297.947608,3359.641913,3347.058863,3388.24875,3271.894813,3437.809339,3461.796519,3365.626674,3317.723416,3475.120151,3421.806564,3277.326153,3425.03815,3698.360502,3410.151257,3255.454677,3509.793847,3321.39334,3239.796172,3406.617428,3401.613431,3422.035751,3360.944956,3559.770783,3562.909277,3415.07218,3241.933866,3328.137741,3291.171198,3204.507972,3384.996152,3316.576503,3496.585297,3614.835769,3329.76404,3247.041951,3360.976964,3316.566486,3208.615257,3238.305968,3235.835,3371.45335,3396.244151,3315.075304,3166.279434,3178.747402,3182.282209,3199.712148,3300.303494,3244.247726
9,3275.011702,3342.627717,3304.816512,3362.227356,3348.153126,3387.528569,3277.502705,3439.580152,3465.695003,3371.734949,3315.575105,3479.382938,3424.317962,3273.822764,3427.810742,3707.951479,3412.319365,3256.653045,3515.536813,3325.583098,3246.113621,3410.74511,3405.605018,3425.663031,3363.530398,3560.635822,3563.731312,3414.633225,3250.168862,3331.045469,3292.963051,3208.26039,3387.497539,3319.443184,3516.162313,3619.776074,3332.651732,3251.628035,3364.238972,3317.201404,3213.274405,3237.418688,3234.958716,3375.508959,3397.411462,3315.189787,3172.52384,3178.632723,3184.79365,3199.805639,3296.372756,3243.246341
10,3282.237059,3349.269613,3304.024484,3366.970766,3350.791825,3390.187311,3277.117979,3438.65303,3468.792097,3369.160503,3317.827503,3487.630145,3427.998523,3275.887993,3428.082574,3705.773406,3413.164651,3260.823957,3519.561659,3326.657555,3248.366006,3413.132643,3406.211098,3423.401833,3363.040624,3567.840218,3566.984554,3413.059586,3254.026534,3333.058665,3294.882171,3211.242356,3389.833024,3320.840896,3514.69278,3621.225883,3342.44116,3254.047547,3364.375675,3319.557889,3217.810591,3243.695283,3241.297371,3379.376672,3405.793772,3319.651958,3175.734986,3180.68694,3188.578254,3204.340846,3303.169797,3249.262719
11,3284.519295,3348.091065,3311.217621,3371.077442,3352.333467,3394.252934,3280.348972,3442.249276,3471.022256,3377.260358,3316.450804,3483.14693,3430.135597,3279.45226,3428.978667,3710.63062,3415.39482,3261.062572,3524.930302,3328.814683,3250.825392,3414.696264,3406.929074,3424.558144,3367.783795,3562.324182,3568.047747,3419.324961,3252.035343,3336.863103,3299.302098,3214.44233,3391.218528,3321.54887,3519.967354,3625.228426,3342.971986,3260.186873,3365.573045,3323.310287,3218.008166,3243.371441,3243.21531,3383.494341,3407.086182,3320.26684,3178.767841,3193.404531,3187.963173,3207.269609,3303.555495,3250.700292
12,3288.564518,3352.198349,3313.65658,3374.362047,3356.34766,3395.10762,3281.089554,3443.573331,3473.002842,3377.155294,3319.932589,3486.409546,3433.763494,3282.31954,3431.282509,3711.287151,3417.73971,3262.293536,3527.202136,3334.162949,3255.120815,3414.685269,3408.065968,3428.363185,3369.597255,3563.043751,3567.245104,3421.701859,3256.475901,3338.104085,3300.32391,3214.59846,3395.20169,3322.309487,3515.902095,3626.771651,3343.264212,3261.583985,3364.708341,3325.103711,3220.593238,3245.060778,3241.369842,3388.394251,3407.273343,3324.447181,3181.562065,3188.94296,3190.892515,3207.217565,3308.705605,3250.575192
13,3286.292301,3353.773211,3313.99143,3374.967144,3357.828452,3394.065409,3286.781705,3449.328551,3474.348538,3374.112457,3320.735832,3487.703201,3434.149432,3281.23626,3434.649832,3711.131691,3419.982109,3266.067159,3526.994599,3334.298669,3251.055166,3416.771536,3411.110031,3427.102787,3368.701152,3564.576624,3572.979333,3424.558763,3262.419225,3339.302666,3301.825706,3217.143065,3398.485932,3321.622527,3517.257817,3626.344963,3343.775234,3263.982486,3372.183915,3322.487231,3218.68629,3241.881823,3241.172271,3388.822206,3414.050368,3323.373926,3190.517792,3186.951955,3192.435339,3202.86066,3307.455203,3252.91163
14,3284.144589,3359.443756,3318.338898,3378.208747,3361.029007,3399.37165,3284.561914,3451.278106,3479.31051,3378.083647,3320.965996,3486.49325,3436.141014,3286.177218,3435.33837,3711.673139,3416.041949,3270.247501,3533.17654,3335.810863,3256.768715,3423.328776,3410.224314,3429.052343,3371.266189,3567.193705,3566.880467,3426.487306,3260.698857,3341.513417,3305.744852,3222.084024,3401.571405,3325.219394,3520.770633,3626.063733,3344.004421,3264.952255,3372.277007,3326.720594,3221.417476,3245.165452,3242.76754,3394.90006,3414.706898,3328.168772,3194.27079,3185.638894,3195.604863,3208.865457,3311.718619,3250.70088
15,3296.320713,3362.529599,3317.159378,3379.949518,3356.34766,3401.279542,3290.409009,3451.777882,3481.905949,3376.581838,3325.332898,3492.206168,3437.568535,3288.428423,3436.640792,3713.288749,3423.817562,3269.153018,3531.289385,3335.371922,3262.230497,3422.598571,3409.848398,3427.633599,3373.309205,3566.202279,3573.186862,3427.393416,3259.019925,3340.699175,3306.192611,3223.564606,3399.214905,3326.876123,3521.82284,3632.891529,3353.793618,3269.444267,3371.577841,3323.696582,3224.252167,3243.903848,3242.079393,3396.806976,3412.30837,3324.874524,3193.675744,3188.859886,3196.375898,3205.362079,3310.571108,3252.732921
16,3292.80692,3360.9033,3321.809088,3386.767952,3361.455743,3402.863815,3291.076534,3454.738254,3484.689178,3376.529794,3324.686386,3488.567275,3441.196433,3292.379577,3438.005896,3713.236706,3422.150215,3269.976674,3538.357042,3339.041845,3259.645425,3424.161832,3411.693866,3433.043926,3377.520576,3566.036131,3572.655431,3427.44546,3265.107795,3345.599085,3308.309292,3221.646081,3401.383629,3326.271636,3523.25196,3633.850303,3348.20517,3270.945466,3372.599653,3327.470592,3226.848234,3248.625637,3245.780347,3399.746335,3418.157036,3327.553666,3199.888714,3187.931165,3197.574854,3212.555813,3314.188988,3256.423858
