,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3190.15193308813,3295.88237458854,3265.69126919262,3323.83169927158,3320.71519649306,3363.09205987198,3237.72093163315,2193.63703660863,2230.50046328059,2166.78258052226,2141.18914135789,2211.65142444514,3358.48437587376,3437.42242257403,3356.78502057587,3298.00907315258,3457.12614794176,3388.72752478923,3250.64824868575,2199.18345864488,2135.9249271389,2172.70430230511,2178.47991129599,2168.03357967758,3358.43233235421,3687.37205380564,3400.67407805093,3231.41389233703,3475.76603535593,3298.71764689289,3216.77720221987,2145.39049496641,2153.71012802078,2153.42792020352,2136.98778774937,2161.309214882,3332.91194958582,3383.20211562941,3407.2313171781,3346.11047934592,3556.62162919895,3548.49013468942,3390.71812832797,2157.04579998726,2138.75018167657,2145.4945820055,2136.8736829436,2146.77758914701,3180.61330886464,3310.50904693904,3269.77851799537,3182.20857712343,3356.08646460223,3299.76047197001,3130.38520410726,2114.60589797902,2188.77915277934,2142.53420978562,2168.10663607356,2154.17851969671,3423.27611435232,3598.43700897262,3305.13976833786,3222.91809319066,3345.66212320334,3300.83432769025,2914.68191908813,2158.20272987015,2248.68099944241,2211.03691997725,2129.5448314468,2200.85178329966,3146.56511896368,3223.74174907984,3223.65769757409,3335.06967879296,3376.00935915791,3294.99665741315,3014.54268232524,2194.92004375014,2165.64666351581,2140.74078521531,2132.99558556213,2191.71948946587,3084.89086060673,3130.61536840498,3154.75965210252,3169.9377902916,3264.96168257587,3228.69370218154,3029.70078498097,2232.45001840954,2175.52955684278,2200.26733213179,2161.23615848601,2255.62453342595
,2,3225.34703510531,3306.86013651219,3274.61538894822,3329.36712619807,3323.08109977839,3364.79141516987,3241.42188557954,2195.56655620423,2224.40159806266,2167.61625417811,2141.63749750047,2204.42763733052,3391.60482284645,3443.6774183506,3357.22335895177,3301.96022693003,3463.15097942061,3398.29717965583,3256.4658834295,2198.01553365222,2136.26919624238,2174.20550129149,2180.21029723699,2166.27216309346,3379.05280554044,3684.59884278751,3400.67407805093,3237.6688881136,3479.08069444596,3308.69460949229,3224.30421002818,2145.29642569398,2151.48936018433,2151.04100404175,2136.48738808724,2160.35044131062,3357.9629633352,3388.51935071104,3407.98191667129,3348.97678229338,3556.95588053577,3551.03415875292,3392.11524027525,2155.95093139058,2137.48818741149,2144.84806955141,2132.24498606894,2148.76819268575,3197.15752835788,3314.92859239242,3276.64801823983,3185.75242316809,3363.39430322259,3297.21644790651,3137.89119903914,2112.82249117538,2185.79776768303,2144.93212105715,2167.59621864476,2157.50417389651,3444.94943038235,3599.64598237506,3309.99765216715,3224.98175312539,3344.16092421696,3305.50505031778,2915.81881343767,2159.85004164849,2244.57371510632,2207.41904019351,2133.62108513979,2203.48889929249,3161.21280419061,3225.73235261857,3222.98015447689,3340.33487035504,3377.843832138,3295.23586213445,3013.85512146137,2191.677463713,2164.55179491914,2138.1657305087,2128.8352803634,2191.58339444058,3099.48552497102,3144.05310288638,3178.65373596901,3187.08747382916,3277.73286906983,3232.85303003719,3028.17857311816,2227.41401380209,2177.85441171833,2198.66204610632,2158.26576849946,2257.97040117793
,3,3242.41266713712,3314.91857462574,3275.43904483739,3341.49180023793,3327.56368386108,3371.14048021886,3250.53414387998,2195.05516143234,2227.73727002913,2164.33262573118,2143.83725246048,2206.65842293365,3411.54775293548,3449.85935773118,3365.23977131245,3304.43119459755,3462.36934928431,3407.29435580741,3260.68727257136,2194.38763610181,2136.83165719073,2174.2365319346,2177.17686862113,2160.22534139509,3392.15726602812,3687.25794899987,3399.01674850591,3242.20449305893,3488.9425748965,3309.66437817343,3228.38046372117,2145.63067703079,2152.02079048957,2150.50957373652,2135.05924549685,2162.73735747239,3371.74496692008,3390.18669802273,3409.10781591107,3354.36707377099,3556.46549864031,3550.33560277928,3398.89164859038,2157.07683063037,2134.49678454851,2145.79682535611,2134.76799725601,2146.43332004353,3209.77160695011,3318.03507740426,3276.15861368747,3189.87070261396,3371.09845446599,3301.85613989094,3138.006281188,2114.90814132963,2188.40385303275,2141.96075372751,2166.6684757165,2155.4715446049,3460.28467647315,3604.27467924972,3308.44440966122,3229.68350639603,3348.83066950141,3307.47464098008,2919.59184643696,2158.5259860972,2246.35712190996,2208.30573471199,2133.04762908168,2200.02812741049,3175.71339928248,3226.74414705259,3224.33524067129,3348.54943902723,3380.28279181932,3299.40618509986,3020.0891043615,2189.61380377828,2162.63327043329,2139.98016795545,2127.13690240859,2189.90505201912,3111.86039884195,3153.22644512995,3181.48900827336,3188.78682912705,3282.04832748411,3232.644855959,3030.93077125985,2225.91281481571,2176.96771719985,2199.66284543057,2158.81821168113,2260.87872987826
,4,3252.80597789289,3323.925768544,3283.6125650998,3346.30765831434,3330.63913822982,3373.52739638063,3255.81937097541,2196.18106067213,2227.57112170382,2166.19910669748,2141.34527191653,2205.96988472668,3418.33417901728,3455.54089744964,3361.38268680742,3306.69301084379,3465.52787781571,3407.02314309992,3258.40444344869,2196.21209131524,2138.09267411271,2175.97791298536,2176.75954312166,2163.83222606906,3404.56317054216,3693.10563704364,3404.4480883933,3246.36382091457,3493.26902842055,3309.60133954412,3230.53819292831,2145.85986398542,2153.1987332489,2153.64708939147,2136.1641318602,2157.19191277922,3383.39025417426,3390.31179793826,3416.00932414173,3349.70636891013,3560.82298280747,3557.66445427608,3405.68906978194,2157.45213037696,2134.26759759388,2141.05402367568,2133.39189818516,2146.66250699816,3214.50536820695,3320.15175820162,3283.25730088655,3192.14351396996,3372.17231018622,3302.73183929966,3141.02969203719,2115.80485361479,2189.64483442139,2141.85666668842,2164.50976916626,2151.29120387281,3473.25304193554,3607.92358967657,3317.1393424622,3234.93770284835,3350.72818111081,3310.69620814079,2922.94950862296,2159.9130802778,2248.98422013611,2205.83476704448,2128.37690645414,2201.2791265658,3181.83327737684,3230.32000108345,3225.89947828698,3353.05303598636,3382.28439046782,3304.26406892914,3028.75202917627,2197.4430549372,2160.61065890835,2135.99798353488,2127.92855031157,2190.9999206158,3122.36879174658,3158.32451102362,3181.92636930617,3188.1923601925,3284.0188954895,3235.88645865305,3037.10269287376,2227.95643921709,2178.60501121152,2202.07175181186,2160.60064114168,2260.48241725523
,5,3262.62680993364,3330.43096415163,3291.04550363569,3353.73057908357,3337.73880277199,3380.12666126068,3262.93907105093,2196.02493011349,2228.59293390451,2164.6979077111,2140.45955474114,2209.02432621898,3426.4036122406,3459.41899483111,3365.26078418889,3308.45540477099,3470.43878250763,3414.29995107717,3266.80715066573,2198.40182850858,2134.6008715876,2170.22331687092,2176.9156736803,2169.02436123515,3409.80637188472,3693.26274494537,3402.5825847701,3247.36462023882,3499.5970805931,3314.56428775559,3231.36184881748,2147.3610629718,2154.84604502724,2153.39688956041,2140.4385418647,2160.98595865495,3391.96912748328,3394.63825146231,3416.97909282287,3358.92271424966,3558.95747918427,3558.91545343139,3406.51272567112,2156.50337457226,2132.56824229599,2143.27479151214,2134.90311493821,2146.92272459589,3227.65087710442,3322.30948740876,3283.54952647049,3193.48858239769,3377.31240183277,3305.00465065566,3150.13095522786,2112.15594318794,2186.13104167675,2144.89009530428,2166.9387110809,2156.81661303263,3484.07467330054,3605.11934801533,3319.39114094176,3240.8904552743,3352.89690542772,3313.35433701006,2930.4344906784,2161.96672244585,2252.04867939509,2207.71126577745,2127.82446327247,2204.96908540243,3194.20717390468,3232.24854333597,3228.79778922064,3359.83946206817,3385.29778355034,3306.46382388916,3029.32548523438,2195.71169165311,2156.8266307993,2142.10686651948,2129.53383633704,2191.10400765489,3151.05869815613,3165.87253170838,3177.96519776204,3192.96716985913,3290.6702038891,3236.3768405485,3039.3965171062,2230.07312001445,2177.88544236144,2200.4654884433,2156.17010057854,2256.57328923065
,6,3264.27353176677,3331.35810501062,3292.97345075612,3352.52099978713,3339.69777209114,3379.36543325528,3263.95027559815,2195.31595961838,2229.43622240575,2168.17930061911,2134.55846006051,2208.33636624716,3433.00127933853,3457.01044101475,3363.9881641907,3312.26986490365,3473.21136581965,3414.24729050797,3269.1624453556,2198.2553184306,2135.33007229068,2173.57960888741,2179.94870831867,2166.8552453071,3418.28151771898,3696.93102276708,3405.02092906922,3248.18768908994,3505.5181688311,3315.90777956326,3239.85803977428,2148.06924849612,2154.80362984128,2151.1236894364,2138.02020865997,2159.04700843578,3395.30516316656,3395.34621156892,3417.98929218786,3359.44254230022,3561.15659054402,3556.46485588798,3411.56814924646,2154.11606910167,2132.07747507471,2141.83526672264,2136.69615334797,2146.78721892939,3231.15309077986,3326.14593525317,3292.38899969387,3198.89833127855,3379.21932048972,3310.73763555108,3150.28651644192,2111.61313614559,2185.50514711739,2144.95274628084,2167.60584466464,2157.59785323085,3492.73696688039,3612.61369493745,3326.25002227345,3240.63966976932,3356.39909646772,3310.15318448884,2932.2894465885,2160.4651330032,2248.3373013448,2206.93925455238,2136.93535802604,2202.02932809091,3196.37532054747,3236.88667298165,3231.82061598975,3364.07123833835,3389.7277114952,3312.14476501073,3031.66078731408,2195.15885174505,2161.12166310532,2139.47938162976,2130.5862941245,2193.89783505096,3156.35337257719,3175.98403800113,3181.60351541777,3195.90595161328,3293.05652490376,3240.24335721791,3045.25464989733,2231.26067728945,2178.16627918025,2202.80094032108,2156.30482855635,2260.88833903939
,7,3270.88340435871,3335.68516060394,3293.23426348595,3359.71436215263,3342.86789930878,3385.06859659571,3269.39222313901,2197.09878583372,2224.67281077016,2164.23855645876,2140.78281096818,2209.51470811443,3437.33934841137,3459.29389491558,3367.89790018172,3315.26284372923,3474.67116675926,3418.59537395811,3272.34257759222,2194.58579241333,2138.22876913801,2173.00654565572,2180.09521508813,2169.06540964494,3419.77331671744,3701.6024135331,3408.60741624895,3254.69347173562,3509.36586911431,3321.31968319428,3240.3480298593,2147.40308872467,2153.37587668397,2149.50877441227,2139.72996812438,2164.32260796451,3398.16206197363,3396.74393714991,3415.3738067974,3362.83184227424,3560.68786512527,3562.4082332996,3414.92545065483,2156.32623113718,2129.45076217438,2146.47436845331,2133.6521157829,2145.13027736867,3235.79238938063,3325.98942847872,3288.31431837044,3206.10266098992,3382.42048549312,3311.66597682193,3156.68819435504,2112.01984816265,2184.83899411165,2144.42072628526,2168.49195358683,2157.54619964938,3490.57986890817,3614.27167738246,3328.51243966578,3246.43687731056,3357.92191492541,3313.53148044513,2935.85483545604,2160.0171673169,2249.79688091552,2207.76330929699,2131.86968632235,2207.08576619979,3206.78020408712,3239.0249516511,3231.30980529794,3368.04401297369,3393.85662132602,3312.18738936049,3039.57366054127,2193.53294956953,2163.01956528965,2137.09187478846,2131.53543498554,2187.47611010448,3165.71640114973,3174.38934373118,3180.48820894911,3198.50259678562,3295.98646162764,3245.32099583745,3049.98798417349,2229.6137687621,2178.21871635516,2202.61319988377,2156.68051800734,2257.50103215892
,8,3278.11877888108,3336.91574980438,3297.94760774706,3359.64191278443,3347.05886256177,3388.24875020007,3271.89481262307,2194.19085358481,2226.16341687507,2163.02997387752,2139.86547244237,2208.21206442437,3437.80933858163,3461.79651871151,3365.62667427792,3317.72341574083,3475.12015079448,3421.80656426888,3277.32615349181,2194.68025822559,2135.81023089311,2174.22690701221,2182.05615958574,2167.74174576617,3425.03814978015,3698.36050172418,3410.15125714212,3255.45467719847,3509.79384653802,3321.3933397072,3239.79617205141,2145.92231300179,2155.13866000655,2151.07242334554,2136.75898686924,2154.59623449355,3406.61742822563,3401.61343070024,3422.03575126491,3360.94495569472,3559.77078315119,3562.90927671631,3415.07218048984,2153.09503523593,2134.23597522631,2145.61005182808,2137.28039950201,2144.18190897965,3241.93386611145,3328.13774125472,3291.17119820756,3204.50797172894,3384.99615180857,3316.57650341738,3162.73461016044,2115.6481279732,2185.43385791538,2146.38166433713,2166.91906707145,2153.87666551346,3496.5852966247,3614.83576881068,3329.76404045047,3247.04195069473,3360.97696368671,3316.5664856489,2940.2338637478,2161.65387455804,2250.38076134424,2210.26570696348,2129.36807275081,2200.99829377303,3208.61525680715,3238.30596790554,3235.83499979156,3371.45335049804,3396.24415112894,3315.07530415976,3041.43971369876,2195.27472726755,2159.25596285325,2136.79001751796,2130.00359020997,2194.14882782434,3166.27943418868,3178.74740224168,3182.28220850144,3199.71214831936,3300.30349369139,3244.2477262953,3053.51234640039,2227.52949842606,2178.73050478506,2199.93445562725,2158.97473232826,2258.01185757046
,9,3275.01170157125,3342.62771724439,3304.81651211082,3362.22735557302,3348.1531264042,3387.52856915346,3277.50270477211,2196.86959887909,2227.75828290557,2164.23855645876,2140.46957250781,2210.4424510427,3439.58015178117,3465.69500348411,3371.73494915341,3315.57510484651,3479.38293779657,3424.31796208635,3273.82276370215,2195.33639190652,2138.53101248862,2171.89066418261,2176.71751736879,2169.9931525732,3427.81074195455,3707.95147858209,3412.31936530511,3256.65304463125,3515.53681338513,3325.58309808902,3246.11362108351,2149.23756170477,2152.90748500805,2151.61446009986,2137.83245651498,2157.53618188271,3410.74510992275,3405.6050182762,3425.66303051408,3363.53039824788,3560.63582160572,3563.7313115078,3414.63322507089,2158.11965570749,2132.65131645865,2147.07983249762,2134.8720842951,2142.47117115631,3250.16886190006,3331.04546861952,3292.96305077845,3208.26039019706,3387.49753851035,3319.44318446131,3162.21360351486,2116.79465782928,2189.55076514897,2144.51479555769,2168.22171822242,2154.24155832602,3516.16231296279,3619.77607366584,3332.65173198808,3251.62803513356,3364.2389719882,3317.20140374842,2943.77815588738,2157.11885638324,2250.03706297991,2209.19145188739,2134.0584461726,2202.23790013718,3213.27440458499,3237.41868828254,3234.95871572478,3375.50895949578,3397.41146248044,3315.18978733324,3045.97476910981,2193.39783188733,2160.95492801184,2135.13230189284,2126.56344635048,2192.83439359589,3172.52384010797,3178.63272309257,3184.79364959672,3199.80563946048,3296.372756484,3243.24634079296,3057.69213541688,2225.77769713351,2177.12384775849,2199.76693246966,2161.71652261479,2261.98361624161
,10,3282.23705907104,3349.269613031,3304.02448384345,3366.97076560542,3350.79182516885,3390.18731056952,3277.11797937601,2193.63743296005,2225.73607353171,2164.48914737467,2140.37686730666,2206.98207792326,3438.65303015659,3468.79209747857,3369.16050319441,3317.82750279873,3487.63014460795,3427.99852253491,3275.88799287489,2197.9328566171,2135.15370055372,2171.42266484429,2183.55735884336,2168.61744533311,3428.08257405585,3705.77340606611,3413.1646507691,3260.82395676978,3519.56165948101,3326.65755487734,3248.36600648526,2145.21373913345,2154.22093467914,2150.6761106509,2138.00998625059,2163.98874762213,3413.13264277712,3406.21109776251,3423.40183281591,3363.0406239943,3567.84021783251,3566.98455380254,3413.05958636793,2154.19992179891,2133.99677046179,2143.11807083387,2133.41231918832,2145.30780842286,3254.02653435004,3333.05866460244,3294.88217059113,3211.24235550798,3389.83302363535,3320.84089642571,3169.64711474984,2109.77942599262,2184.84940664191,2140.30381089748,2164.27095549038,2155.45092118026,3514.69277966224,3621.22588342404,3342.44115996254,3254.04754723028,3364.37567489658,3319.55788905238,2944.69641310345,2154.46111678693,2249.37996183917,2209.57814597537,2132.60967603056,2202.44744950169,3217.81059093169,3243.69528301381,3241.29737130902,3379.37667236099,3405.79377218764,3319.6519583418,3046.00635011231,2192.18925457465,2159.01675808873,2136.58184340215,2131.61987163723,2191.44867271433,3175.73498595797,3180.6869399544,3188.57825382537,3204.34084603034,3303.16979715674,3249.26271893244,3061.15346039509,2227.31032919851,2177.90684874706,2200.29973767317,2159.01675808873,2261.32749460266
