,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CARM,Unkn,HC1,26.0475472041394,NaN
,A02,FAM,CARM,Unkn,NC1,25.8026199708751,NaN
,A03,FAM,CARM,Unkn,SC1,26.0349669944786,NaN
,A04,FAM,CARM,Unkn,HT1,27.6436801001597,NaN
,A05,FAM,CARM,Unkn,NT1,26.0218253033419,NaN
,A06,FAM,CARM,Unkn,ST1,26.4726117358025,NaN
,A07,FAM,CARM,NTC,NTC,31.9879160650666,NaN
,B01,FAM,CARM,Unkn,HC2,26.0640096027779,NaN
,B02,FAM,CARM,Unkn,NC2,25.0448516333514,NaN
,B03,FAM,CARM,Unkn,SC2,24.9496054408962,NaN
,B04,FAM,CARM,Unkn,HT2,25.6884476151059,NaN
,B05,FAM,CARM,Unkn,NT2,27.6139938968845,NaN
,B06,FAM,CARM,Unkn,ST2,26.2900225807012,NaN
,B07,FAM,CARM,NTC,NTC,31.6626163376246,NaN
,C01,FAM,CARM,Unkn,HC3,25.1270798368927,NaN
,C02,FAM,CARM,Unkn,NC3,25.4366345072399,NaN
,C03,FAM,CARM,Unkn,SC3,24.9685700989787,NaN
,C04,FAM,CARM,Unkn,HT3,26.3317129540916,NaN
,C05,FAM,CARM,Unkn,NT3,24.4199003444726,NaN
,C06,FAM,CARM,Unkn,ST3,28.0825246623085,NaN
,C07,FAM,CARM,NTC,NTC,31.5601077730389,NaN
,D01,FAM,CARM,Unkn,HC4,25.3400954711833,NaN
,D02,FAM,CARM,Unkn,NC4,24.8520304147611,NaN
,D03,FAM,CARM,Unkn,SC4,24.7251989658105,NaN
,D04,FAM,CARM,Unkn,HT4,26.4587255591241,NaN
,D05,FAM,CARM,Unkn,NT4,26.1988488158496,NaN
,D06,FAM,CARM,Unkn,ST4,26.3391721418762,NaN
,D07,FAM,CARM,NTC,NTC,33.538218830781,NaN
,E01,FAM,CARM,Unkn,HC5,25.0443563869571,NaN
,E02,FAM,CARM,Unkn,NC5,25.5142306912833,NaN
,E03,FAM,CARM,Unkn,SC5,25.070104790124,NaN
,E04,FAM,CARM,Unkn,HT5,26.2257347839263,NaN
,E05,FAM,CARM,Unkn,NT5,26.2629759271463,NaN
,E06,FAM,CARM,Unkn,ST5,29.0858642671114,NaN
,F01,FAM,CARM,Unkn,HC6,29.2218056015079,NaN
,F02,FAM,CARM,Unkn,NC6,25.2413429682321,NaN
,F03,FAM,CARM,Unkn,SC6,24.7707056965224,NaN
,F04,FAM,CARM,Unkn,HT6,26.8130187418139,NaN
,F05,FAM,CARM,Unkn,NT6,27.1582378342168,NaN
,F06,FAM,CARM,Unkn,ST6,27.4719595478452,NaN
,G01,FAM,CARM,Unkn,HC7,25.2056930680614,NaN
,G02,FAM,CARM,Unkn,NC7,24.6410458629438,NaN
,G03,FAM,CARM,Unkn,SC7,25.5317041976112,NaN
,G04,FAM,CARM,Unkn,HT7,25.2951125416509,NaN
,G05,FAM,CARM,Unkn,NT7,26.2816554642329,NaN
,G06,FAM,CARM,Unkn,ST7,26.1254729258844,NaN
,H01,FAM,CARM,Unkn,HC8,24.8711749847512,NaN
,H02,FAM,CARM,Unkn,NC8,25.5313808353301,NaN
,H03,FAM,CARM,Unkn,SC8,25.5046069036225,NaN
,H04,FAM,CARM,Unkn,HT8,26.085895151548,NaN
,H05,FAM,CARM,Unkn,NT8,28.0338923879252,NaN
,H06,FAM,CARM,Unkn,ST8,26.4955596575284,NaN
