Cycles,CRAF_HC_1,CRAF_NC_1,CRAF_SC_1,CRAF_HT_1,CRAF_NT_1,CRAF_ST_1,CRAF_NTC_1,CRAF_HC_2,CRAF_NC_2,CRAF_SC_2,CRAF_HT_2,CRAF_NT_2,CRAF_ST_2,CRAF_NTC_2,CRAF_HC_3,CRAF_NC_3,CRAF_SC_3,CRAF_HT_3,CRAF_NT_3,CRAF_ST_3,CRAF_NTC_3,CRAF_HC_4,CRAF_NC_4,CRAF_SC_4,CRAF_HT_4,CRAF_NT_4,CRAF_ST_4,CRAF_NTC_4,CRAF_HC_5,CRAF_NC_5,CRAF_SC_5,CRAF_HT_5,CRAF_NT_5,CRAF_ST_5,CRAF_HC_6,CRAF_NC_6,CRAF_SC_6,CRAF_HT_6,CRAF_NT_6,CRAF_ST_6,CRAF_HC_7,CRAF_NC_7,CRAF_SC_7,CRAF_HT_7,CRAF_NT_7,CRAF_ST_7,CRAF_HC_8,CRAF_NC_8,CRAF_SC_8,CRAF_HT_8,CRAF_NT_8,CRAF_ST_8
1,3111.64123,3255.10982,3288.595549,3139.809724,3190.840471,3168.082304,3136.495064,3326.57388,3347.944952,3375.351852,3258.779743,3228.786794,3128.811926,3119.116194,3314.53228,3551.742732,3261.897223,3271.320765,3183.91795,3127.237671,3068.408702,3263.28334,3351.32265,3311.895164,3264.774521,3327.647735,3344.827472,3204.48638,3157.584907,3205.820453,3239.504338,3243.84081,3164.465402,3241.432881,3253.963885,3437.912804,3231.581018,3231.340836,3172.002428,3142.781091,3271.30073,3212.12847,3227.785995,3191.987383,3266.692069,3120.34618,3091.062782,3147.336731,3137.495864,3141.279892,3190.767415,3137.964255
2,3139.142198,3261.448867,3289.981666,3148.066318,3199.909726,3171.261846,3141.499061,3356.09746,3349.717364,3383.223129,3263.856796,3235.719333,3140.153993,3124.068147,3336.915147,3554.234713,3264.899621,3271.560947,3188.411529,3128.165414,3076.363053,3289.105966,3353.449349,3323.685586,3269.642423,3327.501623,3348.434357,3210.856458,3177.100493,3213.31643,3242.923085,3247.156446,3165.53828,3248.532545,3269.006906,3442.718645,3236.522953,3235.761359,3174.629526,3148.129357,3294.600345,3214.755568,3241.610024,3198.908927,3272.86399,3120.752511,3100.90365,3159.013049,3157.406786,3155.113939,3196.167724,3141.404992
3,3158.157385,3265.379008,3296.247657,3153.841927,3202.370676,3177.714998,3150.015873,3374.100852,3356.659921,3389.530168,3268.58958,3241.380837,3144.178203,3127.466858,3349.269008,3555.193487,3271.372809,3264.367214,3199.565457,3130.573343,3073.74695,3298.822711,3354.794417,3327.011241,3273.885802,3333.19318,3356.775003,3212.617874,3189.75562,3217.579845,3246.040565,3244.24714,3173.169375,3256.256732,3290.304922,3445.522886,3239.577395,3240.380038,3178.08028,3149.244261,3315.7112,3218.205345,3249.908644,3205.456149,3269.236093,3124.839759,3109.160244,3172.377727,3169.65656,3159.919779,3201.755195,3141.499061
4,3168.458177,3272.103964,3301.522485,3156.459578,3211.794799,3180.801045,3151.33048,3381.493354,3357.46317,3393.638065,3271.738682,3241.11021,3143.313089,3136.818887,3361.414325,3564.795794,3274.532906,3260.552744,3196.991958,3135.348719,3081.628802,3313.167774,3354.294623,3330.441584,3278.713248,3334.987207,3357.233983,3216.152284,3192.915703,3219.832225,3245.300569,3248.271937,3176.662729,3260.531731,3295.549696,3449.088369,3242.173071,3245.290552,3177.955754,3153.008823,3338.041649,3224.795175,3255.121403,3210.741956,3277.681418,3128.530284,3156.209378,3181.71877,3176.475568,3165.737009,3200.639891,3146.315488
5,3174.223769,3278.515092,3302.805492,3161.942962,3212.691511,3182.71957,3155.333678,3388.49895,3360.392512,3397.443107,3276.794723,3247.552368,3150.006424,3136.245431,3369.921121,3564.99395,3274.939237,3257.154033,3203.246955,3136.328505,3084.464075,3315.346517,3355.493579,3334.559864,3282.872577,3339.636918,3362.530206,3227.52636,3200.32763,3223.440088,3248.136819,3250.648836,3182.000001,3270.331552,3302.106936,3447.118778,3244.112609,3243.841396,3179.65511,3155.635922,3345.682763,3227.453304,3259.635019,3215.464723,3276.127198,3128.197009,3161.515619,3187.650511,3178.602267,3164.788253,3203.64229,3146.409557
6,3178.86191,3286.197638,3303.638569,3160.972622,3218.560609,3185.220993,3165.247032,3395.492938,3363.353255,3401.320591,3282.767896,3251.743117,3153.528688,3140.852549,3379.177905,3571.123202,3277.096374,3253.567572,3204.069054,3139.674606,3089.748744,3321.662975,3356.565851,3337.96799,3284.706456,3339.229984,3362.112273,3229.975732,3210.429115,3226.92129,3251.148648,3251.732122,3178.965997,3273.979872,3309.518265,3451.433613,3244.674483,3244.185079,3180.978591,3161.35794,3348.487378,3227.035395,3263.700666,3218.122271,3275.365988,3130.333161,3168.801873,3194.103087,3180.55027,3172.951183,3207.009391,3150.067917
7,3182.34427,3289.32573,3306.870752,3168.541251,3221.21932,3188.90151,3164.851291,3399.809988,3365.178318,3405.116229,3284.812114,3256.664628,3157.345295,3141.249429,3380.742754,3574.49055,3281.413403,3253.839373,3211.742755,3140.27966,3090.385798,3325.510643,3360.809838,3340.845891,3288.815312,3347.455175,3365.719766,3231.227315,3211.534581,3232.457301,3253.370004,3253.932465,3180.781009,3281.881795,3324.937186,3454.613779,3247.062964,3246.958877,3189.287805,3161.900936,3354.689959,3228.662278,3270.810939,3226.74473,3278.097766,3134.567089,3172.451357,3203.298998,3185.690937,3172.97277,3207.47934,3153.748427
8,3190.371102,3291.817116,3312.364533,3167.612935,3227.619846,3187.139517,3168.488635,3404.365014,3368.315226,3407.356417,3286.447837,3257.19547,3159.32531,3148.514674,3382.211334,3576.304342,3280.129803,3250.669262,3211.241775,3141.310923,3094.44048,3334.246023,3359.735375,3346.297641,3293.901789,3343.816655,3373.559404,3231.925287,3217.30961,3236.970332,3252.191473,3257.216483,3186.941361,3285.363964,3328.700578,3457.844739,3246.571995,3249.470306,3186.482987,3165.841501,3375.528995,3234.250142,3273.531515,3225.628266,3282.673827,3137.996263,3179.727592,3207.759991,3189.516416,3174.733613,3210.929514,3155.228044
9,3189.255797,3292.703428,3313.470018,3168.802446,3226.025161,3194.92732,3173.650313,3401.675492,3367.127874,3413.727112,3288.835348,3258.050745,3164.986409,3148.505225,3385.110257,3580.558386,3281.090147,3251.212274,3214.119654,3145.898162,3095.243682,3333.934364,3361.935737,3345.672745,3297.999651,3352.198955,3372.037802,3236.356412,3220.082425,3238.294973,3256.486507,3257.696458,3189.370879,3289.137591,3330.952979,3457.720264,3247.990707,3257.112007,3193.916503,3164.110709,3369.880072,3237.128025,3280.183417,3231.477515,3284.300719,3143.959602,3179.832253,3211.534581,3195.437738,3178.132898,3215.662879,3155.42677
10,3197.230585,3294.954632,3315.418974,3171.543076,3231.538992,3190.214972,3172.867132,3406.439669,3366.188527,3410.839179,3291.138596,3259.520325,3164.287281,3152.173602,3386.475726,3581.693656,3285.874381,3248.104225,3214.932711,3151.819315,3099.74672,3333.620523,3362.508586,3348.309257,3293.661607,3349.748395,3373.090035,3239.775551,3221.86525,3237.012358,3255.318971,3262.355597,3190.182964,3290.534109,3336.112504,3459.534077,3250.565175,3253.848803,3194.176143,3164.569489,3375.362847,3238.294388,3282.861966,3233.311404,3282.350571,3142.613965,3179.289253,3216.339841,3196.584072,3183.875924,3214.536399,3155.9266
