,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3111.641229654,3255.109819892,3288.59554884462,3139.80972352498,3190.8404712951,3168.08230443507,3136.49506443495,2195.36839989272,2228.18562617171,2164.5307820427,2143.06564009086,2208.62899093904,3326.57387964659,3347.94495232602,3375.35185159405,3258.77974319528,3228.78679411087,3128.81192606799,3119.11619394277,2194.78394872485,2136.93574422982,2175.77975667385,2180.16827148412,2167.37704945681,3314.53227976939,3551.74273249323,3261.89722331689,3271.32076539153,3183.917950188,3127.23767068563,3068.4087023997,2145.30742080375,2153.01157204714,2151.52039082744,2136.38330104815,2158.36985553855,3263.28334015441,3351.32265004536,3311.89516377655,3264.77452137411,3327.64773536683,3344.82747220441,3204.48637985468,2155.33642692269,2136.52941384012,2144.08745229154,2135.10127124973,2150.11326111349,3157.5849066402,3205.82045317266,3239.50433843679,3243.84080972751,3164.46540199442,3241.4328806893,3064.42651797914,2115.84590202457,2186.14203678651,2148.42392358227,2163.66607774374,2156.66048247399,3253.96388511887,3437.91280446948,3231.58101800544,3231.34083594105,3172.00242756941,3142.78109085463,2860.78486837056,2163.05059593276,2247.95141282566,2209.05633420518,2131.51539945219,2203.73909912355,3271.30072985818,3212.12846981186,3227.78599478662,3191.98738341131,3266.69206851687,3120.34618022164,2935.89686120891,2193.71009300461,2161.23615848601,2141.50237981826,2129.97217471294,2187.82037920796,3091.06278222064,3147.3367313333,3137.4958637592,3141.27989186825,3190.76741489911,3137.96425543512,2839.59093912622,2240.01807462764,2176.71751736879,2203.64502985113,2160.92389736873,2259.86791278734
,2,3139.14219819445,3261.44886717432,3289.98166568213,3148.06631795005,3199.90972649957,3171.2618458429,3141.4990610562,2196.69245544402,2228.2586825677,2166.22011957392,2138.76019944324,2206.92963564115,3356.09745971199,3349.71736401989,3383.22312850585,3263.85679621252,3235.71933298464,3140.15399262847,3124.06814704447,2194.78394872485,2139.05242502718,2171.9637205786,2179.39665911449,2166.47031940498,3336.91514688282,3554.23471303719,3264.89962128965,3271.56094745592,3188.41152938045,3128.1654136139,3076.36305347416,2143.20173511615,2150.78078644402,2150.67572206183,2137.36308749596,2158.2867813759,3289.10596627341,3353.44934860939,3323.68558647961,3269.64242297007,3327.50162257486,3348.43435687838,3210.85645778011,2158.50497322076,2139.07343790362,2148.66410564666,2134.67392798358,2149.16450530878,3177.10049346309,3213.31643033786,3242.92308456591,3247.15644616063,3165.53828037157,3248.53254523148,3073.03739927436,2114.21960312267,2187.91444848039,2146.36026364755,2164.81201251687,2155.82583147505,3269.00690562574,3442.71864477922,3236.52295334047,3235.76135873752,3174.62952579557,3148.12935657936,2865.34050884924,2167.25194954128,2251.90256660312,2212.19384986014,2130.54563077105,2203.84318616265,3294.60034479012,3214.75556803802,3241.61002412438,3198.90892717532,3272.86399013078,3120.75251061135,2941.45330101183,2192.32397616709,2161.96672244585,2139.58385533242,2127.42815064944,2189.08139612995,3100.90364979474,3159.01304923059,3157.40678586203,3155.11393897268,3196.1677241434,3141.40499178378,2842.89558044958,2240.57051780931,2174.27855768747,2203.6560249609,2163.60303911443,2257.88634967219
,3,3158.15738535522,3265.37900807533,3296.24765656846,3153.84192694093,3202.37067640042,3177.71499793098,3150.01587307901,2197.62019837228,2228.56092591831,2161.7475532579,2138.76019944324,2207.50309169926,3374.10085243874,3356.65992066033,3389.53016780197,3268.58958012628,3241.38083716975,3144.17820280191,3127.46685764026,2193.77313163392,2138.67712528059,2173.94430635066,2177.77036021258,2171.56740795556,3349.26900787731,3555.19348660856,3271.37280891107,3264.36721364132,3199.56545739609,3130.5733426521,3073.74695035777,2144.83805178473,2151.99977761313,2153.49095883283,2134.67392798358,2162.72733970571,3298.82271127507,3354.79441703713,3327.01124067941,3273.88580233147,3333.19318005999,3356.77500280919,3212.61787436422,2151.83362928781,2138.28081265756,2153.55302011905,2134.30864600366,2151.62447786654,3189.7556204651,3217.5798452326,3246.04056468752,3244.24714011721,3173.16937521898,3256.25673200822,3077.54099623349,2116.89874486837,2184.32759933976,2141.75257964932,2166.42829365211,2155.2003318974,3290.30492190918,3445.52288644046,3239.57739483277,3240.3800378455,3178.0802799109,3149.24426070938,2875.30647633887,2160.99695376471,2250.91276238863,2211.73547595089,2132.38010375115,2206.32514893993,3315.7111998718,3218.20534481026,3249.90864430232,3205.45614853582,3269.23609258037,3124.8397594141,2950.4915255732,2198.26573348329,2163.32180864026,2135.53863228254,2130.55564853772,2187.12182323432,3109.16024421981,3172.37772731601,3169.65655981743,3159.91977928242,3201.75519458943,3141.4990610562,2846.15819602007,2243.06249835327,2174.65385743406,2205.44944953121,2159.9851593307,2257.72020134687
,4,3168.45817666592,3272.10396408214,3301.52248508075,3156.45957771674,3211.79479878947,3180.80104478079,3151.33048025322,2198.35018219197,2228.93662839426,2165.86524669415,2141.82602303533,2205.25169166961,3381.49335354079,3357.46317030719,3393.63806530834,3271.73868203622,3241.11021007345,3143.31308910085,3136.8188874296,2200.27872479294,2136.68593046005,2175.44589840157,2177.90684874706,2166.63685920319,3361.41432479855,3564.79579355681,3274.53290643565,3260.55274401328,3196.99195767238,3135.3487188207,3081.62880183197,2147.15327684617,2151.16649263496,2155.87826452361,2137.46756073758,2160.39285740821,3313.16777443903,3354.29462343662,3330.4415836701,3278.71324792304,3334.98720720341,3357.23398331115,3216.15228374395,2158.22413269945,2140.82522353025,2152.02117932167,2136.2585871167,2146.81902544896,3192.91570324289,3219.83222547881,3245.30056932933,3248.27193719585,3176.66272905386,3260.53173113305,3081.96207588591,2116.30563565585,2186.90304918101,2142.04421491961,2166.55378502553,2155.95132093279,3295.54969604227,3449.08836855072,3242.17307087596,3245.29055156085,3177.95575419567,3153.00882297792,2874.50435269815,2165.75114186777,2251.88196060186,2215.1866303112,2129.99357244148,2206.94005216279,3338.04164924759,3224.79517458699,3255.12140314454,3210.74195575544,3277.68141776925,3128.53028352073,2946.95822975836,2196.33758807006,2164.63526019304,2140.42891083561,2129.35707763906,2194.03374565469,3156.20937784047,3181.7187701082,3176.47556781829,3165.73700867568,3200.63989141525,3146.31548761608,2852.77898922318,2239.51807960676,2175.39385487262,2205.21968367762,2159.01675808873,2259.29486494379
,5,3174.22376893187,3278.51509157572,3302.80549245408,3161.94296211444,3212.69151123665,3182.71956961328,3155.33367827353,2198.54833853929,2223.11996994263,2164.62524242455,2140.14768031063,2209.18183328073,3388.49895007634,3360.39251241323,3397.44310698133,3276.79472309055,3247.55236821576,3150.00642446269,3136.24543126788,2195.07657092023,2135.10165702477,2170.71311363269,2179.94949617442,2167.32539753457,3369.9211205917,3564.99394990413,3274.93923689877,3257.15403280341,3203.24695457911,3136.32850544554,3084.4640746486,2145.33883907158,2152.45951777677,2152.13626149132,2139.48015485948,2160.40287517669,3315.34651691627,3355.49357928902,3334.55986386006,3282.8725765302,3339.63691779463,3362.53020647327,3227.52636034572,2152.05220997039,2139.01078575566,2156.89005914044,2137.18633021259,2152.28237430969,3200.32763024155,3223.44008814775,3248.13681948923,3250.64883602041,3182.00000063318,3270.33155206802,3087.16422975862,2111.55183800673,2187.4554924625,2142.64967907332,2162.5606047737,2154.07482186077,3302.10693635423,3447.11877753255,3244.11260858869,3243.84139583218,3179.65510980061,3155.63592167875,2879.98871443911,2164.38506031677,2252.59151181347,2211.77692398958,2128.76358594037,2200.69605036781,3345.68276324229,3227.45330393654,3259.63501868587,3215.46472275584,3276.12719763941,3128.19700946679,2959.19701081532,2192.2412981036,2163.95771697341,2141.03339764605,2132.99597095672,2189.38403506347,3161.51561877108,3187.65051072948,3178.60226676658,3164.78825269955,3203.64228993048,3146.4095569055,2855.36406216354,2240.70701769067,2172.60060781646,2201.1854550086,2162.5195563565,2255.34371045243
,6,3178.8619100472,3286.19763757308,3303.63856935149,3160.97262212622,3218.5606090235,3185.22099286286,3165.24703213072,2195.67064324333,2226.6634143089,2163.00857017989,2138.82323807255,2208.32674758843,3395.4929379946,3363.35325481281,3401.32059050502,3282.76789633419,3251.74311728242,3153.52868848056,3140.85254860211,2195.69165611977,2138.65611240415,2172.9124763833,2177.11382999182,2167.46012361947,3379.17790545597,3571.12320163392,3277.09637438241,3253.56757249584,3204.06905435522,3139.67460584278,3089.74874443601,2146.2041330889,2149.71694849045,2154.0434020145,2137.52019539769,2159.27658559038,3321.66297495467,3356.56585138791,3337.96798972662,3284.70645635338,3339.2299839917,3362.11227342417,3229.97573197997,2157.68131733159,2136.72757015163,2153.81421505988,2133.62108513979,2146.58945060217,3210.42911451397,3226.92129048767,3251.14864834787,3251.73212217266,3178.96599708629,3273.97987160389,3087.97633274214,2115.88792777745,2185.58959360484,2145.81783823255,2164.19750804898,2157.59824316893,3309.51826538146,3451.43361311354,3244.67448338335,3244.18507883099,3180.97859084456,3161.35793963948,2881.95778473847,2166.23013734059,2253.30969631707,2207.34598379753,2132.00480400455,2202.13381309808,3348.48737774101,3227.03539529344,3263.70066565388,3218.1222706476,3275.3659884414,3130.33316058771,2958.34178960857,2194.09638786097,2164.89606402262,2137.55122604081,2130.29543093999,2191.53135092103,3168.80187328514,3194.10308686558,3180.55027023533,3172.95118337411,3207.00939104175,3150.06791659855,2860.61774270216,2241.68639928242,2180.46049706805,2200.96588810543,2158.94331159666,2256.26005077028
,7,3182.34426979887,3289.32572978425,3306.87075177183,3168.54125084359,3221.21931991004,3188.90151011083,3164.85129134025,2192.73070274439,2229.1658153903,2163.96871208516,2141.12746693547,2210.26570696348,3399.80998803741,3365.17831805434,3405.11622896802,3284.81211424292,3256.66462816262,3157.34529505217,3141.24942879326,2196.08738819379,2137.44752520061,2170.79716515362,2181.02335208868,2163.55138651029,3380.74275391199,3574.49055009062,3281.41340303305,3253.83937311447,3211.74275526052,3140.2796599369,3090.3857975014,2145.4739567782,2150.38486235743,2150.49896718382,2140.75216712106,2162.15427431058,3325.51064255389,3360.80983798811,3340.84589141551,3288.81531226323,3347.45517525641,3365.71976622408,3231.22731496081,2157.24434607461,2139.6783112068,2157.77577647586,2135.11167479325,2147.16329461465,3211.53458114472,3232.45730146193,3253.37000401065,3253.93246506062,3180.78100924382,3281.88179479361,3093.75250071929,2115.52302803506,2187.84178738865,2143.25416588376,2168.35722768836,2155.13866000655,3324.93718639217,3454.61377870888,3247.06296357497,3246.95887651707,3189.28780503698,3161.90093635397,2888.1822717153,2164.92748582977,2252.3413119372,2212.25728820515,2132.27640197662,2206.99209569174,3354.68995878799,3228.66227755742,3270.81093894032,3226.7447300682,3278.09776600085,3134.56708854318,2961.4598048135,2192.53254639707,2162.96791258009,2137.81182990327,2130.20174655728,2192.56455438906,3172.45135691775,3203.29899810806,3185.69093747979,3172.97276955052,3207.47933959546,3153.74842749498,2864.65346557749,2240.46683558289,2175.35280645542,2201.27952429802,2159.24594508476,2259.44000041889
,8,3190.37110227608,3291.81711600532,3312.36453279557,3167.61293541605,3227.61984646131,3187.1395173487,3168.48863482477,2199.97608389094,2228.46783398897,2166.61545485386,2139.5217940462,2209.89000786103,3404.36501423065,3368.31522568119,3407.35641709364,3286.44783740415,3257.19547004625,3159.32531034787,3148.51467409263,2197.47408558031,2136.93574422982,2169.63886570305,2181.82560102913,2166.2611679837,3382.21133407184,3576.30434169025,3280.12980299827,3250.66926156218,3211.24177529338,3141.31092251136,3094.44047993998,2146.12008158316,2151.96874697002,2151.19713460039,2140.14729362385,2159.3706548628,3334.24602290379,3359.73537502907,3346.29764054767,3293.90178881648,3343.81665511348,3373.55940436683,3231.92528710892,2156.38926976649,2138.0616434696,2156.11805705899,2132.62028581554,2146.65248923148,3217.30960986819,3236.97033213996,3252.191473425,3257.21648292269,3186.94136103719,3285.36396391724,3098.32859508813,2113.84430337607,2188.03954839592,2145.31743857042,2172.00574633147,2154.1474890536,3328.70057821063,3457.84473944875,3246.57199499276,3249.47030592642,3186.48298712794,3165.84150106527,2888.38992395011,2166.5323806912,2249.62975524712,2215.94684732608,2134.50680231518,2201.57135214974,3375.52899502913,3234.25014198447,3273.53151546131,3225.62826557948,3282.67382706177,3137.99626342133,2965.6916539818,2193.01153703097,2161.93471445965,2138.62508176104,2129.26360097263,2186.8926362797,3179.72759168924,3207.75999053494,3189.5164157438,3174.73361283466,3210.92951417609,3155.22804377845,2867.95758930872,2243.07251611994,2175.22731349217,2201.73750047505,2158.91228095355,2260.85771700183
,9,3189.255797045,3292.70342811389,3313.47001784425,3168.80244583161,3226.02516108811,3194.92732002152,3173.65031277014,2197.13021345934,2229.95844077957,2168.01295852267,2144.65127808347,2207.44045191533,3401.67549199768,3367.12787353554,3413.72711181907,3288.8353478002,3258.05074525058,3164.98640904687,3148.50522520508,2197.19325210004,2137.24936885329,2175.48792416204,2177.82279722613,2163.01995610904,3385.11025663495,3580.55838576178,3281.0901467476,3251.21227441365,3214.11965408508,3145.89816204121,3095.24368220842,2145.05760854659,2155.63905975909,2152.0421922019,2140.86627194745,2163.91666855621,3333.93436416938,3361.93573743132,3345.67274547381,3297.99965127601,3352.19895513705,3372.03780177151,3236.35641242434,2160.73614923063,2139.29201628065,2153.77257845556,2133.64248352762,2146.86105120943,3220.08242535508,3238.29497279379,3256.48650735227,3257.69645831641,3189.37087921465,3289.13759120542,3100.12257979567,2113.87669330234,2188.77954825303,2142.35745343658,2168.19010198976,2152.00016644144,3330.95297853438,3457.72026428201,3247.99070667086,3257.11200704294,3193.91650274796,3164.11070947993,2892.59180019873,2163.35323016297,2254.32189806712,2212.09016250655,2132.52660185289,2202.62459296878,3369.8800721745,3237.12802493338,3280.18341653194,3231.47751483708,3284.30071937863,3143.95960167176,2971.55087404194,2194.12781494411,2161.48674885944,2138.85465516881,2129.79541609416,2192.29334163255,3179.83225326769,3211.53458114472,3195.43773754255,3178.13289766276,3215.66287910316,3155.42677021968,2868.37445572955,2242.65657317188,2176.69689778292,2199.60118157331,2154.78437307238,2258.4081702651
,10,3197.23058475387,3294.95463166028,3315.41897428787,3171.54307631707,3231.53899225256,3190.21497171744,3172.86713186837,2196.79654248311,2230.72965023521,2170.56660863131,2141.50237981826,2207.48207882282,3406.43966927513,3366.18852711715,3410.83917919517,3291.13859556503,3259.5203249218,3164.28728121625,3152.17360228615,2198.79814113161,2137.55122604081,2174.53877528521,2178.86522880926,2166.82460627514,3386.47572630967,3581.69365582477,3285.87438134604,3248.10422462225,3214.9327114731,3151.81931541599,3099.74671991185,2144.97316946694,2154.84604502724,2153.27178964488,2137.10286989823,2159.42269838235,3333.62052332613,3362.5085860472,3348.30925696285,3293.66160675209,3349.748394663,3373.09003534781,3239.77555114428,2158.72414240871,2140.95995440326,2156.84764367574,2135.24738404169,2150.75977356758,3221.86525034687,3237.01235789283,3255.31897131328,3262.35559722615,3190.18296373124,3290.53410886381,3101.51913160572,2113.06267323977,2187.82037920796,2143.45193494721,2168.54497444947,2156.48236169582,3336.11250387009,3459.53407697997,3250.56517452309,3253.84880297001,3194.17614326157,3164.56948903352,2894.98918883016,2164.91707689906,2252.2468357066,2212.02672419173,2131.71257842062,2201.24809592269,3375.36284670381,3238.29438769126,3282.86196560661,3233.31140394644,3282.35057083472,3142.61396518622,2977.84735866478,2193.73110588105,2164.23855645876,2139.64689396173,2128.92934963582,2190.7287079083,3179.28925331334,3216.33984118705,3196.58407229977,3183.87592443512,3214.53639885006,3155.92659975209,2872.36711699543,2239.97702621786,2175.66467452499,2202.43605644869,2158.27578626613,2260.48241725523
