,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,3472.89938255678,3312.64636180625,3249.63801874684,3243.92447000985,3171.31446236279,3251.02413583481,3244.42486976239,2199.27792528786,2235.4628380575,2166.85602843075,2140.48095436456,2211.41261928692,3487.1397626239,3630.0038919737,3471.20002695184,3378.10466009941,3278.80731721246,3267.29812290407,3160.68096762134,2196.56775240936,2135.44592619046,2175.82119821598,2181.00233920845,2169.77535276831,3409.49472680273,3806.91621737637,3617.77512868522,3315.90897796624,3323.50904354374,3162.27623616837,3079.91845111529,2147.88286359474,2151.16649263496,2156.03537245373,2136.28961776542,2160.57000087529,3569.67469114407,3655.82652275839,3441.46826743626,3445.12719629088,3428.06156117561,3639.79271779692,3361.31023774064,2157.54658947983,2141.03339764605,2151.4587182717,2135.47695683917,2155.15967288679,3346.1211016974,3488.44280553419,3455.09316558119,3390.72973608253,3250.11740561915,3352.8344725962,3138.08992234791,2114.16794159581,2185.68405779165,2145.13066495578,2169.76435765656,2157.48355083913,3453.58194855509,3613.3966308505,3395.6396643185,3402.12384822127,3315.2004040979,3231.99892746986,2865.92450049581,2171.65185184033,2254.93640264604,2210.33876337266,2132.77680172916,2205.87719136028,3404.87604686023,3412.87242513237,3308.22583821107,3233.57318313666,3173.78543047676,3161.52563653956,2984.15493714483,2194.64922757688,2165.83421604543,2133.83966253167,2137.85385566373,2189.44707370417,3229.32980300856,3218.61323408944,3210.19953024244,3217.05999130288,3160.50382415425,3130.84512104785,2859.65948582059,2239.70621818559,2178.89665314039,2207.56555185347,2160.80920563981,2259.81530023329
,2,3516.45517390788,3320.07930168515,3251.9518789307,3253.11980413438,3174.96337344893,3264.04552451257,3255.52773360766,2198.0999823157,2235.60895087587,2161.76895672769,2140.92931058815,2205.93925265772,3521.62629713187,3634.35135915969,3477.70522373484,3382.99455279841,3281.1311951648,3278.36897875735,3160.1805678688,2195.65002708195,2140.97035900535,2174.97750664102,2178.53234843774,2169.34800942496,3435.20227541777,3810.37698988367,3620.5803481964,3318.4530024894,3326.91777252209,3165.32066044407,3080.90923285188,2145.23475201368,2153.16809164512,2154.83641660133,2143.74357052455,2160.54898799506,3593.45369715814,3657.29669136729,3433.35778433774,3445.27330910925,3429.89603448716,3641.11677358745,3370.30741551786,2157.51555883111,2137.37446879143,2153.60545275695,2134.18393169736,2156.64987703265,3361.95675031155,3493.14455965436,3458.52290743977,3392.03277899282,3253.12982190287,3363.44695445742,3142.87572798901,2113.33426778934,2185.15165004713,2144.61927009149,2171.30758267464,2157.00416396682,3472.64918268051,3614.40842546733,3401.10203583596,3401.56138717129,3319.59991481285,3236.18928672573,2871.81519269989,2164.87544230082,2254.64515435257,2212.13218826702,2133.72555770529,2201.37359358743,3420.20127795336,3415.68668506876,3312.13594428523,3234.79217452602,3176.55864199596,3167.6765463884,2989.86750853855,2196.00431401613,2164.18690396945,2136.65489981134,2134.25698810655,2186.24651884162,3237.64943756615,3235.31358715879,3228.87142901649,3234.4488827036,3165.89411660579,3131.72082061479,2862.81801492267,2244.17780796646,2176.97910565117,2207.7536904323,2161.16446991725,2257.3133014706
,3,3543.40306390551,3326.31268470577,3256.18367561224,3254.24511559305,3176.74522924984,3267.94306767218,3263.92985260851,2199.60078414435,2231.09493221513,2164.70792547778,2143.60806550586,2203.76011199999,3543.40306390551,3636.75863153499,3478.91356877756,3389.62423707439,3282.94503976927,3281.92322756858,3163.08930292358,2192.25091977111,2138.13469986559,2175.22731349217,2179.46971551048,2169.73293497547,3448.88958905004,3810.01199677922,3619.19259984106,3329.59729049578,3332.0362501771,3166.09170089633,3088.28957120251,2144.41070851859,2152.90748500805,2157.7443559609,2136.92572646315,2159.18251631796,3619.7560381325,3660.68374604459,3432.3764001999,3453.61235519712,3433.18002055573,3641.33528489011,3373.19412238691,2156.88966942861,2138.62508176104,2149.93611767841,2132.09887327697,2151.82263417805,3381.46073457865,3498.22098152226,3465.53887292547,3401.01834715441,3260.45808561674,3364.31202838418,3148.14939211271,2112.19699159773,2187.10081035789,2144.3066214795,2169.5868221835,2157.08782574013,3493.51922825162,3617.94160068575,3408.3161680081,3408.12802946326,3324.28005541416,3237.41868828254,2872.88852953399,2166.48033717165,2257.82428838596,2210.14020769209,2129.50280569393,2201.99869541588,3439.1638036248,3418.33417901728,3315.37694853499,3240.56719904726,3181.38492123426,3169.0210424731,2991.86856697096,2194.36760056847,2167.16887537862,2132.79742925061,2135.55964515898,2188.52895294828,3244.58139145402,3254.63043310631,3239.97273011271,3234.43730318622,3170.14694171288,3138.20443749951,2865.78886499181,2239.84093119256,2180.01214092547,2206.38721022615,2161.72654038146,2256.31209428983
,4,3554.74513046598,3330.75422037868,3259.23811710454,3256.90324446231,3180.94658285836,3272.44666463131,3264.83658266033,2202.28994365673,2233.01247935789,2164.15548229611,2143.3888963179,2207.40902242684,3549.05357298085,3640.50161123426,3481.14533172378,3395.60802014345,3288.44943605265,3280.66221064659,3169.91677741516,2197.20287287281,2136.57143959299,2176.19610483022,2177.57220390107,2166.20912446415,3459.73223329148,3816.01679272472,3618.76525657492,3324.15495549862,3331.58789403452,3168.44758641499,3088.97713206639,2148.36186229605,2149.95713055484,2158.47394257765,2137.83245651498,2158.90128584379,3630.1073231354,3660.36146716063,3435.01449353582,3453.23705545053,3437.38039682116,3640.69976754578,3375.28979030783,2159.44371125879,2139.05242502718,2152.59424654768,2138.25979978112,2153.67812003458,3398.26614901272,3500.33766231962,3470.40677452143,3402.35242047238,3260.34398081097,3366.376665662,3155.02988746693,2115.26242819979,2187.03874907167,2143.74318318806,2171.65145946131,2154.98116270944,3512.87868451586,3624.58289131867,3410.26572313706,3414.33098172028,3325.06168555045,3237.03337076927,2875.91194038318,2166.14706317793,2254.54065993904,2209.50469034776,2134.63190223071,2200.0591580536,3454.25886765121,3420.56496462041,3314.14696225612,3241.84922884568,3182.63592038957,3167.71799979824,2998.8121009545,2194.40864897825,2165.5836248865,2135.77881434693,2133.58907715359,2188.25774024078,3258.99891238324,3261.7931362778,3242.79798465038,3240.98452454672,3174.4834130036,3137.01549963042,2870.21940555496,2243.07251611994,2175.53957460946,2205.46948506456,2158.41188129143,2256.65636339331
,5,3560.3132086642,3337.80146713981,3260.99010512512,3262.85658642865,3184.54402515635,3276.66962315242,3275.09536748562,2197.84978243943,2235.03549471414,2162.74874335253,2139.3440598096,2207.62859049417,3554.1202730549,3641.90939897673,3485.9408067715,3395.42049509094,3288.57513015545,3283.60216327878,3170.77301419305,2197.60960033164,2134.23597522631,2173.72650725967,2179.51213506258,2168.01295852267,3470.61655302164,3818.51948097417,3624.53052534449,3331.65153463424,3333.7572207023,3176.12030354085,3094.48208746786,2144.47315727312,2151.92711003225,2153.65847362917,2137.68672996513,2162.32140000918,3638.93803111021,3659.7886723615,3433.34678922599,3458.74207666732,3434.75391919418,3649.33232108714,3375.54060003928,2154.66929090273,2142.0762229116,2157.16127189694,2136.20654358775,2155.45092118026,3415.05116760961,3507.18678337416,3470.10515815735,3402.39506097777,3262.58537367215,3376.33224808529,3158.96157647944,2114.84548481544,2187.53954398343,2142.24237126693,2169.65025283018,2154.19992179891,3522.65812728566,3624.92683803913,3419.48170897327,3415.45749807273,3327.41817227463,3241.41245347867,2882.08340539541,2169.37904007367,2256.10432784972,2209.17083816898,2133.22515795275,2200.03854268515,3467.20782404328,3421.52533374389,3320.50664502851,3245.5097207884,3186.74378051382,3175.98518583424,2998.72859126588,2195.05555804,2164.12484267202,2133.99677046179,2136.66491757982,2193.33518955483,3292.39018959692,3266.21327187806,3246.28133329744,3239.59801570409,3171.00220118908,3140.28967770539,2874.5563962271,2240.31070499603,2178.38623561937,2204.59418398695,2159.92348830439,2256.42758413517
,6,3568.40203413534,3338.37432011632,3263.45046582282,3264.22207819244,3188.82787753683,3274.010902247,3275.96045737595,2198.76613314541,2230.91681143696,2163.54097782821,2144.74398251231,2203.94825054483,3563.75232438424,3648.85227493175,3490.86109938235,3400.46590397274,3294.1309757711,3287.12538050135,3173.50362655579,2198.15162867752,2136.39429615791,2175.8628308365,2181.7005011136,2165.92789398998,3473.86852374652,3821.56223741788,3624.02947079391,3333.47538787725,3336.49782138335,3175.50522520429,3096.79636545864,2144.76499538875,2152.22896456775,2153.43891531328,2141.86668445509,2159.16248078462,3648.65411862023,3660.67372827792,3433.57535583567,3458.97063868853,3434.47206812083,3651.13510405442,3380.51295611704,2156.04500066301,2140.6056675331,2151.15608619061,2134.69494086002,2150.5506221463,3416.56176732341,3510.54381187364,3475.08849225872,3406.61681271021,3262.60579705721,3374.63326008706,3161.47302178834,2117.03483989367,2185.24532450135,2143.47197048056,2170.57760374108,2153.38687179374,3525.20053752415,3625.51063424694,3422.00410232057,3419.01172211449,3325.55206744591,3243.66366629243,2885.6797515613,2167.86645400917,2255.72862046504,2210.38038975648,2129.99318758938,2199.20447152132,3472.16916844863,3425.78813042962,3321.51783950579,3248.78274506254,3186.4619742515,3175.1609561008,3009.04928115163,2193.17866269937,2165.95892463309,2136.96677487293,2137.62428243679,2191.14603340776,3306.27568534432,3272.42662909796,3248.20928900443,3243.8097790844,3176.35991173657,3143.29150828342,2877.26702657759,2239.77886990634,2177.90645523788,2202.11280022165,2157.33802557119,2262.26484671578
,7,3576.38806204287,3343.98438498062,3269.46587026956,3268.27790952891,3189.95435314485,3281.21524668573,3278.09776600085,2199.16284311821,2234.84833347858,2161.08041839632,2142.83684030889,2207.2112649193,3564.10725522544,3654.88876189402,3490.92379141665,3400.56058766622,3296.44640848945,3289.15860408565,3176.20435506179,2193.440253956,2138.46836024266,2179.47010930211,2176.97910565117,2161.1534748055,3481.78147816434,3825.65017744785,3628.39860565818,3344.17154621619,3340.1583304274,3176.68374193409,3099.01769323269,2144.64028297172,2153.09503523593,2155.86824675513,2140.21975937654,2158.07801988108,3653.87696727719,3666.95039948389,3436.91262613446,3464.64278663989,3442.47908470982,3651.31290721706,3386.78859935965,2155.47193406049,2135.69612606673,2153.4493221701,2133.97575758156,2154.03377344357,3420.25332148231,3513.95317514518,3480.79069642774,3409.24452692646,3268.69425776052,3377.56321192967,3164.49700440608,2115.17973621264,2186.67386218498,2141.2936152908,2174.21591190046,2156.42069003662,3536.27300766211,3631.07774788796,3426.63341832718,3421.28515163611,3330.69178354637,3247.89663738144,2890.00672725836,2168.25314063046,2255.54186679975,2208.37919012297,2128.3462603655,2201.74889340184,3481.96961674317,3430.87582111201,3330.36852726091,3251.03513094656,3192.79060330475,3182.0940699226,3012.07323622909,2199.14183023798,2165.59501128092,2136.87406903889,2139.02178086741,2192.4494722194,3308.84132013326,3273.99048092264,3250.273536206,3251.9108305135,3180.31164014,3143.89656303106,2881.80217487043,2243.36514704022,2175.68608050936,2203.2390975477,2160.62204440425,2257.32429658235
,8,3578.11780179391,3346.94415300176,3271.84217793009,3273.71867666306,3195.47918593643,3281.24568447138,3285.64519439141,2197.23390351592,2236.06692085019,2163.91627757481,2142.99258369487,2211.43323260028,3567.1930607329,3654.31464546225,3492.24721621986,3406.71088198263,3300.62615361206,3289.90860928615,3182.52083824072,2198.12059803441,2139.86508580659,2174.34061897369,2180.58559698358,2171.3492161107,3485.51283365761,3826.98355953861,3631.24421748494,3340.40792675102,3341.96116925695,3178.39254102818,3097.73412615358,2145.55762063481,2154.08542776738,2153.49095883283,2136.22717048951,2162.58122691375,3656.02401852682,3666.86666276826,3435.35876263931,3463.05788749128,3439.30991641676,3652.21897754133,3386.31959575102,2158.78718103802,2139.55282468931,2153.54300235238,2134.17352832146,2156.02398778657,3423.03593228793,3511.24236784728,3481.53064923704,3410.60901489745,3265.67123365927,3378.86564433869,3174.24323093921,2116.33628392003,2184.72391196279,2141.53341046137,2167.54417512521,2157.10786127348,3535.87605609719,3634.98621984112,3425.44386132613,3427.83175483099,3331.58789403452,3249.4082446402,2895.51060136872,2167.36605434705,2255.82268973746,2212.25688848945,2132.37008598447,2203.30173809074,3489.80825653855,3428.69645912995,3324.9786113878,3250.14784902362,3190.42314579563,3182.65693326601,3013.54188300099,2192.51113736884,2167.17889314529,2134.29862823699,2134.11048969215,2193.6790623615,3312.04127656852,3275.198862773,3251.22170474386,3251.66004311976,3182.78203318154,3145.03288933419,2884.18857034159,2240.1331567765,2175.65465675831,2206.92963564115,2162.00777085564,2260.493412365
,9,3579.85918284467,3350.16572016247,3272.60377253304,3273.61458962397,3194.77061219611,3288.77269227969,3283.45545719807,2198.50591554768,2232.04271067675,2162.05981437518,2139.34367326803,2204.47968085007,3568.93346444057,3660.28841076465,3493.25901065388,3408.24311161212,3298.5094728147,3291.57693394093,3185.648336129,2196.93166016532,2137.90551291096,2178.7501466604,2183.86922543051,2162.59222202351,3488.59928313611,3824.33544843601,3633.57909012716,3344.9635672297,3348.2572134433,3182.47978983093,3105.5323466694,2146.92272459589,2149.58183080825,2157.25397406545,2139.64689396173,2157.94251227241,3660.32945917443,3669.59784803351,3435.0565192887,3467.87374556769,3443.00989302007,3657.18094840971,3391.78196628153,2156.59744384468,2139.98016795545,2149.61286145136,2136.09107546421,2154.87707567035,3426.54972503257,3515.23457003452,3485.15854678745,3410.80717120897,3274.08395864298,3380.41888684461,3176.23481182104,2109.14255010543,2186.99672331879,2145.4945820055,2167.25194954128,2154.15848416336,3549.44988560388,3639.17755568296,3430.93823984284,3427.22726812977,3333.03704950135,3251.52394809447,2893.11269009719,2168.11665384023,2254.32149075109,2210.57854606799,2131.76559928325,2205.02112892198,3492.57047244691,3432.6796208936,3329.13793924344,3253.68167730161,3192.65393139876,3183.83487602534,3020.62053466673,2195.32637413984,2166.38626789923,2134.63190223071,2134.24658471744,2190.91684645314,3318.40035938418,3280.98546687364,3249.0009369074,3251.04456130878,3179.5394531444,3150.57931137044,2885.86789010614,2243.68799793092,2176.05096938135,2204.58376788916,2163.60303911443,2258.67897491825
,10,3586.11417862124,3351.84406258392,3272.97907227964,3276.4188312852,3195.87549855946,3288.58455373485,3285.32193816436,2194.96109215992,2233.69002245509,2165.67769415892,2145.03620809625,2206.01191047956,3573.75029986007,3659.63090320079,3500.23357528052,3410.9642791107,3299.4582286194,3290.96145212995,3188.20237795917,2195.68066101,2138.81224296279,2176.53035616703,2180.03315380191,2168.10663607356,3489.50601318794,3827.81723319445,3636.19617058665,3345.21376706076,3345.202771951,3184.64753680475,3105.94967216887,2151.57243434699,2150.32143519167,2150.73876069114,2138.80222519612,2162.14386588093,3670.11926057208,3672.0788334677,3435.68201886635,3471.96099437044,3445.23066085652,3654.73197096172,3391.95910971661,2155.95093139058,2135.95595778201,2149.89409192553,2138.13469986559,2151.85366482116,3426.68484271477,3517.78861186469,3486.85790208534,3414.97749417437,3275.01170157125,3382.59762892819,3176.66215508718,2118.94236926975,2184.88004252143,2141.70053612978,2171.74455139064,2155.50257524801,3549.06359074753,3639.9801986957,3433.26309471839,3430.62500138246,3336.75901632418,3252.67086021069,2898.90931196451,2169.28457883289,2256.18699437429,2210.19225121164,2130.45156149863,2203.09258666946,3496.43855206171,3438.8925909173,3330.1697692108,3254.17205919706,3199.84766521335,3187.42074782288,3021.19399072484,2199.49669710525,2170.88986485836,2137.57223891724,2137.62428243679,2192.50111960217,3320.85031417526,3283.14319608078,3250.5962051662,3254.0569770482,3186.76421760211,3152.62195842873,2890.39152259861,2243.63595441138,2179.07340288744,2206.96066628426,2162.29999643957,2256.7604504324
