Well,Fluor,Target,Content,d,Cq,SQ
A01,FAM,TLR2.1,Unkn,HC1,NaN,NaN
A02,FAM,TLR2.1,Unkn,NC1,32.38385946,NaN
A03,FAM,TLR2.1,Unkn,SC1,33.02006035,NaN
A04,FAM,TLR2.1,Unkn,HT1,NaN,NaN
A05,FAM,TLR2.1,Unkn,NT1,32.91093341,NaN
A06,FAM,TLR2.1,Unkn,ST1,31.52501002,NaN
A07,FAM,TLR2.1,NTC,NTC,NaN,NaN
B01,FAM,TLR2.1,Unkn,HC2,NaN,NaN
B02,FAM,TLR2.1,Unkn,NC2,30.22940002,NaN
B03,FAM,TLR2.1,Unkn,SC2,30.50451591,NaN
B04,FAM,TLR2.1,Unkn,HT2,NaN,NaN
B05,FAM,TLR2.1,Unkn,NT2,32.26978361,NaN
B06,FAM,TLR2.1,Unkn,ST2,30.51198949,NaN
B07,FAM,TLR2.1,NTC,NTC,34.89014238,NaN
C01,FAM,TLR2.1,Unkn,HC3,NaN,NaN
C02,FAM,TLR2.1,Unkn,NC3,32.21961842,NaN
C03,FAM,TLR2.1,Unkn,SC3,30.95013222,NaN
C04,FAM,TLR2.1,Unkn,HT3,35.06095958,NaN
C05,FAM,TLR2.1,Unkn,NT3,31.41123836,NaN
C06,FAM,TLR2.1,Unkn,ST3,34.37474787,NaN
C07,FAM,TLR2.1,NTC,NTC,38.39851341,NaN
D01,FAM,TLR2.1,Unkn,HC4,31.43963075,NaN
D02,FAM,TLR2.1,Unkn,NC4,30.34021482,NaN
D03,FAM,TLR2.1,Unkn,SC4,31.15265395,NaN
D04,FAM,TLR2.1,Unkn,HT4,32.99130636,NaN
D05,FAM,TLR2.1,Unkn,NT4,33.55963187,NaN
D06,FAM,TLR2.1,Unkn,ST4,32.04709527,NaN
D07,FAM,TLR2.1,NTC,NTC,33.65670541,NaN
E01,FAM,TLR2.1,Unkn,HC5,32.04096641,NaN
E02,FAM,TLR2.1,Unkn,NC5,30.13872806,NaN
E03,FAM,TLR2.1,Unkn,SC5,32.53253846,NaN
E04,FAM,TLR2.1,Unkn,HT5,32.41411812,NaN
E05,FAM,TLR2.1,Unkn,NT5,32.93407714,NaN
E06,FAM,TLR2.1,Unkn,ST5,34.17904066,NaN
F01,FAM,TLR2.1,Unkn,HC6,35.32831581,NaN
F02,FAM,TLR2.1,Unkn,NC6,32.45620463,NaN
F03,FAM,TLR2.1,Unkn,SC6,30.21188083,NaN
F04,FAM,TLR2.1,Unkn,HT6,36.46339073,NaN
F05,FAM,TLR2.1,Unkn,NT6,34.02297381,NaN
F06,FAM,TLR2.1,Unkn,ST6,34.21102465,NaN
G01,FAM,TLR2.1,Unkn,HC7,37.03963095,NaN
G02,FAM,TLR2.1,Unkn,NC7,30.44228352,NaN
G03,FAM,TLR2.1,Unkn,SC7,30.75119034,NaN
G04,FAM,TLR2.1,Unkn,HT7,39.69939218,NaN
G05,FAM,TLR2.1,Unkn,NT7,31.60879906,NaN
G06,FAM,TLR2.1,Unkn,ST7,33.11060417,NaN
H01,FAM,TLR2.1,Unkn,HC8,31.66836943,NaN
H02,FAM,TLR2.1,Unkn,NC8,31.46252018,NaN
H03,FAM,TLR2.1,Unkn,SC8,31.07547967,NaN
H04,FAM,TLR2.1,Unkn,HT8,NaN,NaN
H05,FAM,TLR2.1,Unkn,NT8,NaN,NaN
H06,FAM,TLR2.1,Unkn,ST8,34.10129454,NaN
