,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3404.98850164399,3549.83499195497,3426.22529184296,3458.82155601154,3406.13451319934,3461.70571439449,3256.96689314964,3450.93034234123,3591.40408529446,3509.06607534103,3415.39683855775,3405.86882878679,3340.11430557454,3272.73787004292,3486.79187357971,3624.01540929149,3594.15597242904,3425.0817604075,3523.99112279983,3304.83295427723,3263.06931069573,3445.509228633,3608.32025053601,3710.49331728905,3459.4432528704,3610.55588988894,3576.21056423479,3360.28995320047,3372.22882483546,3389.3480432899,3438.07055367767,3439.78934714144,3367.37513324456,3391.30366152147,3407.2199075308,3503.69109443909,3375.18606657641,3431.98106083789,3421.92343872387,3393.40492844823,3341.03977681062,3413.63004458252,3407.30245985697,3402.66390913706,3312.25632917024,3376.31343638824,3329.98694068058,3333.11317210683,3391.84730693724,3338.51079981206,3307.70118717889,3265.82276540598
,2,3446.08714361721,3568.38752433926,3436.63405799316,3463.38058392736,3412.95683206997,3465.21449862921,3263.78207692722,3478.95646844644,3596.98249481986,3515.01871625777,3421.20764926804,3410.00158789994,3348.42451844845,3277.63390459494,3517.32804176305,3633.82043022809,3597.22185473837,3433.39386564999,3530.44643319301,3316.41611074484,3267.03005392573,3469.206603843,3615.44454473964,3710.29202926264,3468.98609579638,3609.12470740652,3578.59878601874,3364.85762328355,3405.93034659558,3392.2874159882,3448.97281588862,3454.70830683847,3375.99184479511,3393.8877988018,3426.0590482072,3507.72536944633,3380.14519869356,3437.44074195125,3427.76678004634,3400.33192569086,3357.6362485063,3419.92933951053,3413.20638818786,3410.86364357073,3312.59971758693,3375.21996433188,3342.7547063911,3350.25768346197,3416.28414965232,3349.38498260432,3312.68679603546,3269.89628348131
,3,3468.3547204871,3570.27128284976,3444.81912577375,3468.46794932511,3416.36808392485,3465.94989884889,3270.96524170652,3496.04749333488,3605.31297911864,3524.63104599572,3423.70886356804,3414.64671178597,3349.7470085968,3281.69171480082,3536.68539498162,3633.98904624641,3599.59803556216,3433.97575663847,3535.97662016427,3317.81739848379,3271.27869766572,3484.1539425316,3620.10529250829,3702.01220265063,3472.1665151666,3615.37803941879,3583.31365446743,3367.14546386654,3417.57451017695,3395.8707885853,3448.72193735491,3467.13217735075,3378.02166752321,3396.21903756332,3456.0164958036,3508.78644328831,3383.69187379424,3442.93460010733,3430.9571347142,3405.24092527801,3370.80827718657,3417.49644259199,3415.12418230674,3410.03722923912,3319.31959505672,3377.65504547677,3357.49007530825,3359.59789179116,3424.87113496174,3352.44721447549,3322.04540875611,3270.34770746059
,4,3481.69173136491,3577.00747440871,3454.57461748041,3471.54355437921,3419.64695157926,3469.58209967301,3276.7740656745,3510.68138804738,3611.20161163257,3530.64018703151,3428.03787737487,3417.37714322199,3359.17432669755,3284.54415691182,3561.98652859364,3637.75176971172,3601.06346857656,3440.33408769573,3542.54481943813,3324.27165931398,3273.11905877419,3494.51883326405,3621.9986296183,3704.07860191159,3476.34034177006,3613.92125058671,3584.33992018827,3368.58124940795,3430.20856658133,3404.77361001575,3453.37171955316,3474.29056708038,3388.29327761116,3401.68813727911,3476.88469091919,3517.34759930909,3389.41093460123,3442.23038040307,3432.80297300456,3408.68647515008,3378.47861433325,3426.07364951664,3419.0316127663,3413.50430371244,3317.85129537746,3387.93334041393,3368.29331753789,3365.56103652571,3430.26436601005,3353.85995857139,3324.32949341301,3276.75115332588
,5,3488.95865267943,3580.61871059948,3456.922816455,3475.20926872465,3425.5275393126,3473.13434239513,3282.66830945877,3512.97793229448,3617.43970776087,3535.27699602856,3429.09398336242,3419.85888383515,3360.08205942782,3287.85936110351,3571.19661114413,3637.41765481159,3604.58760848592,3442.18104706366,3538.09332891246,3333.11414552003,3274.86172092152,3506.0971569884,3626.0894324002,3703.62089343012,3478.23783093812,3611.81941790515,3590.31652077726,3370.38394457177,3431.52151792928,3405.35952396542,3455.34466927365,3481.96649503821,3388.11417908691,3402.49707701016,3477.95310001783,3515.23198111447,3388.10982760887,3446.60425895752,3437.10020575248,3412.79265097769,3385.40234954407,3423.97084761035,3420.99495299798,3413.83635534977,3321.95264520711,3390.23232008958,3392.43401349948,3374.17790889249,3433.92710814876,3358.69563390005,3328.67000608391,3277.52297238906
,6,3494.69180722749,3588.42519307817,3462.34893019565,3480.48866275466,3428.31731171408,3475.09115787272,3288.66053895693,3515.09041778369,3620.57346926691,3539.75657476111,3432.31549807395,3421.3254963061,3364.21230731181,3290.92143702132,3578.86226171172,3647.26931431283,3601.8277712897,3442.30862047757,3544.34318807875,3334.23464058808,3277.93516847156,3514.13379481648,3626.19382769108,3697.99472769937,3480.96903274364,3619.49289047143,3590.63334397563,3371.40904230678,3440.87097121957,3413.211653089,3456.58539277888,3486.94093752362,3390.8668461564,3405.97448255309,3490.04703958299,3520.6944675581,3392.72123384943,3453.91717899336,3437.87176442334,3412.77889324594,3408.10395361917,3424.67778291905,3427.04118969199,3418.12883720317,3328.58548891091,3391.76457351565,3415.60419798699,3380.47794132911,3437.57391494899,3364.24450944356,3332.865304089,3276.31041656173
,7,3503.93451036069,3591.3067487434,3466.95807436927,3478.2858855106,3426.7104468228,3474.78417951168,3289.13342651363,3519.60530976585,3624.5083899615,3540.28046266934,3436.99921383579,3425.47090666585,3362.83208592543,3292.74555846425,3591.33277360223,3643.0683707864,3606.17501310676,3449.37771526455,3545.46159961829,3341.33416172525,3285.21947233279,3517.04814525761,3635.40587506883,3699.55930333193,3482.88617745657,3620.30718319411,3593.12287885549,3377.65976163608,3440.12321781212,3410.9150927449,3458.98323690618,3489.81952587259,3396.86614082581,3409.61919704112,3488.52289888049,3521.16457255132,3398.65124541708,3451.56712802252,3442.99307725697,3415.27989196246,3406.1072698033,3435.62368355531,3422.85632473143,3419.64884095453,3332.02522006748,3393.29793457932,3421.04482233908,3384.17570142388,3438.67395395712,3367.1862608623,3338.33498993281,3279.93696793705
,8,3508.30207133982,3595.84385935994,3470.01066136029,3483.83205119392,3433.65080250469,3477.70675499325,3292.07688304061,3524.88060679921,3625.75410247826,3546.09778793802,3438.88910944194,3426.27068529218,3368.6830844124,3304.15035156429,3592.77136907309,3652.53891219153,3609.47789796469,3449.91413139056,3549.58055488816,3343.66964977249,3288.42672312988,3524.0265623008,3634.12555041402,3700.16686555956,3486.35005521497,3621.41670903126,3590.62745214244,3379.89811955293,3442.52550069902,3413.30504626678,3464.60707893487,3502.15185478158,3401.02912199114,3413.59751040473,3490.21158344458,3525.8617241762,3396.64060438069,3454.33351557734,3441.60653694942,3419.55049443851,3411.84328529484,3439.01109028145,3426.68703430591,3423.01963175207,3336.36921417982,3397.78089400617,3428.01866920321,3393.02461339849,3445.08841035539,3363.20595190945,3342.14812389705,3282.1884012924
,9,3511.59225767853,3600.46382011954,3474.26447717356,3485.63020853502,3436.11605559344,3478.90954656936,3297.08512088507,3527.84633696132,3630.34081648465,3548.93157856309,3437.13057623958,3432.01706387768,3372.84867740472,3302.59912437109,3600.31457192684,3651.78077335559,3612.98143923843,3454.60119759915,3549.41026685445,3345.77992849311,3288.96113302565,3531.17302610246,3635.23363607107,3697.20046416204,3487.61650554072,3620.54676649881,3598.30875901076,3380.69749747576,3441.093343239,3416.00968054654,3464.83432558079,3497.33629815608,3401.20986066152,3413.94339254957,3495.77836497983,3526.72652433739,3402.85544136587,3452.53321579711,3447.70375849732,3424.78904555737,3424.46554267126,3436.66692147232,3430.48933716398,3423.8844689862,3336.66082875403,3398.3349278663,3431.66679765101,3393.9862034371,3448.08070740626,3364.0477178348,3346.69885132174,3284.74645764422
,10,3515.45901909741,3603.4703356447,3479.84739322769,3485.86635743892,3436.61296654649,3485.34489482239,3297.83583966024,3531.06347779416,3633.33983136422,3550.38461417708,3442.04077499546,3436.59359986265,3371.94403051044,3300.72515622847,3602.19715486954,3655.44783330657,3609.45805985873,3453.65066723386,3552.84642670566,3351.5763790269,3292.98015657458,3533.11874643854,3636.49247872209,3698.08086622704,3491.41039753835,3624.19030542434,3601.87590795824,3386.87223245919,3444.4122875239,3417.94649351501,3462.29602578575,3497.96126543249,3402.70958392507,3417.17120175899,3497.06874133735,3528.76494174915,3405.67881993798,3454.60927019574,3447.84138143709,3424.12996847714,3421.107478221,3437.74358711992,3428.13401818561,3430.07134939136,3341.23261254867,3407.30123218165,3430.51760073938,3398.77747384695,3447.11234225777,3369.74839858182,3346.83219624834,3289.83920593453
