,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CRAF,Unkn,HC1,25.9241597224156,NaN
,A02,FAM,CRAF,Unkn,NC1,27.8961328007169,NaN
,A03,FAM,CRAF,Unkn,SC1,26.555246034568,NaN
,A04,FAM,CRAF,Unkn,HT1,28.7117445335236,NaN
,A05,FAM,CRAF,Unkn,NT1,28.7208083510692,NaN
,A06,FAM,CRAF,Unkn,ST1,26.048763430994,NaN
,A07,FAM,CRAF,NTC,NTC,NaN,NaN
,B01,FAM,CRAF,Unkn,HC2,25.6717149261676,NaN
,B02,FAM,CRAF,Unkn,NC2,25.9416287605639,NaN
,B03,FAM,CRAF,Unkn,SC2,26.0580177138217,NaN
,B04,FAM,CRAF,Unkn,HT2,28.0605724142034,NaN
,B05,FAM,CRAF,Unkn,NT2,28.6542748601366,NaN
,B06,FAM,CRAF,Unkn,ST2,28.0864904715133,NaN
,B07,FAM,CRAF,NTC,NTC,NaN,NaN
,C01,FAM,CRAF,Unkn,HC3,26.026734859283,NaN
,C02,FAM,CRAF,Unkn,NC3,25.9606304262798,NaN
,C03,FAM,CRAF,Unkn,SC3,25.4475652575408,NaN
,C04,FAM,CRAF,Unkn,HT3,28.2835345808073,NaN
,C05,FAM,CRAF,Unkn,NT3,24.6125553069289,NaN
,C06,FAM,CRAF,Unkn,ST3,30.6787842391409,NaN
,C07,FAM,CRAF,NTC,NTC,NaN,NaN
,D01,FAM,CRAF,Unkn,HC4,25.7711581936297,NaN
,D02,FAM,CRAF,Unkn,NC4,26.3565285471592,NaN
,D03,FAM,CRAF,Unkn,SC4,23.5815576542385,NaN
,D04,FAM,CRAF,Unkn,HT4,28.0222993063166,NaN
,D05,FAM,CRAF,Unkn,NT4,27.5994815765266,NaN
,D06,FAM,CRAF,Unkn,ST4,27.9079109235893,NaN
,D07,FAM,CRAF,NTC,NTC,NaN,NaN
,E01,FAM,CRAF,Unkn,HC5,26.0036598597199,NaN
,E02,FAM,CRAF,Unkn,NC5,26.3401476875529,NaN
,E03,FAM,CRAF,Unkn,SC5,25.8082244987776,NaN
,E04,FAM,CRAF,Unkn,HT5,28.3439789665084,NaN
,E05,FAM,CRAF,Unkn,NT5,27.1316049501146,NaN
,E06,FAM,CRAF,Unkn,ST5,29.6114675766245,NaN
,F01,FAM,CRAF,Unkn,HC6,31.2123570930071,NaN
,F02,FAM,CRAF,Unkn,NC6,27.1091586822821,NaN
,F03,FAM,CRAF,Unkn,SC6,26.0751771816253,NaN
,F04,FAM,CRAF,Unkn,HT6,27.4649404971953,NaN
,F05,FAM,CRAF,Unkn,NT6,27.9911774499064,NaN
,F06,FAM,CRAF,Unkn,ST6,28.5660264969995,NaN
,G01,FAM,CRAF,Unkn,HC7,25.5626519386629,NaN
,G02,FAM,CRAF,Unkn,NC7,25.5168755096564,NaN
,G03,FAM,CRAF,Unkn,SC7,25.7139624660952,NaN
,G04,FAM,CRAF,Unkn,HT7,27.255455399064,NaN
,G05,FAM,CRAF,Unkn,NT7,27.1275457535731,NaN
,G06,FAM,CRAF,Unkn,ST7,27.0946207442443,NaN
,H01,FAM,CRAF,Unkn,HC8,25.1560628291844,NaN
,H02,FAM,CRAF,Unkn,NC8,28.1643569799226,NaN
,H03,FAM,CRAF,Unkn,SC8,25.1785975592455,NaN
,H04,FAM,CRAF,Unkn,HT8,26.5499173416948,NaN
,H05,FAM,CRAF,Unkn,NT8,28.7903458916969,NaN
,H06,FAM,CRAF,Unkn,ST8,29.0746921968028,NaN
