,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3108.0945776713,3295.33810226815,3261.79614202242,3290.47260250567,3343.95928220882,3257.55036458201,3218.32535581072,3292.41441114456,3419.94306739161,3351.61754998653,3455.14327285889,3395.25286277452,3766.76079301453,3229.51836666296,3336.12806391694,3625.04869446679,3518.31909430773,3260.65074468578,3449.33778278732,3367.1444363018,3201.95356198256,3272.49240653405,3419.55849536648,3320.05658971887,3281.13441527492,3487.66046482891,3613.4057331142,3312.88991598955,3133.85365812566,3250.37126027945,3260.43747994923,3192.69549832446,3293.14367179181,3375.52778148833,3354.16586324457,3612.40535431397,3249.44469415902,3349.23464151533,3464.05955014378,3267.26074533042,3121.1629463318,3194.79526040892,3248.83540026388,3202.43608302926,3230.50802304338,3251.20765241581,3078.34021485617,3092.87296458891,3171.55353900075,3196.93369666285,3198.20703549264,3235.61354012334
,2,3135.66313325028,3301.82155578864,3264.71393318489,3297.14313626994,3345.42346320156,3264.36002237294,3226.54170898911,3319.58170070181,3424.38336353961,3356.59165182119,3454.35353956345,3402.37681974399,3762.79117795445,3229.49614201393,3363.04199670938,3629.50241819734,3513.17036908914,3261.04846409929,3447.99042221027,3370.7284653185,3204.17127541148,3293.05103452299,3427.12868844148,3320.97165172199,3284.2619389909,3489.82369515181,3613.58867181665,3321.71330910419,3149.1910748522,3252.22907287982,3260.0328380166,3196.29905175375,3293.08579160988,3380.46729064205,3378.13110331194,3610.52580371982,3252.95945241691,3352.11689194381,3466.6264183695,3267.40022606202,3136.4948974941,3201.12075343173,3255.15737948002,3203.8152376247,3234.53426582398,3248.84905688638,3086.5067593788,3100.84176684027,3195.8054891201,3215.14917996088,3199.57860327544,3238.40582602968
,3,3149.66444644748,3310.68397124071,3272.96942720914,3306.00134253797,3348.45982006417,3265.23113437069,3233.52982309297,3337.44777007194,3428.68477308406,3358.55039620001,3457.65437145081,3408.70154827143,3763.3664310496,3235.8812806493,3380.96153279776,3633.22251030198,3514.30798607725,3268.29324491302,3448.22256507558,3370.95347374388,3209.80668788276,3316.35035511231,3435.76574677795,3325.95206048785,3287.77756540845,3493.90732376034,3611.75746769739,3325.07585412981,3163.60657248814,3256.40560031286,3258.34005708571,3199.51112974813,3300.42240657262,3379.47771550832,3386.59589602608,3612.76176903613,3258.65780340647,3353.2727778379,3463.69657267773,3270.63716701622,3146.72915517895,3201.29622435628,3252.30721842893,3210.19977927688,3237.12746471459,3251.49106791182,3111.00246709323,3107.88559822302,3198.97000830469,3220.57341968759,3201.26388795575,3238.68508355893
,4,3157.88975510572,3315.62492385604,3273.70762725507,3311.30503417676,3353.21255039298,3270.35184168577,3236.03217785641,3346.54251907458,3429.31013685771,3359.33846287903,3453.07987013615,3414.3097208867,3758.29741826112,3234.81233477248,3394.07879424034,3633.19997433416,3518.17416278553,3273.21343382204,3446.55252499711,3372.76120360073,3213.52601280428,3329.29490802877,3437.95198754394,3328.42562259727,3286.48871473653,3494.56431090355,3611.36389365003,3326.96900266116,3172.51590950656,3255.91236682948,3265.00666484466,3205.56789984221,3297.90322454277,3382.45235646173,3408.33015893232,3613.17311175864,3256.47546734613,3350.54169136816,3467.0945576221,3274.30130503562,3159.12912942674,3204.25950324206,3257.49006338865,3210.3638424789,3237.50681538631,3247.38547986811,3119.78904452483,3111.7919346445,3201.37558654106,3225.00439770913,3202.5361586452,3241.29480203903
,5,3166.05733208759,3320.70134336607,3279.53002034147,3315.97453276544,3354.32687733642,3274.47953789956,3245.52279447847,3352.57576429342,3430.20148866021,3365.40057606657,3454.36462053223,3417.52871628727,3754.87720418311,3238.2090177602,3405.39001655784,3634.69756478828,3520.37635745804,3275.45745383156,3457.1708734798,3372.09165444468,3214.19800046217,3339.2050578602,3441.89751060411,3328.07201854269,3287.99149602006,3498.09206144397,3614.01190451601,3329.61706530935,3186.92704433099,3260.83952309041,3271.02000158739,3206.35500927959,3303.79697291419,3386.2988314707,3410.80221581531,3615.52305210544,3259.95739355458,3355.86125032372,3466.23226972377,3274.95104658522,3166.85560994067,3203.81238046567,3258.65078005727,3214.25197122089,3240.81908680509,3252.22424524781,3128.25220787516,3116.24553094008,3202.78617037683,3228.34674476394,3209.81168277669,3242.23034772252
,6,3168.3366470679,3318.26415755087,3279.81810937503,3315.63959009994,3357.33852838462,3281.26856512874,3244.80026756617,3359.49608010125,3432.45571148679,3362.79807623508,3455.05496995457,3422.58766840341,3759.84509874396,3243.60087545051,3411.21669161749,3641.16953051847,3522.96938043749,3283.46572672889,3454.27822135,3376.71733498708,3214.29959702607,3346.07086017862,3450.54923699677,3335.62174773689,3292.02349584744,3499.71735041185,3621.34187405769,3335.10142112325,3192.91763824553,3262.18562710108,3266.4247300709,3208.73372670956,3305.67111355289,3390.84889187845,3414.22437481534,3616.74358243056,3263.33931681792,3360.42589758628,3467.6826585848,3278.495795573,3174.67642800498,3213.75263824126,3265.57777399952,3216.42785383354,3241.3724005198,3256.10544559744,3139.22117654352,3122.1252178989,3200.56038480594,3226.671622203,3209.00598704139,3244.38718866506
,7,3171.98925764939,3324.70375490147,3282.44115059398,3324.06573596742,3360.32709209841,3283.9561533904,3245.95648958171,3360.04414927252,3438.07330452787,3368.56235025999,3457.27470388007,3421.89342743056,3752.0131607854,3243.94471340517,3413.86334130002,3638.60602980412,3523.75488377198,3287.89590904388,3451.61277113267,3378.94964064924,3218.46015147353,3351.61313252059,3450.91223118163,3333.06755865842,3291.56702362183,3502.75889351834,3616.1263115588,3338.93376573797,3194.651474707,3264.8612630176,3270.7268042221,3208.3173860546,3308.01062572244,3389.83598438037,3432.12920146734,3616.26769663972,3265.50971687719,3359.59193694759,3467.73473718157,3281.07174319483,3180.88377574023,3211.64231499905,3263.48760042972,3220.40912148155,3246.06665013304,3258.38588877451,3144.64253826495,3122.64040180439,3205.22462293369,3231.85635061369,3215.22035334404,3248.66631157545
,8,3178.157351744,3326.34016131398,3287.18671797522,3323.60591292201,3366.94424541159,3284.09145852627,3255.26697737218,3365.33599666359,3439.68963651446,3368.94490013874,3453.73932693868,3425.32041278604,3755.18204314637,3250.8826024525,3419.08514523825,3642.9639472274,3522.11446381747,3293.56779938642,3455.4498596981,3382.13076927611,3221.36469441039,3358.40754369314,3450.49148027305,3333.37996349969,3294.46304839847,3507.60218792201,3621.83571527945,3338.8619193673,3197.69932325182,3265.28123357093,3276.48360497927,3214.4954065312,3308.93481507978,3387.49122141993,3438.97582097925,3622.34346532748,3267.47078164332,3362.15962741654,3467.69118529384,3284.37756302443,3180.54733212592,3218.27648516261,3268.1783890204,3219.74136805588,3248.69946702594,3255.91624614593,3147.44175915374,3127.58901198204,3203.68621649772,3229.80239067932,3216.11113413813,3245.36227612783
,9,3178.9340394345,3325.96289511158,3288.94752140011,3325.81398156907,3364.86282958057,3290.22440361115,3252.75999378181,3369.16950606307,3439.74722186127,3371.24893253003,3454.4924654525,3428.00904684002,3751.23754251251,3252.7338008035,3424.07596990242,3643.5552435947,3521.98134680165,3295.53570409948,3454.5735840659,3385.62413627591,3223.69649802889,3361.56899307726,3456.61782451635,3336.4101607652,3296.56746397687,3510.88919021145,3619.2862184249,3341.65060023958,3204.40719364964,3267.8805909813,3276.99044677105,3218.45534053197,3308.14121447169,3390.17035319071,3438.70685723538,3619.88032171964,3267.52902037354,3363.001045517,3464.92263914736,3286.63316282899,3181.0987725739,3215.36234980979,3267.05881099571,3220.89683912571,3252.96607789103,3261.66942979754,3151.66688901165,3129.0156227516,3209.3610579844,3232.96066031855,3219.74881855837,3247.97839397725
,10,3179.91079361287,3331.99602713107,3289.25486205716,3325.17547926544,3366.08191379142,3286.47924446582,3256.64987235947,3372.59117960004,3438.23542724415,3375.56701350436,3453.37001114596,3432.537613346,3750.8528381814,3250.44669288182,3423.2138757404,3645.83564214596,3524.95764706789,3293.33853653594,3454.59405981126,3380.30288160785,3230.24475962312,3361.87589463941,3454.58311530048,3338.87881467085,3297.30695650873,3505.3183168434,3617.35531574612,3343.43755743944,3204.05783039356,3268.99236902623,3274.8579942082,3213.40472037536,3310.77923135786,3392.87121527522,3440.33472247681,3618.9601867838,3267.03636648694,3366.3852637665,3464.00085343071,3284.70354797527,3197.80228071934,3222.86290541113,3265.16654142628,3218.08819119211,3249.93454106366,3260.49866559028,3152.42876054054,3130.26240832713,3211.87295346214,3234.91313631298,3223.75809858334,3249.68765521598
