,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3386.5337981686,3576.20558339267,3330.0120792124,3282.903615436,3272.99108925088,3291.60702838327,3296.59759953922,3511.56600176534,3810.11434779398,4107.32507128324,3366.63589823811,3369.13944900419,3399.00976777634,3312.8452786981,3545.46173647343,4211.93828996204,3614.71959535977,3531.22529511507,3450.64735741307,3394.49810447356,3403.22093592707,3490.30412952098,3977.04857525625,3498.80773010009,3413.03739141783,3546.81242668984,3608.50556260324,3583.31528187263,3575.62037543505,3735.64467099725,3481.92207276009,3467.85188216356,3463.60890942345,3600.12468218498,3563.35583363052,4049.01969471244,3464.09488699608,3454.26615224492,3437.74885504441,3463.09558896294,3514.5420966533,3499.97510257839,3358.84819814411,3360.67013988606,3355.94127891045,3427.31135599556,3208.17140226346,3282.36741837978,3237.12108685075,3240.97167340339,3287.9023897258,3272.02550299586
,2,3429.79768801126,3586.99471356549,3324.71791079381,3281.37620233411,3279.04511019554,3295.03892186672,3292.0466589123,3550.18296740091,3800.11275925485,4160.61578793017,3366.23422554626,3366.37596515167,3398.71425250117,3308.49301338998,3571.95043315815,4207.68051299245,3613.70912517492,3528.06069983843,3444.70163280627,3391.15216460065,3397.81109439633,3511.92031151061,3972.53076546689,3494.55196259391,3405.79541979474,3541.91442125692,3604.34005469804,3576.19991309229,3594.42127079368,3737.29240046346,3475.85967471948,3459.71316035288,3460.47642581722,3590.77642206151,3579.98001877515,4044.53191634598,3457.22530967603,3449.54048996077,3431.00977880414,3459.40797177642,3532.41555584298,3499.56517863934,3354.80875429438,3362.79353636071,3348.09363251683,3421.4724304523,3213.98036307642,3299.0192484461,3257.24098438256,3258.38639264528,3290.1322749188,3270.31447250885
,3,3449.62607390588,3587.71539162702,3324.2143476487,3281.38842984618,3275.60948000831,3292.04966222861,3291.76490459051,3569.42369355639,3800.74316969646,4204.40829260184,3365.24321778735,3362.32531581705,3397.07184979484,3309.66601308586,3591.36499120908,4200.01954028062,3614.50077333239,3520.98820915945,3438.91956623221,3387.50592228112,3394.16016776494,3532.21167410951,3967.18923490287,3490.30692455054,3403.70024554736,3535.25501624029,3593.9648190615,3571.71076175035,3611.64648023887,3726.74734662104,3475.9481592592,3450.55971791431,3449.6085712539,3586.6840513215,3586.08196960173,4047.55233563624,3453.80266209383,3455.07514842024,3426.62046709992,3453.87190131445,3548.62965580777,3503.64528051515,3348.89458006407,3353.38203955771,3342.42492491392,3414.92542907225,3259.24371621429,3308.83115065887,3268.26009141295,3259.65880741263,3287.79180613757,3268.54972825556
,4,3464.3284668181,3590.05859393034,3320.02092064363,3282.82704442819,3270.43362699206,3289.33009219118,3292.28071695318,3579.2300788452,3798.08381495172,4262.26140061551,3368.95406174294,3364.8422169493,3392.93739250588,3313.8733855667,3607.59568901763,4200.32375954349,3612.32249917768,3526.49048901431,3432.241602238,3383.40328516287,3391.27763483017,3547.04220124694,3974.2981210285,3485.85340038443,3402.77336703737,3527.913222301,3599.03562556882,3578.90824743788,3615.48192200991,3730.0180161014,3476.11969668649,3452.70686625875,3443.92875017294,3579.5657624378,3608.96300380434,4050.53371355468,3451.14268818266,3449.46000702937,3420.63882745254,3459.83073154121,3568.67186543776,3503.8449983089,3353.79441923191,3364.44289900157,3344.69844327506,3410.81872445724,3267.66577360899,3317.48488761218,3279.48364836986,3257.41183028322,3288.66884428655,3270.49048029364
,5,3468.29004890953,3596.7319765505,3316.92744064372,3281.87591612613,3275.08978061944,3291.51463626239,3296.17574036389,3582.71740760364,3799.63517778568,4319.79266899662,3375.32570721542,3362.58353540606,3390.37188141035,3313.96709530734,3619.4799310999,4198.2280856602,3615.26657314273,3525.95984931297,3434.3897063935,3382.90747574355,3394.70026186612,3550.88631024817,3976.97194101946,3489.80415225224,3400.54501731638,3518.58596226354,3593.50004067458,3580.45179729605,3641.82028658623,3723.0480419335,3475.90400297695,3450.99928267236,3445.3217485015,3581.08865993377,3613.33094772517,4051.79802468122,3450.44713766127,3453.3104645435,3420.23335595021,3456.48054364277,3576.82222940219,3502.90236825272,3355.06568999066,3358.9253820462,3341.59511121127,3414.37417578606,3279.43360137074,3327.13461138164,3282.13993475704,3263.2298098108,3289.28555221251,3266.61822663172
,6,3474.60504012827,3595.59645851422,3319.63563059773,3282.05521521214,3273.46923464303,3291.79417835326,3297.55228009268,3584.96233692236,3805.77334821935,4380.71816464375,3378.31087088509,3364.12564049,3392.12425161933,3320.00988046836,3624.19704562199,4201.19442678104,3615.46012419688,3528.19870168279,3439.35964830636,3384.66397789416,3391.45873512402,3564.3379922833,3976.29874220974,3493.05183554144,3402.55626019924,3525.33184875927,3593.63787538272,3583.61702058139,3648.86601663913,3725.0640006921,3477.46522161102,3448.65511050875,3446.93737804041,3583.11503242818,3618.09345607347,4052.81135970797,3453.71406703605,3451.96641384458,3422.68284904939,3453.90733485693,3585.41552318002,3507.95009602432,3354.23169619175,3358.11147061094,3342.62344290292,3417.16069536855,3288.64547165036,3334.60791978977,3284.97680747564,3268.71912868669,3292.74205182208,3267.35630457232
,7,3479.42326482258,3604.84438631293,3317.8329234508,3281.11454168806,3278.49029413991,3291.80053354385,3299.13505114399,3585.60598953995,3803.27816758464,4645.20056822156,3374.26294419464,3363.14850868859,3391.8190842861,3322.37814945821,3629.90557172961,4199.97310950618,3609.43974205701,3526.03111108516,3437.25650981836,3384.17577873853,3395.97743778647,3567.43939496025,3977.53976554517,3492.97731133773,3404.46127705239,3528.06284478947,3595.29691394148,3581.60861233232,3650.80956972353,3726.42465105617,3480.44642915811,3456.28748800147,3446.69456012019,3586.99623710187,3625.61175019277,4051.78009909321,3452.60810639851,3455.36346551354,3425.52690473806,3456.07740261373,3593.98427335922,3506.0526574967,3357.03666766438,3363.56357801414,3341.80296872377,3409.44744233131,3291.30497753062,3342.13321679909,3283.68185588861,3268.63272495456,3295.44290189315,3270.0436241823
,8,3482.38583566757,3608.98204791657,3314.69328928464,3282.88065482618,3274.08345356846,3293.74931797099,3304.40925569824,3592.24358733867,3804.62689874057,4703.05224553325,3375.51738630607,3367.65389684298,3396.09436652828,3325.55218944643,3635.65954132995,4204.08274452723,3614.00809083928,3525.0563142904,3438.86071512112,3385.7516803584,3393.11063450279,3572.83482087238,3978.02894761807,3492.19826881277,3408.30294399187,3526.7766237194,3593.26181671075,3582.29353464382,3653.21966561442,3724.25287220402,3483.42790988153,3452.86339277212,3445.16643835279,3588.97904673091,3624.47561235304,4053.13347297432,3455.67316090306,3459.29430858425,3424.56892682183,3454.73571729732,3596.86990282004,3509.43803549233,3360.90186443177,3364.16109560117,3345.96516822376,3411.08059667954,3296.34921927724,3342.81062176223,3285.43201529306,3269.49300121524,3296.03104542605,3268.34109535354
,9,3486.22597368548,3610.76717269079,3315.3329125346,3287.14813624821,3278.53435741699,3291.66778801896,3303.42751623396,3589.6470319612,3804.93895558048,4758.34359677721,3375.33500294695,3366.0697384859,3398.49426626952,3326.61759988931,3634.00184784362,4204.66487992288,3613.76101984895,3529.33440444793,3438.89082818296,3382.31252111433,3397.88804893528,3573.72821254062,3975.78136125969,3496.36392223137,3407.84511593578,3528.43405561477,3591.99457782033,3586.00686481292,3659.37395958335,3720.44694481128,3481.60476218039,3452.35982327949,3446.4171860575,3587.72550973222,3622.86998102062,4053.91180336452,3454.76955742371,3457.76335479965,3427.1062367623,3459.68387151183,3614.70572218399,3510.24475902947,3362.75739446045,3364.5500407199,3347.26277270803,3411.38330696796,3297.16881294694,3342.6259718443,3289.61202003024,3270.69166607705,3298.03924719031,3269.7041940047
,10,3488.42470097788,3607.56609365078,3316.56915024581,3285.79854797638,3281.86715365945,3293.62041985893,3304.32707808474,3592.62176346723,3804.11097579182,4801.00690384706,3374.35549361948,3368.92437530828,3396.07294895482,3328.49777092931,3633.53090494334,4207.88017807315,3610.7874728405,3532.38335625723,3439.79647051351,3385.42842892965,3395.6918486314,3579.58276030849,3981.78695395997,3491.79527663397,3407.71834544154,3528.57801434187,3591.72913835644,3582.96187680722,3661.62284358261,3716.69447834529,3484.72065868772,3454.87478927208,3449.64600682419,3588.43235897182,3622.89160438234,4053.67720443686,3456.26309343106,3453.83527635831,3426.20810111228,3460.41064861349,3614.0890332724,3507.86305195827,3362.65947353072,3366.59448231145,3347.98158188742,3410.74894644935,3298.79356985248,3348.52102468105,3285.0267691971,3271.64761521455,3298.12821748293,3267.66405046015
