,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3437.66964648503,3762.32418204,3676.76346338959,3606.08175520498,3548.11574420693,3836.76497259404,3357.86442637805,3705.67180053163,4070.55729521104,3889.19974452275,3707.16786330018,3703.12663230028,3823.08396636071,3371.63620279622,3850.1023064225,4557.91830651555,4004.2200117598,3825.13336238604,3685.58036488292,3907.70694933323,3426.36969763218,3737.19816370845,4185.580112505,3781.60405038424,3846.0195158972,3809.06200652521,4456.59060477684,3621.09117042173,3722.92327029145,4220.03671080256,4068.55485378864,3870.13103554885,3774.12621975229,4042.72151494216,3785.26436907751,4696.33221794015,3898.68205259103,3963.32037613117,3744.1383726293,3823.73197037463,3577.74237528405,4153.17779810382,3900.94443912442,3809.28902781706,3721.75081403262,3608.43937209814,3408.80698517899,3789.17536737744,3608.18230064354,3640.66380534194,3534.71578529089,3595.17897536107
,2,3478.6890204063,3765.65334334875,3686.06366928372,3606.27075036954,3554.94774457527,3830.89881693142,3358.28770774546,3735.17124094569,4061.56004959935,3883.15579885032,3698.84128370705,3698.64446637159,3827.20946636505,3368.75790435708,3893.03081330566,4548.21746098277,3993.34363735736,3820.02156316913,3678.23186198445,3903.89355619804,3422.31704308289,3766.28770015309,4182.14486283975,3769.35244861725,3839.47042976226,3808.67052163838,4456.30462903895,3620.17153884566,3745.38133598044,4212.04561724756,4064.6157365595,3862.89605527941,3768.41993236124,4031.05135745972,3828.25106639255,4687.95223917404,3896.58615078683,3955.68056524268,3732.87853493091,3815.42304120112,3614.4048014817,4147.22947728841,3893.4812383944,3803.49328680721,3718.41849656478,3603.38401073428,3427.68133355584,3810.67531275778,3636.35414238606,3670.37352593744,3534.94279459963,3590.74181525997
,3,3499.75440117331,3769.71950516941,3688.62816283356,3606.55227997479,3552.39921925778,3834.52092169524,3356.7893722293,3770.65258253509,4057.03714815667,3878.17729391959,3694.68601027461,3698.3238200855,3827.95893382399,3368.10231616787,3914.35851698023,4544.57310285409,3990.55481221969,3820.51097810288,3675.21957941788,3899.41136281864,3418.03976245997,3793.67951728918,4181.81764445694,3771.13058127626,3831.91228547196,3806.17699578614,4450.85703299968,3622.37196432996,3772.16651411788,4208.59610616109,4066.70508682642,3862.45462145327,3760.98196037636,4028.7132464121,3845.68919058893,4679.09526981382,3889.45178641854,3953.67723804355,3729.58989274151,3815.60521820453,3642.69133720598,4142.10847626402,3884.90708520621,3802.03306008983,3714.32748123802,3595.76229004625,3451.29025943752,3829.10613737147,3647.75068908873,3665.75110299696,3533.64156627844,3592.99197791521
,4,3514.86391846558,3773.85366851409,3690.80850000618,3609.00200914704,3557.1672835929,3836.15535650149,3361.60022214426,3785.45639438503,4061.86341331219,3879.55028508186,3697.26025608618,3693.54428876478,3824.94229588887,3366.16527876439,3922.98823621061,4537.39424801987,3988.97306993343,3819.15237716502,3669.75798696813,3895.2501674782,3417.71527878212,3819.89874339838,4179.17876830533,3771.29383469832,3833.70877893517,3810.48971505185,4449.97559200551,3614.65722166336,3806.41912574523,4209.58278712371,4062.06265951995,3864.12027733634,3757.33439208329,4031.91222948816,3854.39263530971,4679.82199081021,3889.75321657997,3951.88212475144,3724.45874012883,3814.36170062493,3658.04657684286,4143.16999071797,3877.40860948496,3794.45931001752,3711.58577457872,3595.34892941843,3475.5527337263,3846.28618341234,3654.7446211126,3661.43248604904,3532.23220761501,3601.35346816818
,5,3523.25378822088,3773.85575472169,3688.00955101977,3611.56657242585,3556.58375489063,3833.43430857014,3363.81079169062,3790.12905172486,4057.67077189946,3885.09490991844,3696.26420298929,3696.01040190173,3826.30445317543,3366.07502199722,3930.02345774522,4541.68741543749,3989.37053353436,3815.55933436379,3671.05003858008,3897.21644361351,3415.49736579468,3829.0843871629,4176.40061721781,3770.54568380865,3832.80540578235,3806.29186110028,4446.86492447519,3623.51420482744,3814.54851197293,4217.40288447884,4067.27481958478,3861.08838356812,3756.05773772564,4029.75498089894,3874.2454263749,4676.90117806482,3890.44079117705,3949.33656233797,3724.47295978279,3817.0591824666,3666.44675716236,4145.31788407758,3882.32597475047,3797.37256071669,3709.48537410595,3596.6396413881,3485.09981469015,3858.9383748876,3661.27455509556,3667.07180751089,3531.74109269756,3599.72586525521
,6,3527.51522907545,3772.51418001999,3693.40515345928,3609.0477508343,3559.24054317365,3833.12401710011,3366.4018619534,3796.4137649913,4060.78267489785,3883.75146336876,3698.20324894011,3690.43005296063,3826.97680712865,3367.31842972819,3937.36986151748,4541.32951450244,3994.13140182846,3816.45644538493,3670.77802304808,3890.38374749636,3412.32698693167,3836.59378147931,4179.26018088255,3765.7531074225,3830.9800570755,3807.77477819347,4447.4815724053,3623.4123479305,3816.24539968227,4215.22199808872,4064.41996262168,3862.065002752,3753.1918358496,4028.96025076418,3877.49749070956,4672.94529141689,3887.71429461892,3947.3994610055,3728.30114449223,3813.73291220119,3683.21671711421,4146.06093922539,3884.40099563539,3797.76488739629,3712.62656248675,3593.29476237861,3486.36494750593,3868.43257084875,3661.22588209772,3673.37913600319,3532.09622580248,3603.25327668999
,7,3530.18603132651,3774.2559637474,3687.41966946888,3609.24065033923,3563.87019972464,3834.2264501893,3366.83252999441,3799.86212667272,4059.50455871055,3882.22194348739,3698.7363909345,3692.20646821364,3826.86115205548,3371.29087574978,3946.82175374086,4539.6950131625,3994.2122920641,3817.46427619029,3669.69052477674,3888.12293152094,3411.1678269064,3838.71353974888,4178.49301122178,3769.36030596096,3831.08553455865,3813.89874844122,4450.57382165021,3633.37680317083,3820.61189855467,4210.09252526249,4071.55041843453,3860.54235900651,3758.32056397906,4028.99623873665,3884.9717362429,4670.19706000522,3890.99780782595,3952.69796181489,3728.54166455685,3811.96582356901,3689.70001517434,4143.79082366865,3884.30650461555,3795.64764571971,3714.41236776062,3592.51865753423,3495.28613701325,3867.1784920059,3662.94785592187,3674.97068454876,3536.73892316977,3607.75492869983
,8,3532.76617280416,3774.44963018135,3692.5783511049,3607.14615535915,3565.27856074971,3831.67940845397,3365.25884754903,3805.73732701357,4058.97632113934,3883.61616241105,3697.46537789269,3691.00431927044,3824.77807372839,3370.345934285,3946.88552445622,4533.86784887637,3993.57883632798,3812.94509998369,3666.40217841879,3886.7936042116,3414.51739345978,3840.35105504724,4179.69400205308,3769.74998782727,3830.19284309522,3809.26383187668,4448.38969191924,3630.96490499436,3818.21339728416,4211.55758248296,4074.89679021859,3858.11754414725,3756.86482577318,4030.42070972136,3886.79930080101,4673.72576677044,3892.26005726941,3952.95060616536,3727.3034519279,3817.09077187011,3695.89472108931,4148.78139591376,3887.80153481128,3797.66098785728,3713.72964259485,3594.66113774072,3499.03336087279,3867.97156246931,3660.18283525866,3675.72583516275,3536.80911296921,3604.51249300613
,9,3532.13891039928,3774.8399477752,3695.61507909054,3612.75976018243,3561.23063205177,3831.31722704064,3368.03855688396,3801.96648767974,4056.71281540011,3881.00266657734,3699.02637253999,3695.26798865161,3827.14116096502,3377.32011593376,3954.56781813499,4532.15544618883,3991.05652602404,3813.73770943581,3670.98268893421,3887.15098396577,3416.56483603418,3848.80037824104,4178.58934871598,3769.65667708908,3830.68870099818,3810.91332475025,4445.92070024678,3636.5107826253,3818.64989346302,4212.90511802977,4073.34486136007,3862.10318818392,3758.05780730187,4028.21088957413,3890.33970251783,4669.89940680037,3891.78626222175,3952.7514411379,3726.65844428585,3812.04320865223,3695.15730613121,4145.46488120893,3887.88952242455,3796.11418832463,3711.7654663537,3591.77859913832,3498.1030291398,3867.44956336155,3657.9618827879,3678.88955516532,3546.54189955845,3610.74977394477
,10,3531.94690192982,3776.08482984158,3694.38443782125,3607.78764139946,3561.90184491634,3830.35877868472,3363.86002148514,3805.83345412608,4055.78415136879,3884.43207666806,3701.17460042249,3688.17859955535,3826.08908179011,3378.60635825623,3954.33065398951,4534.49996461905,3989.02987490212,3811.12523065243,3666.64583434474,3883.52605500111,3413.40867799722,3865.57057979079,4175.88172489172,3770.10660142792,3828.64815207365,3812.3465863196,4446.11823058368,3633.81853107155,3818.2862664372,4208.61101788949,4073.55715991803,3861.30888910117,3758.34419435023,4029.33219507964,3894.30257851744,4668.374623608,3889.85974538069,3949.40441902089,3725.11553351611,3811.7235745265,3697.62727998764,4145.17763605328,3887.14778751748,3795.44399974705,3714.66415175375,3594.46889047628,3503.96350885159,3880.82945233748,3659.99436703869,3678.90736327606,3545.15979436275,3610.4964864689
