,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3578.95766170189,3679.95405641832,3510.09595703452,3541.84551759671,3539.91345445331,3471.14866282588,3362.1120656613,3749.28669924569,3968.82880806426,3784.90305240712,3669.75769739798,3603.86418927738,3580.34041466984,3483.06329565984,3762.98453003742,4273.41227413809,3838.50286956882,3731.97511530492,3659.10440940047,3690.77070078868,3512.00767919607,3601.56270234302,4103.35991207596,3741.74186779833,3597.61151929037,3855.29297534374,4039.15378376948,3690.42349172379,3772.95049749571,3933.12292348395,3864.11359382228,3823.51613982999,3771.91454182966,3820.66496527932,3930.63317061419,4276.58743272107,3742.10490752264,3804.54351554942,3675.16230748859,3673.85251115796,3841.26107501718,3797.85790128928,3725.8727458313,3791.99172051867,3584.55158455087,3481.23514117128,3471.01256757168,3475.98800093308,3478.28079661091,3440.3398700771,3528.13236239972,3433.12440370481
,2,3632.3030481793,3689.78578156902,3510.19890470586,3550.35096462891,3544.7416988368,3474.52799860794,3361.37642810437,3784.88256606471,3965.36898421759,3785.43703374176,3670.94435938225,3603.36704732823,3578.57971584818,3476.95354385707,3800.20068333752,4264.58766709287,3837.08282652186,3729.00430069737,3651.90568785819,3693.61284025783,3507.70130679141,3625.76833488925,4100.67667456231,3740.03951302905,3595.13103928945,3847.72521455117,4036.97042498639,3681.8338163601,3808.14138516284,3932.3725169397,3861.80796505505,3818.38424618272,3769.60882697519,3814.54235559885,3953.00132354066,4261.81997904211,3735.96330939026,3802.51751650266,3667.31929585005,3670.24950854537,3860.48618733485,3791.80653985757,3721.6303085584,3790.87351469691,3578.45916462514,3479.42781149627,3476.27553183732,3507.30309895026,3509.47517550712,3453.52231111853,3534.92172468814,3425.4187122212
,3,3659.11331378976,3694.17089549185,3512.60046121676,3548.03313149201,3545.89535562865,3472.36680162868,3365.97239650645,3811.95367843086,3967.07995533878,3785.67638945632,3671.06024314343,3601.14989918476,3582.53412478091,3479.49524396095,3824.77121343002,4266.94783058012,3836.16463641589,3728.70890317619,3648.6185908245,3692.98003863215,3505.02881542315,3643.5699286357,4098.90209339921,3732.94015654011,3593.61399715297,3844.42982106115,4037.85661743208,3682.59946916158,3856.20196259116,3933.53666568569,3858.80999262302,3821.08623017458,3765.37220779376,3814.32209734203,3971.11283594738,4258.1661700975,3734.72687426494,3802.96207775526,3667.7494282289,3667.1226597332,3906.83841579188,3789.50329733983,3714.03482792603,3789.75590334439,3570.60207489666,3474.88460061914,3507.00243338395,3526.33984061085,3521.19002995778,3452.95236014962,3538.68102580154,3418.66134748308
,4,3672.69288993539,3698.59356318514,3515.54848675797,3551.79040743905,3541.44540758473,3476.1173738895,3368.82733653184,3823.85471388581,3970.90556529256,3783.24869347662,3670.91844327702,3604.1536666681,3577.82447243994,3479.90460767301,3837.7032773476,4266.19402372475,3836.74265525025,3727.52391042028,3650.55321552683,3693.79959766075,3505.86634547627,3656.50158274249,4102.68334256446,3732.40616559174,3594.91245086308,3842.57775382308,4035.74354509832,3684.27051314906,3873.5687197085,3933.30232357198,3863.23197960281,3824.22001000268,3761.01942549869,3810.24462945132,3981.78386540757,4259.28940249508,3732.30157291692,3804.3294673282,3662.27032143083,3666.7247268311,3932.59935078157,3790.87477521774,3715.09782194078,3787.92532113076,3570.40553486368,3473.50960106975,3509.80861841255,3534.43725238257,3523.7338595408,3452.66183258746,3539.27484872377,3422.14727006011
,5,3682.14244246977,3697.29234535963,3515.58927454011,3550.38745420614,3547.61236123309,3479.09292416684,3366.34909649675,3832.5628717757,3968.51058907339,3787.15067142986,3672.19767914747,3600.5954996242,3580.61263307594,3477.83894574665,3845.01305700633,4264.95079986629,3836.84176389747,3727.45618925628,3646.81508334881,3690.11656411215,3506.36392594689,3664.08470864065,4101.85853787974,3729.87960264113,3596.42609518718,3846.31195338168,4035.67157583482,3681.41621615986,3876.92593300048,3935.62125950127,3861.34719838,3823.65216247752,3764.41058198471,3811.79750460362,3996.5433038732,4261.70469745166,3736.16681571418,3804.6782447389,3662.92113144051,3667.16632032053,3935.498625586,3790.2560152472,3716.85558326743,3784.73935993799,3572.68112854153,3474.32013281429,3523.62296054209,3536.18131210169,3527.48378871835,3452.41744974351,3544.54176690582,3419.49062811427
,6,3689.27464272812,3697.74816446583,3514.86505979251,3556.76222453118,3552.01881925695,3475.73094302783,3367.74610622254,3835.87503307227,3969.81487926435,3782.27632655803,3675.24633805043,3606.68553203741,3584.10417654123,3480.53794509978,3856.84286365768,4261.62810438184,3835.9381051341,3720.51300277185,3644.63742450689,3692.53284938243,3512.2551074961,3673.55983088818,4105.69080149618,3731.48218052241,3596.6622985813,3843.07388849109,4031.80574769135,3681.16309890957,3876.22632019151,3939.64734006516,3861.74976246647,3822.49376298191,3761.19999653894,3811.82397309308,4007.56010803322,4258.76723202162,3736.86444408206,3808.17783298479,3663.83363531323,3662.99897064771,3937.68556854164,3787.35215762781,3719.02027275795,3782.0130809253,3573.00326884744,3475.92539925782,3533.02292016157,3541.69455854256,3527.75466151891,3460.90483901694,3544.30085034396,3423.55676211893
,7,3689.86844431717,3698.11452742437,3516.23260246443,3557.93573045964,3551.57554689636,3479.2370824025,3369.73136581924,3839.46979666214,3968.38009326533,3780.49295309212,3677.63724824362,3604.43596779609,3583.52057687582,3483.86977214927,3856.19554459333,4265.73301152247,3835.17582606387,3726.44236241343,3647.76990541466,3690.2265475451,3511.95639362369,3673.73786380491,4105.63554778753,3730.04150874679,3597.49230081011,3841.51884597712,4032.17642925507,3681.70800274466,3877.44454971142,3939.08211815834,3856.86577317901,3823.10414628801,3761.58447843634,3814.31405690303,4006.74431194218,4260.39195283743,3736.09101904924,3809.16104257528,3662.79816593042,3662.92037753713,3936.37415269369,3789.18368753654,3716.16981808516,3781.80047403563,3576.44886251255,3478.24845216061,3545.90076941317,3542.77450842659,3525.6794008092,3460.23117015581,3552.21036335419,3422.53170609513
,8,3696.16265315177,3700.52156899065,3520.15599348298,3557.67218014512,3557.93089818968,3480.20375836948,3374.22406467371,3836.76151208616,3964.98884900853,3784.92107613425,3674.29821837098,3606.3417461667,3585.23054070245,3484.9902239711,3861.70941032483,4263.83101505836,3838.62349171993,3726.8076035918,3647.82278428081,3692.3341585046,3511.71755916817,3677.17652879322,4108.19366672885,3732.52024694994,3596.66847795284,3845.31348555767,4035.16936777993,3682.99794766333,3881.6414205561,3939.84685794598,3858.68780883701,3823.56520998411,3756.46341953663,3809.51156922878,4014.81647574218,4262.88640212135,3735.09465068944,3808.5543057391,3661.84760648439,3665.43405179259,3942.12677941992,3790.20754449481,3717.2927947124,3785.46577011855,3574.66389223083,3479.32422396478,3546.93734459471,3547.11121555049,3529.99625844826,3456.2314395724,3551.20368546324,3419.96627687487
,9,3699.06101039956,3696.94455236063,3518.12101509829,3564.12749599077,3558.07457761918,3483.45634148679,3373.71195612873,3836.12330420818,3968.74729409541,3781.97889446318,3677.99412583147,3605.06095225848,3586.27542877564,3482.83380727366,3864.88948498002,4261.27530065602,3834.76731600612,3726.26476629535,3644.4905452694,3696.85190007563,3512.07025277177,3675.11134182587,4107.28052329002,3735.02517430364,3597.90249491375,3841.40190340535,4035.13018114125,3685.98990245465,3883.92169864646,3939.80829852501,3862.07383579654,3824.14830091781,3756.84564386475,3812.27869816122,4016.53364632435,4264.49654887507,3736.14342492738,3815.56850978507,3661.46468809995,3668.3725123451,3942.6231810455,3793.62633601789,3716.56164006361,3781.66993425543,3568.9726559949,3479.27294176831,3554.05087456829,3549.06754241611,3529.92394592161,3459.99340136629,3552.83968257651,3424.16816763375
,10,3702.91191754094,3694.56073428171,3516.98190924893,3561.09442763088,3558.23389291767,3482.21217587518,3371.4031133145,3843.01544630986,3969.14754531393,3779.93324861986,3676.3572520502,3602.84564204643,3586.5269799062,3483.42344629479,3868.07669976312,4261.94119286797,3835.691897368,3724.67308423633,3645.73400890348,3695.26781546446,3514.27560243729,3679.41308945459,4109.32852429217,3733.73594710749,3594.37201421656,3840.95690490921,4035.11334577726,3683.13319772657,3884.13849756811,3941.64073267703,3859.40461698544,3822.95002643117,3758.43598642833,3808.34583038698,4024.7585771082,4265.35013453601,3733.12072643457,3810.5179684513,3660.78113232539,3666.1536230749,3947.38391045454,3789.00136715791,3720.91242552644,3781.75415153134,3571.79424268455,3479.2825354549,3561.98047006117,3550.99747235288,3529.17135684597,3456.59452155958,3552.44524962319,3424.87007134723
