,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3858.43705769125,3868.163764019,3884.30199351663,3781.44862481999,3593.8182812664,3612.47274341158,3887.07589816229,3828.88276302528,4125.16758597134,4038.68711201233,3882.55110648613,3765.20818018902,3654.22031674958,3779.00984223922,4003.3566225483,4209.50218252013,4078.33994269314,4048.64449525551,3704.07837353383,3801.97576006097,3969.84508727989,4068.54677035072,4016.28604577149,4025.51117448555,3938.9233909273,3825.48880132566,4022.01240816937,4123.33094798141,3931.76809944123,3982.19730294806,4055.23127785911,3919.93244221876,3779.81680443901,3955.07728104662,3933.4445464925,4250.41011912311,3905.00334565191,4005.71522085114,3882.67085598538,3870.8576412996,3819.6106352012,3927.12256858192,3987.57204766397,3805.82796381931,3579.08532381158,3683.24864931793,3665.79063983515,3717.1773680987,3753.17167154501,3744.20600757226,3544.14177398427,3606.29021833425
,2,3909.60958331654,3875.81075402778,3886.93890971535,3782.26641043689,3591.31514899864,3617.96664984283,3887.47360144326,3869.20899758372,4122.70125783771,4041.25858833577,3882.11962342525,3772.92357801879,3662.54455213019,3773.57707598741,4043.93000753034,4201.46784796449,4080.08209972807,4044.5245230735,3699.67529890506,3800.57681346124,3969.01736750712,4110.7401680155,4012.39438485488,4026.16227710829,3939.91400218409,3821.40749791034,4016.96674751035,4114.96658148009,3968.2711783126,3976.70075046167,4050.58258662563,3922.91430094978,3779.25811602396,3951.52261565555,3964.3717941407,4240.93860479863,3907.48125188254,4007.81770508192,3877.79306202163,3863.2741383908,3844.38038402393,3921.48274863088,3983.48401304253,3811.80967719249,3576.20598618987,3682.91934572464,3675.745861191,3743.18087069703,3793.13295232962,3773.91622243883,3552.31035185665,3606.74830319653
,3,3955.45031526678,3884.18984280209,3889.25833464529,3786.17533377448,3593.55831840423,3620.23189960251,3892.29233161525,3893.01839008924,4115.28941698409,4039.23386599753,3881.02678128395,3769.88290940621,3668.22466474109,3773.23615527451,4079.20602132511,4200.56262493593,4075.29315034102,4037.68635568201,3701.05903358702,3803.79100177003,3970.89915397085,4141.56417304733,4011.60167262324,4022.98299043348,3937.83253707688,3819.73797492737,4013.44753987137,4109.45774599904,4007.5347124738,3969.11227662515,4044.73413587284,3917.70974780172,3777.95287672469,3951.79145144307,3983.1034110546,4241.19254432536,3901.31821325164,4004.718936477,3878.07098099581,3865.88850242352,3889.76653120951,3922.50339224006,3980.38237813803,3812.30336551311,3570.72284668552,3680.98248211574,3682.06898063833,3764.34825818587,3809.38773001146,3779.50628202921,3556.48044920823,3611.66709278628
,4,3965.17013704177,3878.18132435774,3891.36573146377,3787.05715875967,3596.92321648326,3617.8949490663,3903.95778406328,3907.63303871617,4117.79041566593,4040.84001200276,3876.55200972842,3767.23973615602,3668.86504486232,3779.26274423664,4097.00733824042,4199.88757540827,4074.72118266707,4040.54799146718,3700.210358456,3797.85745038353,3973.10531982234,4159.11311818561,4010.89133731275,4024.62913809726,3936.47918679664,3820.55709380143,4010.93991932914,4118.3790842859,4018.12348380662,3972.01496559983,4044.22699591284,3915.01628825402,3776.92630531144,3953.90769337091,4014.64085306578,4236.40223973347,3901.1526869191,4001.38394513802,3878.85895723529,3867.82268945328,3907.0268653961,3924.41102382532,3981.19598388088,3812.18858808336,3571.10551350249,3680.91702640757,3728.4469115752,3789.31504695375,3825.50360712836,3779.12999400376,3558.51297747325,3608.08854618714
,5,3973.15350271519,3881.82226401878,3885.25361755471,3785.85545615136,3598.93734926662,3619.03631260042,3904.02466269164,3914.24570124884,4114.67876814914,4036.61939261909,3879.27141567852,3770.77512801079,3672.62050653586,3777.36025632486,4110.11432780366,4195.52429480703,4076.66061850096,4036.33436262514,3700.31622316129,3797.02374758592,3975.93492027311,4169.24593746556,4011.97763605009,4026.96452078352,3933.53294350707,3813.16367588019,4010.94233079147,4118.34686422264,4073.44341119479,3974.51789345604,4044.92884358859,3914.05523439598,3773.46444911825,3949.08988064144,4025.67542205115,4236.17279499618,3899.49442050782,3999.96930781706,3880.72099172455,3864.8850787282,3941.69894572914,3920.74769312622,3976.50901069164,3811.04844768418,3574.23731370605,3684.57306900594,3742.7817387278,3803.21194578062,3832.98761136379,3783.3981508644,3562.08659950158,3612.36805005902
,6,3976.19019945315,3879.49604876574,3885.86122952743,3790.2175068588,3597.98493045175,3622.14807520345,3904.65991549943,3918.70988467585,4115.05097789142,4038.45080104917,3876.16055664126,3768.94932092699,3671.08334514614,3780.42770601966,4119.6624633725,4196.03245615452,4077.98657583593,4030.48943250679,3700.60348993847,3796.08337053445,3980.15926390662,4175.32030831875,4009.48370366525,4028.85154231124,3935.89513738071,3811.45455519809,4011.94769362642,4127.84297865632,4052.859870813,3975.84102689813,4046.57875817862,3910.59522762149,3772.20128777675,3951.00203420755,4038.21663339699,4233.79198795365,3895.76607062573,4004.50633216875,3877.40944354479,3866.75137964688,3943.11876536667,3925.57772203422,3979.16355625452,3805.4775916536,3574.17298154293,3682.91244206685,3754.77807596017,3810.32207273531,3833.61163932226,3784.8687953522,3557.66494676404,3612.93607991472
,7,3977.93362282578,3880.61691483009,3886.60287840044,3791.69728390198,3599.00494477575,3618.40135553614,3910.13320847676,3920.47625807422,4109.11970548708,4039.51229122589,3880.23158726686,3773.80680273447,3671.88629001729,3781.97250589039,4124.87773691002,4195.75520197607,4071.18510832785,4032.24323096111,3699.86729409234,3798.18391856654,3984.97143519498,4174.91330411124,4008.36570887628,4025.68307184157,3936.63824004834,3811.26678262934,4017.20069672029,4129.49383783276,4054.37768400704,3974.73177228544,4044.69256558782,3912.09923019744,3775.82677909742,3954.38544790143,4044.48273140227,4235.17716217125,3897.99009071426,4004.2920363452,3879.71434503152,3872.58461309098,3946.83940501868,3920.13668374335,3976.14831096478,3808.68661619114,3574.3514357368,3688.10714307117,3770.72984131521,3809.02784259645,3833.43155016509,3786.95229879468,3563.15176200158,3614.37336477253
,8,3981.19768938549,3877.49804532062,3884.02764651618,3790.33054923219,3603.01264912946,3624.14652387347,3908.57741139259,3923.84930720627,4109.02263410894,4035.2777533825,3876.79512172324,3769.04304306995,3674.6822196686,3788.83000167367,4130.92736768292,4188.88876243284,4072.02234407659,4030.41895592932,3698.89093366192,3798.43706363283,3982.72353793053,4183.92620178682,4007.62514179341,4025.71234714883,3931.71373446882,3810.51208183387,4016.75219353081,4129.88231185553,4052.47275759342,3968.2340587865,4044.2779844,3911.01194369447,3772.81285721599,3951.75822778127,4053.13465033279,4233.33346105157,3894.58226476157,4005.13796842374,3882.59930128037,3871.37601038058,3944.79818078913,3924.89852507483,3975.49566445828,3807.11688595613,3571.22411333168,3687.89493371536,3771.1128416406,3814.66649082948,3839.08618319394,3794.10368329157,3566.24430872784,3619.04752474673
,9,3981.02958170836,3877.21865103927,3881.98660529911,3792.73516385896,3604.29003058958,3625.3048047721,3912.93248305947,3919.82826279932,4109.69663320716,4041.94961081837,3875.31689741857,3770.27997769061,3678.03790080307,3792.508743084,4131.27683690856,4192.00874887971,4076.42044101,4031.08619706172,3703.78952607018,3794.53627509218,3988.80375650884,4183.24400318649,4007.04828578605,4024.5135385179,3933.08339881337,3811.4896311578,4018.3693023223,4137.00106354593,4055.48158170071,3971.73900376117,4038.46410221788,3909.99202021382,3774.75260151634,3950.77536095989,4073.72084195265,4231.05460315265,3892.61599735551,4003.47271530152,3880.06505279187,3875.0759691249,3948.19695950102,3921.17723897944,3974.16523077781,3803.80626952573,3575.04451281955,3686.25447001618,3778.66436700763,3819.50812454569,3841.07935906538,3789.94047790855,3565.4018374759,3622.26870838174
,10,3983.14899389921,3873.82611007397,3886.35736524354,3791.48956295136,3602.10864095639,3625.8842386045,3913.92812244287,3923.60826765525,4110.50801275741,4033.65432710226,3874.2730041215,3773.41825603394,3673.95789582677,3793.44242312154,4130.27120740989,4191.45958523066,4071.4044369887,4030.53077120677,3702.35612402701,3796.23613706245,3989.24532050612,4187.89080798742,4004.47950462244,4022.92854674591,3933.81948059797,3809.56847255332,4016.29272324572,4138.13381973034,4050.47642419706,3970.81098616917,4039.92168745831,3909.77872157917,3774.35692177055,3954.93434769204,4070.94169311048,4226.89107602844,3894.82936762525,4004.58090507459,3883.22389957621,3871.07960364436,3949.48951167437,3921.28902264845,3976.92409749355,3807.53246654967,3574.50995773185,3690.84994803453,3786.74090389038,3822.27242293978,3842.46848861867,3792.4764631191,3566.71914702583,3625.74793634504
