,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3479.95509266928,3624.7816732152,3553.23193929061,3537.34609735798,3514.25634517183,3377.31121940472,3589.9503064221,3810.55834299662,4023.63691882051,3783.91148252285,3680.24583859332,3677.27509703721,3534.51940152934,3698.02275090244,3939.66633066076,4384.28398479253,3860.37047899475,3844.87823861924,3689.66638640491,3639.01050075334,3751.3131812348,3729.1177596943,3849.43514861815,3752.07945584717,3834.76122348058,3840.74920798758,3778.01948837631,3925.25671303283,3828.6778911064,4021.29541229291,3874.88002356486,3939.92634492749,3805.29573345595,3780.37715275469,3973.9208454978,4355.89368342795,3722.95418208124,3946.74019746768,3766.24811104707,3657.70296590644,3730.57220365923,3915.73206554544,3690.62157399011,3780.85390422727,3628.92935550407,3515.33395780941,3343.85645799422,3519.4105762553,3460.86386990665,3593.48816039692,3585.22884930143,3366.77111966838
,2,3524.17752286528,3630.34332251988,3553.64030550032,3541.41057231903,3513.8684635109,3378.42813851717,3584.43181807695,3849.15865983348,4017.27247587155,3775.51594965157,3680.04620436743,3671.18528238769,3530.14304952975,3691.64124487069,3974.04111576811,4381.14437733047,3852.22235790846,3834.8763248874,3681.37608654621,3632.00717352726,3746.71730709122,3763.74839938582,3845.81763633628,3743.69234495104,3830.93992709656,3838.89730071871,3772.50822460177,3913.74583997358,3852.91497133444,4019.71409465234,3869.74271173097,3926.64119834706,3799.80774386744,3770.13233634552,3995.07386450701,4344.82796714375,3710.62695475823,3943.76663873172,3760.35530919628,3655.46337929989,3751.84736462805,3909.30606748312,3684.68313469331,3771.68940999479,3626.56845399812,3502.9248758299,3359.38569007573,3532.939324389,3488.08777529085,3618.69718226547,3588.28439314282,3362.63443373724
,3,3554.73123053206,3632.29248224832,3554.5714835076,3538.47527913224,3508.35840489491,3379.77263092846,3582.94227702971,3883.78511988081,4018.6830635571,3774.39621548407,3679.56991219093,3662.91317980746,3525.38197686124,3688.69713054075,4007.56519835825,4376.15733848584,3851.50062109652,3829.50107391733,3674.49769759447,3626.2065164452,3738.74570346716,3793.44330804529,3839.74267091109,3740.96877110999,3822.78990239519,3833.32400192142,3766.19524757164,3910.35423496251,3889.79440584637,4016.16149138231,3864.87476148355,3924.99565008499,3794.5751764279,3768.11172740801,4013.74039517047,4348.27299354052,3710.03294461103,3936.30085379361,3750.18108039396,3647.21907384,3772.45792988738,3906.59388238392,3672.65030928702,3766.18646366048,3617.31642514707,3503.15084636729,3398.28205220571,3543.99775020503,3500.72216598015,3618.9830806887,3583.13014911671,3362.65624819801
,4,3566.53947569864,3634.16356473764,3554.40078856922,3539.48682819013,3508.31785261889,3377.75752355371,3586.7880844688,3898.61481076617,4018.88530709793,3774.4210052217,3682.00110334435,3669.04951896878,3528.34694500122,3687.67863228228,4032.86785046921,4380.05720855994,3857.75965597682,3829.58892168046,3672.33206688145,3624.04986406164,3739.2718047087,3800.9398340374,3841.67499211021,3733.10745928137,3815.73324241851,3829.29983934434,3760.90717430902,3905.32335298949,3909.92739703635,4020.27868583656,3869.06757052809,3923.78540979347,3791.36314212538,3764.57226301433,4034.76452432513,4345.22204123049,3705.62686304329,3940.41183436756,3745.74619782333,3652.25324392302,3798.19233514097,3905.53597977034,3675.12847488709,3768.96764221205,3614.01232148111,3501.39240122455,3388.02130631422,3558.29248901473,3509.84759718329,3620.88622318052,3583.12505350437,3362.95889097985
,5,3574.79938551618,3638.06362095425,3561.39048249346,3541.78553907043,3511.52888625947,3383.96993798176,3583.98086091803,3909.88507433915,4024.06074917923,3777.01219486543,3680.42988291625,3666.50424898563,3530.04490771447,3683.49522729762,4043.86897496696,4377.74609867678,3857.89684804242,3829.19530219081,3670.46681770684,3620.47898269459,3737.38997031708,3807.71481307564,3842.92910889019,3736.08198596535,3816.46550880721,3826.9452484343,3765.88093756995,3900.16929834978,3925.066600315,4020.19781715132,3870.61912949211,3923.13699935608,3791.13961597841,3766.36319158156,4058.73374467124,4353.45799491059,3706.15942801982,3936.57522861007,3749.66415084258,3648.43951819798,3821.84129814423,3905.32965299056,3677.45128775853,3766.47042828305,3610.04596238284,3500.18080032606,3395.08415823494,3570.17895237363,3522.95752356327,3623.70873041266,3583.22482486542,3361.94346625237
,6,3580.53924941737,3636.71693233352,3564.97580009783,3544.49885686503,3517.74207439144,3386.79248105229,3588.39512450339,3915.00313060753,4019.18254210886,3783.60044018834,3684.85582702125,3668.78504838656,3534.74477601375,3684.83895917924,4055.66820786144,4384.4031166296,3860.08186182368,3833.14148028469,3672.24772237611,3622.69198217484,3738.6124524646,3819.40617326874,3844.06954029067,3741.0039745866,3817.31511372913,3825.04378808726,3764.43600122677,3905.178360428,3930.73296798843,4026.2072093893,3878.17546208708,3926.10607232279,3792.63928475174,3767.03248568563,4072.92796624723,4353.63631619553,3708.29165437819,3943.72604001417,3753.58336617593,3655.11419855352,3822.6312429919,3907.17531853516,3678.7307797101,3763.5989901469,3614.8758703048,3503.96594150366,3406.26137209352,3579.42254844544,3516.79850675178,3624.12417840257,3589.85027316241,3362.99691770872
,7,3584.11366042893,3638.08010860649,3568.67137244826,3542.91415441658,3517.78174682748,3384.69436730665,3591.36298035958,3918.16649363706,4023.28234778246,3786.91507603596,3684.64169004981,3671.65167339105,3530.95241671996,3682.62997467703,4057.71671956271,4385.3964169897,3861.34368882912,3832.71948267119,3673.93503102285,3622.82174506577,3737.05294411317,3819.09528916882,3845.77600896542,3738.30655558707,3822.45568229669,3827.05255106858,3763.81606034411,3908.2613863795,3927.58907448613,4025.01335523583,3876.11126605816,3928.74625062128,3795.86834969,3771.04848606481,4077.96269483656,4353.8461876318,3710.69723129783,3942.19608239892,3755.31880208326,3655.60805861947,3834.92684424945,3903.87876874301,3674.03244828482,3761.12515251743,3615.21606944077,3503.98611781837,3411.8447051617,3582.61279029897,3519.23097745241,3626.00507534096,3592.60693740388,3359.69111628859
,8,3587.28821361577,3634.36246354785,3566.45207694258,3548.30087209969,3517.96059954996,3387.2777632679,3591.83046933472,3919.35595837262,4024.13559413176,3786.37435096733,3688.60833232095,3673.10128841218,3538.51984509727,3687.96387474832,4062.22462189621,4386.984766328,3860.60699769481,3830.80806927993,3669.65919462356,3621.89077768219,3740.85829459956,3822.39356018737,3845.67001240203,3740.18861626492,3822.5700207898,3831.44967245438,3760.61848307304,3904.88076294422,3926.58293137702,4022.9748562734,3876.32674551404,3929.69502374793,3797.62779067694,3768.73163331717,4083.30052959453,4359.57276983092,3708.07207846522,3945.28434207351,3754.27288292461,3654.25682595091,3832.43190436209,3904.87346135333,3678.43599752018,3768.23350978695,3614.68582126655,3503.28024793091,3417.15150034325,3578.14652219517,3517.79885310972,3627.65758622747,3593.08023142536,3364.66525584881
,9,3586.07968692537,3644.1901551071,3570.29045354485,3552.56351626557,3518.43624199072,3389.1530561907,3591.89871588142,3916.53745781726,4022.26600689153,3788.12734503704,3686.92216345281,3674.90723142301,3531.65536403202,3692.72808192244,4066.45995741527,4387.18582637134,3862.24502076143,3833.04011995781,3667.9386711601,3624.25454964802,3740.10865644377,3819.82828078918,3844.98872263823,3741.35203821513,3815.9268876882,3826.90411819659,3760.62906291775,3908.4448373387,3931.74143258544,4032.35303842821,3878.09666323993,3934.6424069864,3796.75917049785,3768.26131107502,4091.03791303701,4358.63912770977,3709.46545568488,3942.44173999154,3758.75064052803,3660.72271254175,3830.24783010364,3904.42557588207,3674.82943402871,3765.00687573308,3618.78141228161,3502.03560563107,3419.37413177798,3583.37998704108,3520.04278237005,3626.39559838774,3589.09483310837,3360.66907194228
,10,3591.90003616006,3640.40257098796,3569.83441096483,3552.94787066986,3515.10571508733,3388.51364292985,3592.44252988326,3922.19919826491,4023.52625073796,3787.04750726993,3686.80786004081,3672.69214112263,3530.90916458627,3689.43443981837,4062.764353674,4383.34449841032,3864.95043543904,3835.80798868969,3667.45845146375,3620.38945875268,3738.79177437504,3820.43512869361,3843.91195360807,3740.83739786488,3820.24117765773,3826.42719739413,3761.37959125253,3912.46124649037,3931.44137027475,4026.60785628451,3884.72742536292,3931.15041633404,3797.52338832567,3771.56449890748,4104.69368398571,4358.74682195438,3708.77250244427,3944.31665478318,3758.59555659725,3657.53661104784,3832.19271718935,3905.50239632422,3674.10409073955,3763.76520668599,3622.985908404,3501.2377062771,3429.56747100468,3587.45530694006,3523.27544071151,3628.92571684197,3598.95650597272,3367.56665136544
