,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3494.5743379234,3565.63823169708,3532.80004045172,3390.5480710462,3517.05205801486,3582.14074986997,3388.83213166382,4092.03065105665,4064.30181013202,3803.98111322996,3607.64473055123,3801.06337971892,3719.88325671259,3439.86238258166,3861.39476453118,4441.55511462795,4000.66702654276,3596.24835082625,3652.00314430511,3778.55740296188,3487.74301135407,3674.89423922227,3820.71399292631,3988.14250183728,3702.96105025403,3863.83583946053,4155.91277900502,3714.56742729247,3882.46885631911,3964.44755060427,3965.56486795259,3587.17592638835,3803.81479404563,4093.21390713166,4161.51833038957,4366.30705618171,3973.02745921605,3801.71179962918,3895.24259692609,3685.75250873315,3787.6572400877,3752.46190347753,3639.15355122882,3565.41992984304,3694.79793110434,3500.11728925988,3347.37712348182,3351.73429373342,3523.83528079661,3412.97915577649,3499.90345907094,3519.91979357336
,2,3555.33145771855,3574.6648317164,3534.54801199175,3384.93128503703,3522.59122978728,3589.19239618437,3391.44695437893,4158.70960081082,4057.09940308714,3804.59604977821,3610.34817835124,3803.06630100345,3728.40872443143,3443.50970367575,3906.87451905478,4438.92625489625,3994.57740651291,3591.2559771008,3657.68560214317,3777.62044444267,3481.67259228855,3701.00733962279,3817.33994403863,3983.14390125855,3704.46748634161,3859.31545460565,4148.75362643651,3711.74375635101,3911.8502493577,3964.89448994302,3963.84386229349,3586.38720790338,3806.57254164658,4089.28247493473,4186.693329159,4361.35461089627,3969.93470453468,3792.97153275999,3897.36162843251,3681.68510254868,3828.51194469394,3749.38255114701,3637.94471006165,3567.57134300916,3695.19275757854,3495.97548917322,3364.56918989682,3370.62094059397,3556.0408968074,3432.45624554548,3502.58865506262,3519.5150358636
,3,3587.4943654218,3579.00549288818,3535.41272573577,3390.54290340651,3520.92356312548,3590.45399878727,3391.89460275407,4193.52088383172,4057.98751182783,3806.12445123027,3611.83616392541,3803.27017278813,3727.69922214582,3439.8448809416,3937.00032167282,4439.15228136233,3997.91794416189,3592.55863357863,3657.01795795712,3776.4450618899,3483.84180391495,3729.23240087424,3819.04548552498,3980.35325880372,3701.63445946455,3865.7633524824,4146.49033369287,3711.28956287131,3937.12557816993,3967.21737194874,3961.86218985215,3589.10991285635,3800.57664684881,4090.13012398502,4204.07906084823,4364.27450046597,3971.29279120889,3797.62436825925,3894.6695618883,3683.34798551224,3855.59367822603,3748.93029536486,3638.81955536071,3564.26881844815,3692.48509907703,3498.09112816856,3378.43373674433,3389.08931053263,3570.10516280184,3434.91965385504,3504.92699650348,3521.73910888404
,4,3609.27649537633,3578.70335043849,3534.21569194042,3388.3601475386,3524.69948431414,3592.09438868506,3390.64593810643,4202.13774898096,4051.86765838261,3805.24905619478,3609.57561143826,3805.86490863658,3728.78480868476,3440.47600148687,3952.91925525553,4437.45957881958,3996.52421222956,3593.44047780257,3654.39813789374,3778.47493569531,3482.47101457424,3742.76769611475,3817.53779476427,3981.68906119412,3702.14649963295,3861.45314592828,4148.70343023451,3712.56200206254,3955.76189688487,3963.66763459426,3960.80871273627,3590.32934304456,3805.73528705077,4094.77486077269,4219.40930939716,4365.00785682811,3970.63024973201,3793.8115325318,3896.16277539658,3677.51758881503,3875.68165097532,3745.13512376862,3636.6236079943,3565.64960063031,3694.91796631755,3494.14932954647,3422.14826171625,3395.76732432232,3573.68655422771,3432.16475641494,3502.79830873409,3522.8550081047
,5,3621.41647243235,3585.83229359096,3535.94713246145,3394.22821760297,3529.19355875408,3592.00760478754,3394.63015928787,4211.92798630703,4051.47895538418,3806.17397875608,3609.21748950274,3808.76023035114,3730.52256415094,3445.95455117744,3962.31224010069,4441.79712158669,4000.01441774438,3592.82165322615,3654.09270406237,3779.48632611513,3484.53637447936,3751.58654651429,3817.34079397225,3982.18548554993,3705.10847949294,3861.25650097724,4153.24059622149,3710.11373672991,3965.75096357842,3963.89428330261,3960.9439314611,3589.37756839764,3802.50286974112,4088.36096453675,4261.67699623738,4364.26328837782,3969.36334467083,3794.64969856869,3895.76461537634,3679.71083565779,3890.756741318,3745.25301978985,3638.59353272776,3566.9522884405,3699.98227209962,3494.70763650395,3419.8742427937,3404.61892285401,3577.44234362059,3435.85594700557,3508.55227246083,3520.85780877825
,6,3626.67850386627,3585.43065786727,3533.59386971531,3392.42212379695,3523.32841397818,3593.92335705414,3398.87474742455,4219.70733026104,4055.40718768537,3802.18005246412,3608.09516328867,3808.13174252502,3730.22824096382,3447.83280714124,3969.06327691882,4436.081934597,3999.65726228863,3591.40761874205,3658.69224155854,3780.55856387946,3486.68724661597,3764.05605658481,3817.24879470207,3983.01486438615,3709.56755755116,3860.88585719614,4147.36150441966,3712.82681325987,3977.43048919171,3965.88749267764,3957.79212215663,3588.69619219956,3800.252819769,4090.84181676074,4262.49718626991,4368.27445132661,3972.20623075392,3793.52992293044,3891.30677642591,3678.13003127121,3904.29523053004,3746.6449110395,3641.32077023802,3563.26293158478,3700.00282038529,3493.20038895612,3430.10813885176,3408.59555175663,3576.91090323644,3438.5038381251,3506.19260022133,3522.24102057951
,7,3630.66900714694,3588.31925669411,3533.59881728387,3389.81456020179,3526.45064457808,3593.42440152662,3395.12243941421,4219.11871682492,4054.41779528164,3803.76870445417,3606.55932144042,3808.00356196555,3733.44970305259,3444.81274105075,3975.74222546329,4438.50974483075,4005.1071662074,3592.60348249335,3660.18136647383,3778.86113539181,3486.74129308164,3766.05478464123,3822.50998777331,3982.53752788822,3708.15320292838,3862.91505122285,4149.90522513659,3711.15263476436,3988.1283716909,3964.05744961503,3964.03399084785,3590.61897050876,3802.74574267287,4093.55710521846,4277.9209053182,4365.6206871938,3970.33171031134,3800.7560896411,3899.29740788573,3676.02591980272,3906.83964984987,3749.90287127669,3642.90696276443,3563.07726639036,3708.09671415133,3496.26891910758,3441.91482330024,3410.7634352917,3572.87975180426,3440.00287881256,3505.46828877441,3522.3538471535
,8,3634.20145870933,3589.77017863762,3532.28168242484,3393.14312598565,3532.69228471769,3594.75415066587,3392.78779514918,4221.93090984434,4054.48149273195,3799.79447404704,3609.51697710737,3811.47303002562,3732.53707281591,3445.06932061167,3979.14854916954,4439.79653101443,4002.14360908639,3589.11962869589,3660.26051463269,3785.23263826517,3488.73981915946,3773.3832360705,3822.63691521496,3984.62037335333,3710.2882271932,3864.55579377407,4149.05265069314,3709.75360555539,3987.18827813301,3970.09795986394,3962.6149477534,3591.03917948912,3805.92194902582,4092.54594009339,4273.0538958473,4371.21517222568,3973.86423526737,3800.70788372512,3900.84381844045,3675.28282918194,3914.0422264145,3749.94926994381,3644.74794688129,3569.14869893707,3708.94861891769,3496.79765831124,3444.42373394613,3411.7717007568,3579.50812889604,3441.04554448435,3506.63216082206,3522.6585479311
,9,3633.53833914789,3593.12113948326,3534.56373256395,3390.29707040715,3530.44754334754,3593.29682364143,3399.23884424876,4225.59043081947,4055.07502164394,3803.09634385404,3607.82974141193,3805.3671002388,3734.87563097629,3445.20383793894,3980.25440055466,4437.17392950961,4005.86051169778,3589.70424375235,3661.78767246522,3788.38896312128,3483.15316865948,3781.19390248775,3822.68676990104,3985.47155465647,3712.87609684027,3867.15460678461,4152.97127940718,3712.06169961001,3999.9729188134,3972.66916980974,3960.88142308819,3590.41748094645,3803.74864428113,4092.69941608211,4268.2512319025,4364.69057104732,3971.26377794515,3798.47636881062,3904.29494713367,3678.86342010433,3913.88001284309,3748.80980153413,3644.29468874179,3567.95590861529,3704.68691189087,3495.18787844948,3446.8249397499,3414.89582419152,3576.64586950599,3445.07816448541,3507.25886170622,3529.84384603161
,10,3636.94480787721,3593.77406578445,3529.49631929121,3390.61267115888,3528.27838105016,3594.38169868207,3400.03013740999,4226.74346798196,4055.77536716656,3798.19816996755,3609.22624566005,3808.28945924701,3740.01169513891,3444.10224497761,3978.90883264622,4439.37516947051,4002.99233635843,3588.70634787935,3656.85353379597,3781.64038577975,3490.3514124099,3784.67800057417,3822.68567586297,3989.85735488116,3711.61627027341,3871.34960129118,4149.7571614215,3711.4742807992,3995.60434583686,3970.87289246005,3957.13259525816,3591.18688932379,3803.81232772779,4092.7559323916,4275.67990089929,4365.35760797165,3970.21802691966,3802.50233226075,3902.67334691829,3679.12716556681,3914.5914889823,3745.5846313883,3645.1572038761,3567.47865919716,3708.41710923523,3495.9785718437,3451.26784058346,3418.3674271037,3579.39681843769,3442.90062353374,3506.65043575495,3527.16566909008
,11,3637.63223970613,3597.95517871058,3534.96544579781,3394.3972269349,3536.44227635733,3602.73278865773,3397.01146414881,4231.59084274196,4058.3987120934,3802.38274307479,3612.0915042299,3811.49829865984,3740.65762089295,3445.4714350345,3983.35241694163,4437.90039830986,4003.67664109257,3591.51285103108,3662.39121100924,3788.20251934074,3491.5342110984,3784.94012142701,3824.18987804531,3990.19612379012,3712.51928755328,3872.74808952842,4152.98141333535,3712.70734763031,4003.50491095985,3971.22752003347,3964.03529550684,3593.84922414129,3809.42063224958,4092.3839267964,4279.65323171417,4368.70765218129,3971.43658191164,3802.93539139532,3904.49390336916,3676.83378425492,3922.7535748771,3748.5422960687,3645.17999721205,3569.1193108655,3714.2670727988,3495.25157702819,3453.06294101368,3416.24661909066,3579.98512546602,3444.24887794969,3506.52979065708,3526.783126986
,12,3633.28340983699,3596.88882966123,3533.18165302973,3393.37883086658,3536.16667062786,3601.13345885692,3398.142578548,4229.65344768764,4055.08281522234,3798.81328076804,3605.54441742193,3813.90494392922,3740.89046987215,3449.67860949447,3982.79072752644,4441.12095270437,4007.64074935021,3593.65598869118,3657.67571761309,3786.45279242693,3493.11619635333,3788.82057904711,3824.22577024282,3988.2129512976,3714.6384328709,3871.40240069717,4152.36313133232,3716.17943385193,4006.44212915256,3977.96818730341,3962.6379808708,3595.82837362098,3805.00722452334,4091.05131220445,4276.94507781617,4364.25806427148,3970.14830980771,3804.50735597297,3904.83841978116,3679.39896893477,3921.79763258355,3749.9279628601,3647.57528500882,3568.85983363724,3716.96409174432,3495.99658358772,3455.51824152856,3422.64555056249,3580.78932676412,3446.6867876498,3504.30217301505,3527.35459356625
,13,3639.0092103487,3596.41252586691,3537.84943384712,3393.65629536881,3538.16512503839,3604.47784406654,3396.2198606348,4232.0264767136,4055.35808044181,3804.20368838917,3611.50600551313,3812.93699074558,3745.51517440161,3444.89590980207,3984.33871790733,4439.16518694842,4004.3976737328,3590.90566811897,3662.54309205972,3788.73846154318,3491.65596963595,3786.69195983528,3828.70186307239,3995.05703139082,3717.04169393426,3873.59632221133,4154.82224283011,3715.40099677815,4009.93881280682,3975.43291534709,3961.53909308112,3598.94293921956,3809.42826724724,4095.03025449661,4277.79277104988,4367.25413989808,3974.55386237215,3805.75220170782,3907.43284711055,3675.81715683081,3922.33075874506,3751.36010259763,3644.37691223459,3574.83633957163,3717.27091386002,3494.81216622482,3454.76019521885,3419.01082929559,3582.37145439954,3447.19497914075,3507.1344005463,3528.51686995151
,14,3638.68787000628,3599.98980568222,3532.81555806191,3393.53826863241,3538.61525441784,3603.1727539121,3401.00494782332,4232.434776806,4054.03941654267,3801.66829432753,3611.2825248945,3813.57806378136,3743.65085055534,3447.31680160236,3986.18302352056,4442.0728995098,4006.36551843714,3593.2247993396,3663.20977876598,3788.02040605069,3493.07889908992,3790.71257905017,3827.35074030212,3991.21251223045,3716.09176333598,3874.21014303828,4157.77835380223,3715.60755969082,4012.88019414912,3980.23221470465,3962.23470611861,3595.67826054447,3811.73176337865,4095.21861009506,4284.58084852235,4363.20576511547,3971.33829016576,3809.43722861216,3908.48825519199,3673.6831585762,3924.09944689299,3752.009134258,3648.17605417813,3568.80101177258,3721.76206982782,3496.93404609721,3460.53341572849,3419.5580733368,3585.54273495109,3451.63654635188,3509.81949342282,3528.44170732346
