Well,Fluor,Target,Content,Sample,CFX,Opticon,CFXqpcR,OptiqpcR,,CFX/Opti Diff,Corr. Opti,,,,
A01,FAM,HSPb11,Unkn,HC1,25.07796076,29.13,28.96,18.87,,10.09,28.355,,,,
A02,FAM,HSPb11,Unkn,NC1,24.81742344,29.68,28.65,19.42,,9.23,28.905,,,,
A03,FAM,HSPb11,Unkn,SC1,25.45021364,27.59,29.29,18.13,,11.16,27.615,,,,
A04,FAM,HSPb11,Unkn,HT1,26.57018079,30.75,30.37,19.93,,10.44,29.415,,,,
A05,FAM,HSPb11,Unkn,NT1,26.76027094,29.27,30.49,18.73,,11.76,28.215,,,,
A06,FAM,HSPb11,Unkn,ST1,25.91371775,31.77,29.47,19.35,,10.12,28.835,,,,
A07,FAM,HSPb11,NTC,NTC,38.3041268,N/A,40,19.79,,20.21,29.275,,,,
B01,FAM,HSPb11,Unkn,HC2,25.11005285,28.11,29.16,17.78,,11.38,27.265,,,,
B02,FAM,HSPb11,Unkn,NC2,23.25860086,26.63,27.33,17.77,,9.56,27.255,,,,
B03,FAM,HSPb11,Unkn,SC2,23.74894833,24.72,27.72,16.6,,11.12,26.085,,,,
B04,FAM,HSPb11,Unkn,HT2,24.87362629,28.82,28.74,18.71,,10.03,28.195,,,,
B05,FAM,HSPb11,Unkn,NT2,25.41235161,30.15,29.3,19.82,,9.48,29.305,,,,
B06,FAM,HSPb11,Unkn,ST2,25.12018958,29.99,29.41,19.2,,10.21,28.685,,,,
B07,FAM,HSPb11,NTC,NTC,NaN,N/A,8.42,23.36,,-14.94,32.845,,,,
C01,FAM,HSPb11,Unkn,HC3,25.71611443,29.59,29.92,19.95,,9.97,29.435,,,,
C02,FAM,HSPb11,Unkn,NC3,25.55017697,26.64,29.97,18.39,,11.58,27.875,,,,
C03,FAM,HSPb11,Unkn,SC3,24.86915683,25.34,29.15,17.76,,11.39,27.245,,,,
C04,FAM,HSPb11,Unkn,HT3,26.39780933,27.1,30.51,18.79,,11.72,28.275,,,,
C05,FAM,HSPb11,Unkn,NT3,23.15906043,29.09,26.7,18.5,,8.2,27.985,,,,
C06,FAM,HSPb11,Unkn,ST3,27.71120987,29.58,31.64,18.93,,12.71,28.415,,,,
C07,FAM,HSPb11,NTC,NTC,NaN,N/A,18.13,20.98,,-2.85,30.465,,,,
D01,FAM,HSPb11,Unkn,HC4,25.14187243,28.05,29.26,19.77,,9.49,29.255,,,,
D02,FAM,HSPb11,Unkn,NC4,23.46139209,26.85,27.52,18.64,,8.88,28.125,,,,
D03,FAM,HSPb11,Unkn,SC4,24.65957279,25.36,28.87,17.99,,10.88,27.475,,,,
D04,FAM,HSPb11,Unkn,HT4,26.01573387,29.9,30.05,20.72,,9.33,30.205,,,,
D05,FAM,HSPb11,Unkn,NT4,26.69844582,29.85,30.78,20.87,,9.91,30.355,,,,
D06,FAM,HSPb11,Unkn,ST4,27.5887865,28.74,31.81,19.25,,12.56,28.735,,,,
D07,FAM,HSPb11,NTC,NTC,NaN,N/A,12.44,21.97,,-9.53,31.455,,,,
E01,FAM,HSPb11,Unkn,HC5,24.04470155,26.98,28.07,18.44,,9.63,27.925,,,,
E02,FAM,HSPb11,Unkn,NC5,23.89764283,27.17,27.81,18.97,,8.84,28.455,,,,
E03,FAM,HSPb11,Unkn,SC5,24.84984365,25.55,28.98,17.88,,11.1,27.365,,,,
E04,FAM,HSPb11,Unkn,HT5,27.03628802,28,31.2,19.46,,11.74,28.945,,,,
E05,FAM,HSPb11,Unkn,NT5,23.83688433,28.42,27.73,19.42,,8.31,28.905,,,,
E06,FAM,HSPb11,Unkn,ST5,28.65708692,29,32.79,19.51,,13.28,28.995,,,,
F01,FAM,HSPb11,Unkn,HC6,28.3074617,33.19,32.57,22.05,,10.52,31.535,,,,
F02,FAM,HSPb11,Unkn,NC6,24.3688237,27.38,28.46,19.25,,9.21,28.735,,,,
F03,FAM,HSPb11,Unkn,SC6,24.89765886,25.41,29.05,18.14,,10.91,27.625,,,,
F04,FAM,HSPb11,Unkn,HT6,26.91740198,26.99,31.13,19.03,,12.1,28.515,,,,
F05,FAM,HSPb11,Unkn,NT6,24.90597029,28.59,28.78,18.96,,9.82,28.445,,,,
F06,FAM,HSPb11,Unkn,ST6,26.62850546,31.02,30.53,20.34,,10.19,29.825,,,,
G01,FAM,HSPb11,Unkn,HC7,23.9171773,27.51,27.85,18.63,,9.22,28.115,,,,
G02,FAM,HSPb11,Unkn,NC7,23.0374763,26.88,27.07,18.07,,9,27.555,,,,
G03,FAM,HSPb11,Unkn,SC7,24.40375785,26.62,28.2,18.86,,9.34,28.345,,,,
G04,FAM,HSPb11,Unkn,HT7,26.95120874,27.36,30.9,18.99,,11.91,28.475,,,,
G05,FAM,HSPb11,Unkn,NT7,26.00695847,30.67,29.73,20.84,,8.89,30.325,,,,
G06,FAM,HSPb11,Unkn,ST7,26.71513235,27.48,30.53,18.91,,11.62,28.395,,,,
H01,FAM,HSPb11,Unkn,HC8,24.74439501,28.61,28.59,18.9,,9.69,28.385,,,,
H02,FAM,HSPb11,Unkn,NC8,25.98144665,29.38,29.62,19.06,,10.56,28.545,,,,
H03,FAM,HSPb11,Unkn,SC8,25.68268962,26.85,29.6,17.95,,11.65,27.435,,,,
H04,FAM,HSPb11,Unkn,HT8,26.21378044,27.96,30.22,18.94,,11.28,28.425,,,,
H05,FAM,HSPb11,Unkn,NT8,26.83623513,30.83,30.61,20.16,,10.45,29.645,,,,
H06,FAM,HSPb11,Unkn,ST8,27.23381695,31.78,30.95,21.08,,9.87,30.565,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,9.485,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Well / Set,Dye,Content,Description,Efficiency,C(t),Quantity,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg Quantity,Max Quantity,Min Quantity,Quantity SD,Wellset Type
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A1,SBGnew,Sample,,1.76,29.13,,,Sample,CFXqpcR,Corr. Opti,rep.diff,,,,
A2,SBGnew,Sample,,1.82,29.68,,,HC1,28.96,28.36,0.61,,,,
A3,SBGnew,Sample,,1.78,27.59,,,NC1,28.65,28.91,-0.26,,,,
A4,SBGnew,Sample,,1.74,30.75,,,SC1,29.29,27.62,1.68,,,,
A5,SBGnew,Sample,,1.79,29.27,,,HT1,30.37,29.42,0.96,,,,
A6,SBGnew,Sample,,1.76,31.77,,,NT1,30.49,28.22,2.28,,,,
A7,SBGnew,Sample,,N/A,N/A,,,ST1,29.47,28.84,0.63,,,,
B1,SBGnew,Sample,,1.77,28.11,,,HC2,29.16,27.27,1.90,,,,
B2,SBGnew,Sample,,1.85,26.63,,,NC2,27.33,27.26,0.07,,,,
B3,SBGnew,Sample,,1.96,24.72,,,SC2,27.72,26.09,1.64,,,,
B4,SBGnew,Sample,,1.65,28.82,,,HT2,28.74,28.20,0.54,,,,
B5,SBGnew,Sample,,1.73,30.15,,,NT2,29.3,29.31,0.00,,,,
B6,SBGnew,Sample,,1.64,29.99,,,ST2,29.41,28.69,0.73,,,,
B7,SBGnew,Sample,,N/A,N/A,,,HC3,29.92,29.44,0.49,,,,
C1,SBGnew,Sample,,1.79,29.59,,,NC3,29.97,27.88,2.10,,,,
C2,SBGnew,Sample,,1.84,26.64,,,SC3,29.15,27.25,1.91,,,,
C3,SBGnew,Sample,,1.9,25.34,,,HT3,30.51,28.28,2.24,,,,
C4,SBGnew,Sample,,1.73,27.1,,,NT3,26.7,27.99,-1.29,,,,
C5,SBGnew,Sample,,1.74,29.09,,,ST3,31.64,28.42,3.23,,,,
