,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,HSPb11,Unkn,HC1,25.0779607598237,NaN
,A02,FAM,HSPb11,Unkn,NC1,24.8174234398924,NaN
,A03,FAM,HSPb11,Unkn,SC1,25.4502136379831,NaN
,A04,FAM,HSPb11,Unkn,HT1,26.5701807944523,NaN
,A05,FAM,HSPb11,Unkn,NT1,26.7602709385247,NaN
,A06,FAM,HSPb11,Unkn,ST1,25.9137177535143,NaN
,A07,FAM,HSPb11,NTC,NTC,38.304126803594,NaN
,B01,FAM,HSPb11,Unkn,HC2,25.1100528512369,NaN
,B02,FAM,HSPb11,Unkn,NC2,23.2586008594688,NaN
,B03,FAM,HSPb11,Unkn,SC2,23.7489483329829,NaN
,B04,FAM,HSPb11,Unkn,HT2,24.8736262915035,NaN
,B05,FAM,HSPb11,Unkn,NT2,25.4123516109242,NaN
,B06,FAM,HSPb11,Unkn,ST2,25.1201895829761,NaN
,B07,FAM,HSPb11,NTC,NTC,NaN,NaN
,C01,FAM,HSPb11,Unkn,HC3,25.7161144339029,NaN
,C02,FAM,HSPb11,Unkn,NC3,25.5501769688495,NaN
,C03,FAM,HSPb11,Unkn,SC3,24.8691568329643,NaN
,C04,FAM,HSPb11,Unkn,HT3,26.3978093302057,NaN
,C05,FAM,HSPb11,Unkn,NT3,23.1590604349468,NaN
,C06,FAM,HSPb11,Unkn,ST3,27.7112098738735,NaN
,C07,FAM,HSPb11,NTC,NTC,NaN,NaN
,D01,FAM,HSPb11,Unkn,HC4,25.1418724348094,NaN
,D02,FAM,HSPb11,Unkn,NC4,23.4613920876334,NaN
,D03,FAM,HSPb11,Unkn,SC4,24.6595727922346,NaN
,D04,FAM,HSPb11,Unkn,HT4,26.0157338670696,NaN
,D05,FAM,HSPb11,Unkn,NT4,26.6984458161339,NaN
,D06,FAM,HSPb11,Unkn,ST4,27.5887865013149,NaN
,D07,FAM,HSPb11,NTC,NTC,NaN,NaN
,E01,FAM,HSPb11,Unkn,HC5,24.044701551538,NaN
,E02,FAM,HSPb11,Unkn,NC5,23.8976428287669,NaN
,E03,FAM,HSPb11,Unkn,SC5,24.8498436488778,NaN
,E04,FAM,HSPb11,Unkn,HT5,27.0362880213002,NaN
,E05,FAM,HSPb11,Unkn,NT5,23.8368843329628,NaN
,E06,FAM,HSPb11,Unkn,ST5,28.6570869240966,NaN
,F01,FAM,HSPb11,Unkn,HC6,28.3074617037476,NaN
,F02,FAM,HSPb11,Unkn,NC6,24.3688237035497,NaN
,F03,FAM,HSPb11,Unkn,SC6,24.8976588644054,NaN
,F04,FAM,HSPb11,Unkn,HT6,26.9174019819726,NaN
,F05,FAM,HSPb11,Unkn,NT6,24.9059702936989,NaN
,F06,FAM,HSPb11,Unkn,ST6,26.6285054605524,NaN
,G01,FAM,HSPb11,Unkn,HC7,23.917177301123,NaN
,G02,FAM,HSPb11,Unkn,NC7,23.0374762985721,NaN
,G03,FAM,HSPb11,Unkn,SC7,24.4037578485189,NaN
,G04,FAM,HSPb11,Unkn,HT7,26.9512087415513,NaN
,G05,FAM,HSPb11,Unkn,NT7,26.0069584722201,NaN
,G06,FAM,HSPb11,Unkn,ST7,26.7151323486478,NaN
,H01,FAM,HSPb11,Unkn,HC8,24.7443950136977,NaN
,H02,FAM,HSPb11,Unkn,NC8,25.9814466512392,NaN
,H03,FAM,HSPb11,Unkn,SC8,25.6826896223249,NaN
,H04,FAM,HSPb11,Unkn,HT8,26.2137804435191,NaN
,H05,FAM,HSPb11,Unkn,NT8,26.8362351313774,NaN
,H06,FAM,HSPb11,Unkn,ST8,27.2338169523242,NaN
