,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3708.64810833232,3761.89368089499,3699.28437889598,3610.62608773608,3558.10222944447,3456.94187616375,3369.12437534043,3994.1845130602,4246.41948767181,3990.79625537475,3674.93410408439,3694.70886191797,3559.75574018091,3423.75473497422,4200.73311836496,4560.92127421649,4148.99135405738,3786.71193941101,3912.15741977111,3542.92629199622,3507.38121246994,4053.16247518742,4225.82854502506,4139.16477795057,3772.67180515056,3718.33434418118,3906.31610248973,3766.32344768299,4187.58720917958,4084.8340454793,4102.65584936628,3856.88583403846,3741.57886390855,3753.50812594966,4423.83446069375,4453.13918256928,4029.80731810524,3884.10642042413,3697.62798131908,3590.92961616566,4020.37008647123,3914.67194049715,3773.45339809987,3617.844911971,3571.5459142794,3529.30120623687,3791.16323993268,3566.17300715655,3613.94622034837,3616.17193797784,3455.09632074137,3414.75755084431
,2,3775.91984842054,3766.24107512708,3699.31721070935,3608.45334148186,3563.26310731409,3455.30112722542,3371.7158034236,4047.04830614887,4243.36498378249,3980.26145979221,3674.18264097775,3688.78743276347,3556.77919401934,3423.9691868964,4254.21570749183,4552.71711037191,4141.8590714928,3782.85155714892,3909.06970717612,3544.85774567306,3503.45818594377,4086.67106684159,4217.13993497793,4131.66418988288,3768.25175019229,3717.06769596866,3904.11196010194,3761.51683240871,4206.96571446837,4078.07904683913,4098.28661014941,3853.94481324407,3741.19550688504,3749.27371021159,4461.45145105921,4448.22203280585,4022.44396383691,3877.32923094239,3698.49219839178,3581.33484255799,4045.30628214232,3908.83848640926,3767.27491104013,3613.90307722183,3570.97963170592,3524.72132202964,3800.54196554099,3583.22112542952,3649.4016820087,3639.09426867714,3450.25792789268,3405.78427958826
,3,3804.60560848511,3772.51854569621,3698.72775260195,3613.39232626549,3561.79340790435,3456.17858453441,3376.91963969089,4078.80163462026,4239.76038055846,3979.24980237236,3675.56573338559,3692.00113456924,3560.50271772109,3428.51189209575,4280.9650343755,4553.67026832917,4140.95526743439,3777.59831685382,3913.6768277593,3542.33262349076,3500.06584008571,4109.39952496144,4220.62417110283,4128.63316634313,3765.87709819585,3720.96490903909,3904.73871547275,3760.66273807053,4228.78406741823,4078.66138844979,4100.52230558364,3847.33413323422,3739.34985332354,3749.54314462434,4484.8634081956,4444.95866246721,4021.01985803866,3879.66353542346,3694.20786038863,3584.62124603082,4086.09394208571,3909.81762969126,3765.39959765725,3612.42761154717,3566.84171732652,3524.14368046183,3813.83718124053,3598.18780449302,3661.65793317811,3642.01921111694,3452.17389525983,3407.42082197831
,4,3817.55843455992,3776.50436141624,3700.87414048893,3614.43634867837,3564.9168611194,3457.65241203599,3386.834957162,4089.12126062336,4236.37298131917,3977.81694575407,3673.88034693563,3688.8605054545,3555.97891466878,3427.2589737643,4302.82397405981,4555.48508214023,4139.8093356623,3779.30092556038,3910.78009476996,3543.79957756447,3504.40761491416,4138.05306610451,4217.51922862941,4130.75599069754,3763.5631655042,3714.74547121247,3905.08019230377,3760.53000837854,4254.69641910819,4075.77891127837,4094.95423704958,3850.21325560305,3740.5040849282,3753.11570043059,4512.44759838829,4443.99407816553,4019.81043103328,3878.46067230375,3692.54454459319,3581.50921399989,4106.94459227763,3912.0845342334,3767.63128288989,3612.31156847536,3565.9012833868,3524.12880205247,3859.6969668479,3612.32383563713,3664.91513865833,3640.40372650779,3457.22648497872,3411.54705583807
,5,3826.11363459536,3773.72042068501,3698.45089984984,3614.14088826502,3564.0194084018,3459.42064841998,3384.03718877587,4092.32347162991,4237.7543165219,3976.32448699032,3670.34426138981,3691.69418335667,3560.37632431351,3430.41543039671,4314.91082549154,4549.8830722871,4140.29995826337,3778.39011549273,3910.24767428262,3543.58385186693,3499.26801821164,4146.25733980629,4219.95668791759,4123.16791684276,3766.11045148857,3720.26014057354,3903.52648900641,3759.79859945426,4285.56721219369,4079.74724818278,4095.01918265378,3848.54937092991,3739.14122714806,3757.21502679655,4532.53242878599,4444.89887724613,4017.75275591812,3878.156217225,3691.57166221246,3579.41373614364,4119.6429991455,3913.64229101596,3764.40008680089,3614.34271247751,3568.50019628266,3526.01413303921,3876.31574956053,3623.36465354066,3664.2488399507,3644.56944071555,3457.27255973639,3409.35679596069
,6,3833.08134143885,3773.24892579653,3697.49647916365,3612.96471192806,3565.62403643864,3459.99460936003,3388.83481470786,4097.42315868038,4242.0088502521,3973.58009626449,3674.69821610805,3691.40455921954,3558.33832827912,3434.09429211536,4321.2502922669,4551.71013537393,4137.67947355995,3777.94179873428,3905.09499072734,3541.9891458085,3501.02201274995,4157.61172160194,4220.00244500112,4124.94281406835,3762.72268201831,3720.52378812699,3903.24612344595,3761.86540736381,4289.74272603968,4077.93034862609,4095.17921713307,3845.10127775647,3737.61136449053,3754.21602337666,4553.31677781223,4445.78564073961,4016.89809772265,3880.56515801161,3689.2828657384,3580.45988386718,4122.69161714985,3918.60199325758,3766.35784405509,3614.66452891124,3569.966031277,3523.61145319602,3886.66223574832,3626.79180919432,3663.49956800938,3646.91227005272,3455.70106412915,3412.7581335722
,7,3839.6453172396,3772.58149180293,3694.16778498163,3622.55330234728,3569.65168982641,3458.34060751061,3392.16022752699,4105.12570504826,4240.7859478617,3974.32669688861,3670.92254138195,3696.87305713741,3557.73790325365,3437.17743463491,4328.48929270494,4553.20582776482,4139.02547589684,3775.64600096628,3902.82140985688,3548.78544941764,3500.63504773252,4167.42444634542,4216.37322488095,4121.40787016914,3766.51294910172,3718.33358365153,3906.71497826521,3760.39317341914,4297.26612876464,4080.55441950211,4092.01368271026,3849.96188279827,3734.7578264026,3753.76546943091,4552.32148119507,4449.02183834452,4013.63703044878,3886.20883818158,3696.10912131568,3582.49060413179,4135.70066999764,3918.86373405397,3766.64952872557,3616.19178538341,3569.7261793043,3527.48088769294,3891.71468497416,3632.17021501431,3660.85244368074,3650.98378567791,3460.15916614142,3412.52791652608
,8,3838.39877281972,3775.73057807438,3698.7876165007,3616.73321776672,3568.45192529438,3458.88882260854,3390.71689371467,4101.19051145801,4241.06452963234,3976.70441985541,3669.24645132801,3695.827099462,3558.32910408337,3438.93875587555,4332.11092795476,4554.77975853779,4139.42838952394,3777.13450320115,3904.27571496971,3549.03951212471,3503.31776686109,4169.95930669901,4221.34344285451,4123.14677191126,3758.6658487724,3718.86072809907,3906.49759746078,3762.66977194085,4297.78794716327,4081.24469107655,4088.55962980395,3848.87206437672,3738.15982808584,3757.06598594044,4557.29841070016,4446.24136288339,4012.84135854245,3886.13976928398,3689.41834340469,3581.82513131797,4140.09569297571,3921.02497533797,3768.05649145687,3617.21124438574,3570.83194715404,3523.34606624326,3902.0632523682,3642.38824614515,3659.63776511909,3650.14641334501,3462.4290932915,3416.95421168756
,9,3841.3488029546,3774.71232023557,3699.82053588121,3619.11707809614,3569.76752048936,3459.6448725394,3395.6018072142,4103.11897447656,4239.73726172425,3972.50180404664,3669.71014770699,3694.6509517294,3564.7871203623,3437.689226524,4330.64193206948,4554.26985927587,4141.10289588175,3783.43054840296,3902.22404884289,3547.13996569388,3499.68641038169,4171.87464239211,4220.56782611364,4122.48894213003,3765.02201958515,3724.74318991094,3907.80056511677,3766.20396079716,4321.46220816694,4080.13457868799,4091.31800397723,3849.89825146363,3739.61354558863,3761.45394431583,4563.16537472325,4448.60003763503,4014.44821573574,3885.1978545196,3692.46032215504,3584.64859683596,4143.33047997374,3922.17743476711,3768.68083659221,3614.95005043618,3566.21018917054,3526.53359678927,3905.40811154029,3643.51426720216,3663.51371813694,3648.99160799185,3467.00443908897,3420.63967549139
,10,3847.39980973021,3772.61759306108,3696.8785270013,3619.30823349634,3574.93323786878,3463.89066281572,3399.44914883058,4098.83869121375,4238.48793031486,3968.64252719285,3668.76364916524,3690.23712426853,3567.16480479937,3436.65050077868,4336.44877900873,4550.67765788116,4141.25476545638,3775.74719936383,3897.77012748366,3550.18234810612,3506.54106566839,4177.33296061097,4222.79960574787,4121.26261471579,3765.17549779512,3720.54530340112,3910.33968751131,3765.29453319082,4315.111351952,4087.78031204435,4088.78464659537,3850.50882997797,3739.20613605838,3761.72216249135,4562.84422682363,4448.92877292133,4011.53195888645,3882.24656073762,3695.70924559406,3583.0180296337,4151.40074609728,3923.41198370412,3768.78191250391,3618.8421030877,3570.55341322919,3526.6047614592,3907.53895998325,3642.05251189784,3656.84398368443,3650.07663533712,3468.51899388468,3421.66476535712
