,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3642.51361380753,3693.54819959475,3762.85627922239,3537.49625747033,3674.21867775321,3570.14554986483,3539.80087397615,4007.92286553017,4094.9098202636,3949.47386726088,3745.39693338983,3816.03587240022,3698.14229269126,3622.51111521593,3982.36189809022,4859.73786730143,4088.32878539879,3778.27943105778,3722.12855470276,3663.12739771229,3541.22531592396,3978.51047136309,4006.53863862708,3944.89089805766,3760.58120021092,3955.70213214546,4095.88334298451,3850.15749115486,4007.03050924834,4100.29224325587,3900.88096478188,3780.2734707198,3912.72661784963,4043.69471337965,4211.4340982807,4455.27543736688,3883.57476099114,3833.63899416604,3818.98749181626,3695.69144451704,3833.15925225303,3970.50680577874,3669.99212996217,3684.59744776685,3697.45209625178,3595.55757694605,3657.41676560237,3680.12396630723,3623.39118231413,3695.0178636994,3667.53215056429,3551.68809241956
,2,3681.64999810853,3699.42346954662,3762.07339922095,3532.42438385906,3669.87541459218,3568.87492958303,3541.03210620057,4046.59528915247,4083.51130404704,3944.33090041612,3737.3256870217,3805.2491291344,3693.40252694592,3614.46931221491,4003.50150948169,4856.10307109604,4078.94350926426,3765.81003098883,3709.86741791321,3653.91107809828,3536.59991739247,4005.46097467353,3995.20341599196,3932.49647765534,3750.35681213252,3945.9524419187,4084.89410659537,3838.9382198198,4047.02838220515,4084.0176510351,3893.49905214378,3770.34878391539,3904.63721730189,4032.68077157177,4290.04458144349,4448.4493922324,3870.68871950717,3822.37511365407,3808.18329969063,3685.12084077462,3859.39568367943,3959.311381311,3667.95146777598,3681.91252885296,3685.85524010378,3586.70886155178,3676.28939323856,3707.69971719336,3642.49338745869,3703.70130157965,3667.5002106927,3540.1921687647
,3,3713.3620814156,3696.72201104821,3767.25747911807,3532.29050123124,3665.99718370191,3564.25744731292,3541.11424342823,4062.96826031996,4079.80775765418,3939.83744097095,3730.56649229918,3800.98555389563,3690.9592964519,3611.17894227339,4031.20396095547,4850.31325351757,4074.68642238547,3762.35169971775,3711.35058582889,3646.69813517101,3527.12214046801,4025.98574817732,3989.68327085028,3927.40227776374,3743.43862189468,3934.52771674603,4078.6974338526,3832.61544340924,4064.0123658312,4072.31261653879,3889.33714885979,3762.7229127855,3897.12600281597,4023.52601716061,4293.94940039675,4440.0144178494,3870.53575010593,3818.97006055925,3809.30071687743,3677.05128914666,3886.85520334203,3952.86853002539,3667.10878045317,3673.68612849397,3680.94998002608,3582.61976421252,3699.6615331849,3725.86103491476,3652.28333118576,3696.51934104942,3663.57699069101,3537.05360191949
,4,3721.46089878154,3701.02612588433,3762.50878698749,3534.72336275821,3664.84955962135,3564.58459308742,3538.76276700638,4076.55446536149,4074.34396079156,3940.41970241264,3727.98265490006,3795.43614882023,3681.66346814791,3608.28673301264,4054.35710608965,4848.91630389674,4074.43552987983,3761.01636879933,3706.30345294083,3650.31897051404,3522.56663921994,4042.01646880205,3988.24767633603,3925.12174970156,3738.06705905962,3932.60207061755,4079.65931319885,3824.69336723128,4094.06749599216,4074.06140632959,3888.67631099372,3759.66667009103,3892.14702427937,4024.9123362587,4302.51701392418,4436.18435692392,3871.83470576948,3819.13440969988,3809.36014956933,3679.42530447758,3900.2080908565,3952.18426524434,3668.42436150101,3669.28896771412,3683.84411932624,3588.5625958432,3721.71497127348,3734.85230772288,3653.70474242159,3698.92064118384,3664.04345951566,3545.44511498521
,5,3730.45524187819,3700.31852671907,3763.77578379192,3534.81540113801,3668.49077768593,3567.78608305207,3538.79293188667,4081.15604623509,4076.04218277162,3940.37890327959,3734.43757931658,3801.7762182518,3685.56568842252,3607.32401923093,4065.09070712767,4848.80657811642,4071.31803048309,3758.97811492315,3703.05380406352,3648.15408047556,3521.19372487824,4054.49878777381,3990.14037086219,3929.34072886489,3736.09035898723,3936.96421815985,4080.11678060888,3823.75135040508,4099.54335411227,4074.53258520825,3889.41747338419,3762.0133063412,3892.43394378272,4028.28814206651,4308.67635972032,4437.93758266516,3874.01880677986,3819.29878266715,3806.91563112677,3686.54102426646,3912.5205893306,3954.76785937557,3669.99049082744,3670.81465065605,3681.85781268364,3585.83601754721,3728.69182451967,3739.29231856756,3658.10974856999,3703.63482041584,3663.74834153705,3545.8918198781
,6,3737.5385213934,3697.90853821508,3770.14109800688,3539.53483612997,3670.25532138201,3568.56957367114,3539.02806947749,4090.56346275541,4078.32086877869,3935.56216975082,3726.79314213885,3799.18676089488,3687.30274396395,3604.58287506088,4068.65921968442,4840.99337857837,4075.50967043584,3765.76987127563,3702.25715358213,3652.72521499074,3516.86509552063,4062.39310918293,3987.01279257304,3929.36377235764,3739.45149593123,3932.78098133965,4080.42822693984,3812.77495907211,4105.20424059534,4072.34057411064,3891.47313412133,3758.49557527063,3889.98281821859,4031.31591543592,4306.70015131557,4437.50392742425,3874.28140018419,3820.06145576554,3808.60053155987,3684.36986808925,3923.10434143024,3956.15201857991,3673.35750042151,3670.25838710157,3679.66952021002,3592.03992713946,3738.48939217694,3745.06347360598,3658.71312279185,3701.20688610088,3668.89727605048,3542.58132278969
,7,3741.2390670497,3703.5734277016,3772.4099309469,3537.72286805906,3667.73615404328,3571.68549535131,3541.78986187426,4089.59109861195,4078.69539652574,3939.00964802076,3730.74585901042,3801.60452783658,3687.4809486466,3601.13220818955,4074.28353749288,4837.79289391944,4074.56823560561,3769.99407383964,3702.2619208748,3651.34008057829,3518.23934281911,4068.02826774845,3992.68393211948,3926.037767208,3742.49176419679,3940.38625191857,4082.35097266904,3817.1786609186,4106.48831276798,4077.21293069161,3895.32273861518,3764.95668633898,3891.33418369246,4031.41524136353,4309.11944744991,4439.48224420441,3878.93968200028,3825.4842840117,3811.11113588073,3688.67266032528,3929.60157227594,3956.61145952378,3670.82949995653,3675.49652060955,3681.99150189734,3589.67818608596,3745.93119041103,3742.87629956458,3660.94488648093,3705.28637782086,3672.6809776985,3546.4225258048
,8,3742.50763630327,3706.31419712501,3774.24905386403,3543.74278800486,3665.78532869104,3570.95043984666,3541.97953489698,4093.05154272627,4081.48394378699,3939.55865733193,3734.42944752694,3803.35779152187,3686.75521668948,3605.24200663133,4076.82300515614,4835.19528646474,4076.79969360227,3772.97209818813,3705.05820722423,3653.17623477321,3515.74873313038,4070.60600153458,3996.46388597471,3934.07366910212,3742.68053176009,3937.690290469,4080.0355583519,3813.90953262636,4107.10887293437,4077.81442872479,3889.87449689502,3768.41349200624,3889.90725524352,4032.38811098467,4311.3433892331,4444.98446866639,3878.79003460233,3825.21749950388,3815.4815873912,3685.42950625144,3934.88226497635,3960.36857634506,3674.58871755617,3676.3147181913,3682.68708789533,3594.63283725933,3762.14331575288,3751.84103525347,3660.62944685714,3705.78536709311,3673.24470080658,3547.99085630933
,9,3744.70698329887,3705.31902728397,3778.77438633975,3541.53437333168,3668.51276534721,3575.36178309403,3544.48967075163,4092.55792482531,4078.96905849763,3943.5217858481,3735.76043190588,3804.27229045142,3691.24107531299,3603.9173555112,4080.43365980489,4836.09240997377,4079.02871564886,3771.26464126269,3704.31669746779,3657.79574667745,3516.09509617057,4075.05082767315,4000.97461856585,3932.77659265312,3742.54204380064,3938.96979097348,4082.43778902304,3817.26430821006,4114.03744668185,4081.28268604599,3893.32693558724,3765.32573702892,3890.79232744368,4035.67421809072,4308.31339140532,4446.90648775043,3879.72317978446,3830.68277931872,3815.15139754561,3689.01895922092,3938.46697377306,3959.69914116764,3676.44837999993,3673.44599429407,3682.68299534056,3596.38227636308,3761.11364564531,3758.59918859431,3663.35198191853,3704.50152549398,3674.06468500282,3549.76379663109
,10,3750.78792859386,3707.28585252102,3782.23764166737,3548.79950581558,3671.60747135175,3578.66945914882,3551.57295128128,4094.8438999027,4084.53281409304,3938.35929508634,3738.28936333395,3804.89890961667,3690.7831916202,3610.44124798643,4076.91873592031,4826.00174087811,4077.14716892575,3775.38352151113,3710.6813645213,3659.67523824568,3518.02630568382,4076.64548560675,3996.08303392636,3932.2981326343,3745.06347973932,3941.8491830311,4090.98315124293,3820.50727424255,4112.59896395774,4084.04994142148,3900.15146320131,3764.38993616866,3890.00984667595,4035.95586783247,4312.7361628411,4451.94029177031,3876.07252187729,3833.04682265243,3821.05250602667,3691.92521640309,3940.8477149008,3961.48461721,3682.25218164026,3679.42031964849,3683.43188198565,3596.55972306348,3770.29387374792,3759.6789214199,3663.93132814104,3706.86529865675,3676.11696173065,3552.88479275826
