Well,Fluor,Target,Content,Sample,CFX,qpcR
A01,FAM,BMP2,Unkn,HC1,26.7989992,33.97
A02,FAM,BMP2,Unkn,NC1,26.6865768,33.98
A03,FAM,BMP2,Unkn,SC1,25.11831537,32.34
A04,FAM,BMP2,Unkn,HT1,29.17795355,36.14
A05,FAM,BMP2,Unkn,NT1,27.3564733,34.75
A06,FAM,BMP2,Unkn,ST1,30.0695905,36.69
A07,FAM,BMP2,NTC,NTC,NaN,40
B01,FAM,BMP2,Unkn,HC2,26.73901125,34.21
B02,FAM,BMP2,Unkn,NC2,24.3720702,32.07
B03,FAM,BMP2,Unkn,SC2,23.39452446,30.89
B04,FAM,BMP2,Unkn,HT2,28.18344327,35.28
B05,FAM,BMP2,Unkn,NT2,27.97200411,35.17
B06,FAM,BMP2,Unkn,ST2,28.91610384,36.03
B07,FAM,BMP2,NTC,NTC,37.6059121,40
C01,FAM,BMP2,Unkn,HC3,27.38553584,34.57
C02,FAM,BMP2,Unkn,NC3,25.64628027,33.52
C03,FAM,BMP2,Unkn,SC3,25.30049249,32.63
C04,FAM,BMP2,Unkn,HT3,27.24555979,34.49
C05,FAM,BMP2,Unkn,NT3,27.53639902,34.65
C06,FAM,BMP2,Unkn,ST3,29.03635484,36.02
C07,FAM,BMP2,NTC,NTC,NaN,1
D01,FAM,BMP2,Unkn,HC4,27.31334731,34.56
D02,FAM,BMP2,Unkn,NC4,25.58589212,33.03
D03,FAM,BMP2,Unkn,SC4,24.69915998,32.25
D04,FAM,BMP2,Unkn,HT4,30.0924151,36.7
D05,FAM,BMP2,Unkn,NT4,28.35481576,35.53
D06,FAM,BMP2,Unkn,ST4,28.55872224,35.67
D07,FAM,BMP2,NTC,NTC,35.06597535,40
E01,FAM,BMP2,Unkn,HC5,26.28740731,33.53
E02,FAM,BMP2,Unkn,NC5,25.45099719,32.9
E03,FAM,BMP2,Unkn,SC5,24.15957441,31.61
E04,FAM,BMP2,Unkn,HT5,27.69257082,34.94
E05,FAM,BMP2,Unkn,NT5,26.21057541,33.47
E06,FAM,BMP2,Unkn,ST5,31.12779896,37.9
F01,FAM,BMP2,Unkn,HC6,33.06160944,38.54
F02,FAM,BMP2,Unkn,NC6,26.3098066,33.77
F03,FAM,BMP2,Unkn,SC6,25.47017701,32.83
F04,FAM,BMP2,Unkn,HT6,28.03880732,35.02
F05,FAM,BMP2,Unkn,NT6,26.73602572,34.02
F06,FAM,BMP2,Unkn,ST6,29.16066117,36.06
G01,FAM,BMP2,Unkn,HC7,26.920839,34
G02,FAM,BMP2,Unkn,NC7,25.70086723,32.99
G03,FAM,BMP2,Unkn,SC7,26.37927361,33.4
G04,FAM,BMP2,Unkn,HT7,28.04779797,35.05
G05,FAM,BMP2,Unkn,NT7,28.00545497,35.01
G06,FAM,BMP2,Unkn,ST7,28.13359023,35.1
H01,FAM,BMP2,Unkn,HC8,26.22912224,33.26
H02,FAM,BMP2,Unkn,NC8,27.87076758,34.68
H03,FAM,BMP2,Unkn,SC8,25.16081067,32.4
H04,FAM,BMP2,Unkn,HT8,27.97957251,34.73
H05,FAM,BMP2,Unkn,NT8,29.61858659,36.26
H06,FAM,BMP2,Unkn,ST8,29.29437217,35.89
