Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7232015\GABABR2rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.1226,0.1509,0.1790,0.1675,0.1836,0.1366,0.1565,0.1677,0.2650,0.3058,0.2665,0.2448,0.2225,0.2271,0.2539,0.3464,0.3949,0.2949,0.2655,0.2368,0.2427,0.2979,0.3438,0.4007,0.3496,0.4117,0.2903,0.2929,0.2926,0.2791,0.3526,0.4035,0.4017,0.3553,0.2547,0.3525,0.4331,0.4204,0.3412,0.3101,0.2011,0.2598,0.4056,0.3597,0.3159,0.2691,0.1618,0.1724,0.2229,0.2274,0.2399,0.1977,
4, 2, SBGnew, 60.0, 0.1227,0.1507,0.1786,0.1675,0.1837,0.1364,0.1552,0.1689,0.2638,0.3046,0.2658,0.2446,0.2233,0.2269,0.2546,0.3449,0.3918,0.2938,0.2649,0.2367,0.2415,0.2986,0.3400,0.3972,0.3488,0.4119,0.2893,0.2909,0.2928,0.2776,0.3504,0.4025,0.3996,0.3536,0.2564,0.3508,0.4320,0.4186,0.3401,0.3111,0.2026,0.2578,0.4046,0.3579,0.3155,0.2689,0.1623,0.1728,0.2235,0.2277,0.2395,0.1975,
4, 3, SBGnew, 60.0, 0.1227,0.1509,0.1793,0.1674,0.1834,0.1359,0.1546,0.1696,0.2617,0.3024,0.2649,0.2452,0.2231,0.2264,0.2549,0.3425,0.3894,0.2930,0.2638,0.2369,0.2407,0.2988,0.3367,0.3930,0.3474,0.4114,0.2886,0.2885,0.2917,0.2752,0.3479,0.4000,0.3973,0.3525,0.2579,0.3489,0.4311,0.4161,0.3393,0.3115,0.2040,0.2566,0.4036,0.3571,0.3159,0.2687,0.1627,0.1734,0.2241,0.2276,0.2389,0.1973,
4, 4, SBGnew, 60.0, 0.1226,0.1512,0.1792,0.1678,0.1831,0.1351,0.1535,0.1702,0.2597,0.2997,0.2642,0.2451,0.2226,0.2249,0.2550,0.3400,0.3864,0.2912,0.2632,0.2368,0.2397,0.2979,0.3329,0.3893,0.3456,0.4117,0.2882,0.2864,0.2915,0.2727,0.3457,0.3982,0.3959,0.3506,0.2591,0.3464,0.4294,0.4139,0.3394,0.3111,0.2053,0.2548,0.4025,0.3564,0.3164,0.2677,0.1633,0.1744,0.2247,0.2274,0.2392,0.1975,
4, 5, SBGnew, 60.0, 0.1227,0.1516,0.1799,0.1676,0.1820,0.1343,0.1523,0.1698,0.2586,0.2991,0.2655,0.2445,0.2222,0.2250,0.2546,0.3390,0.3845,0.2911,0.2619,0.2364,0.2390,0.2969,0.3327,0.3875,0.3445,0.4102,0.2875,0.2851,0.2906,0.2719,0.3441,0.3962,0.3937,0.3493,0.2588,0.3447,0.4290,0.4123,0.3385,0.3096,0.2046,0.2531,0.4021,0.3559,0.3150,0.2680,0.1637,0.1745,0.2245,0.2269,0.2393,0.1969,
4, 6, SBGnew, 60.0, 0.1226,0.1512,0.1792,0.1674,0.1812,0.1346,0.1521,0.1695,0.2575,0.2980,0.2655,0.2448,0.2221,0.2243,0.2538,0.3380,0.3832,0.2906,0.2618,0.2355,0.2383,0.2970,0.3307,0.3864,0.3450,0.4090,0.2869,0.2848,0.2903,0.2707,0.3423,0.3942,0.3924,0.3467,0.2578,0.3421,0.4293,0.4108,0.3381,0.3085,0.2039,0.2513,0.4007,0.3542,0.3149,0.2674,0.1639,0.1739,0.2241,0.2266,0.2382,0.1960,
4, 7, SBGnew, 60.0, 0.1226,0.1516,0.1792,0.1667,0.1805,0.1345,0.1518,0.1691,0.2561,0.2964,0.2650,0.2447,0.2211,0.2227,0.2530,0.3359,0.3835,0.2898,0.2603,0.2355,0.2375,0.2952,0.3291,0.3848,0.3439,0.4094,0.2864,0.2847,0.2890,0.2696,0.3410,0.3921,0.3918,0.3458,0.2567,0.3405,0.4274,0.4101,0.3383,0.3073,0.2028,0.2509,0.3996,0.3552,0.3147,0.2684,0.1642,0.1743,0.2246,0.2261,0.2386,0.1957,
4, 8, SBGnew, 60.0, 0.1220,0.1510,0.1785,0.1663,0.1804,0.1345,0.1516,0.1692,0.2554,0.2948,0.2649,0.2446,0.2206,0.2223,0.2520,0.3344,0.3822,0.2878,0.2603,0.2349,0.2367,0.2936,0.3275,0.3845,0.3426,0.4090,0.2858,0.2835,0.2891,0.2685,0.3402,0.3921,0.3914,0.3446,0.2552,0.3388,0.4255,0.4095,0.3378,0.3071,0.2019,0.2496,0.3989,0.3546,0.3134,0.2675,0.1639,0.1742,0.2240,0.2263,0.2381,0.1952,
4, 9, SBGnew, 60.0, 0.1216,0.1500,0.1787,0.1659,0.1798,0.1347,0.1518,0.1685,0.2542,0.2936,0.2641,0.2440,0.2204,0.2229,0.2508,0.3331,0.3810,0.2877,0.2591,0.2343,0.2358,0.2935,0.3260,0.3825,0.3413,0.4067,0.2847,0.2826,0.2882,0.2677,0.3385,0.3908,0.3905,0.3441,0.2542,0.3377,0.4237,0.4089,0.3355,0.3062,0.2009,0.2484,0.3980,0.3535,0.3124,0.2674,0.1630,0.1740,0.2235,0.2262,0.2370,0.1938,
4, 10, SBGnew, 60.0, 0.1202,0.1488,0.1781,0.1662,0.1800,0.1346,0.1519,0.1682,0.2534,0.2930,0.2626,0.2435,0.2194,0.2219,0.2502,0.3317,0.3802,0.2867,0.2586,0.2331,0.2352,0.2929,0.3242,0.3825,0.3407,0.4059,0.2839,0.2827,0.2872,0.2660,0.3379,0.3903,0.3891,0.3443,0.2539,0.3372,0.4214,0.4080,0.3338,0.3069,0.2015,0.2478,0.3961,0.3529,0.3126,0.2670,0.1622,0.1748,0.2226,0.2254,0.2365,0.1940,
4, 11, SBGnew, 60.0, 0.1200,0.1489,0.1776,0.1657,0.1802,0.1338,0.1512,0.1674,0.2533,0.2925,0.2614,0.2416,0.2183,0.2218,0.2489,0.3301,0.3789,0.2857,0.2585,0.2324,0.2342,0.2922,0.3236,0.3811,0.3398,0.4052,0.2831,0.2828,0.2861,0.2650,0.3375,0.3904,0.3890,0.3447,0.2529,0.3357,0.4202,0.4073,0.3325,0.3069,0.2016,0.2471,0.3950,0.3524,0.3115,0.2670,0.1616,0.1750,0.2221,0.2245,0.2363,0.1933,
4, 12, SBGnew, 60.0, 0.1196,0.1480,0.1785,0.1662,0.1801,0.1331,0.1513,0.1669,0.2525,0.2915,0.2613,0.2415,0.2179,0.2222,0.2476,0.3292,0.3771,0.2851,0.2591,0.2315,0.2339,0.2914,0.3238,0.3809,0.3393,0.4028,0.2826,0.2816,0.2852,0.2634,0.3363,0.3904,0.3884,0.3450,0.2523,0.3347,0.4192,0.4047,0.3310,0.3067,0.2017,0.2467,0.3943,0.3511,0.3111,0.2645,0.1606,0.1743,0.2207,0.2244,0.2350,0.1928,
4, 13, SBGnew, 60.0, 0.1192,0.1477,0.1786,0.1663,0.1791,0.1325,0.1508,0.1662,0.2513,0.2919,0.2619,0.2396,0.2171,0.2206,0.2471,0.3292,0.3766,0.2852,0.2591,0.2314,0.2328,0.2913,0.3224,0.3803,0.3387,0.4009,0.2823,0.2821,0.2851,0.2637,0.3343,0.3891,0.3862,0.3447,0.2527,0.3342,0.4183,0.4038,0.3301,0.3065,0.2018,0.2466,0.3928,0.3498,0.3105,0.2633,0.1603,0.1741,0.2204,0.2238,0.2350,0.1918,
4, 14, SBGnew, 60.0, 0.1196,0.1481,0.1781,0.1654,0.1796,0.1328,0.1503,0.1663,0.2517,0.2914,0.2624,0.2399,0.2173,0.2196,0.2471,0.3284,0.3757,0.2847,0.2588,0.2314,0.2336,0.2909,0.3218,0.3801,0.3389,0.4008,0.2813,0.2814,0.2851,0.2634,0.3336,0.3882,0.3847,0.3443,0.2528,0.3331,0.4173,0.4024,0.3303,0.3072,0.2019,0.2462,0.3927,0.3481,0.3096,0.2624,0.1602,0.1734,0.2197,0.2237,0.2341,0.1911,
4, 15, SBGnew, 60.0, 0.1199,0.1485,0.1773,0.1645,0.1789,0.1327,0.1497,0.1659,0.2506,0.2908,0.2616,0.2389,0.2174,0.2196,0.2461,0.3279,0.3758,0.2839,0.2595,0.2304,0.2322,0.2908,0.3210,0.3784,0.3379,0.4003,0.2810,0.2808,0.2848,0.2642,0.3327,0.3874,0.3843,0.3445,0.2521,0.3311,0.4176,0.4018,0.3303,0.3067,0.2011,0.2455,0.3921,0.3469,0.3081,0.2623,0.1600,0.1733,0.2191,0.2235,0.2334,0.1899,
4, 16, SBGnew, 60.0, 0.1194,0.1480,0.1769,0.1648,0.1788,0.1329,0.1496,0.1659,0.2495,0.2889,0.2611,0.2394,0.2171,0.2192,0.2453,0.3270,0.3748,0.2843,0.2592,0.2301,0.2324,0.2897,0.3204,0.3773,0.3361,0.3995,0.2801,0.2790,0.2845,0.2635,0.3325,0.3860,0.3829,0.3438,0.2524,0.3305,0.4163,0.4011,0.3290,0.3069,0.1999,0.2449,0.3922,0.3461,0.3076,0.2620,0.1594,0.1737,0.2198,0.2236,0.2324,0.1895,
4, 17, SBGnew, 60.0, 0.1187,0.1480,0.1758,0.1644,0.1774,0.1331,0.1494,0.1657,0.2488,0.2884,0.2605,0.2386,0.2165,0.2187,0.2449,0.3257,0.3741,0.2840,0.2578,0.2296,0.2328,0.2896,0.3186,0.3754,0.3345,0.4005,0.2805,0.2788,0.2851,0.2633,0.3319,0.3840,0.3825,0.3426,0.2519,0.3302,0.4156,0.4012,0.3282,0.3062,0.1992,0.2448,0.3928,0.3444,0.3059,0.2615,0.1594,0.1737,0.2195,0.2228,0.2317,0.1897,
4, 18, SBGnew, 60.0, 0.1188,0.1479,0.1745,0.1634,0.1778,0.1333,0.1495,0.1657,0.2485,0.2869,0.2592,0.2388,0.2162,0.2197,0.2446,0.3243,0.3730,0.2836,0.2563,0.2293,0.2333,0.2887,0.3190,0.3738,0.3343,0.4015,0.2797,0.2790,0.2844,0.2622,0.3318,0.3828,0.3829,0.3424,0.2507,0.3292,0.4149,0.3997,0.3286,0.3056,0.1988,0.2448,0.3936,0.3436,0.3052,0.2624,0.1597,0.1733,0.2189,0.2221,0.2306,0.1900,
4, 19, SBGnew, 60.0, 0.1185,0.1472,0.1742,0.1638,0.1765,0.1330,0.1491,0.1656,0.2478,0.2872,0.2584,0.2383,0.2154,0.2194,0.2436,0.3239,0.3732,0.2823,0.2558,0.2283,0.2325,0.2888,0.3178,0.3726,0.3340,0.4016,0.2803,0.2792,0.2835,0.2609,0.3303,0.3820,0.3827,0.3427,0.2503,0.3286,0.4143,0.3991,0.3280,0.3055,0.1984,0.2454,0.3924,0.3446,0.3033,0.2627,0.1602,0.1738,0.2183,0.2213,0.2294,0.1900,
4, 20, SBGnew, 60.0, 0.1183,0.1467,0.1745,0.1637,0.1769,0.1331,0.1495,0.1653,0.2489,0.2869,0.2586,0.2388,0.2148,0.2185,0.2441,0.3236,0.3720,0.2813,0.2550,0.2281,0.2327,0.2888,0.3175,0.3728,0.3339,0.4008,0.2796,0.2786,0.2828,0.2597,0.3287,0.3819,0.3819,0.3409,0.2486,0.3273,0.4137,0.3973,0.3286,0.3056,0.1977,0.2452,0.3922,0.3442,0.3037,0.2622,0.1603,0.1734,0.2185,0.2208,0.2290,0.1905,
4, 21, SBGnew, 60.0, 0.1177,0.1470,0.1747,0.1637,0.1778,0.1330,0.1494,0.1652,0.2486,0.2871,0.2584,0.2391,0.2143,0.2182,0.2432,0.3236,0.3712,0.2801,0.2543,0.2278,0.2328,0.2885,0.3168,0.3721,0.3345,0.3994,0.2793,0.2792,0.2831,0.2589,0.3272,0.3817,0.3816,0.3409,0.2476,0.3274,0.4127,0.3975,0.3295,0.3043,0.1982,0.2458,0.3910,0.3444,0.3026,0.2615,0.1607,0.1728,0.2171,0.2208,0.2296,0.1898,
4, 22, SBGnew, 60.0, 0.1172,0.1469,0.1748,0.1629,0.1789,0.1334,0.1487,0.1653,0.2486,0.2871,0.2578,0.2388,0.2146,0.2177,0.2426,0.3236,0.3705,0.2798,0.2550,0.2274,0.2319,0.2882,0.3173,0.3719,0.3348,0.3975,0.2787,0.2789,0.2822,0.2586,0.3278,0.3815,0.3811,0.3409,0.2474,0.3270,0.4122,0.3982,0.3298,0.3041,0.1978,0.2458,0.3905,0.3445,0.3030,0.2629,0.1603,0.1726,0.2166,0.2210,0.2298,0.1891,
4, 23, SBGnew, 60.0, 0.1168,0.1470,0.1754,0.1634,0.1784,0.1326,0.1476,0.1652,0.2496,0.2879,0.2576,0.2390,0.2150,0.2170,0.2415,0.3240,0.3689,0.2796,0.2542,0.2266,0.2315,0.2883,0.3167,0.3718,0.3339,0.3966,0.2787,0.2780,0.2816,0.2581,0.3275,0.3813,0.3804,0.3405,0.2469,0.3267,0.4118,0.3986,0.3289,0.3039,0.1973,0.2450,0.3903,0.3444,0.3031,0.2627,0.1601,0.1728,0.2165,0.2209,0.2297,0.1878,
4, 24, SBGnew, 60.0, 0.1167,0.1473,0.1756,0.1633,0.1790,0.1327,0.1475,0.1651,0.2499,0.2894,0.2572,0.2385,0.2141,0.2175,0.2415,0.3238,0.3680,0.2794,0.2548,0.2263,0.2317,0.2879,0.3171,0.3734,0.3334,0.3961,0.2779,0.2772,0.2816,0.2580,0.3288,0.3812,0.3800,0.3410,0.2465,0.3265,0.4113,0.3985,0.3292,0.3034,0.1972,0.2446,0.3910,0.3437,0.3039,0.2634,0.1597,0.1725,0.2167,0.2206,0.2303,0.1880,
