Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7242015b\GRB22rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.0057,0.0088,0.0058,0.0150,0.0117,0.0098,0.0138,0.0092,0.0222,0.0168,0.0269,0.0259,0.0193,0.0148,0.0169,0.0239,0.0202,0.0273,0.0179,0.0179,0.0274,0.0180,0.0279,0.0324,0.0397,0.0483,0.0142,0.0330,0.0153,0.0241,0.0291,0.0413,0.0291,0.0240,0.0205,0.0280,0.0309,0.0465,0.0285,0.0207,0.0057,0.0196,0.0323,0.0306,0.0215,0.0188,0.0065,0.0074,0.0077,0.0203,0.0183,0.0152,
4, 2, SBGnew, 60.0, 0.0065,0.0095,0.0071,0.0154,0.0122,0.0100,0.0129,0.0090,0.0189,0.0158,0.0255,0.0264,0.0185,0.0158,0.0170,0.0223,0.0190,0.0272,0.0185,0.0185,0.0264,0.0184,0.0251,0.0309,0.0369,0.0466,0.0157,0.0307,0.0153,0.0217,0.0280,0.0382,0.0290,0.0241,0.0213,0.0260,0.0295,0.0457,0.0295,0.0215,0.0076,0.0182,0.0294,0.0303,0.0209,0.0178,0.0076,0.0085,0.0088,0.0189,0.0172,0.0145,
4, 3, SBGnew, 60.0, 0.0067,0.0102,0.0080,0.0156,0.0119,0.0099,0.0126,0.0084,0.0156,0.0141,0.0231,0.0261,0.0179,0.0163,0.0166,0.0207,0.0177,0.0263,0.0183,0.0188,0.0250,0.0184,0.0230,0.0283,0.0354,0.0456,0.0164,0.0287,0.0150,0.0190,0.0264,0.0360,0.0282,0.0240,0.0220,0.0240,0.0286,0.0422,0.0283,0.0217,0.0090,0.0162,0.0270,0.0288,0.0201,0.0174,0.0082,0.0097,0.0093,0.0177,0.0159,0.0134,
4, 4, SBGnew, 60.0, 0.0069,0.0099,0.0085,0.0150,0.0113,0.0103,0.0121,0.0084,0.0130,0.0129,0.0209,0.0264,0.0173,0.0168,0.0165,0.0189,0.0161,0.0249,0.0180,0.0187,0.0238,0.0187,0.0204,0.0250,0.0324,0.0437,0.0177,0.0255,0.0136,0.0162,0.0241,0.0327,0.0273,0.0242,0.0224,0.0221,0.0267,0.0394,0.0275,0.0217,0.0095,0.0137,0.0247,0.0279,0.0202,0.0180,0.0089,0.0103,0.0104,0.0160,0.0153,0.0123,
4, 5, SBGnew, 60.0, 0.0073,0.0094,0.0088,0.0146,0.0104,0.0102,0.0113,0.0077,0.0115,0.0117,0.0184,0.0242,0.0170,0.0169,0.0157,0.0191,0.0154,0.0232,0.0163,0.0185,0.0226,0.0186,0.0191,0.0235,0.0305,0.0413,0.0166,0.0233,0.0130,0.0160,0.0225,0.0322,0.0263,0.0237,0.0217,0.0218,0.0252,0.0366,0.0274,0.0213,0.0086,0.0127,0.0229,0.0269,0.0194,0.0184,0.0093,0.0097,0.0092,0.0139,0.0149,0.0120,
4, 6, SBGnew, 60.0, 0.0061,0.0084,0.0087,0.0136,0.0104,0.0100,0.0110,0.0074,0.0121,0.0119,0.0169,0.0229,0.0168,0.0178,0.0151,0.0185,0.0159,0.0227,0.0150,0.0166,0.0215,0.0170,0.0167,0.0211,0.0286,0.0403,0.0156,0.0231,0.0119,0.0158,0.0203,0.0293,0.0248,0.0231,0.0207,0.0208,0.0247,0.0342,0.0266,0.0206,0.0080,0.0118,0.0212,0.0255,0.0177,0.0172,0.0086,0.0091,0.0091,0.0140,0.0144,0.0113,
4, 7, SBGnew, 60.0, 0.0050,0.0080,0.0081,0.0120,0.0094,0.0097,0.0115,0.0070,0.0120,0.0121,0.0149,0.0218,0.0164,0.0168,0.0144,0.0178,0.0149,0.0224,0.0140,0.0159,0.0208,0.0160,0.0149,0.0191,0.0275,0.0386,0.0145,0.0230,0.0111,0.0149,0.0185,0.0285,0.0236,0.0227,0.0196,0.0197,0.0225,0.0315,0.0244,0.0199,0.0070,0.0106,0.0199,0.0231,0.0162,0.0172,0.0082,0.0089,0.0088,0.0141,0.0141,0.0110,
4, 8, SBGnew, 60.0, 0.0041,0.0073,0.0063,0.0101,0.0088,0.0090,0.0113,0.0067,0.0114,0.0115,0.0142,0.0207,0.0153,0.0162,0.0132,0.0160,0.0135,0.0210,0.0124,0.0145,0.0201,0.0142,0.0122,0.0179,0.0241,0.0353,0.0140,0.0224,0.0094,0.0135,0.0155,0.0263,0.0215,0.0218,0.0181,0.0172,0.0193,0.0294,0.0243,0.0187,0.0062,0.0093,0.0185,0.0215,0.0153,0.0156,0.0080,0.0077,0.0085,0.0125,0.0142,0.0102,
4, 9, SBGnew, 60.0, 0.0032,0.0073,0.0054,0.0087,0.0085,0.0077,0.0109,0.0061,0.0100,0.0102,0.0129,0.0191,0.0142,0.0150,0.0122,0.0144,0.0122,0.0193,0.0107,0.0141,0.0197,0.0123,0.0086,0.0176,0.0222,0.0327,0.0126,0.0226,0.0088,0.0128,0.0135,0.0246,0.0195,0.0205,0.0176,0.0146,0.0178,0.0257,0.0238,0.0175,0.0061,0.0081,0.0153,0.0187,0.0124,0.0130,0.0068,0.0077,0.0075,0.0113,0.0132,0.0103,
4, 10, SBGnew, 60.0, 0.0024,0.0061,0.0043,0.0079,0.0082,0.0064,0.0105,0.0051,0.0083,0.0095,0.0114,0.0184,0.0122,0.0133,0.0099,0.0121,0.0108,0.0175,0.0095,0.0134,0.0194,0.0105,0.0065,0.0143,0.0198,0.0304,0.0122,0.0229,0.0057,0.0109,0.0122,0.0203,0.0171,0.0190,0.0170,0.0130,0.0161,0.0247,0.0206,0.0163,0.0059,0.0059,0.0134,0.0167,0.0108,0.0117,0.0057,0.0069,0.0077,0.0110,0.0128,0.0096,
4, 11, SBGnew, 60.0, 0.0024,0.0056,0.0028,0.0070,0.0082,0.0056,0.0100,0.0034,0.0064,0.0085,0.0105,0.0172,0.0098,0.0114,0.0088,0.0102,0.0084,0.0149,0.0077,0.0121,0.0184,0.0084,0.0060,0.0136,0.0183,0.0272,0.0108,0.0212,0.0046,0.0081,0.0100,0.0182,0.0143,0.0169,0.0160,0.0113,0.0139,0.0233,0.0192,0.0147,0.0047,0.0052,0.0120,0.0154,0.0096,0.0118,0.0050,0.0059,0.0075,0.0096,0.0115,0.0075,
