Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\7292015\EF1drawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,
4, 1, SBGnew, 60.0, 0.0037,0.0020,0.0058,0.0046,0.0022,0.0035,0.0059,0.0037,0.0090,0.0083,0.0093,0.0062,0.0038,0.0050,0.0082,0.0109,0.0103,0.0077,0.0041,0.0060,0.0087,0.0076,0.0091,0.0105,0.0097,0.0070,0.0032,0.0066,0.0077,0.0125,0.0114,0.0087,0.0090,0.0064,0.0043,0.0102,0.0156,0.0137,0.0082,0.0059,0.0025,0.0105,0.0048,0.0119,0.0117,0.0076,0.0026,0.0026,0.0038,0.0074,0.0062,0.0065,
4, 2, SBGnew, 60.0, 0.0035,0.0025,0.0057,0.0052,0.0024,0.0032,0.0060,0.0045,0.0082,0.0075,0.0078,0.0057,0.0041,0.0047,0.0085,0.0101,0.0094,0.0086,0.0043,0.0063,0.0081,0.0075,0.0087,0.0089,0.0103,0.0075,0.0034,0.0072,0.0075,0.0112,0.0104,0.0086,0.0097,0.0066,0.0053,0.0094,0.0144,0.0139,0.0084,0.0063,0.0032,0.0091,0.0065,0.0107,0.0110,0.0074,0.0031,0.0030,0.0040,0.0069,0.0059,0.0062,
4, 3, SBGnew, 60.0, 0.0030,0.0031,0.0060,0.0052,0.0027,0.0032,0.0060,0.0044,0.0076,0.0071,0.0073,0.0058,0.0041,0.0049,0.0080,0.0092,0.0090,0.0082,0.0045,0.0065,0.0076,0.0073,0.0085,0.0079,0.0099,0.0075,0.0036,0.0071,0.0075,0.0097,0.0091,0.0088,0.0098,0.0073,0.0062,0.0085,0.0131,0.0146,0.0086,0.0067,0.0037,0.0076,0.0085,0.0102,0.0104,0.0072,0.0035,0.0033,0.0044,0.0070,0.0059,0.0054,
4, 4, SBGnew, 60.0, 0.0029,0.0029,0.0057,0.0053,0.0029,0.0033,0.0058,0.0049,0.0066,0.0070,0.0064,0.0055,0.0045,0.0056,0.0080,0.0082,0.0081,0.0083,0.0047,0.0067,0.0072,0.0071,0.0077,0.0064,0.0099,0.0077,0.0038,0.0071,0.0077,0.0081,0.0074,0.0090,0.0096,0.0078,0.0066,0.0074,0.0116,0.0148,0.0087,0.0076,0.0039,0.0061,0.0097,0.0083,0.0097,0.0067,0.0042,0.0040,0.0044,0.0069,0.0059,0.0048,
4, 5, SBGnew, 60.0, 0.0027,0.0022,0.0053,0.0058,0.0030,0.0031,0.0055,0.0047,0.0057,0.0063,0.0066,0.0052,0.0037,0.0061,0.0073,0.0073,0.0074,0.0078,0.0037,0.0067,0.0074,0.0071,0.0067,0.0040,0.0090,0.0080,0.0042,0.0074,0.0072,0.0079,0.0067,0.0089,0.0090,0.0070,0.0059,0.0067,0.0105,0.0143,0.0078,0.0072,0.0031,0.0052,0.0090,0.0066,0.0088,0.0057,0.0046,0.0037,0.0041,0.0073,0.0047,0.0045,
4, 6, SBGnew, 60.0, 0.0021,0.0021,0.0047,0.0048,0.0034,0.0032,0.0058,0.0044,0.0050,0.0061,0.0057,0.0047,0.0041,0.0064,0.0067,0.0068,0.0070,0.0072,0.0033,0.0057,0.0070,0.0062,0.0056,0.0036,0.0085,0.0072,0.0036,0.0075,0.0073,0.0073,0.0060,0.0088,0.0082,0.0067,0.0058,0.0054,0.0092,0.0134,0.0075,0.0062,0.0029,0.0051,0.0073,0.0056,0.0083,0.0057,0.0042,0.0036,0.0043,0.0062,0.0042,0.0044,
4, 7, SBGnew, 60.0, 0.0022,0.0019,0.0038,0.0036,0.0034,0.0027,0.0056,0.0040,0.0046,0.0063,0.0058,0.0050,0.0041,0.0068,0.0058,0.0067,0.0066,0.0064,0.0028,0.0050,0.0070,0.0059,0.0050,0.0037,0.0080,0.0069,0.0034,0.0072,0.0069,0.0064,0.0053,0.0080,0.0072,0.0067,0.0052,0.0046,0.0087,0.0138,0.0074,0.0062,0.0031,0.0047,0.0066,0.0055,0.0083,0.0053,0.0045,0.0037,0.0041,0.0057,0.0041,0.0037,
4, 8, SBGnew, 60.0, 0.0024,0.0015,0.0032,0.0031,0.0039,0.0022,0.0055,0.0043,0.0037,0.0056,0.0048,0.0043,0.0040,0.0065,0.0056,0.0063,0.0055,0.0059,0.0034,0.0045,0.0066,0.0049,0.0051,0.0039,0.0081,0.0065,0.0029,0.0076,0.0061,0.0053,0.0043,0.0076,0.0063,0.0058,0.0044,0.0042,0.0080,0.0126,0.0076,0.0067,0.0028,0.0043,0.0048,0.0041,0.0078,0.0044,0.0044,0.0037,0.0034,0.0045,0.0039,0.0036,
4, 9, SBGnew, 60.0, 0.0020,0.0021,0.0026,0.0021,0.0039,0.0021,0.0052,0.0037,0.0032,0.0046,0.0039,0.0039,0.0031,0.0061,0.0049,0.0059,0.0043,0.0047,0.0029,0.0036,0.0060,0.0044,0.0043,0.0029,0.0074,0.0054,0.0028,0.0071,0.0053,0.0049,0.0039,0.0066,0.0067,0.0051,0.0044,0.0043,0.0080,0.0113,0.0070,0.0059,0.0028,0.0039,0.0045,0.0037,0.0068,0.0040,0.0035,0.0034,0.0037,0.0041,0.0032,0.0039,
4, 10, SBGnew, 60.0, 0.0019,0.0026,0.0023,0.0015,0.0036,0.0017,0.0045,0.0039,0.0023,0.0038,0.0028,0.0036,0.0037,0.0062,0.0046,0.0059,0.0032,0.0047,0.0035,0.0035,0.0054,0.0032,0.0041,0.0027,0.0083,0.0047,0.0018,0.0066,0.0050,0.0038,0.0027,0.0059,0.0059,0.0045,0.0039,0.0035,0.0069,0.0110,0.0071,0.0049,0.0025,0.0037,0.0054,0.0037,0.0063,0.0039,0.0033,0.0025,0.0037,0.0030,0.0039,0.0037,
4, 11, SBGnew, 60.0, 0.0020,0.0023,0.0018,0.0013,0.0032,0.0015,0.0036,0.0031,0.0017,0.0031,0.0025,0.0031,0.0033,0.0057,0.0036,0.0050,0.0026,0.0045,0.0033,0.0037,0.0050,0.0023,0.0038,0.0024,0.0074,0.0043,0.0015,0.0060,0.0035,0.0028,0.0013,0.0052,0.0052,0.0045,0.0035,0.0027,0.0060,0.0095,0.0061,0.0040,0.0021,0.0034,0.0047,0.0027,0.0050,0.0031,0.0029,0.0021,0.0033,0.0028,0.0039,0.0035,
