,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3535.79478645055,3565.53824423713,3416.46710886805,3422.71540655257,3324.55438574522,3410.58963515196,3146.85147690318,3605.67657881085,3916.44373388018,3750.7639481124,3823.64123193728,3606.93876619961,3391.68648405625,3203.57438697716,3568.7432291722,4141.87027108886,3775.6766579693,3466.86534362783,3560.75714135246,3274.55476471739,3197.39300657834,3663.79754899979,3949.04228761418,3703.9520565827,3502.31910449154,3757.96376011649,3847.35773051426,3378.30199325174,3498.80288112411,3813.28543052483,3546.72507347356,3457.07432655399,3524.31098997892,3559.78105294869,3662.83728312213,4321.07587766617,3523.11373227976,3668.48696654064,3451.4576960515,3351.1185882392,3504.09514116191,3521.09120386744,3357.11565269186,3330.27842832126,3432.99739057722,3327.62540681018,3275.70850790076,3372.11857249626,3187.49212388595,3186.54246032275,3226.9833270159,3203.01874231544
,2,3594.03989513233,3593.6109169649,3423.82296249078,3429.69196477031,3319.92510135997,3410.85810961507,3150.62030014184,3644.59699334168,3933.56866801067,3760.545618449,3823.55624841734,3601.35086723465,3390.30558785787,3199.03619901006,3601.73683514048,4143.11909613601,3775.44252054599,3464.82108149472,3559.14566772139,3277.32988778998,3196.2943622228,3701.79700639696,3940.14422185858,3699.69619392332,3499.23790477651,3746.36947515132,3843.79414155741,3373.0134988396,3525.67020081341,3815.94162025984,3540.3214123554,3461.77800490431,3523.92405362485,3553.50161454785,3692.17536587109,4332.32537448188,3526.48056338294,3664.75821257565,3447.0525314857,3346.8956130252,3528.63147329188,3522.47341749009,3351.28530797242,3326.58540727677,3433.87876457496,3307.99815657358,3289.4029560739,3381.26277616713,3206.93735052497,3199.63377536293,3227.41226566779,3204.07654174279
,3,3627.80898257706,3593.67355737921,3436.98006212126,3433.259137684,3325.43339156424,3416.33580323803,3148.8406780893,3668.78937070497,3938.58067099511,3767.93529165075,3833.12690009078,3604.89258609873,3383.41688722768,3200.81919361635,3616.35258087877,4147.65679445833,3768.82997897686,3468.5775309339,3565.25469194468,3273.98932113,3198.08882402738,3723.06830351899,3935.80842620519,3693.07930786771,3492.99323392122,3747.60041825935,3844.57672292121,3374.9610184767,3547.47178483686,3819.03307294803,3539.26646687924,3466.33397352966,3523.16968171152,3541.86104612994,3716.75117871433,4328.6374371176,3524.56327936802,3667.32142772384,3448.01094664542,3344.90240471079,3544.88701963668,3517.63309161724,3349.301929825,3322.24503176759,3430.28006258105,3295.75839608888,3285.38110987429,3408.47928858591,3220.62937525268,3196.94238178605,3225.68585384431,3198.94501800214
,4,3650.09820578824,3593.1268462664,3440.24936315926,3431.21816850642,3323.11612689444,3416.3659840047,3147.66647889201,3682.99033162039,3940.05739147049,3768.51156130408,3834.85472362785,3605.04540548867,3380.19148984588,3199.44746291086,3629.0897863867,4150.64009579224,3772.13477756606,3467.50829483227,3568.32087916192,3272.5648311829,3199.93006355576,3735.25486539245,3932.11209172346,3690.40857323176,3493.0710982364,3746.60300082453,3838.70656013029,3374.72881485404,3561.91185061881,3821.77561463295,3538.48303491152,3469.64474357182,3524.36520494829,3535.4280316593,3765.99593975028,4328.75160752379,3521.48100144781,3669.90654426531,3448.1722378372,3344.15042029358,3557.59020921891,3520.19608415574,3352.83327167908,3326.96795313019,3433.88133679995,3283.90998676785,3320.98490036652,3412.56070134695,3225.97169663555,3198.18693766138,3224.4062563968,3196.31279178144
,5,3656.41154726633,3595.88791380394,3448.47605543172,3434.18534783325,3322.15238432559,3417.66227682618,3153.91131631076,3687.35313433465,3940.82985287751,3769.09199881886,3837.62739892431,3601.67993716006,3382.2591764218,3193.93865385327,3639.81281087034,4153.86602314173,3774.87424412884,3464.86171910331,3566.29038848327,3273.5095676681,3201.3079656078,3744.71703681636,3929.42102491304,3691.52012676664,3496.80151767224,3744.83550183179,3843.78237624614,3377.77993970864,3588.22071505321,3817.8203024031,3535.0835382878,3470.21651369426,3516.39090133362,3536.92958803298,3764.34954760687,4319.49759642,3525.99388091106,3668.55893430145,3452.00022207108,3344.55197974585,3568.60355636581,3523.04516617162,3347.98862816118,3326.38120364778,3430.21707071232,3272.17225000584,3337.63100547024,3428.8867982302,3227.68806801238,3195.41525757302,3224.51791288354,3197.36152733621
,6,3664.23243685485,3594.58606125193,3457.46379419216,3435.30621511097,3324.69420796774,3419.423743069,3153.77060636048,3694.68435755131,3943.48273453085,3769.28108679518,3835.03431642317,3601.70260473839,3378.55134880787,3199.18500742192,3651.41936909635,4149.0330014552,3777.90906044799,3466.7041494334,3565.18706861955,3273.74418603677,3204.17793514827,3745.92262211803,3926.29112155725,3691.29810213231,3496.19745255857,3744.94633392899,3837.58995929746,3377.7298292311,3596.20654075501,3819.26258800843,3532.25508933374,3466.8669825774,3520.71963171773,3532.97952284125,3765.55795693432,4310.59813641334,3526.12685419771,3667.31826035813,3455.4264371527,3344.15319230383,3579.79467614613,3518.09491734923,3351.37442885929,3326.11077024801,3430.23256412668,3270.3217619164,3342.1633805911,3430.43522119193,3237.10984211098,3201.17121906135,3227.73985185508,3204.2509641904
,7,3668.92456492418,3597.52079754412,3461.45953322672,3437.06224695673,3329.96714574708,3418.60898066454,3157.50110477097,3697.82212458155,3942.39000214649,3767.87246379957,3831.78134530722,3600.96178182705,3381.02540404658,3203.00267435519,3655.69663388637,4150.99355070199,3780.22753741139,3467.65455883514,3560.70758041179,3272.70594301369,3207.50199606714,3749.13286284878,3923.26730495379,3689.1475861535,3495.81566723481,3740.90021929916,3841.6523099253,3378.51842883851,3599.43340434063,3812.89477341749,3537.28433968275,3469.70069913691,3517.81541391569,3530.58283299785,3767.24584799417,4306.83000250447,3526.99572144931,3666.23092321473,3454.94982730069,3350.43803870521,3579.09253439579,3521.39638703357,3354.34685777035,3326.46936420496,3428.19863998096,3265.60341227627,3344.84578412886,3431.9578019486,3240.73280055201,3204.77826068695,3231.79302849144,3201.19443325261
,8,3674.57710106642,3597.2719031786,3467.30676796641,3439.03608235265,3327.17619048855,3421.22253736089,3161.4387978049,3703.6163329878,3942.41620519613,3771.67310156024,3827.72044550299,3596.50539561181,3384.24375906201,3204.96008352608,3659.99035863132,4142.95451006981,3776.74394208307,3470.47889733071,3555.84450525858,3277.17661721477,3206.68260014496,3757.93801429807,3918.98854963456,3695.90310620419,3499.80973398975,3745.50759828673,3837.75667442827,3380.39744719926,3603.0704094819,3813.20452055283,3540.4807992993,3473.59812492894,3520.19031873571,3534.70571027375,3770.2196958599,4305.55152579934,3528.15803797894,3666.18454751421,3462.08721947341,3347.72143455416,3581.74138122661,3515.08014885748,3351.11096244401,3329.02942243402,3427.17073815064,3264.18093307992,3346.34235285074,3434.81491069256,3245.88278648892,3206.61602317983,3228.4111214299,3200.6865827291
,9,3672.20016666255,3596.91490438401,3470.76388304559,3438.1885086953,3330.37558736247,3422.9395116809,3160.01667694625,3707.04599612962,3941.81283938214,3770.08285203223,3824.9783307519,3591.81813926585,3380.17893981613,3203.63751352922,3660.1665751604,4149.14594399991,3780.94911731046,3465.81531458917,3557.61905664671,3273.25512007905,3208.6302379858,3757.94451325443,3916.969231441,3693.9597655647,3499.07605669013,3741.83687063855,3834.35907275065,3377.27136021997,3600.31846779114,3813.85001658522,3544.10576518734,3472.90486599205,3517.43838119348,3531.80043773048,3767.59113986779,4297.26576102332,3528.29279463916,3661.32194759378,3457.10846651653,3349.77810717128,3578.02404299093,3521.49537945277,3355.73077718118,3329.91086366512,3427.12860084257,3257.44967108263,3369.8023353912,3434.59185221302,3246.46768502688,3204.6300250026,3228.40451623942,3201.01585489715
,10,3673.17244849979,3598.93945397648,3473.19194198306,3439.38731832981,3331.82033590349,3423.84244158039,3161.4465223352,3708.99511220917,3940.20227121048,3770.47827679753,3823.46793947705,3590.39299469624,3381.03541780065,3212.52488345752,3666.08084916082,4148.29585679002,3781.49955767515,3469.13934805733,3553.27237658737,3279.46067461877,3208.62572537983,3765.01882492354,3913.49806753317,3698.06808581956,3499.25942937775,3740.24165967971,3833.87861268321,3384.16903968266,3603.28994060235,3812.5593778189,3545.38333646314,3470.2303356309,3513.76506455631,3530.1061566725,3769.1969794041,4299.29550992127,3528.08227560391,3662.03583941039,3463.97074194086,3348.93505301014,3599.44049887114,3522.08183831394,3357.29768476551,3331.06153990545,3424.6232070338,3257.39917338203,3373.1899143678,3437.11390054244,3255.04742089291,3206.72722063013,3233.65815651626,3202.55112635232
