,Cycle,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,3192.42070041826,3192.88206582851,3301.91647990852,3238.95859619958,3147.46202060748,3444.77226423667,3118.34494131798,3319.58524801091,3430.60213669719,3497.46704746613,3307.35192194973,3375.62844488816,3505.98747459167,3158.92479938088,3278.74429901674,3613.53462728188,3364.87657415275,3455.69405172355,3311.14177900307,3572.9811882915,3173.51581686015,3347.36057095007,3404.27856090554,3431.22166929883,3499.13330571327,3440.21045431528,3547.67327046767,3317.87525340727,3200.37595357938,3285.3228602442,3264.95507695578,3483.14843589079,3288.35630608761,3477.48978026604,3271.51521910065,3555.17383222642,3235.28379866747,3342.56690491078,3421.59592272905,3423.62079507032,3271.39524236542,3343.14698076536,3229.86529793314,3353.69083094207,3388.78716036021,3400.6867008146,3142.64766895304,3132.88206649497,3159.36813378889,3261.56378770195,3229.89113920489,3306.81166702481
,2,3227.86483275869,3204.1804215794,3303.22031729109,3248.46584031252,3153.1480234733,3438.03366678216,3123.02336482632,3348.4315133856,3429.25828692389,3492.40820325004,3311.35015625929,3378.22251880775,3505.03627117647,3154.94439329711,3302.51437029768,3617.72405816067,3367.78529567728,3458.22255689362,3312.35486426527,3568.81658617149,3169.31707024853,3373.13494207066,3404.0632396337,3429.07351081012,3500.96970122703,3446.93504561514,3545.56534898192,3314.16156715991,3216.33473563669,3285.45462415342,3266.18068111361,3485.1829156911,3292.88969140619,3476.02145199756,3290.17349421261,3559.13453267676,3231.69771120641,3348.28324458821,3427.36377810456,3421.47293021256,3289.87177283817,3340.50565195678,3232.96018806339,3364.30932224527,3393.41567915997,3398.64129012544,3143.55821588974,3147.2354392991,3177.29330956794,3285.38912869026,3239.64000231288,3303.10287903139
,3,3245.2092435811,3203.22169922333,3309.49421926042,3252.37072912984,3159.17187870488,3435.6999452947,3128.13923166469,3365.60946976255,3429.27871712321,3487.55562000954,3314.84336343072,3383.28245325457,3505.76798834174,3155.2197105946,3317.95511222838,3611.82944635034,3375.013400561,3458.81906080546,3316.03190503568,3571.25369441306,3166.907787897,3396.02421002579,3404.38517493388,3436.02761484827,3505.63390833621,3452.14776498678,3551.59075333862,3308.69893209578,3231.92730555169,3287.44461801126,3266.51733513769,3495.43283352184,3298.36744398593,3470.0057760306,3317.22947456059,3558.3879223961,3236.01956021156,3355.51781379433,3429.09134429883,3421.33432640181,3305.56777538983,3344.89564953846,3233.56922620802,3362.18083109781,3392.99231277412,3400.76750988579,3168.80606426894,3158.67253195801,3190.99965178178,3291.029436353,3248.0406382596,3310.82148913154
,4,3255.89101071459,3204.78746649159,3313.75337722245,3260.44118149458,3160.21168714964,3434.1394498952,3129.0811927761,3373.65018434552,3430.67224904778,3575.85309964631,3317.75462081388,3382.9918757675,3505.42819740565,3157.3934498897,3328.93264369266,3608.44628203324,3381.9773947269,3462.60981211467,3320.44485691514,3567.38258070731,3167.13306930702,3407.65737791591,3404.48392120982,3432.16428022874,3512.60355683566,3455.68505682098,3548.99480247565,3306.6327705628,3239.53457258985,3290.09013819763,3268.04598107055,3494.09300636664,3297.32050823632,3472.64872280421,3322.92474578563,3561.40780941795,3240.75618126542,3348.23426012089,3433.2515521886,3420.98207862055,3326.04822746187,3345.06853145606,3236.57560770006,3365.88689538216,3393.77186762725,3395.14945426979,3178.06604574065,3168.46999682985,3198.79893614362,3293.20287672451,3250.2133752821,3309.69274766007
,5,3263.29930553653,3211.91894436497,3317.00715445336,3266.05353658244,3165.12664863493,3429.86296365846,3125.95575092584,3380.66096037672,3432.11582906089,3580.90225242338,3320.22523277668,3383.0034012197,3505.82020381362,3154.24042238284,3337.46624478653,3613.87691913277,3384.92932864045,3466.94790676238,3323.83807661652,3567.75987320858,3163.41083834942,3423.14133389341,3404.23745671031,3438.80887671681,3509.77888280387,3457.76978958844,3552.22212644607,3300.85612949185,3249.7115957806,3291.76020799472,3269.23829773114,3496.26715155407,3305.30644253145,3472.40010967839,3343.91577775787,3565.97276241185,3245.23657416466,3354.53540922257,3433.8915610989,3421.98016324576,3337.26088803412,3351.15343153317,3238.05331010447,3370.12606437152,3394.35886349154,3399.58605311179,3188.16290002673,3172.76709409797,3205.09279485133,3294.35668047047,3251.51892565572,3310.3829332228
,6,3268.47487786314,3216.45608194289,3324.87711882659,3272.68134185155,3169.4327145091,3433.60962309503,3121.46267391699,3385.08232191792,3432.79343883044,3578.2524136639,3321.80712504281,3389.89916271463,3499.79159216429,3152.0439128108,3345.33987157302,3614.53365585028,3393.79133995026,3464.40581509192,3321.20109394448,3565.58056036069,3159.6273909769,3434.47029592829,3409.46811816519,3442.18892101677,3509.41506635173,3460.66596645967,3553.89691135806,3299.22639405634,3267.42941121267,3292.70944453667,3272.77006660647,3492.22625520436,3308.66696131644,3472.3484429678,3351.25663934199,3565.89244412721,3242.13635133903,3353.89655093715,3433.56156459106,3421.12597576002,3341.48507476524,3352.47486666606,3241.42598707077,3370.91321360801,3397.63385347981,3397.62548104057,3196.44588202135,3181.21521827628,3204.57170861561,3301.01026053799,3256.90954582171,3309.47466756414
,7,3275.28793706182,3218.48248225331,3325.66439715994,3276.54645197248,3171.78790017553,3428.23959503136,3126.23826481222,3393.36589133115,3435.71620980349,3579.1438052655,3331.50882994311,3390.97944284308,3498.41161725822,3152.53721698258,3351.6648259054,3617.79700204471,3396.13251286764,3469.5059817216,3323.91237629227,3566.28251738216,3160.0900943523,3445.28908472589,3410.26183399536,3444.89857639809,3509.97294011219,3461.2958733633,3555.0299630765,3302.48782576752,3267.72315385474,3298.88059556327,3274.91615964236,3497.44517044277,3306.92307181911,3475.60494355036,3356.44575333629,3567.00835475351,3245.16516361292,3361.11354727857,3440.7000532014,3424.32554770298,3346.33886733386,3354.45700662215,3240.88805422871,3374.53005644282,3397.06664148071,3395.77540802065,3205.07143836956,3185.09180022178,3207.18937410247,3300.47771794532,3261.16238526865,3310.8130323861
,8,3277.82161064417,3220.25493716867,3325.43636413625,3279.79064944396,3172.25509681698,3425.44439809372,3127.08344756772,3395.27634171731,3442.453694044,3581.76259146466,3331.12190058059,3387.69193449086,3497.0698922309,3152.81947659347,3357.09809456159,3617.83612221007,3401.21379318317,3466.76623872115,3326.02714003319,3561.86611207756,3160.92375812731,3455.33104680678,3411.72516623141,3446.15841879785,3517.57169781116,3465.78601837575,3551.44151712903,3299.4842936557,3269.63551059084,3301.93651511624,3276.72229383326,3492.45823621732,3308.91173893505,3473.4918303309,3358.56515527302,3570.41740769092,3248.84832895798,3358.08374994705,3440.41720580661,3424.87796359894,3360.32532568667,3361.67520213229,3244.72846812168,3371.82521935988,3405.54100577073,3398.55051911014,3212.8788102609,3184.87672108188,3209.75547101785,3296.50132391194,3260.38591987635,3309.70146125473
,9,3278.90874436977,3226.54666055383,3331.14212451927,3281.51939136673,3173.97358815272,3422.99246677991,3128.88059404065,3395.66514426411,3445.1439040494,3583.97825713647,3332.73341078863,3391.32581451506,3496.41957260033,3156.6686291374,3360.36571330168,3620.14446432479,3405.12755207734,3474.81255787299,3325.77843056547,3559.59235455061,3163.67014202015,3461.68772360995,3417.34571570183,3443.44518428741,3507.16383143627,3468.28422889041,3557.9840263887,3307.16579993566,3279.46122654731,3300.01595294899,3280.01052922348,3495.31887302144,3316.07465053815,3468.87395502643,3364.39901948492,3573.17376672275,3249.32338679389,3358.03429066258,3439.9106034231,3424.58199167457,3360.31035347535,3361.62968457295,3247.85060202563,3372.71591440944,3403.27204357015,3397.5514598633,3227.73294108946,3194.79133700391,3217.83916046317,3305.69159907339,3262.93721955985,3309.00106939923
,10,3284.4636160992,3227.25968549695,3330.86304259783,3286.84359763975,3178.85303821843,3424.27529192948,3132.96783451077,3399.73296122533,3447.78788834005,3586.42472349618,3334.4397824932,3392.4019761651,3495.00583795895,3154.90864213152,3362.78773050529,3624.97305417706,3408.53909350822,3471.90889729344,3330.6242835881,3557.90937224481,3163.2034863146,3468.00357296909,3419.52637073431,3447.00767900475,3511.84558775725,3470.33329452108,3556.23999333339,3299.7493302335,3288.53755095737,3305.07798321707,3281.63663302936,3493.73206355012,3314.44472188277,3473.88332720083,3365.06992578691,3580.19062941539,3254.24028123936,3360.82743745225,3442.61360910622,3427.17892616268,3363.899519666,3362.91936579393,3246.78784902502,3373.1577112792,3404.85323346756,3397.36729007464,3231.26204561541,3199.34336433373,3215.70656384351,3305.57664945696,3265.92272522349,3313.43874727984
