,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CARM,Unkn,HC1,26.2986097990052,NaN
,A02,FAM,CARM,Unkn,NC1,26.2749702660223,NaN
,A03,FAM,CARM,Unkn,SC1,25.5691700317035,NaN
,A04,FAM,CARM,Unkn,HT1,26.5743599947066,NaN
,A05,FAM,CARM,Unkn,NT1,26.5251863653116,NaN
,A06,FAM,CARM,Unkn,ST1,24.668719871087,NaN
,A07,FAM,CARM,NTC,NTC,33.6252815942154,NaN
,B01,FAM,CARM,Unkn,HC2,26.5020009360747,NaN
,B02,FAM,CARM,Unkn,NC2,26.1025040307025,NaN
,B03,FAM,CARM,Unkn,SC2,24.5322538228145,NaN
,B04,FAM,CARM,Unkn,HT2,25.4630071163546,NaN
,B05,FAM,CARM,Unkn,NT2,26.6111591188711,NaN
,B06,FAM,CARM,Unkn,ST2,24.0054987681256,NaN
,B07,FAM,CARM,NTC,NTC,33.5656515927065,NaN
,C01,FAM,CARM,Unkn,HC3,27.5350300215497,NaN
,C02,FAM,CARM,Unkn,NC3,26.7841381565709,NaN
,C03,FAM,CARM,Unkn,SC3,26.1668537900535,NaN
,C04,FAM,CARM,Unkn,HT3,26.1120327417897,NaN
,C05,FAM,CARM,Unkn,NT3,24.1924964942491,NaN
,C06,FAM,CARM,Unkn,ST3,26.2152849871961,NaN
,C07,FAM,CARM,NTC,NTC,32.6735865325711,NaN
,D01,FAM,CARM,Unkn,HC4,26.6325609320755,NaN
,D02,FAM,CARM,Unkn,NC4,26.2184792779957,NaN
,D03,FAM,CARM,Unkn,SC4,25.1525014316952,NaN
,D04,FAM,CARM,Unkn,HT4,25.3865555380599,NaN
,D05,FAM,CARM,Unkn,NT4,28.3342435978621,NaN
,D06,FAM,CARM,Unkn,ST4,26.1060463771562,NaN
,D07,FAM,CARM,NTC,NTC,33.3873439252827,NaN
,E01,FAM,CARM,Unkn,HC5,26.4279259583718,NaN
,E02,FAM,CARM,Unkn,NC5,26.1015822847342,NaN
,E03,FAM,CARM,Unkn,SC5,25.5244388455725,NaN
,E04,FAM,CARM,Unkn,HT5,24.19100353246,NaN
,E05,FAM,CARM,Unkn,NT5,27.0889126276486,NaN
,E06,FAM,CARM,Unkn,ST5,28.1374978886936,NaN
,F01,FAM,CARM,Unkn,HC6,31.8373534236292,NaN
,F02,FAM,CARM,Unkn,NC6,25.1501294993133,NaN
,F03,FAM,CARM,Unkn,SC6,25.3440630739851,NaN
,F04,FAM,CARM,Unkn,HT6,26.2285827285918,NaN
,F05,FAM,CARM,Unkn,NT6,25.2240491383219,NaN
,F06,FAM,CARM,Unkn,ST6,27.0898012043028,NaN
,G01,FAM,CARM,Unkn,HC7,26.3404328055244,NaN
,G02,FAM,CARM,Unkn,NC7,25.3131131476181,NaN
,G03,FAM,CARM,Unkn,SC7,25.1586138649666,NaN
,G04,FAM,CARM,Unkn,HT7,24.652213898905,NaN
,G05,FAM,CARM,Unkn,NT7,25.2295057210746,NaN
,G06,FAM,CARM,Unkn,ST7,25.228392278743,NaN
,H01,FAM,CARM,Unkn,HC8,25.8653678315875,NaN
,H02,FAM,CARM,Unkn,NC8,27.084187799496,NaN
,H03,FAM,CARM,Unkn,SC8,25.3623570001853,NaN
,H04,FAM,CARM,Unkn,HT8,25.571360654261,NaN
,H05,FAM,CARM,Unkn,NT8,26.5955850659703,NaN
,H06,FAM,CARM,Unkn,ST8,25.5567270610766,NaN
