HSP70.rep3.8122015,HSP70.rep3.8122015,HSP70.rep3.8122015
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.95,27.29
H_C_2,1.95,27.32
H_C_3,1.9,26.24
H_C_4,2.03,27.52
H_C_5,2.28,23.78
H_C_6,1.92,29.82
H_C_7,1.91,26.74
H_C_8,1.88,23.58
N_C_1,1.99,27.29
N_C_2,2.01,24.01
N_C_3,1.94,26.76
N_C_4,1.95,23.82
N_C_5,1.98,24.17
N_C_6,1.97,25.85
N_C_7,2.09,26.02
N_C_8,2.02,26.84
S_C_1,2.2,25.41
S_C_2,2.04,23.77
S_C_3,2.01,24.03
S_C_4,1.98,24.78
S_C_5,1.77,22.98
S_C_6,2.09,24.61
S_C_7,2.27,24.98
S_C_8,2,24.68
H_T_1,2.01,26.9
H_T_2,1.99,27.19
H_T_3,2.02,26.91
H_T_4,2.14,23.77
H_T_5,1.97,27.15
H_T_6,1.97,26.58
H_T_7,2,25.22
H_T_8,1.94,27.16
N_T_1,1.77,28
N_T_2,2.01,27.33
N_T_3,2.08,26.45
N_T_4,2.38,22.8
N_T_5,2.23,24.37
N_T_6,2.06,18.52
N_T_7,2.31,24.67
N_T_8,2.02,28.31
S_T_1,1.94,22.07
S_T_2,1.9,26.66
S_T_3,1.98,27.69
S_T_4,1.82,24.48
S_T_5,2.14,25.87
S_T_6,2.11,24.8
S_T_7,2.1,25.2
S_T_8,2.1,24.89
H_M_1,2.06,24.46
H_M_2,1.99,23.82
H_M_3,2.13,22.94
H_M_4,2.06,20.61
H_M_5,2.16,20.38
H_M_6,2.03,19.14
H_M_7,2.58,23.84
H_M_8,2.07,20.62
N_M_1,2.05,23.23
N_M_2,2.23,23.7
N_M_3,2.1,19.6
N_M_4,1.98,23.66
N_M_5,2.12,23.84
N_M_6,2.13,18.71
N_M_7,2.03,24.22
N_M_8,2.1,24.79
S_M_1,2.02,25.54
S_M_2,1.96,25.23
S_M_3,1.97,18.66
S_M_4,1.83,23.63
S_M_5,1.96,26.33
S_M_6,1.9,26.49
S_M_7,1.88,26.14
S_M_8,2.22,24.87
