HSP70.rep4.8132015,HSP70.rep4.8132015,HSP70.rep4.8132015
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,2,27.34
H_C_2,1.94,27.57
H_C_3,1.95,26.82
H_C_4,2.02,28.42
H_C_5,2.07,23.54
H_C_6,1.62,31.1
H_C_7,2.03,27.22
H_C_8,2.08,24.06
N_C_1,1.82,28.16
N_C_2,1.88,24.16
N_C_3,2.02,26.85
N_C_4,1.98,24.3
N_C_5,2.19,24.31
N_C_6,2.27,26
N_C_7,2.08,26.26
N_C_8,1.85,27.32
H_T_1,2.02,26.85
H_T_2,2.06,27.08
H_T_3,2.13,26.73
H_T_4,2.07,23.65
H_T_5,2.01,28.02
H_T_6,1.99,26.96
H_T_7,2.04,25.33
H_T_8,1.98,27.13
N_T_1,1.9,28.62
N_T_2,2.12,27.9
N_T_3,2.11,26.99
N_T_4,2.35,23.92
N_T_5,2.02,24.98
N_T_6,2.04,19.57
N_T_7,1.87,25.38
N_T_8,1.87,29.2
H_M_1,1.87,26.54
H_M_2,1.73,27.25
H_M_3,2.05,26.03
H_M_4,2.15,23.84
H_M_5,2.16,22.69
H_M_6,2.17,22.96
H_M_7,1.98,27.92
H_M_8,2.06,25.64
N_M_1,1.99,25.69
N_M_2,2.14,25.85
N_M_3,1.91,22.1
N_M_4,1.95,26.66
N_M_5,2.14,26.57
N_M_6,2.04,22.12
N_M_7,1.93,28.12
N_M_8,1.87,29.11
S_C_1,2.07,25.84
S_C_2,2.02,24.16
S_C_3,2.04,24.69
S_C_4,2.06,25.32
S_C_5,2.3,23.54
S_C_6,2.03,25.31
S_C_7,2,25.08
S_C_8,2.18,25.22
S_T_1,2.02,22.12
S_T_2,2.06,26.41
S_T_3,2.07,27.86
S_T_4,2.06,25.14
S_T_5,2.09,26.69
S_T_6,2.1,25.78
S_T_7,2.01,26.23
S_T_8,1.9,25.41
S_M_1,2.02,29.08
S_M_2,1.97,28.82
S_M_3,2.3,22.73
S_M_4,1.92,27.27
S_M_5,2,29.02
S_M_6,2,28.32
S_M_7,1.73,29.2
S_M_8,1.97,28.67
