PGEEP4.rep3.8132015b,PGEEP4.rep3.8132015b,PGEEP4.rep3.8132015b
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.83,25.57
H_C_2,2.12,25.29
H_C_3,2.12,26.3
H_C_4,2.17,27.42
H_C_5,1.79,23.98
H_C_6,2,28.85
H_C_7,1.78,24.18
H_C_8,1.24,23.55
N_C_1,1.93,26.09
N_C_2,2.41,24.52
N_C_3,2.23,25
N_C_4,2.02,24.19
N_C_5,2.21,24.07
N_C_6,2.11,25.1
N_C_7,1.9,23.93
N_C_8,1.73,25.23
S_C_1,2.27,24.82
S_C_2,2.12,24.1
S_C_3,2.03,24.28
S_C_4,2.03,24.09
S_C_5,2.15,23.45
S_C_6,1.91,23.13
S_C_7,1.62,23.19
S_C_8,1.54,23.84
H_T_1,1.66,26.62
H_T_2,1.69,26.26
H_T_3,2.57,26.7
H_T_4,1.84,26.15
H_T_5,2.47,27.13
H_T_6,2.14,26.27
H_T_7,1.74,25.71
H_T_8,2.47,26.66
N_T_1,2.03,26.7
N_T_2,1.58,25.78
N_T_3,2.23,24.52
N_T_4,1.77,26.21
N_T_5,2.2,24.19
N_T_6,2.39,26.34
N_T_7,3.01,26.65
N_T_8,1.81,27.43
S_T_1,1.8,28.2
S_T_2,1.88,26.2
S_T_3,1.57,27.18
S_T_4,3.05,26.85
S_T_5,1.56,26.89
S_T_6,1.94,26.44
S_T_7,2.13,26.08
S_T_8,1.97,27.09
H_M_1,1.73,23.63
H_M_2,2.02,23.64
H_M_3,2.5,23.75
H_M_4,2.28,23.9
H_M_5,2.14,23.59
H_M_6,2.3,23.91
H_M_7,1.93,25
H_M_8,1.88,26.28
N_M_1,1.91,24.24
N_M_2,1.93,23.15
N_M_3,2.17,22.5
N_M_4,2.22,22.38
N_M_5,1.93,23.56
N_M_6,2.22,23.38
N_M_7,2,23.17
N_M_8,2.13,23.15
S_M_1,2.4,24.31
S_M_2,1.96,24.17
S_M_3,2.58,23.86
S_M_4,1.97,22.85
S_M_5,1.9,22.58
S_M_6,2,24.01
S_M_7,2.24,23.56
S_M_8,2.33,22.9
