PGEEP4.rep4.8132015c,PGEEP4.rep4.8132015c,PGEEP4.rep4.8132015c
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.67,26.3
H_C_2,1.72,25.73
H_C_3,1.91,26.43
H_C_4,2.25,27.56
H_C_5,1.79,25.07
H_C_6,1.92,29.51
H_C_7,1.65,24.54
H_C_8,1.35,24.15
N_C_1,1.86,27.03
N_C_2,2.05,25.7
N_C_3,1.85,26.23
N_C_4,2.25,25.75
N_C_5,1.97,25.11
N_C_6,1.96,25.94
N_C_7,1.78,24.6
N_C_8,1.31,25.68
S_C_1,1.86,25.74
S_C_2,1.74,24.64
S_C_3,1.71,24.67
S_C_4,2.14,25.13
S_C_5,2.02,24.22
S_C_6,1.92,24.05
S_C_7,1.72,24.59
S_C_8,1.78,24.25
H_T_1,1.83,28.01
H_T_2,1.97,27.15
H_T_3,1.88,27.28
H_T_4,2.15,27.27
H_T_5,1.9,27.72
H_T_6,1.93,26.84
H_T_7,1.97,26.65
H_T_8,1.06,24.78
N_T_1,1.49,27.25
N_T_2,1.46,26.76
N_T_3,1.87,25.52
N_T_4,2.16,26.91
N_T_5,2.02,25.13
N_T_6,1.32,25.33
N_T_7,2.08,27.71
N_T_8,1.6,30.51
S_T_1,1.29,27.63
S_T_2,1.79,27.11
S_T_3,1.45,27.54
S_T_4,2.07,27.36
S_T_5,1.94,29.02
S_T_6,1.76,27.35
S_T_7,1.96,27.11
S_T_8,2.08,28.25
H_M_1,1.85,24.94
H_M_2,2.2,24.8
H_M_3,1.86,24.63
H_M_4,2.02,24.86
H_M_5,1.99,24.15
H_M_6,2.12,24.57
H_M_7,1.51,26.53
H_M_8,1.73,27.71
N_M_1,1.88,25.07
N_M_2,2.04,24.48
N_M_3,1.96,23.93
N_M_4,1.81,23.22
N_M_5,2.22,24.59
N_M_6,1.93,24.21
N_M_7,2.03,24.24
N_M_8,1.55,23.81
S_M_1,2.06,25.06
S_M_2,1.85,24.56
S_M_3,1.46,23.9
S_M_4,1.82,23.68
S_M_5,2.2,24.35
S_M_6,2.08,25.86
S_M_7,2.08,24.72
S_M_8,1.74,23.51
