GRB2.rep5.8142015,GRB2.rep5.8142015,GRB2.rep5.8142015
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.95,27.24
H_C_2,2.04,24.86
H_C_3,2.02,26.76
H_C_4,1.98,26.47
H_C_5,2.05,25.08
H_C_6,1.76,29.25
H_C_7,2.04,24.19
H_C_8,2.02,24.12
N_C_1,2.11,25.59
N_C_2,1.98,23.97
N_C_3,2.09,24.29
N_C_4,2.02,23.1
N_C_5,2.04,23.02
N_C_6,2.01,23.46
N_C_7,2.22,22.61
N_C_8,2,24.48
S_C_1,1.95,24.04
S_C_2,2.45,23
S_C_3,2.31,22.43
S_C_4,2.16,23.01
S_C_5,2.34,22.78
S_C_6,2.16,22.18
S_C_7,2.12,22.78
S_C_8,2.18,23.32
H_T_1,2.11,25.49
H_T_2,2.01,24.21
H_T_3,1.95,25
H_T_4,2.08,24.85
H_T_5,2.11,24.58
H_T_6,2.23,24.56
H_T_7,1.88,23.23
H_T_8,2.26,23.9
N_T_1,1.68,27.41
N_T_2,1.87,27.05
N_T_3,2.06,24.04
N_T_4,2.09,26.07
N_T_5,2.01,24.23
N_T_6,1.8,26.57
N_T_7,2.1,27.1
N_T_8,1.9,28.46
S_T_1,1.73,26.85
S_T_2,2,24.5
S_T_3,2,26.2
S_T_4,2.1,26.62
S_T_5,1.95,27.15
S_T_6,2.01,26.03
S_T_7,2.03,25.47
S_T_8,1.95,27.41
H_M_1,1.99,24.07
H_M_2,2.11,22.49
H_M_3,2.06,23.18
H_M_4,2.08,22.28
H_M_5,2.37,21.35
H_M_6,2.19,22.25
H_M_7,2.16,22.37
H_M_8,2.08,23.03
N_M_1,2.25,22.77
N_M_2,2.28,22.45
N_M_3,2.31,21.15
N_M_4,2.52,21.23
N_M_5,2.23,23.25
N_M_6,2.57,21.65
N_M_7,2.31,21.46
N_M_8,2.47,20.9
S_M_1,2,23.2
S_M_2,2.02,23.25
S_M_3,2.31,23.91
S_M_4,1.94,23.63
S_M_5,1.84,23.08
S_M_6,1.95,24.55
S_M_7,2.22,23.33
S_M_8,2.14,23.05
