BMP2.rep5.8142015b,BMP2.rep5.8142015b,BMP2.rep5.8142015b
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.53,21.84
H_C_2,2.07,22.33
H_C_3,2.33,22.2
H_C_4,2.45,21.53
H_C_5,2.16,20.55
H_C_6,1.13,20.62
H_C_7,2.56,21.58
H_C_8,2.11,21.12
N_C_1,1.95,22.9
N_C_2,2.42,21.1
N_C_3,3.09,21.68
N_C_4,2.05,19.88
N_C_5,2.5,20.36
N_C_6,1.87,21.88
N_C_7,1.73,21.21
N_C_8,2.25,23.32
S_C_1,1.41,22.44
S_C_2,2.08,22.65
S_C_3,1.89,22.27
S_C_4,2.59,21.96
S_C_5,2.17,21.63
S_C_6,1.86,21.68
S_C_7,2.09,23.63
S_C_8,1.47,22.37
H_T_1,1.84,24.62
H_T_2,1.37,21.46
H_T_3,1.86,22.3
H_T_4,2.27,23.24
H_T_5,2.17,23.37
H_T_6,1.98,22.01
H_T_7,2.06,23.13
H_T_8,1.73,23.01
N_T_1,2,24.25
N_T_2,2.09,23.67
N_T_3,2.12,22.05
N_T_4,2.1,23.03
N_T_5,2.17,21.27
N_T_6,2.14,23.09
N_T_7,1.89,23.64
N_T_8,2.18,27.12
S_T_1,1.47,24.78
S_T_2,1.72,23.91
S_T_3,1.86,25.55
S_T_4,1.93,25.09
S_T_5,1.84,25.26
S_T_6,1.97,24.93
S_T_7,2.06,24.29
S_T_8,2.02,25.49
H_M_1,2.25,21.56
H_M_2,2.31,20.34
H_M_3,2.01,20.59
H_M_4,2.35,19.86
H_M_5,2.31,20.15
H_M_6,2.07,20.2
H_M_7,3.05,20.51
H_M_8,2.56,20.67
N_M_1,1.81,22.31
N_M_2,2.2,22.26
N_M_3,2.2,19.9
N_M_4,2.34,20.36
N_M_5,2.52,21.83
N_M_6,1.94,20.6
N_M_7,1.92,19.93
N_M_8,2.47,19.98
S_M_1,1.81,22.04
S_M_2,1.74,23.5
S_M_3,2.01,23.03
S_M_4,1.92,22.15
S_M_5,1.68,22.6
S_M_6,2.2,22.79
S_M_7,2.56,23.88
S_M_8,2.1,22.21
