GRB2.rep6.8142015c,GRB2.rep6.8142015c
Well,Cq
H_C_1,27.90879512
H_C_2,27.79473478
H_C_3,29.04078686
H_C_4,29.2395626
H_C_5,28.37998552
H_C_6,34.65217316
H_C_7,28.85824434
H_C_8,29.14490936
N_C_1,28.62707811
N_C_2,27.03799448
N_C_3,27.97211216
N_C_4,26.82659705
N_C_5,27.71071715
N_C_6,29.02230856
N_C_7,28.10045209
N_C_8,30.42671618
S_C_1,28.34736275
S_C_2,28.16992189
S_C_3,28.15769598
S_C_4,28.48633171
S_C_5,28.17756868
S_C_6,27.92601866
S_C_7,29.91130706
S_C_8,28.6447569
H_T_1,31.06798709
H_T_2,30.7883723
H_T_3,31.0435479
H_T_4,31.15326834
H_T_5,30.6840141
H_T_6,31.54088656
H_T_7,31.19763191
H_T_8,30.90051079
N_T_1,29.98010677
N_T_2,31.52960882
N_T_3,28.90966892
N_T_4,32.0702239
N_T_5,30.36378662
N_T_6,33.10179267
N_T_7,33.20797982
N_T_8,34.59605249
S_T_1,31.81356893
S_T_2,30.33790187
S_T_3,32.46239951
S_T_4,31.6038046
S_T_5,32.70057672
S_T_6,31.3315483
S_T_7,30.05618527
S_T_8,32.32213764
H_M_1,29.77043275
H_M_2,29.672355
H_M_3,29.93586058
H_M_4,28.6859571
H_M_5,28.55924874
H_M_6,28.71074431
H_M_7,28.76983894
H_M_8,28.28521786
N_M_1,28.41267305
N_M_2,28.79544039
N_M_3,27.11095716
N_M_4,26.89072632
N_M_5,29.89157353
N_M_6,27.69038966
N_M_7,27.92574012
N_M_8,26.97630719
S_M_1,28.71032068
S_M_2,29.004305
S_M_3,29.72540746
S_M_4,29.67449927
S_M_5,29.7470228
S_M_6,30.55791588
S_M_7,29.02041999
S_M_8,28.16749436
