TLR.rep7.8142015d,TLR.rep7.8142015d,TLR.rep7.8142015d
Well / Set,Efficiency,C(t)
,,
,,
H_C_1,1.28,37.34
H_C_2,1.39,37.74
H_C_3,1.31,36.76
H_C_4,2.44,30.02
H_C_5,2.28,30.52
H_C_6,1.46,37.05
H_C_7,1.43,35.11
H_C_8,1.89,31.98
N_C_1,1.99,32.53
N_C_2,1.99,29.72
N_C_3,1.82,33.44
N_C_4,2.17,30.36
N_C_5,1.58,30.75
N_C_6,1.73,36.12
N_C_7,2,30.07
N_C_8,1.39,31.86
S_C_1,1.51,31.28
S_C_2,2.07,29.39
S_C_3,2.24,29.44
S_C_4,2.01,29.09
S_C_5,2.43,29.63
S_C_6,2.14,27.76
S_C_7,1.93,30.5
S_C_8,2.41,30.99
H_T_1,1.37,38.19
H_T_2,1.48,36.23
H_T_3,2.1,31.41
H_T_4,2.04,29.83
H_T_5,2.14,30.47
H_T_6,1.5,35.97
H_T_7,1.65,37.11
H_T_8,2.13,36.8
N_T_1,1.88,30.64
N_T_2,1.99,31.14
N_T_3,2.04,30.42
N_T_4,2.13,31.33
N_T_5,2.3,30.79
N_T_6,1.98,31.22
N_T_7,1.99,30.17
N_T_8,1.69,32.66
S_T_1,1.76,33.48
S_T_2,2.19,33.06
S_T_3,1.89,31.99
S_T_4,1.75,31.87
S_T_5,1.49,37.37
S_T_6,2.03,32.56
S_T_7,1.71,30.9
S_T_8,1.73,36.51
H_M_1,2.01,30.75
H_M_2,2.04,34.08
H_M_3,2.16,34.13
H_M_4,2.18,29.15
H_M_5,1.58,37.24
H_M_6,2.43,30.63
H_M_7,2.18,29.04
H_M_8,1.41,37.68
N_M_1,1.75,31.67
N_M_2,2.14,30.48
N_M_3,2.19,29.37
N_M_4,1.92,28.07
N_M_5,1.5,35.89
N_M_6,2.62,29.8
N_M_7,2.1,29.34
N_M_8,2.01,29.13
S_M_1,2.09,31.04
S_M_2,1.84,29.57
S_M_3,1.79,31.09
S_M_4,2.33,29.21
S_M_5,2.5,33
S_M_6,2.36,29.49
S_M_7,1.45,37.35
S_M_8,2,29.09
