Well,Cq
H_C_1,31.59399973
H_C_2,30.03403904
H_C_3,31.35316471
H_C_4,31.13212561
H_C_5,30.67445996
H_C_6,36.30986807
H_C_7,30.02902887
H_C_8,29.62890913
N_C_1,31.26778988
N_C_2,30.09354468
N_C_3,30.33737084
N_C_4,29.00832378
N_C_5,30.02056653
N_C_6,33.26057201
N_C_7,30.49687248
N_C_8,32.20844929
S_C_1,26.86094109
S_C_2,26.22949121
S_C_3,26.58680055
S_C_4,28.19266633
S_C_5,26.89071766
S_C_6,27.99969382
S_C_7,27.6613588
S_C_8,28.37792915
H_T_1,30.78850896
H_T_2,28.50480633
H_T_3,29.13226185
H_T_4,29.97018207
H_T_5,30.12615826
H_T_6,29.82612269
H_T_7,30.37860675
H_T_8,30.25481431
N_T_1,29.98421466
N_T_2,30.16418314
N_T_3,28.25478036
N_T_4,29.20316836
N_T_5,28.16162195
N_T_6,30.14399501
N_T_7,31.65717852
N_T_8,33.65177353
S_T_1,30.84292336
S_T_2,29.41809838
S_T_3,30.76980654
S_T_4,29.8861517
S_T_5,31.15308998
S_T_6,30.14014726
S_T_7,30.45136835
S_T_8,NaN
H_M_1,27.23643049
H_M_2,27.13081588
H_M_3,27.41196724
H_M_4,26.52373699
H_M_5,27.25850066
H_M_6,27.23528463
H_M_7,28.63819465
H_M_8,27.68112999
N_M_1,29.78676476
N_M_2,29.14636829
N_M_3,27.17079469
N_M_4,28.12092972
N_M_5,30.2359307
N_M_6,28.77250783
N_M_7,28.89094095
N_M_8,28.30650598
S_M_1,27.22788309
S_M_2,27.38305106
S_M_3,26.68181015
S_M_4,27.27320135
S_M_5,27.13507999
S_M_6,28.22008416
S_M_7,28.42436567
S_M_8,26.21012195
