TLR.rep8.8142015f,TLR.rep8.8142015f
Well,Cq
H_C_1,38.12797136
H_C_2,NaN
H_C_3,NaN
H_C_4,36.11676107
H_C_5,37.14194709
H_C_6,NaN
H_C_7,NaN
H_C_8,34.76373574
N_C_1,36.06600485
N_C_2,34.18291896
N_C_3,35.79225607
N_C_4,35.01261872
N_C_5,34.14439328
N_C_6,36.99779916
N_C_7,33.87084471
N_C_8,36.82447
S_C_1,34.08040871
S_C_2,33.20103244
S_C_3,33.95183281
S_C_4,36.81146329
S_C_5,35.92646434
S_C_6,34.46447427
S_C_7,35.21108515
S_C_8,36.0166266
H_T_1,NaN
H_T_2,NaN
H_T_3,39.74748726
H_T_4,39.43322593
H_T_5,36.52460512
H_T_6,NaN
H_T_7,NaN
H_T_8,NaN
N_T_1,37.64985971
N_T_2,37.68261716
N_T_3,35.25523956
N_T_4,39.05413411
N_T_5,36.10700644
N_T_6,36.59730264
N_T_7,36.00970738
N_T_8,39.44476427
S_T_1,NaN
S_T_2,39.17032163
S_T_3,37.97893655
S_T_4,39.27859317
S_T_5,NaN
S_T_6,37.15505603
S_T_7,37.24598458
S_T_8,38.644801
H_M_1,34.19709582
H_M_2,39.34806328
H_M_3,39.80157341
H_M_4,33.87925572
H_M_5,NaN
H_M_6,35.25747196
H_M_7,34.09387165
H_M_8,NaN
N_M_1,37.13819286
N_M_2,35.28540927
N_M_3,36.34253915
N_M_4,34.71595928
N_M_5,37.18537947
N_M_6,36.87733809
N_M_7,37.14261216
N_M_8,37.35714918
S_M_1,34.86875043
S_M_2,34.19523178
S_M_3,35.21382948
S_M_4,34.93275775
S_M_5,35.31899599
S_M_6,35.20626252
S_M_7,36.39491972
S_M_8,32.99800035
