Actin.rep5.8152015,Actin.rep5.8152015,Actin.rep5.8152015
Well / Set,Efficiency,C(t)
,,
,,
N_C_1,2.07,25.42
N_C_2,2.23,24.46
N_C_3,2.19,23.41
N_C_4,2.33,22.76
N_C_5,2.3,23.14
N_C_6,2.19,23.07
N_C_7,2.17,23.68
N_C_8,2.01,24.05
N_T_1,2.1,25.21
N_T_2,2.28,24.24
N_T_3,2.17,23.33
N_T_4,2.46,24.43
N_T_5,2.39,24.03
N_T_6,2.26,24.23
N_T_7,2.14,24.76
N_T_8,2.03,26.08
H_M_1,2.17,21.9
H_M_1,2.03,21.27
H_M_2,2.17,22.84
H_M_2,2.13,22.25
H_M_3,2.12,23.1
H_M_3,2.21,22.49
H_M_4,2.17,22.12
H_M_4,2.24,22.04
H_M_5,2.03,22.6
H_M_5,2.3,22.46
H_M_6,2.18,23.13
H_M_6,2.22,22.22
H_M_7,2.18,22.33
H_M_7,2.33,21.59
H_M_8,2.03,22.01
H_M_8,2.18,21.7
N_M_1,2.04,22.07
N_M_1,2.13,22.63
N_M_2,2.14,22.62
N_M_2,2.13,23.29
N_M_3,2.25,21.82
N_M_3,2.23,22.39
N_M_4,2.17,22.18
N_M_4,2.52,22.45
N_M_5,2.38,22.92
N_M_5,2.31,23.07
N_M_6,2.21,22.23
N_M_6,2.51,22.73
N_M_7,2.22,21.93
N_M_7,2.02,22.04
N_M_8,2.05,21.47
N_M_8,2.02,21.39
S_M_1,2.24,22.58
S_M_1,1.96,22.01
S_M_2,2.09,21.44
S_M_2,2.01,21.55
S_M_3,2.45,21.71
S_M_3,2.05,21.78
S_M_4,2.32,22.82
S_M_4,2.38,22.75
S_M_5,2.23,22.26
S_M_5,2.28,21.87
S_M_6,2.43,22.22
S_M_6,2.14,22.18
S_M_7,2.17,20.37
S_M_7,2.11,20.57
S_M_8,2.04,21.15
S_M_8,1.98,19.87
