H2AV.rep3.8152015c,H2AV.rep3.8152015c,H2AV.rep3.8152015c,H2AV.rep4.8152015c,H2AV.rep4.8152015c
Well / Set,Efficiency,C(t),,
,,,,
H_C_1,,,,
H_C_2,,,,
H_C_3,,,,
H_C_4,,,,
H_C_5,,,,
H_C_6,,,,
H_C_7,,,,
H_C_8,,,,
N_C_1,,,,
N_C_2,,,,
N_C_3,,,,
N_C_4,,,,
N_C_5,,,,
N_C_6,,,,
N_C_7,,,,
N_C_8,,,,
S_C_1,1.53,22.18,,
S_C_2,2.53,21.52,,
S_C_3,2.26,21.27,,
S_C_4,1.96,20.02,,
S_C_5,1.56,20.54,,
S_C_6,1.78,21.06,,
S_C_7,1.97,23.44,,
S_C_8,1.93,22.65,,
H_T_1,,,,
H_T_2,,,,
H_T_3,,,,
H_T_4,,,,
H_T_5,,,,
H_T_6,,,,
H_T_7,,,,
H_T_8,,,,
N_T_1,,,,
N_T_2,,,,
N_T_3,,,,
N_T_4,,,,
N_T_5,,,,
N_T_6,,,,
N_T_7,,,,
N_T_8,,,,
S_T_1,1.11,18.24,,
S_T_2,1.82,21.56,,
S_T_3,1.36,19.47,,
S_T_4,1.19,13.24,,
S_T_5,2.16,20.92,,
S_T_6,1.49,20.19,,
S_T_7,1.95,20.11,,
S_T_8,2.42,22.71,,
H_M_1,1.46,19.03,2.25,19.09
H_M_2,1.89,19.17,3.37,18.63
H_M_3,1.49,19.37,2.14,19.55
H_M_4,1.9,19.33,2.46,19.33
H_M_5,2.32,18.32,3.37,18.41
H_M_6,2.63,19.16,2.99,17.79
H_M_7,2.29,18.83,1.96,18.18
H_M_8,1.67,18.89,2.34,18.36
N_M_1,1.77,21.44,1.64,20.6
N_M_2,2.28,19.78,1.69,19.16
N_M_3,2.14,19.2,1.8,18.3
N_M_4,1.88,18.58,2.16,18.26
N_M_5,2.27,21.24,1.93,20.46
N_M_6,1.87,19.72,1.88,18.6
N_M_7,3.03,19.45,1.36,16.72
N_M_8,1.7,19.18,2.16,18.05
S_M_1,1.46,19.14,2.47,20.34
S_M_2,2,19.11,1.64,18.45
S_M_3,2.34,18.84,1.8,18.83
S_M_4,1.98,18.78,1.37,17.65
S_M_5,2.03,19.66,2.41,20.13
S_M_6,1.52,19.03,2.6,19.74
S_M_7,2.3,19.04,2.53,18.88
S_M_8,2.27,19.22,2.06,19.51
