PGRP.rep3.8152015d,PGRP.rep3.8152015d,PGRP.rep3.8152015d
Well,Fluor,Cq
H_C_1,FAM,NaN
H_C_2,FAM,NaN
H_C_3,FAM,38.81765861
H_C_4,FAM,38.58384153
H_C_5,FAM,37.165957
H_C_6,FAM,NaN
H_C_7,FAM,39.68466556
H_C_8,FAM,NaN
H_T_1,FAM,NaN
H_T_2,FAM,NaN
H_T_3,FAM,38.81070129
H_T_4,FAM,37.61194293
H_T_5,FAM,NaN
H_T_6,FAM,NaN
H_T_7,FAM,37.50654685
H_T_8,FAM,37.63334332
H_M_1,FAM,37.30778347
H_M_1,FAM,37.98834647
H_M_2,FAM,35.52595485
H_M_2,FAM,35.05126642
H_M_3,FAM,38.1661678
H_M_3,FAM,37.97429509
H_M_4,FAM,37.01000868
H_M_4,FAM,37.2466276
H_M_5,FAM,NaN
H_M_5,FAM,38.29527768
H_M_6,FAM,35.77399549
H_M_6,FAM,35.82831782
H_M_7,FAM,35.60533293
H_M_7,FAM,35.06186328
H_M_8,FAM,38.05013927
H_M_8,FAM,37.44457388
N_M_1,FAM,38.85026441
N_M_1,FAM,NaN
N_M_2,FAM,35.22441399
N_M_2,FAM,35.79793962
N_M_3,FAM,35.62172741
N_M_3,FAM,36.26114187
N_M_4,FAM,35.94121808
N_M_4,FAM,36.41299763
N_M_5,FAM,39.01372363
N_M_5,FAM,38.88946484
N_M_6,FAM,34.5042003
N_M_6,FAM,34.27922614
N_M_7,FAM,35.52549823
N_M_7,FAM,35.01646075
N_M_8,FAM,37.25570072
N_M_8,FAM,37.26696945
S_M_1,FAM,36.56306476
S_M_1,FAM,37.1940825
S_M_2,FAM,36.40548047
S_M_2,FAM,35.33927326
S_M_3,FAM,35.62352171
S_M_3,FAM,36.91647641
S_M_4,FAM,36.06348127
S_M_4,FAM,35.8717379
S_M_5,FAM,37.34333509
S_M_5,FAM,38.00567281
S_M_6,FAM,36.22506223
S_M_6,FAM,35.3932956
S_M_7,FAM,35.23242256
S_M_7,FAM,35.46374836
S_M_8,FAM,34.55384567
S_M_8,FAM,33.92410342
