CRAF.rep5.8152015e,CRAF.rep5.8152015e,CRAF.rep5.8152015e,CRAF.rep6.8152015e,CRAF.rep6.8152015e
Well / Set,Efficiency,C(t),Efficiency,C(t)
,,,,
,,,,
H_C_1,,,,
H_C_2,,,,
H_C_3,,,,
H_C_4,,,,
H_C_5,,,,
H_C_6,,,,
H_C_7,,,,
H_C_8,,,,
N_C_1,1.2,26.61,,
N_C_2,1.98,24.76,,
N_C_3,1.66,26.98,,
N_C_4,1.94,26.47,,
N_C_5,1.48,25.39,,
N_C_6,1.4,25.66,,
N_C_7,1.86,26.23,,
N_C_8,1.93,28.31,,
S_C_1,,,,
S_C_2,,,,
S_C_3,,,,
S_C_4,,,,
S_C_5,,,,
S_C_6,,,,
S_C_7,,,,
S_C_8,,,,
H_T_1,,,,
H_T_2,,,,
H_T_3,,,,
H_T_4,,,,
H_T_5,,,,
H_T_6,,,,
H_T_7,,,,
H_T_8,,,,
N_T_1,1.54,27.67,,
N_T_2,1.79,26.63,,
N_T_3,2.01,25.11,,
N_T_4,2.18,27.35,,
N_T_5,1.95,25.09,,
N_T_6,2,26.85,,
N_T_7,1.89,27.6,,
N_T_8,1.91,30.18,,
S_T_1,,,,
S_T_2,,,,
S_T_3,,,,
S_T_4,,,,
S_T_5,,,,
S_T_6,,,,
S_T_7,,,,
S_T_8,,,,
H_M_1,1.34,24.9,1.8,24.24
H_M_2,1.59,24.25,1.69,23.46
H_M_3,1.93,25.21,1.84,24.33
H_M_4,1.72,24.02,1.91,23.29
H_M_5,2.13,23.57,2.14,22.97
H_M_6,1.71,23.03,2.16,22.39
H_M_7,1.56,23.39,1.26,21.18
H_M_8,1.35,22.27,1.72,22.63
N_M_1,1.58,24.95,1.8,24.84
N_M_2,2.26,24.98,1.42,23.72
N_M_3,2.17,24.49,1.71,24.16
N_M_4,1.85,23.65,2.05,23.95
N_M_5,1.86,25.51,2.17,25.16
N_M_6,2.29,23.62,1.87,22.97
N_M_7,2.22,23.76,1.25,21.6
N_M_8,1.46,22.75,1.55,22.93
S_M_1,1.72,24.52,1.83,24.73
S_M_2,1.37,22.89,1.88,23.36
S_M_3,2.01,24.09,1.76,24.09
S_M_4,1.07,12.28,1.09,12.64
S_M_5,1.04,18.77,1.15,9.55
S_M_6,2.06,23.96,1.69,24.08
S_M_7,1.81,23.46,1.33,22.7
S_M_8,2,23.88,1.41,23.29
