EF1d.rep1.8182015b,EF1d.rep1.8182015b,EF1d.rep1.8182015b,EF1d.rep2.8182015b,EF1d.rep2.8182015b
Well / Set,Efficiency,C(t),Efficiency,C(t)
H_C_1,1.67,22.67,,
H_C_2,1.31,20.31,,
H_C_3,1.88,23.33,,
H_C_4,1.66,21.94,,
H_C_5,1.9,23.05,,
H_C_6,1.63,28.63,,
H_C_7,1.38,21.47,,
H_C_8,1.9,23.03,,
N_C_1,,,,
N_C_2,,,,
N_C_3,,,,
N_C_4,,,,
N_C_5,,,,
N_C_6,,,,
N_C_7,,,,
N_C_8,,,,
S_C_1,,,,
S_C_2,,,,
S_C_3,,,,
S_C_4,,,,
S_C_5,,,,
S_C_6,,,,
S_C_7,,,,
S_C_8,,,,
H_T_1,1.48,23.85,,
H_T_2,1.7,22.5,,
H_T_3,1.88,22.53,,
H_T_4,1.84,22.83,,
H_T_5,1.77,23.1,,
H_T_6,1.74,22.38,,
H_T_7,1.75,23.85,,
H_T_8,1.79,23.6,,
N_T_1,,,,
N_T_2,,,,
N_T_3,,,,
N_T_4,,,,
N_T_5,,,,
N_T_6,,,,
N_T_7,,,,
N_T_8,,,,
S_T_1,,,,
S_T_2,,,,
S_T_3,,,,
S_T_4,,,,
S_T_5,,,,
S_T_6,,,,
S_T_7,,,,
S_T_8,,,,
H_M_1,1.64,21.7,1.6,20.82
H_M_2,1.62,20.37,1.75,19.6
H_M_3,1.86,20.9,1.87,20.33
H_M_4,2.02,21.47,1.93,21.09
H_M_5,1.65,20.8,1.86,20.68
H_M_6,1.63,20.54,1.26,16.86
H_M_7,1.77,21.65,1.04,9.75
H_M_8,1.42,21.93,1.88,22.03
N_M_1,1.76,22.85,1.94,22.89
N_M_2,1.92,22.12,1.88,22.08
N_M_3,2.05,21.4,1.57,20.76
N_M_4,1.54,20.85,2.03,20.72
N_M_5,1.98,23.36,1.86,22.51
N_M_6,1.92,21.45,2.06,21.23
N_M_7,1.54,20.96,1.72,20.86
N_M_8,1.64,20.83,1.15,18.31
S_M_1,1.82,21.36,1.89,21.58
S_M_2,1.85,20.18,1.98,20.46
S_M_3,2.01,19.85,1.63,20.24
S_M_4,1.81,20.49,1.48,20.78
S_M_5,1.91,21.23,1.05,15.09
S_M_6,1.49,20.71,1.39,21.1
S_M_7,1.83,20.02,1.85,20.83
S_M_8,1.77,21.28,1.8,21.69
