28s.rep1.8262015,28s.rep1.8262015,28s.rep1.8262015
Well / Set,Efficiency,C(t)
,,
H_C_1,2.02,30.78
H_C_2,1.92,29.83
H_C_3,1.88,30.75
H_C_4,1.99,29.27
H_C_5,1.98,29.24
H_C_6,1.47,36.39
H_C_7,1.94,28.25
H_C_8,1.96,29.8
N_C_1,1.92,30.68
N_C_2,1.78,28.82
N_C_3,1.93,29.3
N_C_4,1.95,29.24
N_C_5,2.03,29.24
N_C_6,2,30.11
N_C_7,1.97,28.16
N_C_8,1.71,29.28
S_C_1,1.88,30.45
S_C_2,1.88,28.32
S_C_3,2.1,28.43
S_C_4,1.96,27.09
S_C_5,1.99,28.3
S_C_6,2.11,27.86
S_C_7,2.12,27.59
S_C_8,2.17,27.97
H_T_1,1.99,30.78
H_T_2,1.99,29.34
H_T_3,2,29.56
H_T_4,1.97,29.58
H_T_5,2.1,29.79
H_T_6,2.06,28.67
H_T_7,1.93,29.05
H_T_8,2.08,28.24
N_T_1,1.93,31.12
N_T_2,1.92,31.17
N_T_3,2.02,28.42
N_T_4,1.72,29.42
N_T_5,2.24,28.98
N_T_6,1.9,28.11
N_T_7,1.89,30.72
N_T_8,1.93,30.63
S_T_1,1.82,30.97
S_T_2,2.12,29.67
S_T_3,1.97,31.27
S_T_4,2.03,30.28
S_T_5,1.87,29.41
S_T_6,2.01,28.39
S_T_7,1.97,26.94
S_T_8,1.93,29.16
H_M_1,1.96,27.07
H_M_2,1.97,26.12
H_M_3,2.08,27.24
H_M_4,2,27.59
H_M_5,2.02,27.33
H_M_6,1.77,27.03
H_M_7,1.96,26.42
H_M_8,2.02,28.07
N_M_1,1.85,28.74
N_M_2,2.05,27.5
N_M_3,1.92,27.36
N_M_4,1.84,27.9
N_M_5,2.12,29.37
N_M_6,1.83,28.21
N_M_7,1.98,27.43
N_M_8,1.93,27.5
S_M_1,1.99,26.26
S_M_2,2.02,26.11
S_M_3,2.08,25.83
S_M_4,2.13,26.4
S_M_5,1.75,27.49
S_M_6,1.71,27.34
S_M_7,1.97,26.69
S_M_8,2.08,27.59
