"","Name","Pop.EF1d","Treat.EF1d","Sample.EF1d","rep1.eff.EF1d","rep1.ct.EF1d","rep2.eff.EF1d","rep2.ct.EF1d","repdiff.EF1d","opticorr.EF1d","avgct.EF1d","Pop.p29ING","Treat.p29ING","Sample.p29ING","rep1.eff.p29ING","rep1.ct.p29ING","rep2.eff.p29ING","rep2.ct.p29ING","repdiff.p29ING","opticorr.p29ING","avgct.p29ING","norm","log","rep1.eff.HSP70.x","rep1.ct.HSP70.x","rep2.eff.HSP70.x","rep2.ct.HSP70.x","repdiff.HSP70.x","opticorr.HSP70.x","avgct.HSP70.x","norm.HSP70.x","log.HSP70.x","rep1.eff.HSPb11.x","rep1.ct.HSPb11.x","rep2.eff.HSPb11.x","rep2.ct.HSPb11.x","repdiff.HSPb11.x","opticorr.HSPb11.x","avgct.HSPb11.x","norm.HSPb11.x","log.HSPb11.x","rep1.eff.BMP2","rep1.ct.BMP2","rep2.eff.BMP2","rep2.ct.BMP2","repdiff.BMP2","avgct.BMP2","norm.BMP2","log.BMP2","rep1.eff.CARM","rep1.ct.CARM","rep2.eff.CARM","rep2.ct.CARM","repdiff.CARM","avgct.CARM","norm.CARM","log.CARM","rep1.eff.GABABR","rep1.ct.GABABR","rep2.eff.GABABR","rep2.ct.GABABR","repdiff.GABABR","opticorr.GABABR","avgct.GABABR","norm.GABABR","log.GABABR","rep1.eff.GRB2","rep1.ct.GRB2","rep2.eff.GRB2","rep2.ct.GRB2","repdiff.GRB2","opticorr.GRB2","avgct.GRB2","norm.GRB2","log.GRB2","rep1.eff.H33","rep1.ct.H33","rep2.eff.H33","rep2.ct.H33","repdiff.H33","avgct.H33","norm.H33","log.H33","rep1.eff.PGEEP4","rep1.ct.PGEEP4","rep2.eff.PGEEP4","rep2.ct.PGEEP4","repdiff.PGEEP4","opticorr","avgct.PGEEP4","norm.PGEEP4","log.PGEEP4","rep1.eff.H2A","rep1.ct.H2A","rep2.eff.H2A","rep2.ct.H2A","repdiff.H2A","avgct.H2A","norm.H2A","log.H2A","rep1.eff.H2AV","rep1.ct.H2AV","rep2.eff.H2AV","rep2.ct.H2AV","repdiff.H2AV","avgct.H2AV","norm.H2AV","log.H2AV","rep1.eff.HSP70.y","rep1.ct.HSP70.y","rep2.eff.HSP70.y","rep2.ct.HSP70.y","repdiff.HSP70.y","opticorr.HSP70.y","avgct.HSP70.y","norm.HSP70.y","log.HSP70.y","rep1.eff.HSPb11.y","rep1.ct.HSPb11.y","rep2.eff.HSPb11.y","rep2.ct.HSPb11.y","repdiff.HSPb11.y","opticorr.HSPb11.y","avgct.HSPb11.y","norm.HSPb11.y","log.HSPb11.y","rep1.eff.CRAF","rep1.ct.CRAF","rep2.eff.CRAF","rep2.ct.CRAF","rep3.eff.CRAF","rep3.ct.CRAF","repdiff.CRAF","avgct.CRAF","norm.CRAF","log.CRAF","rep1.eff.PGRP","rep1.ct.PGRP","rep2.eff.PGRP","rep2.ct.PGRP","repdiff.PGRP","avgct.PGRP","norm.PGRP","log.PGRP","rep1.eff.Actin","rep1.ct.Actin","rep2.eff.Actin","rep2.ct.Actin","rep3.eff.Actin","rep3.ct.Actin","repdiff.Actin","avgct.Actin","norm.Actin","log.Actin","rep1.eff.TLR","rep1.ct.TLR","rep2.eff.TLR","rep2.ct.TLR","repdiff.TLR","avgct.TLR","norm.TLR","log.TLR"
"1","H_C_1","H","C","1","1.145687",28.89,"1.578756",19.12,9.77,30.2585416666667,29.5742708333333,"H","C","1","1.234393",32.05,"1.35305",25.31,6.74,40.2795833333333,36.1647916666667,6.59052083333333,1.88563237928113,"1.232871",31.96,"1.173126",21.02,10.94,31.6408333333333,31.8004166666667,2.22614583333333,0.800271764334264,"1.211202",28.96,"1.389567",18.87,10.09,29.2935416666667,29.1267708333333,0.447499999999998,-0.804078741267231,"1.200155",29.96,"1.208246",31.01,-1.05,30.485,0.910729166666666,-0.0935097182750372,"1.212103",31.47,"1.217728",30.43,1.04,30.95,1.37572916666667,0.318983893587876,"1.18763",34.05,"1.412129",24.44,9.61,31.6735416666667,32.8617708333333,3.2875,1.19012739750388,"1.191366",28.76,"1.404264",14.33,14.43,27.8835416666667,28.3217708333333,1.2525,0.225141553976884,"1.21244",25.58,"1.201936",28.77,-3.19,27.175,2.39927083333334,0.875164871746979,"1.19817",30.04,"1.178873",17.84,12.2,23.2772916666667,26.6586458333333,2.915625,1.07008420505357,"1.218333",33.75,"1.20802",32.27,1.48,33.01,3.43572916666667,1.23422917874141,"1.230072",26.8,"1.219952",27.73,-0.93,27.265,2.30927083333333,0.836931818138025,"1.232871",31.96,"1.173126",21.02,10.94,31.6408333333333,31.8004166666667,2.22614583333333,0.800271764334264,"1.211202",28.96,"1.389567",18.87,10.09,29.2935416666667,29.1267708333333,0.447499999999998,-0.804078741267231,"1.209626",26.18,"1.212103",31.47,"1.245188",26.09,20.8,27.9133333333333,1.6609375,0.507382201988232,"1.222571",38.33,"1.299288",39.84,-1.51000000000001,39.085,9.51072916666667,2.25242054729485,"1.209626",26.18,"1.245188",26.09,"1.235727",25.87,25.96,26.0466666666667,3.52760416666667,1.26061893419308,"1.000218",40,"1.005412",1,39,20.5,9.07427083333333,2.20544302797878
"2","H_C_2","H","C","2","1.162071",29.52,"1.431868",18.86,10.66,29.9985416666667,29.7592708333333,"H","C","2","1.238695",31.69,NA,16.61,15.08,31.5795833333333,31.6347916666667,1.87552083333333,0.628886398627048,"1.251177",32.87,"1.165724",24.69,8.18,35.3108333333333,34.0904166666667,4.33114583333334,1.46583213364282,"1.213111",29.16,"1.418377",17.78,11.38,28.2035416666667,28.6817708333333,1.0775,0.0746435429957663,"1.197646",31.38,"1.222095",31.26,0.119999999999997,31.32,1.56072916666667,0.445153126587218,"1.249433",31.78,"1.234077",30.87,0.91,31.325,1.56572916666667,0.448351636677301,"1.002992",1.29,"1.363728",27,-25.71,34.2335416666667,17.7617708333333,11.9975,2.48469829475026,"1.198931",28.42,"1.6558",14.83,13.59,28.3835416666667,28.4017708333333,1.3575,0.305644772825952,"1.216399",27.18,"1.227718",28.61,-1.43,27.895,1.86427083333333,0.62287000256148,"1.207677",29.75,NA,40,-10.25,45.4372916666667,37.5936458333333,7.834375,2.05852110236452,"1.212181",33.01,"1.209833",31.58,1.43,32.295,2.53572916666667,0.930481235393494,"1.249009",28.87,"1.241159",28.74,0.130000000000003,28.805,0.954270833333332,-0.04680775544072,"1.251177",32.87,"1.165724",24.69,8.18,35.3108333333333,34.0904166666667,4.33114583333334,1.46583213364282,"1.213111",29.16,"1.418377",17.78,11.38,28.2035416666667,28.6817708333333,1.0775,0.0746435429957663,"1.230232",26.3,"1.249433",31.78,"1.264286",25.21,19.73,27.7633333333333,1.9959375,0.691113864773771,"1.268568",40,"1.000435",40,0,40,10.2407291666667,2.32637282475851,"1.230232",26.3,"1.264286",25.21,"1.248161",25.3,26.39,25.6033333333333,4.1559375,1.42453803462534,"1.004441",1,"1.003268",1,0,1,28.7592708333333,3.35896017903121
"3","H_C_3","H","C","3","1.173959",30.73,"1.473183",19.81,10.92,30.9485416666667,30.8392708333333,"H","C","3","1.242005",31.97,"1.144732",19.55,12.42,34.5195833333333,33.2447916666667,2.40552083333334,0.87776644282797,"1.235472",31.73,"1.168932",20.01,11.72,30.6308333333333,31.1804166666667,0.341145833333336,-1.07544522938657,"1.221807",29.92,"1.254998",19.95,9.97,30.3735416666667,30.1467708333333,0.692499999999995,-0.36744704092065,"1.210264",30.55,"1.219665",31.72,-1.17,31.135,0.295729166666668,-1.21831122098295,"1.252682",32.35,"1.251545",32.09,0.259999999999998,32.22,1.38072916666667,0.3226117412672,"1.002323",1,"1.013146",27.27,-26.27,34.5035416666667,17.7517708333333,13.0875,2.57165757619665,"1.198067",29.4,"1.742943",16,13.4,29.5535416666667,29.4767708333333,1.3625,0.30932124755526,"1.233234",26.94,"1.225303",29.27,-2.33,28.105,2.73427083333333,1.0058647946001,"1.21491",30.42,"1.134089",19.03,11.39,24.4672916666667,27.4436458333333,3.395625,1.22248783832365,"1.229399",33.9,"1.220005",32.62,1.28,33.26,2.42072916666667,0.884068803324238,"1.247471",29.22,"1.245355",29.31,-0.0899999999999999,29.265,1.57427083333333,0.453792202114191,"1.235472",31.73,"1.168932",20.01,11.72,30.6308333333333,31.1804166666667,0.341145833333336,-1.07544522938657,"1.221807",29.92,"1.254998",19.95,9.97,30.3735416666667,30.1467708333333,0.692499999999995,-0.36744704092065,"1.249082",27.97,"1.252682",32.35,"1.256601",26.72,22.34,29.0133333333333,1.8259375,0.602093553766618,"1.29573",39.96,"1.304283",39.97,-0.00999999999999801,39.965,9.12572916666667,2.21109780495183,"1.249082",27.97,"1.256601",26.72,"1.262919",26.6,27.85,27.0966666666667,3.74260416666667,1.31978167036897,"1.128154",38.86,"1.002099",1,37.86,19.93,10.9092708333333,2.38961296290322
"4","H_C_4","H","C","4","1.167429",29.91,"1.454848",18.51,11.4,29.6485416666667,29.7792708333333,"H","C","4","1.252882",31.72,"1.109706",18.23,13.49,33.1995833333333,32.4597916666667,2.68052083333333,0.986011116437059,"1.241385",32.88,NA,40,-7.12,50.6208333333333,41.7504166666667,11.9711458333333,2.48249924041317,"1.216558",29.26,"1.381793",19.77,9.49,30.1935416666667,29.7267708333333,0.052500000000002,-2.94694210938452,"1.212621",30.42,"1.22504",31.69,-1.27,31.055,1.27572916666666,0.243517910565358,"1.254387",32.16,"1.24262",31.14,1.02,31.65,1.87072916666666,0.626328283562807,"1.211992",33.4,"1.264493",22.59,10.81,29.8235416666667,31.6117708333333,1.8325,0.605681154778667,"1.209839",29.27,"1.751784",15.89,13.38,29.4435416666667,29.3567708333333,0.422499999999999,-0.86156583218491,"1.234869",26.14,"1.228298",28.24,-2.1,27.19,2.58927083333334,0.951376304542475,"1.22008",30.47,"1.197654",19.63,10.84,25.0672916666667,27.7686458333333,2.010625,0.698445619011156,"1.230954",32.67,"1.215634",32.04,0.630000000000003,32.355,2.57572916666667,0.946132665551248,"1.243727",29.08,"1.238621",29.37,-0.290000000000003,29.225,0.554270833333334,-0.590101842859558,"1.241385",32.88,NA,40,-7.12,50.6208333333333,41.7504166666667,11.9711458333333,2.48249924041317,"1.216558",29.26,"1.381793",19.77,9.49,30.1935416666667,29.7267708333333,0.052500000000002,-2.94694210938452,"1.246166",26.44,"1.254387",32.16,"1.261962",25.65,19.93,28.0833333333333,1.6959375,0.528235685275589,"1.29455",40,"1.306938",39.8,0.200000000000003,39.9,10.1207291666667,2.31458571330586,"1.246166",26.44,"1.261962",25.65,"1.254603",25.62,26.41,25.9033333333333,3.8759375,1.35478756902751,"1.290714",36.27,"1.279781",35.94,0.330000000000005,36.105,6.32572916666667,1.84462531123644
"5","H_C_5","H","C","5","1.160284",28.32,"1.529093",17.07,11.25,28.2085416666667,28.2642708333333,"H","C","5","1.237357",30.66,"1.19636",16.59,14.07,31.5595833333333,31.1097916666667,2.84552083333333,1.04574612053603,"1.249561",28.82,"1.142695",16.75,12.07,27.3708333333333,28.0954166666667,0.168854166666669,-1.77871985572024,"1.210959",28.07,"1.275241",18.44,9.63,28.8635416666667,28.4667708333333,0.202500000000001,-1.59701539243554,"1.204421",29.3,"1.219754",30.59,-1.29,29.945,1.68072916666667,0.519227727030134,"1.22946",32.64,"1.241587",30.74,1.9,31.69,3.42572916666666,1.23131434443231,"1.202139",37.72,"1.251383",27.61,10.11,34.8435416666667,36.2817708333333,8.0175,2.08162665258517,"1.199376",27.57,"1.445561",13.95,13.62,27.5035416666667,27.5367708333333,0.727500000000003,-0.318141279936486,"1.223269",25.18,"1.215638",26.93,-1.75,26.055,2.20927083333333,0.79266252141942,"1.218893",29.77,"1.179067",17.22,12.55,22.6572916666667,26.2136458333333,2.050625,0.718144624733231,"1.222804",32.58,"1.21211",31.54,1.04,32.06,3.79572916666667,1.3338765311704,"1.249043",27.87,"1.2383",27.73,0.140000000000001,27.8,0.464270833333334,-0.767287204509371,"1.249561",28.82,"1.142695",16.75,12.07,27.3708333333333,28.0954166666667,0.168854166666669,-1.77871985572024,"1.210959",28.07,"1.275241",18.44,9.63,28.8635416666667,28.4667708333333,0.202500000000001,-1.59701539243554,"1.220738",27.36,"1.22946",32.64,"1.253524",26.08,20.8,28.6933333333333,0.429062499999997,-0.846152683019854,"1.246185",36.9,"1.268163",38.71,-1.81,37.805,9.54072916666667,2.25556991510402,"1.220738",27.36,"1.253524",26.08,"1.229854",26.45,27.73,26.63,1.63427083333334,0.491196731377029,"1.29457",36.74,"1.276822",36.58,0.160000000000004,36.66,8.39572916666666,2.12772314401393
"6","H_C_6","H","C","6","1.160488",36.56,"1.245836",23.27,13.29,34.4085416666667,35.4842708333333,"H","C","6","1.245609",36.99,"1.087757",20.28,16.71,35.2495833333333,36.1197916666667,0.635520833333338,-0.453310406304068,"1.25164",37.01,NA,40,-2.99,50.6208333333333,43.8154166666667,8.33114583333333,2.12000100174094,"1.214804",32.57,"1.151764",22.05,10.52,32.4735416666667,32.5217708333333,2.9625,1.08603350646125,"1.21318",36.11,"1.238561",36.81,-0.700000000000003,36.46,0.975729166666667,-0.0245702242467963,"1.2468",37.43,"1.28104",35.98,1.45,36.705,1.22072916666666,0.199448357802673,"1.186732",37.24,"1.250205",27.74,9.5,34.9735416666667,36.1067708333333,0.622499999999995,-0.474011650643282,"1.217797",33.93,"1.423586",19.65,14.28,33.2035416666667,33.5667708333333,1.9175,0.651022254259273,"1.242622",29.2,"1.242914",31.49,-2.29,30.345,5.13927083333333,1.63691120818462,"1.248428",34.06,"1.000086",82,-47.94,87.4372916666667,60.7486458333333,25.264375,3.22939530065835,"1.233837",35.79,"1.223105",35.52,0.269999999999996,35.655,0.170729166666668,-1.76767679871209,"1.236946",31.78,"1.235861",31.04,0.740000000000002,31.41,4.07427083333333,1.40469179407644,"1.25164",37.01,NA,40,-2.99,50.6208333333333,43.8154166666667,8.33114583333333,2.12000100174094,"1.214804",32.57,"1.151764",22.05,10.52,32.4735416666667,32.5217708333333,2.9625,1.08603350646125,"1.208918",31.67,"1.2468",37.43,"1.251315",31.18,25.42,33.4266666666667,2.05760416666666,0.721542280072072,"1.02603",40,"1.000065",40,0,40,4.51572916666667,1.50756667253745,"1.208918",31.67,"1.251315",31.18,"1.229479",31.31,31.8,31.3866666666667,4.09760416666667,1.410402453318,"1.175869",38.18,"1.327999",40,-1.82,39.09,3.60572916666667,1.2825240156562
"7","H_C_7","H","C","7","1.1634",28.54,"1.458158",17.18,11.36,28.3185416666667,28.4292708333333,"H","C","7","1.235822",30.94,"1.121444",17.95,12.99,32.9195833333333,31.9297916666667,3.50052083333333,1.25291176694814,"1.244167",32.3,NA,40,-7.7,50.6208333333333,41.4604166666667,13.0311458333333,2.56734232536201,"1.220004",27.85,"1.395793",18.63,9.22,29.0535416666667,28.4517708333333,0.0225000000000009,-3.79423996977172,"1.106991",31.94,"1.214497",31.12,0.82,31.53,3.10072916666667,1.13163729888614,"1.214682",32.87,"1.241065",30.6,2.27,31.735,3.30572916666667,1.19565707428464,"1.001811",1.14,"1",19.59,-18.45,26.8235416666667,13.9817708333333,14.4475,2.6705213892098,"1.19478",27.39,"1.5481",14.35,13.04,27.9035416666667,27.6467708333333,0.782499999999999,-0.24526135656783,"1.227077",26.29,"1.202287",26.83,-0.539999999999999,26.56,1.86927083333333,0.625548426125781,"1.208383",29.25,"1.145436",17.93,11.32,23.3672916666667,26.3086458333333,2.120625,0.751710856556358,"1.226363",32.96,"1.213504",31.71,1.25,32.335,3.90572916666667,1.36244449227956,"1.249037",28.42,"1.234363",26.4,2.02,27.41,1.01927083333333,0.0190875023742492,"1.244167",32.3,NA,40,-7.7,50.6208333333333,41.4604166666667,13.0311458333333,2.56734232536201,"1.220004",27.85,"1.395793",18.63,9.22,29.0535416666667,28.4517708333333,0.0225000000000009,-3.79423996977172,"1.217727",27.45,"1.214682",32.87,"1.238773",25.2,19.78,28.5066666666667,0.0773958333333304,-2.55882233273821,"1.291201",40,"1.000091",40,0,40,11.5707291666667,2.44847856140358,"1.217727",27.45,"1.238773",25.2,"1.223354",23.84,26.09,25.4966666666667,2.93260416666667,1.07589082236958,"1.132859",40,"1.003384",1,39,20.5,7.92927083333333,2.07056108101973
"8","H_C_8","H","C","8","1.139622",27.3,"1.718082",17.23,10.07,28.3685416666667,27.8342708333333,"H","C","8","1.219783",30.09,"1.109841",17.24,12.85,32.2095833333333,31.1497916666667,3.31552083333333,1.1986147254244,"1.229888",29.11,"1.214832",17.29,11.82,27.9108333333333,28.5104166666667,0.676145833333329,-0.391346496422465,"1.206555",28.59,"1.303958",18.9,9.69,29.3235416666667,28.9567708333333,1.1225,0.115558340634268,"1.196917",31.48,"1.209294",30.39,1.09,30.935,3.10072916666667,1.13163729888614,"1.225357",31.64,"1.230083",29.94,1.7,30.79,2.95572916666666,1.08374537732778,"1.184286",32.18,"1.322268",22.51,9.67,29.7435416666667,30.9617708333333,3.1275,1.14023396335893,"1.188261",27.09,"1.696597",15.04,12.05,28.5935416666667,27.8417708333333,0.00750000000000028,-4.89285225843983,"1.221876",26.88,"1.192654",26.27,0.609999999999999,26.575,1.25927083333334,0.230532849746066,"1.204057",29.87,"1.106874",18.36,11.51,23.7972916666667,26.8336458333333,1.000625,0.000624804768841512,"1.195188",31.95,"1.21373",32.49,-0.540000000000003,32.22,4.38572916666666,1.47835589858311,"1.228564",28.21,"1.199457",26.05,2.16,27.13,0.704270833333332,-0.350592290365251,"1.229888",29.11,"1.214832",17.29,11.82,27.9108333333333,28.5104166666667,0.676145833333329,-0.391346496422465,"1.206555",28.59,"1.303958",18.9,9.69,29.3235416666667,28.9567708333333,1.1225,0.115558340634268,"1.193099",26.89,"1.225357",31.64,"1.240648",26.46,21.71,28.33,0.495729166666667,-0.701725536334816,"1.004167",1,"1.298122",40,-39,20.5,7.33427083333333,1.99255799742834,"1.193099",26.89,"1.240648",26.46,"1.228736",25.44,25.87,26.2633333333333,1.5709375,0.451672574904757,"1.272952",35.68,"1.252772",36.71,-1.03,36.195,8.36072916666667,2.12354564418623
"9","H_T_1","H","T","1","1.151583",31.21,"1.484631",20.32,10.89,31.4585416666667,31.3342708333333,"H","T","1","1.228672",31.17,NA,16.61,14.56,31.5795833333333,31.3747916666667,0.040520833333332,-3.20593903383751,"1.22987",32.38,"1.238063",17.83,14.55,28.4508333333333,30.4154166666667,0.918854166666669,-0.0846278561971577,"1.176861",30.37,"1.27585",19.93,10.44,30.3535416666667,30.3617708333333,0.972500000000004,-0.0278852034895319,"1.173424",35.26,"1.203421",33.36,1.9,34.31,2.97572916666667,1.09048910700519,"1.192521",31.75,"1.221789",30.9,0.850000000000001,31.325,0.00927083333333556,-4.68088200772355,"0.9996869",29.97,"1",5.94,24.03,13.1735416666667,21.5717708333333,9.7625,2.2785485151658,"1.191068",32.16,"1.141522",17.38,14.78,30.9335416666667,31.5467708333333,0.212499999999995,-1.54881329061769,"1.211795",26.95,"1.193965",27.98,-1.03,27.465,3.86927083333333,1.35306607412998,"1.200074",31.88,NA,40,-8.12,45.4372916666667,38.6586458333333,7.324375,1.99120782703073,"1.200212",32.42,"1.193103",31.24,1.18,31.83,0.495729166666663,-0.701725536334824,"1.216043",28.9,"1.212081",27.61,1.29,28.255,3.07927083333334,1.12469282653333,"1.22987",32.38,"1.238063",17.83,14.55,28.4508333333333,30.4154166666667,0.918854166666669,-0.0846278561971577,"1.176861",30.37,"1.27585",19.93,10.44,30.3535416666667,30.3617708333333,0.972500000000004,-0.0278852034895319,"1.200259",27.67,"1.192521",31.75,"1.248863",28.39,24.31,29.27,2.06427083333334,0.724777056711286,"1.115136",40,"1.126978",38.14,1.86,39.07,7.73572916666667,2.04584974805866,"1.200259",27.67,"1.248863",28.39,"1.224597",28.15,27.43,28.07,3.26427083333333,1.18303640955824,"1.000328",8.04,"1.000129",1,7.04,4.52,26.8142708333333,3.2889342395734
"10","H_T_2","H","T","2","1.151168",28.5,"1.3975",17.67,10.83,28.8085416666667,28.6542708333333,"H","T","2","1.242197",31.17,"1.149652",17.69,13.48,32.6595833333333,31.9147916666667,3.26052083333333,1.18188694744375,"1.233515",33.2,"1.178852",16.93,16.27,27.5508333333333,30.3754166666667,1.72114583333333,0.542990251195062,"1.175041",28.74,"1.241296",18.71,10.03,29.1335416666667,28.9367708333333,0.282499999999999,-1.26407672839565,"1.183242",33.16,"1.211553",32.46,0.699999999999996,32.81,4.15572916666667,1.42448790428645,"1.22297",30.37,"1.228156",29.85,0.52,30.11,1.45572916666666,0.375506920567371,"0.9998682",40,"1.227383",27.47,12.53,34.7035416666667,37.3517708333333,8.6975,2.16303562804396,"1.206103",32.03,"1.518529",16.77,15.26,30.3235416666667,31.1767708333333,2.5225,0.925250473245626,"1.224881",26.94,"1.212165",28.69,-1.75,27.815,0.839270833333334,-0.175221819678731,"1.205469",31.41,NA,40,-8.59,45.4372916666667,38.4236458333333,9.769375,2.2792524926676,"1.2015",30.77,"1.193683",29.46,1.31,30.115,1.46072916666667,0.378935740270723,"1.23945",28.78,"1.226799",28.12,0.66,28.45,0.204270833333332,-1.58830855125959,"1.233515",33.2,"1.178852",16.93,16.27,27.5508333333333,30.3754166666667,1.72114583333333,0.542990251195062,"1.175041",28.74,"1.241296",18.71,10.03,29.1335416666667,28.9367708333333,0.282499999999999,-1.26407672839565,"1.222139",27.77,"1.22297",30.37,"1.250604",28.24,25.64,28.7933333333333,0.139062499999998,-1.97283180662159,"1.023349",39.74,"1.101198",37.64,2.1,38.69,10.0357291666667,2.30615164195697,"1.222139",27.77,"1.250604",28.24,"1.239793",27.29,26.82,27.7666666666667,0.887604166666669,-0.119229393627969,"1.000533",3.86,"1.000262",1,2.86,2.43,26.2242708333333,3.26668534963779
