Cycle,Actin_HC_1,Actin_NC_1,Actin_SC_1,Actin_HT_1,Actin_NT_1,Actin_ST_1,Actin_NTC_1,Actin_HC_2,Actin_NC_2,Actin_SC_2,Actin_HT_2,Actin_NT_2,Actin_ST_2,Actin_NTC_2,Actin_HC_3,Actin_NC_3,Actin_SC_3,Actin_HT_3,Actin_NT_3,Actin_ST_3,Actin_NTC_3,Actin_HC_4,Actin_NC_4,Actin_SC_4,Actin_HT_4,Actin_NT_4,Actin_ST_4,Actin_NTC_4,Actin_HC_5,Actin_NC_5,Actin_SC_5,Actin_HT_5,Actin_NT_5,Actin_ST_5,Actin_HC_6,Actin_NC_6,Actin_SC_6,Actin_HT_6,Actin_NT_6,Actin_ST_6,Actin_HC_7,Actin_NC_7,Actin_SC_7,Actin_HT_7,Actin_NT_7,Actin_ST_7,Actin_HC_8,Actin_NC_8,Actin_SC_8,Actin_HT_8,Actin_NT_8
1,2971.585119,3037.9792,3048.843816,2989.836321,3024.216242,2978.516224,2981.321133,3096.945544,3177.513864,3118.05083,3026.369975,3076.298951,3019.678441,3144.420336,3390.276624,3079.274753,3076.28452,3094.071394,3024.252168,3012.108319,3078.409818,3205.095587,3056.597021,2994.264502,3069.049278,3156.358133,3055.724615,3081.889931,3132.692597,3053.206919,3036.149449,3078.314005,3069.250673,3194.79849,3309.833511,3085.969561,3025.131814,3082.0416,3054.136376,3024.947118,3015.988752,2987.980096,3049.55196,3074.478237,2974.200827,2853.380137,2916.834862,2922.363219,2898.477018,2990.455396,2937.751459
2,2996.340447,3051.065712,3052.600177,2998.002232,3034.352322,2990.695704,2983.898308,3114.392637,3182.32095,3123.381218,3033.52244,3080.626163,3026.85209,3153.126114,3394.394241,3081.828351,3076.878383,3102.167219,3025.981197,3019.699607,3091.976048,3211.208182,3063.446998,2999.72822,3076.694865,3159.747017,3062.848309,3090.344937,3130.584877,3064.477314,3040.445429,3087.29426,3074.786955,3209.376115,3311.135234,3089.272639,3031.887358,3091.83306,3061.811218,3036.368451,3021.24337,2994.299698,3056.527311,3078.189421,2973.062518,2862.024824,2926.836889,2941.373482,2915.118074,2998.559044,2942.842103
3,3003.284052,3051.586885,3057.876128,3002.46483,3041.213066,2990.039186,2993.616806,3124.016062,3188.32717,3128.031585,3030.519603,3086.01516,3031.658954,3167.828277,3398.751044,3082.214271,3076.711665,3105.481101,3032.529223,3028.313399,3104.010242,3208.192418,3065.542652,2999.563077,3077.726006,3162.727914,3067.394621,3099.803052,3137.029561,3063.685435,3041.130818,3092.163331,3079.814327,3228.939376,3310.176973,3090.931434,3030.259521,3090.965362,3059.975652,3049.140248,3024.645847,2993.975398,3057.027039,3083.475189,2977.600218,2867.739629,2937.494185,2950.923125,2915.817274,3002.821829,2949.152422
4,3006.962761,3054.986799,3059.38765,3007.523428,3043.623632,2995.166411,2995.598757,3130.270954,3189.294944,3129.718722,3038.362946,3090.030556,3033.849325,3174.577012,3399.294484,3087.960335,3083.250578,3109.926301,3034.804299,3029.406509,3108.045295,3211.757608,3064.03291,3002.365476,3088.685447,3161.394527,3068.43586,3108.457574,3133.733315,3066.7302,3042.758798,3094.948551,3084.287363,3231.86821,3312.269642,3093.799249,3036.683978,3099.651817,3068.295388,3057.160642,3023.85169,2996.341894,3062.6909,3084.612645,2975.639421,2868.918557,2943.196624,2955.220664,2917.682068,3007.360113,2950.307497
5,3014.786765,3056.602202,3064.341637,3009.544974,3046.615305,2999.04616,2997.069774,3135.54752,3194.771548,3128.330351,3037.556546,3092.043795,3035.130146,3179.739074,3403.611657,3091.796775,3084.311873,3110.976375,3038.944634,3035.663331,3115.176551,3212.102269,3066.087541,3009.042341,3088.737063,3167.836675,3072.930554,3118.604291,3140.679706,3069.236452,3044.313001,3093.507448,3079.389262,3243.985401,3321.082712,3093.986984,3036.923709,3104.86833,3067.389907,3063.000309,3030.338121,3002.620335,3069.311271,3089.233703,2979.068522,2874.246168,2947.460763,2957.222901,2925.055486,3008.84935,2947.722441
6,3018.737042,3055.69417,3067.59421,3012.07809,3047.784084,3001.624355,3005.28762,3141.690854,3192.904766,3129.395243,3040.500451,3092.917292,3037.426449,3187.443503,3405.114031,3089.960654,3086.481791,3108.036684,3036.565065,3037.519323,3118.744304,3215.085349,3068.119294,3011.848019,3092.13616,3165.09498,3072.764661,3119.708656,3135.944246,3069.920946,3047.640181,3100.641444,3086.437403,3247.55069,3317.807671,3100.295876,3038.684985,3102.456323,3070.94472,3065.658012,3034.195832,3001.190248,3068.371854,3089.963006,2979.811339,2888.302328,2948.391096,2959.789299,2926.839254,3012.613617,2956.669575
7,3020.957895,3063.00388,3069.962246,3015.779122,3054.675576,3000.87422,3001.083351,3142.806521,3194.468326,3133.733936,3039.822271,3100.520816,3039.731019,3187.941867,3409.177897,3095.539568,3091.413698,3111.309458,3041.696826,3040.314036,3120.316383,3217.764074,3067.848755,3012.055453,3093.608203,3169.420752,3072.713532,3124.399984,3142.025552,3073.547773,3051.788444,3099.785452,3088.324618,3249.855525,3322.907364,3100.880718,3040.291487,3106.503496,3074.010942,3068.494192,3032.401984,3005.444647,3072.605806,3097.596445,2983.636552,2899.887373,2954.22044,2964.064804,2930.551463,3017.851262,2953.341524
8,3024.127617,3065.090429,3070.253274,3016.792496,3055.17431,3005.490642,3004.065743,3146.811302,3195.500543,3139.865801,3044.596275,3094.67056,3040.678578,3198.778873,3413.935736,3097.054532,3094.999921,3116.211219,3043.60511,3040.116123,3126.698628,3221.977432,3073.335356,3014.454683,3093.431043,3171.758798,3077.529132,3129.490529,3140.919416,3077.419641,3053.292657,3105.230225,3093.390712,3252.871203,3323.645533,3109.554864,3041.377897,3110.059803,3077.952795,3068.754137,3034.830086,3008.699115,3073.51297,3099.702003,2985.763579,2901.398432,2959.287968,2968.622596,2931.874544,3019.508294,2957.721353
9,3028.717729,3063.518176,3073.101002,3020.441651,3057.229882,3007.357374,3007.15049,3153.379877,3199.276451,3138.240813,3042.646362,3100.699076,3044.163391,3197.20223,3411.599708,3099.432764,3093.540354,3118.704584,3044.218606,3048.364561,3131.476942,3222.080637,3072.916526,3015.233671,3095.557399,3171.675323,3078.636201,3128.061188,3147.49954,3075.740781,3051.291336,3105.001074,3093.16002,3252.420611,3325.848513,3109.515495,3041.91069,3112.311299,3076.6605,3071.861136,3033.839475,3007.58337,3075.453888,3100.681517,2985.95145,2903.411386,2955.78385,2967.77662,2930.102869,3019.653745,2957.870416
10,3028.988027,3069.053577,3074.74706,3020.10682,3063.091101,3010.621902,3012.950982,3158.134401,3203.145343,3137.216802,3048.560359,3105.370506,3038.500396,3199.28845,3416.854177,3102.286901,3096.073994,3123.292215,3044.834005,3047.655301,3132.268859,3225.137833,3073.418671,3014.940732,3101.042355,3172.968376,3078.017805,3134.17075,3148.112628,3078.034397,3055.324502,3109.191003,3095.518824,3260.535501,3327.767317,3111.516338,3046.767945,3112.532001,3077.442227,3075.916169,3034.42619,3012.276051,3079.300944,3107.845032,2992.616893,2908.638576,2960.507064,2968.038961,2932.0752,3022.656874,2956.137798
11,3035.537961,3068.447829,3075.121644,3026.969196,3062.161119,3008.942074,3007.307437,3155.444117,3202.915827,3138.372086,3049.790634,3106.494383,3047.465886,3201.282074,3413.121323,3097.645635,3098.430989,3120.172617,3043.875874,3052.774954,3133.300121,3231.540375,3074.480907,3017.623311,3102.626032,3177.098586,3078.653539,3136.17234,3149.093796,3077.262375,3057.116661,3111.894562,3097.229388,3260.295823,3331.698958,3117.700574,3047.311187,3120.800621,3077.879352,3077.682053,3039.95298,3014.97578,3083.283721,3109.212487,2984.699797,2908.94048,2960.119461,2971.145203,2934.806971,3022.79325,2958.890612
12,3035.027448,3067.97953,3078.418521,3023.401975,3059.28428,3014.613429,3016.431514,3157.10124,3201.706135,3136.254736,3050.11385,3108.986689,3047.572303,3205.242903,3419.544988,3105.510409,3097.417664,3120.016924,3053.050301,3053.046677,3135.324015,3225.81491,3073.459071,3022.138909,3104.004227,3179.349764,3081.376272,3141.115112,3152.054746,3078.190584,3057.524765,3112.361696,3095.507466,3265.874187,3334.834888,3121.557792,3051.535918,3117.026282,3081.944653,3078.985056,3043.777464,3015.580741,3084.387703,3106.696318,2990.207288,2910.616395,2963.021167,2971.728551,2938.070451,3025.472412,2963.69805
13,3038.591795,3071.275327,3078.710505,3027.240691,3065.969194,3016.80634,3013.031505,3160.260306,3203.509634,3141.053251,3052.13648,3108.070842,3047.384354,3209.350183,3420.7441,3105.443865,3103.760528,3121.569606,3054.354896,3055.02776,3140.382325,3232.373929,3077.704235,3021.240222,3107.905007,3178.341001,3081.250183,3142.189139,3148.571219,3080.962335,3057.766001,3113.071624,3097.678441,3265.874786,3334.577351,3120.442983,3049.812172,3128.129218,3084.522475,3081.51846,3046.68786,3024.153876,3085.573969,3111.919919,2994.369025,2914.412675,2966.221054,2973.333818,2938.277398,3029.465386,2966.430204
14,3040.12241,3071.461438,3085.977061,3027.834155,3067.061928,3013.301585,3013.626696,3163.89178,3205.854602,3142.35784,3053.773914,3112.053765,3046.369538,3210.497519,3422.004486,3105.925859,3104.552362,3127.078459,3052.799666,3055.713193,3142.41399,3232.354129,3076.107851,3024.922151,3106.152885,3181.288734,3083.838179,3146.986228,3157.873227,3083.466644,3060.787059,3111.860567,3101.681897,3269.889635,3337.505133,3122.538278,3053.10669,3124.043002,3084.89658,3082.749639,3042.576877,3022.662351,3088.631567,3113.643585,2994.553644,2914.630189,2967.076702,2973.7926,2938.3196,3028.027375,2968.525561
15,3041.106322,3075.633426,3088.721285,3033.018251,3068.866039,3017.056354,3017.630567,3166.674742,3206.722544,3142.335499,3060.229609,3116.391462,3051.889626,3213.313315,3423.223682,3107.301205,3105.604778,3126.804817,3054.726521,3061.845787,3142.747162,3233.226544,3079.789209,3022.875841,3106.963966,3180.706932,3085.48536,3150.072995,3161.460052,3086.771226,3060.588081,3116.561964,3101.59751,3267.387092,3339.069718,3127.3762,3051.43049,3125.502875,3087.670941,3081.997236,3048.157822,3021.294578,3089.058024,3116.290501,2993.06299,2915.570399,2970.860138,2975.337161,2941.782493,3033.292973,2968.535491
16,3043.158384,3073.99522,3086.895396,3031.150079,3069.70056,3021.499229,3018.682532,3171.240051,3208.631141,3147.089994,3058.559959,3117.113074,3053.796988,3218.245574,3423.860693,3113.122914,3107.068263,3128.213854,3054.07429,3063.128787,3148.045686,3238.151213,3079.872656,3027.53089,3110.773096,3181.218889,3084.734557,3152.115188,3161.556046,3084.831216,3067.691345,3119.044839,3102.192076,3269.81556,3345.829756,3129.952888,3057.57399,3125.628738,3091.487546,3085.000159,3051.910822,3027.249736,3096.690329,3120.555713,2994.889414,2919.494453,2976.564741,2978.672856,2943.669055,3036.411662,2967.797404
17,3052.305356,3076.081018,3090.78532,3036.197674,3073.966866,3021.11367,3022.772824,3176.443178,3211.151633,3147.497921,3063.949369,3120.363555,3053.754531,3216.234197,3430.659119,3115.811961,3108.880101,3132.375535,3057.639919,3063.482796,3151.162782,3245.515356,3081.946328,3030.103954,3117.081573,3188.726815,3087.966224,3155.745059,3168.729033,3086.938105,3068.367941,3117.512287,3104.360758,3273.456034,3351.155214,3139.77563,3056.841569,3129.214196,3093.686503,3095.294536,3050.326308,3034.526881,3098.35139,3126.271118,2997.337755,2917.874914,2984.719704,2984.844717,2945.391276,3036.193989,2969.651807
18,3051.813408,3077.228019,3094.317729,3037.333187,3074.550726,3023.490057,3018.454691,3189.438996,3220.799244,3154.598055,3061.718428,3121.364353,3055.599777,3225.764058,3435.051524,3118.606739,3112.122456,3132.739563,3057.692171,3067.446137,3158.922223,3249.149879,3083.82461,3033.316716,3114.879991,3184.939322,3088.738433,3163.274892,3169.708336,3092.47488,3069.26541,3120.630616,3105.664209,3270.128133,3359.268533,3142.779324,3058.363589,3132.33397,3101.655404,3097.514458,3053.862528,3050.772573,3101.925788,3125.309656,3002.082644,2922.32818,2999.015734,2994.793175,2946.087808,3034.056138,2970.308514
19,3063.910146,3082.234328,3107.613766,3041.878717,3080.494094,3028.985277,3025.587124,3206.111258,3231.590714,3159.469309,3066.525904,3128.726944,3063.286859,3226.410598,3445.404627,3132.46303,3118.419762,3140.433947,3059.671917,3066.392043,3168.535467,3264.627989,3095.033768,3041.462422,3114.535009,3187.274959,3092.054972,3174.368687,3181.857394,3101.33984,3073.645909,3127.533345,3110.806109,3276.482079,3376.662492,3149.577247,3064.162892,3136.032846,3111.414433,3116.043274,3059.772368,3077.279449,3110.424522,3136.790308,3003.649698,2931.211449,3027.888327,3014.783162,2950.87732,3038.935057,2975.938277
20,3078.016794,3086.64478,3128.043063,3043.683761,3085.018141,3033.364377,3026.306833,3234.537523,3246.231434,3171.919579,3074.234701,3139.530469,3072.243136,3244.941831,3459.929882,3149.8975,3121.693536,3149.621104,3063.770787,3067.568974,3196.272688,3288.786516,3105.879607,3049.031351,3117.308448,3198.934213,3089.917155,3186.464491,3199.686825,3115.082376,3079.474634,3130.891817,3107.124975,3275.290028,3409.812081,3172.255211,3065.935461,3143.907858,3126.503074,3143.736748,3068.972806,3127.590448,3126.952349,3150.711275,3009.059208,2939.051939,3079.756184,3049.89258,2959.393864,3046.496466,2985.709927
21,3106.453932,3098.602906,3163.057762,3050.71287,3100.096569,3049.943288,3025.752393,3302.543449,3283.82188,3192.252521,3079.393728,3158.528217,3088.020121,3267.712211,3494.507222,3190.347313,3132.198014,3166.306069,3068.65127,3069.509681,3244.656888,3337.944138,3122.281869,3067.509436,3123.816709,3205.752199,3091.981911,3226.131802,3236.696317,3138.909567,3091.694774,3142.935109,3115.271004,3276.811519,3474.37804,3207.583652,3077.018791,3155.315764,3157.054626,3201.881359,3080.148948,3231.877901,3149.684163,3184.497036,3018.557338,2960.418455,3176.24051,3121.445533,2968.361552,3052.898318,2990.703199
22,3166.391244,3123.851156,3234.504998,3065.165214,3119.586308,3069.744417,3027.379813,3423.481702,3354.625672,3230.614209,3094.574811,3194.651016,3123.023595,3306.99306,3562.130738,3266.299872,3149.487301,3204.37819,3075.512563,3072.251749,3332.089645,3427.294594,3165.429362,3098.695998,3138.601919,3221.737816,3089.863051,3289.550204,3307.403096,3194.696067,3112.945634,3163.757687,3122.472912,3280.57796,3595.233527,3278.784637,3104.110496,3177.722113,3221.205533,3301.31541,3101.868427,3428.277449,3202.95836,3245.925649,3038.276652,3004.098203,3372.778375,3259.852669,2995.516591,3070.758687,3014.197237
23,3282.354081,3164.973627,3365.359465,3089.230992,3162.141017,3113.843014,3027.504296,3659.425287,3488.982922,3308.164066,3121.467347,3266.841025,3194.714847,3398.016075,3689.562476,3406.86014,3183.185737,3276.147956,3092.194702,3072.979804,3509.536059,3604.489385,3245.391085,3162.020646,3160.291219,3256.033983,3095.465657,3410.727928,3443.867414,3291.942226,3149.995117,3200.494703,3130.856557,3289.417858,3823.782953,3411.203778,3147.061425,3210.309134,3344.261505,3503.872652,3150.626833,3790.11097,3304.271712,3361.316278,3076.368775,3080.731095,3732.382715,3514.50026,3039.030311,3106.93163,3051.956293
24,3492.623003,3245.222767,3617.600108,3137.166753,3246.738215,3208.337909,3028.682832,4092.895444,3746.741174,3456.193289,3177.421878,3406.538049,3323.314065,3560.349516,3939.08272,3680.718302,3245.749408,3406.689139,3129.33951,3073.3267,3835.071947,3943.728934,3401.965528,3290.134848,3201.908931,3318.024016,3096.422967,3650.226852,3700.852565,3483.84994,3223.789837,3273.092216,3154.474122,3293.42288,4256.887592,3655.969719,3228.185809,3283.76088,3568.359718,3867.145008,3246.642831,4406.42475,3491.851407,3581.93221,3143.458075,3240.387577,4338.166251,3982.998623,3127.016828,3169.592561,3122.350183
25,3887.927604,3404.19138,4078.721477,3228.342409,3405.10893,3382.932964,3030.019958,4838.342547,4216.727744,3736.190036,3286.327401,3664.315648,3579.010053,3872.45307,4393.633397,4165.477709,3367.9286,3670.827213,3194.487751,3075.472815,4417.267966,4543.106831,3700.246271,3527.088512,3281.687979,3441.62272,3096.902785,4083.059732,4168.81352,3834.680568,3372.941926,3414.777049,3195.509507,3313.548925,5005.671831,4107.978817,3390.154883,3427.485233,3990.233577,4493.937799,3427.581692,5352.276586,3838.0113,3990.320361,3289.485593,3530.918826,5261.666953,4751.650823,3296.776428,3303.177651,3262.663021
26,4560.224976,3709.309059,4847.868927,3414.256461,3704.544839,3710.085731,3030.103243,5983.562918,5014.722478,4252.175441,3497.485013,4129.101793,4036.879736,4435.387957,5188.932247,4982.599891,3607.855048,4137.486459,3323.893867,3076.873087,5367.344795,5524.571322,4232.08033,3965.711945,3444.494696,3676.762852,3096.704879,4822.220853,4965.209801,4463.218952,3643.203998,3678.385883,3279.646409,3349.824807,6159.606841,4863.053336,3698.061464,3686.744438,4688.19978,5448.818483,3758.818496,6567.544124,4435.286104,4668.761855,3551.328789,4044.681217,6429.889562,5853.993514,3619.100664,3541.113918,3524.666074
27,5573.271197,4247.133179,5983.404658,3747.922203,4232.403095,4278.746969,3030.654443,7470.900384,6202.52413,5112.283879,3881.498834,4890.662264,4811.549601,5352.487579,6429.595694,6154.216148,4030.436599,4935.348562,3566.812758,3077.152692,6701.298724,6931.905365,5097.538086,4702.028885,3741.991391,4115.073631,3099.874063,5939.029883,6140.800399,5443.210849,4137.088526,4161.092703,3433.993969,3412.035802,7683.592154,5966.761726,4249.873057,4164.707384,5725.278091,6673.208287,4345.311774,7874.497949,5348.865215,5682.184748,4014.96899,4856.606449,7691.584543,7175.791644,4171.82089,3975.306053,3997.083541
28,6854.198109,5132.493225,7383.535905,4333.964927,5101.509731,5173.191418,3032.897037,9097.097315,7688.701057,6362.108269,4543.841786,5971.004911,5940.440365,6648.928264,8065.712333,7560.229287,4770.918407,6109.740899,4007.266625,3080.468479,8252.572386,8603.05569,6327.968656,5783.494257,4267.350122,4870.097237,3101.220804,7340.492309,7596.780059,6765.62862,4946.844053,4958.501426,3730.322429,3537.282197,9354.951676,7318.917131,5145.55387,4951.618698,7009.830761,7999.185401,5275.940552,9123.863434,6527.9989,6953.562389,4764.648096,5954.940502,8884.115481,8529.782316,5042.476254,4680.40474,4755.581022
29,8224.121955,6375.524683,8852.840359,5259.114611,6330.476381,6386.831001,3027.576444,10638.1258,9263.769248,7885.32042,5560.530102,7244.869333,7332.27794,8185.448225,9874.045634,9002.598966,5884.726332,7562.436808,4750.191356,3081.531229,9805.829273,10293.16918,7781.389353,7110.658535,5136.605631,6019.321918,3098.186154,8841.562823,9139.029829,8248.044986,6077.467865,6119.615022,4251.444799,3776.707362,10960.58173,8740.661403,6403.13216,6089.414253,8353.569105,9279.079295,6524.684654,10203.50036,7817.143612,8312.633904,5782.807553,7204.705851,9911.026401,9754.428112,6189.449783,5648.772077,5803.635524
30,9517.635734,7858.894871,10226.71191,6513.501987,7783.311541,7745.953283,3033.302937,11987.35168,10750.4447,9462.549963,6889.663584,8567.868987,8806.643591,9751.816948,11618.37163,10330.08867,7307.715142,9103.256052,5842.245314,3083.31322,11231.53883,11837.81043,9253.382505,8516.015443,6370.817795,7500.345762,3102.460013,10263.19907,10579.99605,9699.831217,7432.346116,7525.767016,5093.169706,4215.432726,12372.16478,10068.08902,7896.384642,7456.366432,9620.480182,10395.65248,7942.534154,11087.4358,9071.649616,9598.746399,6975.37697,8435.889079,10733.69754,10798.52084,7482.001071,6807.38551,7032.75791
