SampleNames:	Actin_NTC_01	Actin_NT1_01	Actin_HT1_01	Actin_ST1_01	Actin_NC1_01	Actin_HC1_01	Actin_SC1_01	Actin_NTC_02	Actin_NTC_03	Actin_NT1_02	Actin_HT1_02	Actin_ST1_02	Actin_NC1_02	Actin_HC1_02	Actin_SC1_02	Actin_NTC_04	HSP70_NTC_01	HSP70_NT1_01	HSP70_HT1_01	HSP70_ST1_01	HSP70_NC1_01	HSP70_HC1_01	HSP70_SC1_01	HSP70_NTC_02	HSP70_NTC_03	HSP70_NT1_02	HSP70_HT1_02	HSP70_ST1_02	HSP70_NC1_02	HSP70_HC1_02	HSP70_SC1_02	HSP70_NTC_04
Logistic_a:	0.0217178	0.80033	1.001	1.20442	1.20668	1.04771	0.858568	0.00769634	0.00617602	1.19472	1.25496	1.11085	1.2602	1.11982	1.00398	0.00693936	0.503479	1.49855	2.10258	2.11494	1.74087	2.32678	2.12345	0.242675	0.379261	1.47396	1.71327	1.99819	1.64297	2.4546	1.75013	0.258987
Logistic_b:	-13.1255	-15.7923	-16.587	-17.2043	-16.2704	-15.3214	-14.8445	0.00531884	-0.0979409	-15.7055	-16.4791	-17.5771	-15.8459	-15.5755	-15.1652	0.00129199	-13.2495	-19.3798	-19.0593	-14.1453	-19.7794	-17.7794	-16.1562	-20.9202	-14.0748	-19.431	-18.1315	-14.2226	-18.0783	-17.238	-16.9189	-21.5782
Logistic_X0:	40.0583	31.4758	33.4584	34.2792	31.9495	29.9322	29.4244	13478.9	2768.58	31.3314	33.3365	33.5542	30.7136	30.5868	28.916	283.714	47.6204	35.9478	35.7695	28.9312	36.5601	34.3621	32.192	40.3651	46.1462	35.9657	34.9424	28.3255	36.2631	33.6194	33.2023	39.5726
Logistic_Y0:	0.0022698	-0.00036374	-0.000125253	-8.74E-05	-0.000109016	0.000235553	7.57E-05	-0.000150209	0.00101954	-0.000555175	0.00013928	0.00100582	0.000286728	-0.000743854	0.000658223	6.54E-05	0.000128132	0.000563357	0.000624959	-0.00220378	0.000773944	-0.00127948	-0.00242083	0.000874645	0.000342754	-0.000686395	1.41E-05	-0.00127283	-0.00937574	-0.00205744	-0.00156289	0.000972107
Logistic_Pvalue:	7.24E-13	2.23E-48	1.69E-53	0	8.50E-51	0	4.04E-49	0.999161	0.992106	0	2.39E-52	1.96E-47	9.54E-48	0	0	0.999992	0	8.84E-51	4.78E-51	4.92E-63	0	0	1.11E-16	8.12E-19	1.12E-17	1.49E-51	2.22E-16	7.58E-63	0	3.63E-53	1.96E-52	0
Noise(SPE):	0.00841746	0.00106051	0.000696598	0.000773899	0.00123214	0.00167462	0.00106352	0.0164872	0.0155113	0.00137123	0.000982605	0.00100929	0.0018711	0.00165535	0.00211831	0.0169855	0.00205665	0.000723812	0.00101577	0.00160834	0.000500177	0.0014875	0.00179481	0.000428536	0.00236437	0.000657064	0.00110338	0.00159569	0.00325901	0.00173368	0.00137731	0.000469455
EndofExpPhase(SDM):	Error!	0.14389	0.181762	0.220021	0.218468	0.188097	0.153157	Error!	Error!	0.214583	0.227933	0.204676	0.227559	0.200621	0.180353	Error!	Error!	0.279157	0.39063	0.371506	0.325298	0.426055	0.381776	0.046438	Error!	0.273433	0.315578	0.352175	Error!	0.446657	0.317445	0.0497818
CP(SPE):	38.6861	20.6913	21.5857	22.3618	20.9249	19.664	18.7461	-47	-47	20.3613	21.5995	22.5281	20.3649	20.1309	19.2646	-47	31.4508	24.2424	23.9631	17.414	24.2079	22.7213	20.7761	29.8158	32.1847	24.1796	23.3008	17.1554	25.7052	22.0706	21.7632	29.5375
CP(SDM):	Error!	28.5971	30.5566	31.421	29.1202	27.1034	26.5464	Error!	Error!	28.4487	30.4247	30.8204	27.9149	27.7472	26.1527	Error!	Error!	33.3102	33.0978	25.949	33.9355	31.5967	29.3195	37.6357	Error!	33.3343	32.1889	25.423	Error!	30.8222	30.3836	36.9836
DynamicThreshold:	Error!	0.0722935	0.0911668	0.110354	0.109796	0.0950034	0.077148	Error!	Error!	0.107699	0.114528	0.103345	0.114858	0.100766	0.0915647	Error!	Error!	0.140222	0.196136	0.185456	0.163286	0.213131	0.190575	0.0238706	Error!	0.136702	0.158348	0.176249	Error!	0.223167	0.15863	0.0256117
LowerCycleNumber:	Error!	11	13	12	11	10	11	Error!	Error!	11	12	11	10	11	9	Error!	Error!	13	13	12	12	13	12	8	Error!	13	13	11	Error!	13	12	8
UpperCycleNumber:	Error!	18	20	19	18	17	18	Error!	Error!	18	19	18	17	18	16	Error!	Error!	20	20	19	19	20	19	15	Error!	20	20	18	Error!	20	19	15
PointsForRegression:	Error!	8	8	8	8	8	8	Error!	Error!	8	8	8	8	8	8	Error!	Error!	8	8	8	8	8	8	8	Error!	8	8	8	Error!	8	8	8
Number_OfRegressionWindows:	Error!	109	104	120	115	82	47	Error!	Error!	113	125	102	86	70	87	Error!	Error!	129	114	121	127	111	124	104	Error!	132	131	155	Error!	125	132	94
