Filename: "C:\Documents and Settings\Steven\Desktop\Jake Data\OlyRNA5515.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,C11,C12,D11,D12,E11,E12,F11,F12,G11,G12,H11,H12,
4, 1, SBGnew, 55.0, 0.0211,0.0291,0.0904,0.1760,0.1032,0.1480,0.1669,0.1787,0.0692,0.0462,0.0853,0.0808,
4, 2, SBGnew, 55.0, 0.0210,0.0292,0.0894,0.1705,0.1015,0.1420,0.1615,0.1789,0.0671,0.0459,0.0839,0.0809,
4, 3, SBGnew, 55.0, 0.0207,0.0288,0.0881,0.1627,0.0996,0.1369,0.1560,0.1777,0.0645,0.0460,0.0827,0.0816,
4, 4, SBGnew, 55.0, 0.0205,0.0272,0.0857,0.1550,0.0974,0.1312,0.1498,0.1751,0.0616,0.0455,0.0817,0.0799,
4, 5, SBGnew, 55.0, 0.0199,0.0260,0.0830,0.1486,0.0938,0.1242,0.1445,0.1694,0.0598,0.0453,0.0795,0.0792,
4, 6, SBGnew, 55.0, 0.0191,0.0249,0.0814,0.1427,0.0902,0.1200,0.1399,0.1642,0.0573,0.0437,0.0774,0.0776,
4, 7, SBGnew, 55.0, 0.0187,0.0223,0.0783,0.1374,0.0868,0.1177,0.1359,0.1567,0.0550,0.0413,0.0755,0.0751,
4, 8, SBGnew, 55.0, 0.0184,0.0193,0.0749,0.1316,0.0816,0.1117,0.1308,0.1500,0.0535,0.0387,0.0716,0.0703,
4, 9, SBGnew, 55.0, 0.0175,0.0180,0.0726,0.1253,0.0772,0.1056,0.1248,0.1446,0.0514,0.0371,0.0670,0.0682,
4, 10, SBGnew, 55.0, 0.0175,0.0160,0.0697,0.1218,0.0739,0.1007,0.1189,0.1369,0.0488,0.0355,0.0644,0.0647,
4, 11, SBGnew, 55.0, 0.0166,0.0133,0.0669,0.1151,0.0706,0.0942,0.1141,0.1290,0.0462,0.0345,0.0613,0.0610,
4, 12, SBGnew, 55.0, 0.0161,0.0111,0.0630,0.1085,0.0659,0.0873,0.1088,0.1222,0.0433,0.0329,0.0574,0.0582,
4, 13, SBGnew, 55.0, 0.0150,0.0088,0.0586,0.1019,0.0614,0.0790,0.1027,0.1123,0.0397,0.0305,0.0535,0.0540,
4, 14, SBGnew, 55.0, 0.0142,0.0052,0.0532,0.0933,0.0555,0.0709,0.0956,0.1013,0.0370,0.0280,0.0490,0.0499,
4, 15, SBGnew, 55.0, 0.0132,0.0030,0.0494,0.0826,0.0502,0.0631,0.0896,0.0923,0.0321,0.0240,0.0444,0.0444,
4, 16, SBGnew, 55.0, 0.0121,0.0002,0.0441,0.0740,0.0438,0.0559,0.0828,0.0826,0.0294,0.0208,0.0404,0.0397,
4, 17, SBGnew, 55.0, 0.0111,0.0000,0.0409,0.0670,0.0395,0.0502,0.0748,0.0743,0.0260,0.0189,0.0372,0.0336,
4, 18, SBGnew, 55.0, 0.0106,0.0010,0.0376,0.0598,0.0360,0.0460,0.0690,0.0679,0.0241,0.0175,0.0343,0.0311,
4, 19, SBGnew, 55.0, 0.0100,0.0060,0.0360,0.0551,0.0331,0.0423,0.0648,0.0625,0.0214,0.0158,0.0325,0.0270,
4, 20, SBGnew, 55.0, 0.0095,0.0145,0.0330,0.0519,0.0286,0.0382,0.0611,0.0579,0.0198,0.0143,0.0293,0.0247,
4, 21, SBGnew, 55.0, 0.0094,0.0293,0.0300,0.0463,0.0260,0.0342,0.0554,0.0503,0.0175,0.0124,0.0259,0.0214,
4, 22, SBGnew, 55.0, 0.0083,0.0520,0.0266,0.0379,0.0220,0.0291,0.0525,0.0425,0.0154,0.0097,0.0222,0.0173,
4, 23, SBGnew, 55.0, 0.0076,0.0861,0.0241,0.0331,0.0193,0.0246,0.0472,0.0357,0.0119,0.0072,0.0195,0.0133,
4, 24, SBGnew, 55.0, 0.0075,0.1309,0.0202,0.0272,0.0157,0.0206,0.0434,0.0296,0.0086,0.0047,0.0162,0.0110,
4, 25, SBGnew, 55.0, 0.0072,0.1872,0.0176,0.0195,0.0130,0.0162,0.0372,0.0225,0.0071,0.0030,0.0142,0.0081,
4, 26, SBGnew, 55.0, 0.0064,0.2534,0.0150,0.0150,0.0093,0.0110,0.0340,0.0182,0.0058,0.0012,0.0112,0.0049,
4, 27, SBGnew, 55.1, 0.0065,0.3234,0.0131,0.0109,0.0061,0.0063,0.0295,0.0131,0.0047,0.0009,0.0097,0.0041,
4, 28, SBGnew, 55.0, 0.0068,0.3944,0.0114,0.0054,0.0029,0.0045,0.0262,0.0088,0.0037,0.0002,0.0074,0.0019,
4, 29, SBGnew, 55.0, 0.0063,0.4625,0.0086,0.0013,0.0009,0.0004,0.0211,0.0032,0.0025,0.0000,0.0049,0.0002,
4, 30, SBGnew, 55.0, 0.0060,0.5258,0.0059,0.0000,0.0001,0.0000,0.0182,0.0004,0.0016,0.0009,0.0023,0.0000,
4, 31, SBGnew, 55.0, 0.0055,0.5815,0.0039,0.0000,0.0000,0.0034,0.0151,0.0000,0.0000,0.0032,0.0008,0.0033,
4, 32, SBGnew, 55.1, 0.0052,0.6310,0.0024,0.0058,0.0022,0.0110,0.0114,0.0051,0.0010,0.0083,0.0005,0.0095,
4, 33, SBGnew, 55.0, 0.0038,0.6718,0.0000,0.0152,0.0064,0.0222,0.0064,0.0123,0.0029,0.0189,0.0000,0.0193,
4, 34, SBGnew, 55.0, 0.0028,0.7050,0.0006,0.0342,0.0178,0.0457,0.0028,0.0274,0.0085,0.0360,0.0046,0.0361,
4, 35, SBGnew, 55.1, 0.0017,0.7324,0.0037,0.0618,0.0402,0.0806,0.0000,0.0488,0.0205,0.0609,0.0142,0.0604,
4, 36, SBGnew, 55.1, 0.0012,0.7559,0.0137,0.1027,0.0772,0.1303,0.0006,0.0815,0.0409,0.0978,0.0305,0.0939,
4, 37, SBGnew, 55.1, 0.0006,0.7753,0.0312,0.1573,0.1313,0.1992,0.0074,0.1194,0.0695,0.1468,0.0542,0.1374,
4, 38, SBGnew, 55.0, 0.0003,0.7939,0.0605,0.2278,0.2095,0.2876,0.0225,0.1671,0.1106,0.2086,0.0898,0.1920,
4, 39, SBGnew, 55.0, 0.0003,0.8089,0.0882,0.2885,0.2805,0.3652,0.0376,0.2075,0.1490,0.2634,0.1211,0.2384,
4, 40, SBGnew, 55.0, 0.0000,0.8192,0.1134,0.3399,0.3398,0.4300,0.0517,0.2408,0.1800,0.3098,0.1473,0.2770,
9, 1, SBGnew, 65.1, 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,



Analysis Options
Step 4: Quantitation
Subtract Blanks,no
Subtract Baseline,yes: Global minimum
Baseline Start (cycle),0
Baseline End (cycle),40
Supressed pre-threshold data,no

Step 9: Melting Curve
Subtract Blanks,no
Subtract Baseline,yes: Global minimum
Baseline Start (temp),65.0 C
Baseline End (temp),65.5 C

