Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
ST1	Default	5/8/2015	10:44 AM	385.82	9.646	5.076	1.90	0.94	40.00	230	10.311	0.062
ST2	Default	5/8/2015	10:46 AM	287.10	7.178	3.929	1.83	0.71	40.00	230	10.065	0.074
ST3	Default	5/8/2015	10:47 AM	267.75	6.694	3.623	1.85	0.89	40.00	230	7.551	0.103
ST4	Default	5/8/2015	10:48 AM	322.48	8.062	4.324	1.86	0.77	40.00	230	10.455	0.035
ST5	Default	5/8/2015	10:49 AM	244.87	6.122	3.424	1.79	0.66	40.00	230	9.328	0.044
HT1	Default	5/8/2015	10:50 AM	172.11	4.303	2.502	1.72	0.57	40.00	230	7.571	0.020
HT2	Default	5/8/2015	10:51 AM	323.01	8.075	4.359	1.85	0.75	40.00	230	10.710	0.070
HT3	Default	5/8/2015	10:52 AM	141.12	3.528	1.808	1.95	1.50	40.00	230	2.352	0.522
HT4	Default	5/8/2015	10:52 AM	177.02	4.425	2.597	1.70	0.59	40.00	230	7.513	0.026
HT5	Default	5/8/2015	10:53 AM	294.26	7.357	4.019	1.83	0.72	40.00	230	10.230	0.083
SM1	Default	5/8/2015	10:54 AM	110.13	2.753	1.482	1.86	0.96	40.00	230	2.857	0.081
SM2	Default	5/8/2015	10:55 AM	43.08	1.077	0.624	1.73	0.57	40.00	230	1.883	0.032
SM3	Default	5/8/2015	10:57 AM	38.87	0.972	0.638	1.52	0.42	40.00	230	2.290	0.039
SM4	Default	5/8/2015	10:57 AM	112.83	2.821	1.738	1.62	0.42	40.00	230	6.722	0.054
SM5	Default	5/8/2015	10:58 AM	67.16	1.679	1.047	1.60	0.36	40.00	230	4.720	0.038
HM1	Default	5/8/2015	10:59 AM	52.70	1.318	0.758	1.74	0.75	40.00	230	1.758	0.035
HM2	Default	5/8/2015	11:00 AM	72.28	1.807	1.202	1.50	0.35	40.00	230	5.176	0.006
HM3	Default	5/8/2015	11:02 AM	59.05	1.476	1.043	1.42	0.26	40.00	230	5.674	-1.533
HM4	Default	5/8/2015	11:03 AM	82.50	2.062	1.270	1.62	0.34	40.00	230	6.034	0.049
HM5	Default	5/8/2015	11:04 AM	128.42	3.210	1.911	1.68	0.40	40.00	230	8.072	0.021
